Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Miami (FL) (ACC),13,7-6,47,186,0.253
UAB (C-USA),14,11-3,47,181,0.260
Mississippi St. (SEC),13,8-5,47,177,0.266
Army West Point (FBS Independent),13,11-2,34,128,0.266
Cincinnati (AAC),13,11-2,55,194,0.284
Clemson (ACC),15,15-0,68,239,0.285
Syracuse (ACC),13,10-3,56,196,0.286
Michigan St. (Big Ten),13,7-6,58,192,0.302
Texas A&M (SEC),13,9-4,49,162,0.302
Nevada (Mountain West),13,8-5,61,200,0.305
Boise St. (Mountain West),13,10-3,51,164,0.311
TCU (Big 12),13,7-6,58,184,0.315
Marshall (C-USA),13,9-4,63,199,0.317
App State (Sun Belt),13,11-2,59,186,0.317
Ohio St. (Big Ten),14,13-1,67,205,0.327
Utah St. (Mountain West),13,11-2,71,215,0.330
Utah (Pac-12),14,9-5,72,216,0.333
NC State (ACC),13,9-4,59,177,0.333
Penn St. (Big Ten),13,9-4,71,211,0.336
Tulane (AAC),13,7-6,65,193,0.337
Michigan (Big Ten),13,10-3,59,175,0.337
Fresno St. (Mountain West),14,12-2,73,215,0.340
Georgia (SEC),14,11-3,65,191,0.340
Alabama (SEC),15,14-1,76,222,0.342
Missouri (SEC),13,8-5,63,184,0.342
Iowa (Big Ten),13,9-4,62,181,0.343
Toledo (MAC),13,7-6,67,195,0.344
Southern Miss. (C-USA),11,6-5,53,154,0.344
California (Pac-12),13,7-6,69,199,0.347
Auburn (SEC),13,8-5,68,196,0.347
Western Mich. (MAC),13,7-6,54,155,0.348
North Texas (C-USA),13,9-4,69,197,0.350
Louisiana Tech (C-USA),13,8-5,65,184,0.353
LSU (SEC),13,10-3,70,198,0.354
Arkansas St. (Sun Belt),13,8-5,67,187,0.358
Washington St. (Pac-12),13,11-2,62,172,0.360
West Virginia (Big 12),12,8-4,57,158,0.361
Purdue (Big Ten),13,6-7,67,184,0.364
Florida St. (ACC),12,5-7,73,200,0.365
Colorado (Pac-12),12,5-7,68,186,0.366
Northwestern (Big Ten),14,9-5,75,205,0.366
UTEP (C-USA),12,1-11,59,160,0.369
Minnesota (Big Ten),13,7-6,65,176,0.369
Akron (MAC),12,4-8,70,189,0.370
Oregon (Pac-12),13,9-4,75,202,0.371
Western Ky. (C-USA),12,3-9,61,164,0.372
Charlotte (C-USA),12,5-7,53,142,0.373
BYU (FBS Independent),13,7-6,71,190,0.374
Boston College (ACC),12,7-5,74,198,0.374
Buffalo (MAC),14,10-4,77,206,0.374
South Alabama (Sun Belt),12,3-9,55,147,0.374
Florida (SEC),13,10-3,73,195,0.374
Eastern Mich. (MAC),13,7-6,75,200,0.375
Oklahoma St. (Big 12),13,7-6,71,189,0.376
Wisconsin (Big Ten),13,8-5,67,178,0.376
Stanford (Pac-12),13,9-4,75,199,0.377
Texas Tech (Big 12),12,5-7,66,175,0.377
Washington (Pac-12),14,10-4,81,214,0.379
Kentucky (SEC),13,10-3,71,186,0.382
Arkansas (SEC),12,2-10,59,154,0.383
Ga. Southern (Sun Belt),13,10-3,69,179,0.385
Troy (Sun Belt),13,10-3,74,191,0.387
Virginia Tech (ACC),13,6-7,69,178,0.388
Notre Dame (FBS Independent),13,12-1,82,211,0.389
NIU (MAC),14,8-6,89,229,0.389
East Carolina (AAC),12,3-9,72,185,0.389
Tennessee (SEC),12,5-7,60,154,0.390
Texas St. (Sun Belt),12,3-9,78,200,0.390
South Carolina (SEC),13,7-6,71,182,0.390
Maryland (Big Ten),12,5-7,66,169,0.391
Wyoming (Mountain West),12,6-6,69,176,0.392
Colorado St. (Mountain West),12,3-9,57,145,0.393
Central Mich. (MAC),12,1-11,70,178,0.393
Memphis (AAC),14,8-6,88,222,0.396
Miami (OH) (MAC),12,6-6,69,173,0.399
Southern California (Pac-12),12,5-7,77,193,0.399
Duke (ACC),13,8-5,78,195,0.400
Pittsburgh (ACC),14,7-7,76,190,0.400
Old Dominion (C-USA),12,4-8,70,175,0.400
FIU (C-USA),13,9-4,66,164,0.402
Virginia (ACC),13,8-5,73,181,0.403
UTSA (C-USA),12,3-9,63,156,0.404
Kent St. (MAC),12,2-10,74,183,0.404
Ole Miss (SEC),12,5-7,68,168,0.405
San Jose St. (Mountain West),12,1-11,78,190,0.411
UNLV (Mountain West),12,4-8,69,168,0.411
Arizona (Pac-12),12,5-7,76,185,0.411
South Fla. (AAC),13,7-6,87,210,0.414
San Diego St. (Mountain West),13,7-6,80,193,0.415
Arizona St. (Pac-12),13,7-6,77,185,0.416
Fla. Atlantic (C-USA),12,5-7,68,163,0.417
Iowa St. (Big 12),13,8-5,79,189,0.418
Air Force (Mountain West),12,5-7,64,153,0.418
UCF (AAC),13,12-1,90,215,0.419
Indiana (Big Ten),12,5-7,68,162,0.420
Rice (C-USA),13,2-11,66,157,0.420
Temple (AAC),13,8-5,91,216,0.421
Wake Forest (ACC),13,7-6,92,218,0.422
Massachusetts (FBS Independent),12,4-8,61,144,0.424
Hawaii (Mountain West),14,8-6,86,203,0.424
Ball St. (MAC),12,4-8,71,166,0.428
ULM (Sun Belt),12,6-6,69,160,0.431
Nebraska (Big Ten),12,4-8,76,176,0.432
New Mexico (Mountain West),12,3-9,78,180,0.433
Ohio (MAC),13,9-4,74,169,0.438
North Carolina (ACC),11,2-9,71,162,0.438
Baylor (Big 12),13,7-6,78,177,0.441
Texas (Big 12),14,10-4,93,210,0.443
Illinois (Big Ten),12,4-8,70,157,0.446
Kansas St. (Big 12),12,5-7,74,165,0.448
Bowling Green (MAC),12,3-9,71,158,0.449
Louisiana (Sun Belt),14,7-7,85,188,0.452
Middle Tenn. (C-USA),14,8-6,93,205,0.454
Coastal Carolina (Sun Belt),12,5-7,61,134,0.455
Kansas (Big 12),12,3-9,72,158,0.456
Vanderbilt (SEC),13,6-7,83,182,0.456
Tulsa (AAC),12,3-9,81,177,0.458
Oklahoma (Big 12),14,12-2,96,207,0.464
New Mexico St. (FBS Independent),12,3-9,90,194,0.464
Houston (AAC),13,8-5,104,224,0.464
Navy (AAC),13,3-10,74,159,0.465
SMU (AAC),12,5-7,94,197,0.477
UCLA (Pac-12),12,3-9,85,177,0.480
Rutgers (Big Ten),12,1-11,90,185,0.486
Georgia St. (Sun Belt),12,2-10,74,150,0.493
Oregon St. (Pac-12),12,2-10,78,156,0.500
UConn (AAC),12,1-11,65,130,0.500
Georgia Tech (ACC),13,7-6,74,146,0.507
Louisville (ACC),12,2-10,84,162,0.519
Liberty (FBS Independent),12,6-6,60,169,0.355
