Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Mississippi St. (SEC),13,8-5,829,3420,4.13,15,15,263.1
Michigan (Big Ten),13,10-3,781,3577,4.58,29,32,275.2
Southern Miss. (C-USA),11,6-5,672,3062,4.56,23,27,278.4
Miami (FL) (ACC),13,7-6,843,3626,4.30,26,28,278.9
Clemson (ACC),15,15-0,1023,4288,4.19,21,23,285.9
App State (Sun Belt),13,11-2,845,3744,4.43,20,21,288.0
Iowa (Big Ten),13,9-4,837,3817,4.56,28,28,293.6
Army West Point (FBS Independent),13,11-2,688,3842,5.58,29,30,295.5
UAB (C-USA),14,11-3,875,4189,4.79,27,28,299.2
Michigan St. (Big Ten),13,7-6,869,3941,4.54,22,24,303.2
Cincinnati (AAC),13,11-2,840,3946,4.70,28,28,303.5
Washington (Pac-12),14,10-4,918,4287,4.67,25,26,306.2
Georgia (SEC),14,11-3,890,4400,4.94,31,32,314.3
Utah (Pac-12),14,9-5,956,4418,4.62,32,35,315.6
California (Pac-12),13,7-6,898,4123,4.59,26,32,317.2
Alabama (SEC),15,14-1,981,4793,4.89,33,35,319.5
Fresno St. (Mountain West),14,12-2,954,4503,4.72,23,23,321.6
BYU (FBS Independent),13,7-6,891,4213,4.73,35,37,324.1
Wyoming (Mountain West),12,6-6,818,3914,4.78,32,33,326.2
Virginia (ACC),13,8-5,815,4297,5.27,27,30,330.5
San Diego St. (Mountain West),13,7-6,854,4350,5.09,34,35,334.6
Charlotte (C-USA),12,5-7,700,4048,5.78,37,42,337.3
Kentucky (SEC),13,10-3,838,4393,5.24,26,27,337.9
TCU (Big 12),13,7-6,906,4397,4.85,36,38,338.2
LSU (SEC),13,10-3,915,4403,4.81,33,35,338.7
Marshall (C-USA),13,9-4,913,4403,4.82,31,33,338.7
Louisiana Tech (C-USA),13,8-5,880,4437,5.04,39,39,341.3
Florida (SEC),13,10-3,872,4463,5.12,29,30,343.3
Wisconsin (Big Ten),13,8-5,814,4474,5.50,31,33,344.2
Notre Dame (FBS Independent),13,12-1,957,4516,4.72,26,28,347.4
Troy (Sun Belt),13,10-3,896,4523,5.05,35,38,347.9
Texas A&M (SEC),13,9-4,785,4529,5.77,40,43,348.4
Iowa St. (Big 12),13,8-5,898,4539,5.05,33,37,349.2
Penn St. (Big Ten),13,9-4,965,4556,4.72,30,34,350.5
Eastern Mich. (MAC),13,7-6,922,4599,4.99,31,34,353.8
Central Mich. (MAC),12,1-11,860,4264,4.96,39,42,355.3
Buffalo (MAC),14,10-4,949,4975,5.24,46,48,355.4
Auburn (SEC),13,8-5,897,4620,5.15,25,26,355.4
Boise St. (Mountain West),13,10-3,820,4627,5.64,33,35,355.9
NIU (MAC),14,8-6,1046,4998,4.78,33,35,357.0
Ga. Southern (Sun Belt),13,10-3,851,4642,5.45,35,35,357.1
Washington St. (Pac-12),13,11-2,838,4674,5.58,38,38,359.5
Air Force (Mountain West),12,5-7,732,4331,5.92,40,42,360.9
Miami (OH) (MAC),12,6-6,843,4418,5.24,40,42,368.2
Arkansas St. (Sun Belt),13,8-5,862,4804,5.57,44,45,369.5
Georgia Tech (ACC),13,7-6,805,4805,5.97,46,50,369.6
Temple (AAC),13,8-5,1036,4843,4.67,45,47,372.5
North Texas (C-USA),13,9-4,915,4870,5.32,38,38,374.6
Tennessee (SEC),12,5-7,799,4529,5.67,41,42,377.4
Middle Tenn. (C-USA),14,8-6,965,5290,5.48,44,47,377.9
Utah St. (Mountain West),13,11-2,986,4933,5.00,30,33,379.5
Colorado (Pac-12),12,5-7,871,4563,5.24,35,39,380.3
Texas St. (Sun Belt),12,3-9,869,4607,5.30,34,39,383.9
Minnesota (Big Ten),13,7-6,845,5015,5.93,41,42,385.8
Oregon (Pac-12),13,9-4,956,5017,5.25,37,38,385.9
FIU (C-USA),13,9-4,887,5022,5.66,39,42,386.3
Western Mich. (MAC),13,7-6,813,5026,6.18,57,60,386.6
Nevada (Mountain West),13,8-5,959,5038,5.25,42,46,387.5
Pittsburgh (ACC),14,7-7,929,5426,5.84,48,50,387.6
Southern California (Pac-12),12,5-7,868,4656,5.36,40,42,388.0
Akron (MAC),12,4-8,898,4657,5.19,37,41,388.1
Missouri (SEC),13,8-5,889,5050,5.68,35,39,388.5
Maryland (Big Ten),12,5-7,843,4685,5.56,39,42,390.4
Northwestern (Big Ten),14,9-5,983,5472,5.57,35,38,390.9
Ohio (MAC),13,9-4,834,5082,6.09,41,42,390.9
NC State (ACC),13,9-4,859,5104,5.94,36,39,392.6
Texas (Big 12),14,10-4,982,5499,5.60,44,44,392.8
UTEP (C-USA),12,1-11,797,4736,5.94,43,49,394.7
Rutgers (Big Ten),12,1-11,845,4818,5.70,46,49,401.5
Boston College (ACC),12,7-5,935,4834,5.17,36,41,402.8
Kansas St. (Big 12),12,5-7,814,4841,5.95,34,37,403.4
Ohio St. (Big Ten),14,13-1,979,5648,5.77,44,46,403.4
