Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
New Mexico (Mountain West),12,3-9,18,268,0,14.89
Ohio St. (Big Ten),14,13-1,33,492,0,14.91
Ohio (MAC),13,9-4,56,845,0,15.09
Fla. Atlantic (C-USA),12,5-7,38,599,0,15.76
Rice (C-USA),13,2-11,17,274,0,16.12
Arkansas St. (Sun Belt),13,8-5,49,803,0,16.39
Rutgers (Big Ten),12,1-11,20,328,0,16.40
Iowa (Big Ten),13,9-4,25,411,0,16.44
Texas A&M (SEC),13,9-4,17,281,0,16.53
Kent St. (MAC),12,2-10,34,580,0,17.06
Air Force (Mountain West),12,5-7,32,550,0,17.19
Temple (AAC),13,8-5,51,877,0,17.20
BYU (FBS Independent),13,7-6,37,640,0,17.30
Texas St. (Sun Belt),12,3-9,27,477,0,17.67
ULM (Sun Belt),12,6-6,28,495,0,17.68
Memphis (AAC),14,8-6,34,608,0,17.88
Michigan St. (Big Ten),13,7-6,29,520,0,17.93
Eastern Mich. (MAC),13,7-6,28,503,0,17.96
Michigan (Big Ten),13,10-3,28,506,1,18.07
Kentucky (SEC),13,10-3,23,419,0,18.22
Colorado (Pac-12),12,5-7,25,457,0,18.28
Syracuse (ACC),13,10-3,22,403,0,18.32
Bowling Green (MAC),12,3-9,35,652,0,18.63
Tulane (AAC),13,7-6,26,485,0,18.65
Iowa St. (Big 12),13,8-5,41,769,0,18.76
Kansas St. (Big 12),12,5-7,43,807,0,18.77
South Fla. (AAC),13,7-6,44,831,0,18.89
TCU (Big 12),13,7-6,31,588,0,18.97
Oklahoma St. (Big 12),13,7-6,26,494,0,19.00
Western Mich. (MAC),13,7-6,57,1087,1,19.07
Middle Tenn. (C-USA),14,8-6,46,887,0,19.28
Southern Miss. (C-USA),11,6-5,21,405,0,19.29
West Virginia (Big 12),12,8-4,44,850,0,19.32
UTSA (C-USA),12,3-9,23,445,0,19.35
North Carolina (ACC),11,2-9,20,387,0,19.35
Northwestern (Big Ten),14,9-5,44,852,0,19.36
