Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
App State (Sun Belt),13,11-2,6,22,0.273
Missouri (SEC),13,8-5,7,25,0.280
Charlotte (CUSA),12,5-7,5,17,0.294
Cincinnati (AAC),13,11-2,8,26,0.308
UAB (CUSA),14,11-3,7,22,0.318
Northwestern (Big Ten),14,9-5,8,23,0.348
Mississippi St. (SEC),13,8-5,8,23,0.348
Michigan St. (Big Ten),13,7-6,6,17,0.353
Clemson (ACC),15,15-0,10,28,0.357
Tulsa (AAC),12,3-9,4,11,0.364
Kentucky (SEC),13,10-3,7,19,0.368
Middle Tenn. (CUSA),14,8-6,10,27,0.370
Kansas St. (Big 12),12,5-7,6,16,0.375
Texas Tech (Big 12),12,5-7,8,21,0.381
Auburn (SEC),13,8-5,8,21,0.381
Florida (SEC),13,10-3,9,23,0.391
Florida St. (ACC),12,5-7,11,28,0.393
Oregon (Pac-12),13,9-4,10,25,0.400
Fla. Atlantic (CUSA),12,5-7,8,20,0.400
Eastern Mich. (MAC),13,7-6,12,29,0.414
Utah St. (Mountain West),13,11-2,13,31,0.419
Penn St. (Big Ten),13,9-4,11,26,0.423
Miami (FL) (ACC),13,7-6,6,14,0.429
UCF (AAC),13,12-1,13,30,0.433
Toledo (MAC),13,7-6,10,23,0.435
Virginia (ACC),13,8-5,10,23,0.435
Central Mich. (MAC),12,1-11,7,16,0.438
Iowa (Big Ten),13,9-4,11,25,0.440
Duke (ACC),13,8-5,11,25,0.440
Marshall (CUSA),13,9-4,11,25,0.440
Syracuse (ACC),13,10-3,11,25,0.440
Kansas (Big 12),12,3-9,4,9,0.444
Air Force (Mountain West),12,5-7,8,18,0.444
North Texas (CUSA),13,9-4,9,20,0.450
Utah (Pac-12),14,9-5,14,31,0.452
Alabama (SEC),15,14-1,11,24,0.458
Rice (CUSA),13,2-11,6,13,0.462
Ohio (MAC),13,9-4,7,15,0.467
San Diego St. (Mountain West),13,7-6,7,15,0.467
Arkansas (SEC),12,2-10,7,15,0.467
Old Dominion (CUSA),12,4-8,14,30,0.467
Coastal Carolina (Sun Belt),12,5-7,8,17,0.471
Virginia Tech (ACC),13,6-7,9,19,0.474
Ohio St. (Big Ten),14,13-1,9,19,0.474
