Team,Games,Win-Loss,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return
Arkansas St. (Sun Belt),13,8-5,8,-15,0,-1.88
Minnesota (Big Ten),13,7-6,9,10,0,1.11
Bowling Green (MAC),12,3-9,23,30,0,1.30
Tennessee (SEC),12,5-7,9,18,0,2.00
Alabama (SEC),15,14-1,9,24,0,2.67
Southern Miss. (CUSA),11,6-5,8,25,0,3.13
Virginia (ACC),13,8-5,14,45,1,3.21
Ohio St. (Big Ten),14,13-1,13,43,0,3.31
Auburn (SEC),13,8-5,11,37,0,3.36
North Carolina (ACC),11,2-9,16,56,0,3.50
Oklahoma (Big 12),14,12-2,6,21,0,3.50
Fresno St. (Mountain West),14,12-2,12,42,0,3.50
Indiana (Big Ten),12,5-7,15,57,0,3.80
App State (Sun Belt),13,11-2,16,62,0,3.88
BYU (FBS Independent),13,7-6,15,60,0,4.00
Old Dominion (CUSA),12,4-8,11,47,0,4.27
Iowa (Big Ten),13,9-4,21,94,0,4.48
Hawaii (Mountain West),14,8-6,23,104,0,4.52
Nevada (Mountain West),13,8-5,22,102,1,4.64
Colorado (Pac-12),12,5-7,19,89,0,4.68
TCU (Big 12),13,7-6,14,68,0,4.86
LSU (SEC),13,10-3,13,64,0,4.92
Cincinnati (AAC),13,11-2,24,119,0,4.96
Ga. Southern (Sun Belt),13,10-3,15,79,0,5.27
Iowa St. (Big 12),13,8-5,12,64,1,5.33
Michigan St. (Big Ten),13,7-6,28,151,0,5.39
Stanford (Pac-12),13,9-4,14,76,0,5.43
Utah (Pac-12),14,9-5,13,71,0,5.46
Purdue (Big Ten),13,6-7,15,82,0,5.47
NIU (MAC),14,8-6,17,94,0,5.53
UTEP (CUSA),12,1-11,20,112,1,5.60
Oregon St. (Pac-12),12,2-10,20,117,1,5.85
Northwestern (Big Ten),14,9-5,21,125,0,5.95
San Diego St. (Mountain West),13,7-6,24,143,0,5.96
Georgia Tech (ACC),13,7-6,10,60,0,6.00
Troy (Sun Belt),13,10-3,11,66,0,6.00
Buffalo (MAC),14,10-4,17,102,1,6.00
Rutgers (Big Ten),12,1-11,24,146,0,6.08
Akron (MAC),12,4-8,23,140,1,6.09
Texas Tech (Big 12),12,5-7,6,37,0,6.17
Texas A&M (SEC),13,9-4,21,132,0,6.29
Ohio (MAC),13,9-4,15,95,0,6.33
Kansas (Big 12),12,3-9,19,121,1,6.37
Wyoming (Mountain West),12,6-6,21,136,0,6.48
UTSA (CUSA),12,3-9,24,160,0,6.67
NC State (ACC),13,9-4,16,110,1,6.88
Oklahoma St. (Big 12),13,7-6,20,141,1,7.05
Clemson (ACC),15,15-0,17,121,1,7.12
Pittsburgh (ACC),14,7-7,31,222,2,7.16
Army West Point (FBS Independent),13,11-2,7,51,0,7.29
Oregon (Pac-12),13,9-4,14,103,0,7.36
Arizona (Pac-12),12,5-7,13,96,0,7.38
Mississippi St. (SEC),13,8-5,7,52,0,7.43
New Mexico (Mountain West),12,3-9,29,218,0,7.52
Texas St. (Sun Belt),12,3-9,20,153,1,7.65
South Carolina (SEC),13,7-6,15,115,0,7.67
West Virginia (Big 12),12,8-4,9,69,0,7.67
Western Mich. (MAC),13,7-6,13,102,1,7.85
Washington St. (Pac-12),13,11-2,13,103,0,7.92
Vanderbilt (SEC),13,6-7,16,130,0,8.13
Marshall (CUSA),13,9-4,19,155,0,8.16
Notre Dame (FBS Independent),13,12-1,18,149,0,8.28
UNLV (Mountain West),12,4-8,30,249,1,8.30
Houston (AAC),13,8-5,19,159,0,8.37
Louisiana Tech (CUSA),13,8-5,14,118,0,8.43
Rice (CUSA),13,2-11,15,127,1,8.47
Central Mich. (MAC),12,1-11,46,392,0,8.52
Florida (SEC),13,10-3,16,137,0,8.56
Georgia St. (Sun Belt),12,2-10,23,197,0,8.57
Penn St. (Big Ten),13,9-4,23,197,1,8.57
Duke (ACC),13,8-5,26,226,1,8.69
Texas (Big 12),14,10-4,17,148,0,8.71
Baylor (Big 12),13,7-6,11,96,0,8.73
Coastal Carolina (Sun Belt),12,5-7,11,97,0,8.82
UAB (CUSA),14,11-3,8,71,0,8.88
California (Pac-12),13,7-6,23,206,0,8.96
Maryland (Big Ten),12,5-7,11,100,0,9.09
North Texas (CUSA),13,9-4,10,91,0,9.10
Navy (AAC),13,3-10,25,235,1,9.40
Memphis (AAC),14,8-6,15,141,0,9.40
Tulane (AAC),13,7-6,19,179,0,9.42
Wake Forest (ACC),13,7-6,23,219,0,9.52
UCF (AAC),13,12-1,13,124,1,9.54
Massachusetts (FBS Independent),12,4-8,19,183,1,9.63
SMU (AAC),12,5-7,17,166,1,9.76
Boston College (ACC),12,7-5,30,293,4,9.77
Michigan (Big Ten),13,10-3,19,186,1,9.79
Syracuse (ACC),13,10-3,16,158,1,9.88
Eastern Mich. (MAC),13,7-6,25,247,1,9.88
Louisville (ACC),12,2-10,26,259,1,9.96
Virginia Tech (ACC),13,6-7,19,190,1,10.00
Miami (FL) (ACC),13,7-6,22,221,1,10.05
Ball St. (MAC),12,4-8,18,181,1,10.06
Missouri (SEC),13,8-5,13,131,2,10.08
Fla. Atlantic (CUSA),12,5-7,14,142,2,10.14
South Fla. (AAC),13,7-6,23,234,1,10.17
Washington (Pac-12),14,10-4,20,204,0,10.20
San Jose St. (Mountain West),12,1-11,25,256,0,10.24
Western Ky. (CUSA),12,3-9,7,72,0,10.29
UConn (AAC),12,1-11,21,218,1,10.38
Southern California (Pac-12),12,5-7,19,199,1,10.47
Temple (AAC),13,8-5,22,233,1,10.59
Tulsa (AAC),12,3-9,26,277,1,10.65
Illinois (Big Ten),12,4-8,31,331,1,10.68
East Carolina (AAC),12,3-9,23,246,1,10.70
South Alabama (Sun Belt),12,3-9,18,193,0,10.72
Toledo (MAC),13,7-6,11,121,1,11.00
Florida St. (ACC),12,5-7,33,364,1,11.03
Wisconsin (Big Ten),13,8-5,17,191,1,11.24
Nebraska (Big Ten),12,4-8,18,203,2,11.28
ULM (Sun Belt),12,6-6,17,192,2,11.29
Miami (OH) (MAC),12,6-6,16,181,1,11.31
FIU (CUSA),13,9-4,15,171,1,11.40
Louisiana (Sun Belt),14,7-7,12,138,1,11.50
Kansas St. (Big 12),12,5-7,14,162,1,11.57
Arkansas (SEC),12,2-10,18,209,1,11.61
Kentucky (SEC),13,10-3,20,236,0,11.80
Middle Tenn. (CUSA),14,8-6,12,148,1,12.33
Georgia (SEC),14,11-3,5,64,0,12.80
Utah St. (Mountain West),13,11-2,10,130,1,13.00
Arizona St. (Pac-12),13,7-6,20,271,1,13.55
Charlotte (CUSA),12,5-7,22,319,2,14.50
Kent St. (MAC),12,2-10,26,388,1,14.92
Ole Miss (SEC),12,5-7,10,150,1,15.00
Boise St. (Mountain West),13,10-3,10,150,2,15.00
Air Force (Mountain West),12,5-7,11,168,1,15.27
New Mexico St. (FBS Independent),12,3-9,25,387,1,15.48
UCLA (Pac-12),12,3-9,19,325,2,17.11
Colorado St. (Mountain West),12,3-9,31,561,3,18.10
Liberty (FBS Independent),12,6-6,14,155,0,11.07
