Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Army West Point (FBS Independent),13,11-2,31,36,0.861
Texas (Big 12),14,10-4,12,15,0.800
Arizona St. (Pac-12),13,7-6,13,17,0.765
LSU (SEC),13,10-3,9,12,0.750
Maryland (Big Ten),12,5-7,7,10,0.700
Fresno St. (Mountain West),14,12-2,7,10,0.700
Oregon St. (Pac-12),12,2-10,25,36,0.694
Washington St. (Pac-12),13,11-2,18,26,0.692
Ohio (MAC),13,9-4,9,13,0.692
Oklahoma (Big 12),14,12-2,11,16,0.688
Coastal Carolina (Sun Belt),12,5-7,11,16,0.688
Iowa (Big Ten),13,9-4,17,25,0.680
Ohio St. (Big Ten),14,13-1,14,21,0.667
Stanford (Pac-12),13,9-4,8,12,0.667
FIU (CUSA),13,9-4,15,23,0.652
Marshall (CUSA),13,9-4,11,17,0.647
Memphis (AAC),14,8-6,11,17,0.647
Notre Dame (FBS Independent),13,12-1,16,25,0.640
California (Pac-12),13,7-6,17,27,0.630
Oklahoma St. (Big 12),13,7-6,15,24,0.625
South Alabama (Sun Belt),12,3-9,16,26,0.615
Georgia (SEC),14,11-3,8,13,0.615
Virginia (ACC),13,8-5,8,13,0.615
Navy (AAC),13,3-10,22,36,0.611
Texas Tech (Big 12),12,5-7,11,18,0.611
Boise St. (Mountain West),13,10-3,14,23,0.609
Georgia St. (Sun Belt),12,2-10,17,28,0.607
Oregon (Pac-12),13,9-4,17,28,0.607
Miami (OH) (MAC),12,6-6,17,28,0.607
Air Force (Mountain West),12,5-7,24,40,0.600
Rice (CUSA),13,2-11,18,30,0.600
Ball St. (MAC),12,4-8,15,25,0.600
UCF (AAC),13,12-1,12,20,0.600
South Fla. (AAC),13,7-6,12,20,0.600
Kentucky (SEC),13,10-3,9,15,0.600
Utah St. (Mountain West),13,11-2,6,10,0.600
Buffalo (MAC),14,10-4,19,32,0.594
App State (Sun Belt),13,11-2,13,22,0.591
Baylor (Big 12),13,7-6,13,22,0.591
Western Mich. (MAC),13,7-6,20,34,0.588
SMU (AAC),12,5-7,20,34,0.588
NC State (ACC),13,9-4,10,17,0.588
Tulsa (AAC),12,3-9,18,31,0.581
Hawaii (Mountain West),14,8-6,22,38,0.579
Clemson (ACC),15,15-0,11,19,0.579
Wake Forest (ACC),13,7-6,15,26,0.577
Illinois (Big Ten),12,4-8,8,14,0.571
Old Dominion (CUSA),12,4-8,17,30,0.567
West Virginia (Big 12),12,8-4,9,16,0.563
ULM (Sun Belt),12,6-6,9,16,0.563
Virginia Tech (ACC),13,6-7,15,27,0.556
Syracuse (ACC),13,10-3,10,18,0.556
San Diego St. (Mountain West),13,7-6,10,18,0.556
Iowa St. (Big 12),13,8-5,10,18,0.556
Utah (Pac-12),14,9-5,11,20,0.550
Florida (SEC),13,10-3,11,20,0.550
Louisiana Tech (CUSA),13,8-5,11,20,0.550
UNLV (Mountain West),12,4-8,17,31,0.548
Fla. Atlantic (CUSA),12,5-7,24,44,0.545
East Carolina (AAC),12,3-9,13,24,0.542
UConn (AAC),12,1-11,13,24,0.542
Kent St. (MAC),12,2-10,14,26,0.538
UCLA (Pac-12),12,3-9,14,26,0.538
Arkansas St. (Sun Belt),13,8-5,16,30,0.533
Nevada (Mountain West),13,8-5,16,30,0.533
Missouri (SEC),13,8-5,8,15,0.533
Middle Tenn. (CUSA),14,8-6,17,32,0.531
Georgia Tech (ACC),13,7-6,18,34,0.529
Colorado St. (Mountain West),12,3-9,9,17,0.529
Southern California (Pac-12),12,5-7,9,17,0.529
Penn St. (Big Ten),13,9-4,9,17,0.529
Purdue (Big Ten),13,6-7,10,19,0.526
Washington (Pac-12),14,10-4,11,21,0.524
Boston College (ACC),12,7-5,15,30,0.500
Houston (AAC),13,8-5,14,28,0.500
Florida St. (ACC),12,5-7,12,24,0.500
Vanderbilt (SEC),13,6-7,11,22,0.500
Auburn (SEC),13,8-5,11,22,0.500
UTSA (CUSA),12,3-9,10,20,0.500
Minnesota (Big Ten),13,7-6,10,20,0.500
Bowling Green (MAC),12,3-9,9,18,0.500
Arizona (Pac-12),12,5-7,9,18,0.500
Ole Miss (SEC),12,5-7,8,16,0.500
Ga. Southern (Sun Belt),13,10-3,6,12,0.500
Texas A&M (SEC),13,9-4,5,10,0.500
Indiana (Big Ten),12,5-7,14,29,0.483
Massachusetts (FBS Independent),12,4-8,13,27,0.481
Temple (AAC),13,8-5,13,27,0.481
Eastern Mich. (MAC),13,7-6,13,27,0.481
Cincinnati (AAC),13,11-2,11,23,0.478
Troy (Sun Belt),13,10-3,11,23,0.478
North Carolina (ACC),11,2-9,10,21,0.476
New Mexico St. (FBS Independent),12,3-9,10,21,0.476
