Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Army West Point (FBS Independent),13,11-2,3,23,0.23
Air Force (Mountain West),12,5-7,7,49,0.58
FIU (C-USA),13,9-4,8,54,0.62
Utah St. (Mountain West),13,11-2,10,70,0.77
NC State (ACC),13,9-4,11,72,0.85
Fresno St. (Mountain West),14,12-2,12,68,0.86
North Carolina (ACC),11,2-9,10,69,0.91
Missouri (SEC),13,8-5,13,98,1.00
Alabama (SEC),15,14-1,15,121,1.00
Washington St. (Pac-12),13,11-2,13,75,1.00
Buffalo (MAC),14,10-4,15,89,1.07
Clemson (ACC),15,15-0,17,115,1.13
Fla. Atlantic (C-USA),12,5-7,14,83,1.17
Arizona St. (Pac-12),13,7-6,16,90,1.23
Georgia Tech (ACC),13,7-6,16,90,1.23
TCU (Big 12),13,7-6,16,109,1.23
Iowa (Big Ten),13,9-4,16,100,1.23
Nevada (Mountain West),13,8-5,17,111,1.31
Rutgers (Big Ten),12,1-11,16,123,1.33
Oklahoma (Big 12),14,12-2,19,116,1.36
App State (Sun Belt),13,11-2,18,104,1.38
Florida (SEC),13,10-3,18,121,1.38
Temple (AAC),13,8-5,18,106,1.38
Georgia (SEC),14,11-3,20,122,1.43
Ga. Southern (Sun Belt),13,10-3,19,98,1.46
UCF (AAC),13,12-1,19,130,1.46
Western Mich. (MAC),13,7-6,20,103,1.54
Marshall (C-USA),13,9-4,20,128,1.54
Navy (AAC),13,3-10,20,126,1.54
Ohio (MAC),13,9-4,20,148,1.54
Ohio St. (Big Ten),14,13-1,23,116,1.64
UAB (C-USA),14,11-3,23,171,1.64
Miami (OH) (MAC),12,6-6,20,90,1.67
Arizona (Pac-12),12,5-7,20,137,1.67
Vanderbilt (SEC),13,6-7,22,168,1.69
Oregon (Pac-12),13,9-4,22,150,1.69
Washington (Pac-12),14,10-4,24,171,1.71
Memphis (AAC),14,8-6,24,145,1.71
Auburn (SEC),13,8-5,23,168,1.77
Michigan (Big Ten),13,10-3,23,156,1.77
South Carolina (SEC),13,7-6,23,162,1.77
ULM (Sun Belt),12,6-6,22,143,1.83
Arkansas St. (Sun Belt),13,8-5,24,152,1.85
Stanford (Pac-12),13,9-4,24,147,1.85
Rice (C-USA),13,2-11,24,124,1.85
Wisconsin (Big Ten),13,8-5,24,151,1.85
Tennessee (SEC),12,5-7,23,155,1.92
Boston College (ACC),12,7-5,23,137,1.92
Notre Dame (FBS Independent),13,12-1,25,141,1.92
Cincinnati (AAC),13,11-2,25,187,1.92
Mississippi St. (SEC),13,8-5,25,178,1.92
Louisiana (Sun Belt),14,7-7,27,161,1.93
Texas (Big 12),14,10-4,28,218,2.00
Michigan St. (Big Ten),13,7-6,26,192,2.00
Wyoming (Mountain West),12,6-6,24,204,2.00
Miami (FL) (ACC),13,7-6,27,183,2.08
Troy (Sun Belt),13,10-3,27,186,2.08
Minnesota (Big Ten),13,7-6,27,162,2.08
South Alabama (Sun Belt),12,3-9,25,161,2.08
Texas Tech (Big 12),12,5-7,25,176,2.08
East Carolina (AAC),12,3-9,25,198,2.08
Georgia St. (Sun Belt),12,2-10,25,156,2.08
North Texas (C-USA),13,9-4,28,210,2.15
Virginia Tech (ACC),13,6-7,28,191,2.15
Kentucky (SEC),13,10-3,28,175,2.15
BYU (FBS Independent),13,7-6,29,204,2.23
Southern California (Pac-12),12,5-7,27,196,2.25
Ball St. (MAC),12,4-8,27,185,2.25
Indiana (Big Ten),12,5-7,27,159,2.25
Illinois (Big Ten),12,4-8,27,200,2.25
New Mexico (Mountain West),12,3-9,27,163,2.25
Utah (Pac-12),14,9-5,32,196,2.29
Toledo (MAC),13,7-6,30,169,2.31
Purdue (Big Ten),13,6-7,30,184,2.31
Duke (ACC),13,8-5,30,184,2.31
Houston (AAC),13,8-5,30,198,2.31
Nebraska (Big Ten),12,4-8,28,196,2.33
UConn (AAC),12,1-11,28,159,2.33
Pittsburgh (ACC),14,7-7,33,243,2.36
Penn St. (Big Ten),13,9-4,31,195,2.38
Iowa St. (Big 12),13,8-5,31,210,2.38
West Virginia (Big 12),12,8-4,29,204,2.42
Texas St. (Sun Belt),12,3-9,29,210,2.42
Bowling Green (MAC),12,3-9,29,222,2.42
Boise St. (Mountain West),13,10-3,32,183,2.46
Virginia (ACC),13,8-5,32,198,2.46
Maryland (Big Ten),12,5-7,30,164,2.50
Colorado St. (Mountain West),12,3-9,30,199,2.50
Louisiana Tech (C-USA),13,8-5,33,191,2.54
San Diego St. (Mountain West),13,7-6,33,221,2.54
Northwestern (Big Ten),14,9-5,36,251,2.57
SMU (AAC),12,5-7,31,245,2.58
UNLV (Mountain West),12,4-8,31,180,2.58
Kansas (Big 12),12,3-9,31,225,2.58
Wake Forest (ACC),13,7-6,34,195,2.62
Oklahoma St. (Big 12),13,7-6,34,231,2.62
Old Dominion (C-USA),12,4-8,32,191,2.67
Ole Miss (SEC),12,5-7,32,196,2.67
Western Ky. (C-USA),12,3-9,32,204,2.67
Arkansas (SEC),12,2-10,32,226,2.67
UCLA (Pac-12),12,3-9,32,216,2.67
Tulane (AAC),13,7-6,35,206,2.69
LSU (SEC),13,10-3,35,190,2.69
Texas A&M (SEC),13,9-4,35,223,2.69
California (Pac-12),13,7-6,36,174,2.77
Akron (MAC),12,4-8,34,217,2.83
Colorado (Pac-12),12,5-7,34,210,2.83
Kansas St. (Big 12),12,5-7,34,235,2.83
Syracuse (ACC),13,10-3,37,243,2.85
South Fla. (AAC),13,7-6,38,213,2.92
Baylor (Big 12),13,7-6,39,241,3.00
Central Mich. (MAC),12,1-11,36,237,3.00
UTSA (C-USA),12,3-9,36,250,3.00
Southern Miss. (C-USA),11,6-5,33,255,3.00
Middle Tenn. (C-USA),14,8-6,42,256,3.00
Eastern Mich. (MAC),13,7-6,39,192,3.00
Florida St. (ACC),12,5-7,36,237,3.00
NIU (MAC),14,8-6,43,306,3.07
Coastal Carolina (Sun Belt),12,5-7,37,233,3.08
Charlotte (C-USA),12,5-7,38,276,3.17
Massachusetts (FBS Independent),12,4-8,39,231,3.25
Tulsa (AAC),12,3-9,39,241,3.25
San Jose St. (Mountain West),12,1-11,39,254,3.25
Hawaii (Mountain West),14,8-6,46,266,3.29
New Mexico St. (FBS Independent),12,3-9,40,265,3.33
UTEP (C-USA),12,1-11,42,257,3.50
Kent St. (MAC),12,2-10,43,235,3.58
Louisville (ACC),12,2-10,43,244,3.58
Oregon St. (Pac-12),12,2-10,48,367,4.00
Liberty (FBS Independent),12,6-6,21,155,1.75
