Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Michigan St. (Big Ten),13,7-6,392,1013,2.58,8,77.9
Mississippi St. (SEC),13,8-5,431,1236,2.87,7,95.1
Texas A&M (SEC),13,9-4,383,1238,3.23,14,95.2
Clemson (ACC),15,15-0,576,1444,2.51,8,96.3
Utah (Pac-12),14,9-5,487,1404,2.88,14,100.3
Southern Miss. (C-USA),11,6-5,337,1130,3.35,10,102.7
San Diego St. (Mountain West),13,7-6,453,1349,2.98,16,103.8
Marshall (C-USA),13,9-4,459,1355,2.95,14,104.2
Charlotte (C-USA),12,5-7,368,1268,3.45,17,105.7
Army West Point (FBS Independent),13,11-2,360,1388,3.86,12,106.8
NIU (MAC),14,8-6,567,1529,2.70,16,109.2
Iowa (Big Ten),13,9-4,435,1424,3.27,9,109.5
Cincinnati (AAC),13,11-2,435,1469,3.38,9,113.0
Iowa St. (Big 12),13,8-5,458,1495,3.26,10,115.0
Washington (Pac-12),14,10-4,461,1626,3.53,13,116.1
Air Force (Mountain West),12,5-7,406,1403,3.46,17,116.9
UAB (C-USA),14,11-3,480,1653,3.44,13,118.1
North Texas (C-USA),13,9-4,447,1558,3.49,20,119.8
Alabama (SEC),15,14-1,516,1819,3.53,11,121.3
Boise St. (Mountain West),13,10-3,438,1598,3.65,16,122.9
App State (Sun Belt),13,11-2,475,1637,3.45,12,125.9
Missouri (SEC),13,8-5,444,1644,3.70,11,126.5
Michigan (Big Ten),13,10-3,450,1656,3.68,15,127.4
Troy (Sun Belt),13,10-3,508,1673,3.29,16,128.7
Wyoming (Mountain West),12,6-6,424,1554,3.67,17,129.5
Northwestern (Big Ten),14,9-5,478,1815,3.80,14,129.6
BYU (FBS Independent),13,7-6,461,1691,3.67,22,130.1
Texas (Big 12),14,10-4,486,1839,3.78,18,131.4
NC State (ACC),13,9-4,405,1710,4.22,18,131.5
Fresno St. (Mountain West),14,12-2,507,1851,3.65,8,132.2
Georgia (SEC),14,11-3,467,1876,4.02,18,134.0
Auburn (SEC),13,8-5,475,1767,3.72,9,135.9
Ohio (MAC),13,9-4,412,1782,4.33,17,137.1
TCU (Big 12),13,7-6,499,1802,3.61,19,138.6
LSU (SEC),13,10-3,466,1802,3.87,15,138.6
Notre Dame (FBS Independent),13,12-1,472,1813,3.84,16,139.5
Ga. Southern (Sun Belt),13,10-3,465,1827,3.93,21,140.5
Washington St. (Pac-12),13,11-2,447,1839,4.11,21,141.5
Nevada (Mountain West),13,8-5,510,1846,3.62,14,142.0
California (Pac-12),13,7-6,511,1847,3.61,13,142.1
Utah St. (Mountain West),13,11-2,531,1859,3.50,12,143.0
Miami (FL) (ACC),13,7-6,526,1863,3.54,15,143.3
Oregon (Pac-12),13,9-4,503,1876,3.73,13,144.3
Colorado (Pac-12),12,5-7,467,1747,3.74,12,145.6
Stanford (Pac-12),13,9-4,476,1899,3.99,17,146.1
Tulane (AAC),13,7-6,494,1915,3.88,20,147.3
Virginia (ACC),13,8-5,442,1918,4.34,15,147.5
Florida St. (ACC),12,5-7,503,1772,3.52,16,147.7
West Virginia (Big 12),12,8-4,450,1772,3.94,17,147.7
Louisiana Tech (C-USA),13,8-5,491,1946,3.96,23,149.7
Kentucky (SEC),13,10-3,462,1971,4.27,12,151.6
Tennessee (SEC),12,5-7,448,1854,4.14,20,154.5
Boston College (ACC),12,7-5,493,1859,3.77,19,154.9
Wisconsin (Big Ten),13,8-5,454,2016,4.44,17,155.1
Kansas St. (Big 12),12,5-7,390,1892,4.85,14,157.7
Ohio St. (Big Ten),14,13-1,490,2215,4.52,26,158.2
Georgia Tech (ACC),13,7-6,442,2058,4.66,22,158.3
Miami (OH) (MAC),12,6-6,479,1916,4.00,19,159.7
Oklahoma (Big 12),14,12-2,548,2237,4.08,33,159.8
UTSA (C-USA),12,3-9,465,1923,4.14,20,160.3
Texas Tech (Big 12),12,5-7,471,1927,4.09,16,160.6
Buffalo (MAC),14,10-4,545,2256,4.14,22,161.1
Syracuse (ACC),13,10-3,488,2112,4.33,20,162.5
Arizona (Pac-12),12,5-7,464,1950,4.20,24,162.5
Florida (SEC),13,10-3,492,2113,4.29,13,162.5
Middle Tenn. (C-USA),14,8-6,533,2305,4.32,17,164.6
Southern California (Pac-12),12,5-7,460,1977,4.30,20,164.8
Western Mich. (MAC),13,7-6,485,2156,4.45,27,165.8
Rice (C-USA),13,2-11,450,2158,4.80,31,166.0
Arkansas (SEC),12,2-10,480,2014,4.20,25,167.8
Purdue (Big Ten),13,6-7,499,2183,4.37,25,167.9
Penn St. (Big Ten),13,9-4,549,2197,4.00,16,169.0
East Carolina (AAC),12,3-9,475,2037,4.29,22,169.8
Arizona St. (Pac-12),13,7-6,513,2217,4.32,17,170.5
Kansas (Big 12),12,3-9,468,2061,4.40,21,171.8
Memphis (AAC),14,8-6,588,2405,4.09,32,171.8
Western Ky. (C-USA),12,3-9,456,2074,4.55,19,172.8
Minnesota (Big Ten),13,7-6,436,2254,5.17,20,173.4
Toledo (MAC),13,7-6,496,2304,4.65,31,177.2
Pittsburgh (ACC),14,7-7,519,2496,4.81,24,178.3
Texas St. (Sun Belt),12,3-9,481,2188,4.55,19,182.3
ULM (Sun Belt),12,6-6,484,2192,4.53,19,182.7
Indiana (Big Ten),12,5-7,479,2198,4.59,17,183.2
Baylor (Big 12),13,7-6,440,2385,5.42,25,183.5
Maryland (Big Ten),12,5-7,504,2207,4.38,20,183.9
Temple (AAC),13,8-5,598,2407,4.03,22,185.2
Oklahoma St. (Big 12),13,7-6,522,2410,4.62,26,185.4
UNLV (Mountain West),12,4-8,462,2239,4.85,24,186.6
Fla. Atlantic (C-USA),12,5-7,484,2268,4.69,27,189.0
Navy (AAC),13,3-10,490,2490,5.08,33,191.5
Arkansas St. (Sun Belt),13,8-5,524,2493,4.76,21,191.8
FIU (C-USA),13,9-4,514,2499,4.86,20,192.2
Wake Forest (ACC),13,7-6,526,2503,4.76,31,192.5
Vanderbilt (SEC),13,6-7,510,2531,4.96,19,194.7
South Carolina (SEC),13,7-6,569,2539,4.46,29,195.3
Nebraska (Big Ten),12,4-8,470,2349,5.00,29,195.8
UTEP (C-USA),12,1-11,475,2349,4.95,22,195.8
SMU (AAC),12,5-7,547,2363,4.32,22,196.9
Akron (MAC),12,4-8,531,2364,4.45,24,197.0
UCLA (Pac-12),12,3-9,520,2393,4.60,31,199.4
South Alabama (Sun Belt),12,3-9,484,2436,5.03,33,203.0
Eastern Mich. (MAC),13,7-6,580,2646,4.56,19,203.5
Hawaii (Mountain West),14,8-6,582,2865,4.92,35,204.6
Central Mich. (MAC),12,1-11,554,2456,4.43,28,204.7
Duke (ACC),13,8-5,546,2721,4.98,27,209.3
Virginia Tech (ACC),13,6-7,501,2734,5.46,33,210.3
San Jose St. (Mountain West),12,1-11,537,2534,4.72,23,211.2
Rutgers (Big Ten),12,1-11,491,2578,5.25,25,214.8
Old Dominion (C-USA),12,4-8,499,2597,5.20,31,216.4
New Mexico (Mountain West),12,3-9,536,2604,4.86,30,217.0
North Carolina (ACC),11,2-9,477,2407,5.05,28,218.8
Louisiana (Sun Belt),14,7-7,618,3067,4.96,37,219.1
Colorado St. (Mountain West),12,3-9,494,2634,5.33,20,219.5
Kent St. (MAC),12,2-10,543,2643,4.87,38,220.3
Houston (AAC),13,8-5,617,2872,4.65,42,220.9
Ole Miss (SEC),12,5-7,523,2661,5.09,25,221.8
UCF (AAC),13,12-1,618,2890,4.68,17,222.3
Tulsa (AAC),12,3-9,559,2797,5.00,26,233.1
Ball St. (MAC),12,4-8,560,2878,5.14,36,239.8
Coastal Carolina (Sun Belt),12,5-7,451,2933,6.50,32,244.4
Illinois (Big Ten),12,4-8,494,2943,5.96,31,245.3
South Fla. (AAC),13,7-6,629,3218,5.12,36,247.5
Georgia St. (Sun Belt),12,2-10,459,3012,6.56,30,251.0
New Mexico St. (FBS Independent),12,3-9,636,3221,5.06,38,268.4
Massachusetts (FBS Independent),12,4-8,566,3297,5.83,38,274.8
Louisville (ACC),12,2-10,553,3327,6.02,40,277.3
Bowling Green (MAC),12,3-9,572,3366,5.88,42,280.5
Oregon St. (Pac-12),12,2-10,499,3382,6.78,37,281.8
UConn (AAC),12,1-11,524,4020,7.67,45,335.0
Liberty (FBS Independent),12,6-6,509,2662,5.23,27,221.8
