Team,Games,Win-Loss,Penalties,Penalty Yards,Penalty Yards Per Game
Northwestern (Big Ten),14,9-5,40,363,25.93
Navy (AAC),13,3-10,48,390,30.00
Duke (ACC),13,8-5,54,452,34.77
Georgia Tech (ACC),13,7-6,49,472,36.31
Minnesota (Big Ten),13,7-6,51,508,39.08
TCU (Big 12),13,7-6,56,508,39.08
Georgia St. (Sun Belt),12,2-10,48,469,39.08
Rice (CUSA),13,2-11,58,513,39.46
Iowa St. (Big 12),13,8-5,62,517,39.77
Ga. Southern (Sun Belt),13,10-3,61,525,40.38
Virginia (ACC),13,8-5,59,528,40.62
Buffalo (MAC),14,10-4,69,572,40.86
Coastal Carolina (Sun Belt),12,5-7,52,493,41.08
UConn (AAC),12,1-11,55,494,41.17
Iowa (Big Ten),13,9-4,61,539,41.46
UTSA (CUSA),12,3-9,65,499,41.58
Wake Forest (ACC),13,7-6,55,548,42.15
Stanford (Pac-12),13,9-4,72,548,42.15
Penn St. (Big Ten),13,9-4,61,551,42.38
UTEP (CUSA),12,1-11,64,518,43.17
Air Force (Mountain West),12,5-7,54,521,43.42
Louisiana (Sun Belt),14,7-7,69,608,43.43
Vanderbilt (SEC),13,6-7,72,568,43.69
Fresno St. (Mountain West),14,12-2,72,613,43.79
Washington (Pac-12),14,10-4,69,619,44.21
NC State (ACC),13,9-4,60,581,44.69
Kansas St. (Big 12),12,5-7,59,538,44.83
Clemson (ACC),15,15-0,73,674,44.93
Louisiana Tech (CUSA),13,8-5,60,586,45.08
Southern Miss. (CUSA),11,6-5,60,501,45.55
East Carolina (AAC),12,3-9,58,547,45.58
UNLV (Mountain West),12,4-8,65,548,45.67
SMU (AAC),12,5-7,63,550,45.83
Notre Dame (FBS Independent),13,12-1,67,596,45.85
Miami (FL) (ACC),13,7-6,73,602,46.31
Tennessee (SEC),12,5-7,68,558,46.50
FIU (CUSA),13,9-4,65,609,46.85
Utah (Pac-12),14,9-5,71,656,46.86
Charlotte (CUSA),12,5-7,64,565,47.08
New Mexico (Mountain West),12,3-9,57,574,47.83
Oregon (Pac-12),13,9-4,65,623,47.92
Army West Point (FBS Independent),13,11-2,63,626,48.15
Texas St. (Sun Belt),12,3-9,72,578,48.17
Massachusetts (FBS Independent),12,4-8,68,582,48.50
Georgia (SEC),14,11-3,77,680,48.57
BYU (FBS Independent),13,7-6,74,633,48.69
Old Dominion (CUSA),12,4-8,61,586,48.83
ULM (Sun Belt),12,6-6,64,588,49.00
Boston College (ACC),12,7-5,75,590,49.17
North Texas (CUSA),13,9-4,57,644,49.54
Wyoming (Mountain West),12,6-6,72,596,49.67
California (Pac-12),13,7-6,74,651,50.08
Ohio (MAC),13,9-4,64,652,50.15
Oregon St. (Pac-12),12,2-10,67,602,50.17
Middle Tenn. (CUSA),14,8-6,75,707,50.50
Wisconsin (Big Ten),13,8-5,74,657,50.54
Texas A&M (SEC),13,9-4,80,662,50.92
Arkansas (SEC),12,2-10,69,622,51.83
Western Mich. (MAC),13,7-6,77,678,52.15
South Carolina (SEC),13,7-6,82,682,52.46
Houston (AAC),13,8-5,87,683,52.54
Hawaii (Mountain West),14,8-6,83,737,52.64
New Mexico St. (FBS Independent),12,3-9,76,634,52.83
Alabama (SEC),15,14-1,87,796,53.07
Boise St. (Mountain West),13,10-3,75,699,53.77
Arizona St. (Pac-12),13,7-6,79,699,53.77
San Jose St. (Mountain West),12,1-11,82,655,54.58
Michigan St. (Big Ten),13,7-6,78,711,54.69
Virginia Tech (ACC),13,6-7,75,714,54.92
Colorado (Pac-12),12,5-7,71,664,55.33
Kentucky (SEC),13,10-3,79,721,55.46
North Carolina (ACC),11,2-9,66,612,55.64
Kansas (Big 12),12,3-9,78,669,55.75
Troy (Sun Belt),13,10-3,92,736,56.62
Auburn (SEC),13,8-5,83,737,56.69
Nevada (Mountain West),13,8-5,77,738,56.77
Western Ky. (CUSA),12,3-9,79,683,56.92
UCLA (Pac-12),12,3-9,82,684,57.00
Mississippi St. (SEC),13,8-5,83,748,57.54
App State (Sun Belt),13,11-2,83,752,57.85
Miami (OH) (MAC),12,6-6,78,696,58.00
Syracuse (ACC),13,10-3,94,768,59.08
Memphis (AAC),14,8-6,101,833,59.50
Marshall (CUSA),13,9-4,85,787,60.54
Florida (SEC),13,10-3,95,789,60.69
Indiana (Big Ten),12,5-7,71,729,60.75
Oklahoma (Big 12),14,12-2,86,855,61.07
LSU (SEC),13,10-3,83,794,61.08
Akron (MAC),12,4-8,80,733,61.08
NIU (MAC),14,8-6,91,856,61.14
Missouri (SEC),13,8-5,90,800,61.54
San Diego St. (Mountain West),13,7-6,93,803,61.77
Tulane (AAC),13,7-6,88,805,61.92
Tulsa (AAC),12,3-9,85,746,62.17
Rutgers (Big Ten),12,1-11,75,748,62.33
Michigan (Big Ten),13,10-3,88,826,63.54
Texas (Big 12),14,10-4,103,894,63.86
Fla. Atlantic (CUSA),12,5-7,79,770,64.17
Purdue (Big Ten),13,6-7,81,837,64.38
Illinois (Big Ten),12,4-8,77,773,64.42
Washington St. (Pac-12),13,11-2,86,838,64.46
UCF (AAC),13,12-1,97,848,65.23
Bowling Green (MAC),12,3-9,93,788,65.67
Colorado St. (Mountain West),12,3-9,94,789,65.75
Arkansas St. (Sun Belt),13,8-5,99,865,66.54
West Virginia (Big 12),12,8-4,85,800,66.67
Ball St. (MAC),12,4-8,82,801,66.75
Ole Miss (SEC),12,5-7,88,802,66.83
Pittsburgh (ACC),14,7-7,101,942,67.29
South Fla. (AAC),13,7-6,99,877,67.46
Baylor (Big 12),13,7-6,100,895,68.85
Eastern Mich. (MAC),13,7-6,96,904,69.54
Temple (AAC),13,8-5,95,911,70.08
Utah St. (Mountain West),13,11-2,101,916,70.46
Oklahoma St. (Big 12),13,7-6,89,917,70.54
