Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Ole Miss (),13,9-4,24,23,0,0,13,1,208,16.0
Stanford (Pac-12),13,8-5,26,24,0,0,11,0,213,16.4
Clemson (ACC),13,10-3,27,22,0,0,11,0,217,16.7
Temple (AAC),12,6-6,24,24,0,0,14,0,210,17.5
LSU (SEC),13,8-5,27,27,0,0,13,0,228,17.5
Alabama (SEC),14,12-2,27,23,2,0,23,0,258,18.4
Penn St. (Big Ten),13,7-6,27,24,0,0,18,1,242,18.6
TCU (Big 12),13,12-1,28,26,0,1,17,0,247,19.0
UCF (AAC),13,9-4,29,27,0,0,16,0,249,19.2
Arkansas (SEC),13,7-6,33,32,1,0,6,0,250,19.2
Memphis (AAC),13,10-3,32,29,1,0,10,0,253,19.5
Utah St. (Mountain West),14,10-4,33,31,0,0,15,1,276,19.7
San Diego St. (Mountain West),13,7-6,33,33,0,0,9,0,258,19.8
Virginia Tech (ACC),13,7-6,30,28,0,0,18,0,262,20.2
Houston (AAC),13,8-5,33,33,0,0,11,2,268,20.6
Georgia (SEC),13,10-3,36,30,1,0,7,0,269,20.7
Wisconsin (Big Ten),14,11-3,35,32,2,0,15,0,291,20.8
Marshall (C-USA),14,13-1,36,31,1,0,15,0,294,21.0
Missouri (SEC),14,11-3,36,33,2,0,14,0,295,21.1
Florida (SEC),12,7-5,30,26,1,0,15,0,253,21.1
Boston College (ACC),13,7-6,34,34,0,0,13,0,277,21.3
Michigan St. (Big Ten),13,11-2,36,31,3,0,9,0,280,21.5
Mississippi St. (SEC),13,10-3,35,31,0,0,13,1,282,21.7
Duke (ACC),13,9-4,34,28,0,0,17,0,283,21.8
Louisville (ACC),13,9-4,31,26,1,0,23,0,283,21.8
Ohio St. (Big Ten),15,14-1,43,42,0,0,10,0,330,22.0
Michigan (Big Ten),12,5-7,31,29,0,0,18,0,269,22.4
Akron (MAC),12,5-7,35,28,0,0,13,0,277,23.1
Kansas St. (Big 12),13,9-4,39,34,0,0,11,0,301,23.2
Oregon (Pac-12),15,13-2,43,38,1,0,18,1,354,23.6
Texas (Big 12),13,6-7,39,37,0,0,13,0,310,23.8
Virginia (ACC),12,5-7,36,34,0,0,13,0,289,24.1
Air Force (Mountain West),13,10-3,39,38,0,0,14,0,314,24.2
Minnesota (Big Ten),13,8-5,40,38,0,0,12,0,314,24.2
Tennessee (SEC),13,7-6,41,36,0,0,11,0,315,24.2
Miami (FL) (ACC),13,6-7,40,37,0,0,13,0,316,24.3
Syracuse (ACC),12,3-9,33,31,1,0,19,2,292,24.3
Louisiana Tech (C-USA),14,9-5,41,37,0,0,21,0,346,24.7
Washington (Pac-12),14,8-6,41,39,0,0,20,1,347,24.8
FIU (C-USA),12,4-8,37,36,0,0,12,2,298,24.8
Ohio (MAC),12,6-6,38,37,0,0,11,0,298,24.8
Western Mich. (MAC),13,8-5,40,36,1,0,14,2,324,24.9
Utah (Pac-12),13,9-4,40,39,0,0,15,0,324,24.9
Colorado St. (Mountain West),13,10-3,41,39,0,0,13,1,326,25.1
Southern California (Pac-12),13,9-4,42,36,2,0,11,1,327,25.2
Central Mich. (MAC),13,7-6,40,36,2,0,15,1,327,25.2
Northwestern (Big Ten),12,5-7,39,35,0,0,11,0,302,25.2
Baylor (Big 12),13,11-2,43,41,0,0,11,0,332,25.5
Florida St. (ACC),14,13-1,44,38,1,0,18,0,358,25.6
Iowa (Big Ten),13,7-6,41,37,1,0,16,0,333,25.6
NIU (MAC),14,11-3,45,40,3,0,13,2,359,25.6
Georgia Tech (ACC),14,11-3,44,38,2,0,18,0,360,25.7
East Carolina (AAC),13,8-5,41,37,1,0,17,0,336,25.8
UTSA (C-USA),12,4-8,36,33,1,0,20,0,311,25.9
Oklahoma (Big 12),13,8-5,43,37,0,0,14,0,337,25.9
Louisiana (Sun Belt),13,9-4,43,37,1,0,13,1,338,26.0
ULM (Sun Belt),12,4-8,41,37,1,0,10,0,315,26.3
Pittsburgh (),13,6-7,45,36,2,0,10,1,342,26.3
Nebraska (Big Ten),13,9-4,44,44,0,0,11,1,343,26.4
South Alabama (Sun Belt),13,6-7,43,40,0,0,15,0,343,26.4
Wake Forest (ACC),12,3-9,38,35,0,0,18,0,317,26.4
Auburn (SEC),13,8-5,45,42,1,0,11,0,347,26.7
Boise St. (Mountain West),14,12-2,46,41,3,1,16,1,375,26.8
Hawaii (Mountain West),13,4-9,47,46,0,0,7,0,349,26.8
NC State (ACC),13,8-5,44,42,0,0,15,0,351,27.0
South Fla. (AAC),12,4-8,41,40,0,0,12,1,324,27.0
Ball St. (MAC),12,5-7,42,39,1,0,11,0,326,27.2
Cincinnati (AAC),13,9-4,42,40,0,0,20,1,354,27.2
Nevada (Mountain West),13,7-6,45,41,1,0,13,1,354,27.2
Navy (FBS Independent),13,8-5,45,40,0,0,15,0,355,27.3
BYU (FBS Independent),13,8-5,44,41,1,0,17,0,358,27.5
West Virginia (Big 12),13,7-6,42,42,0,0,21,1,359,27.6
Texas St. (Sun Belt),12,7-5,42,37,1,0,13,1,332,27.7
Arizona St. (Pac-12),13,10-3,46,46,0,1,13,0,363,27.9
UTEP (C-USA),13,7-6,49,47,0,0,8,0,365,28.1
Texas A&M (SEC),13,8-5,45,44,0,0,17,0,365,28.1
UCLA (Pac-12),13,10-3,45,40,2,0,17,0,365,28.1
Arizona (Pac-12),14,10-4,49,46,1,0,17,1,395,28.2
Tulane (AAC),12,3-9,41,40,1,0,17,1,341,28.4
Rice (C-USA),13,8-5,48,46,0,0,12,0,370,28.5
Kent St. (MAC),11,2-9,39,38,0,0,15,1,319,29.0
Notre Dame (FBS Independent),13,8-5,49,43,2,1,12,0,379,29.2
San Jose St. (Mountain West),12,3-9,45,44,0,0,13,0,353,29.4
North Texas (C-USA),12,4-8,48,46,0,0,8,0,358,29.8
UConn (AAC),12,2-10,45,43,1,0,13,2,358,29.8
UAB (C-USA),12,6-6,49,41,0,0,8,0,359,29.9
Rutgers (Big Ten),13,8-5,51,47,0,0,13,0,392,30.2
Maryland (Big Ten),13,7-6,46,45,0,0,23,1,392,30.2
South Carolina (SEC),13,7-6,48,46,2,0,19,0,395,30.4
Toledo (MAC),13,9-4,51,43,1,0,15,0,396,30.5
Arkansas St. (Sun Belt),13,7-6,54,51,0,0,7,0,396,30.5
Oklahoma St. (Big 12),13,7-6,51,47,1,0,17,0,406,31.2
Kentucky (SEC),12,5-7,48,45,0,0,14,0,375,31.3
Middle Tenn. (C-USA),12,6-6,48,43,0,0,15,1,378,31.5
Buffalo (MAC),11,5-6,47,41,0,0,8,0,347,31.5
Oregon St. (Pac-12),12,5-7,47,42,2,0,17,0,379,31.6
Purdue (Big Ten),12,3-9,48,44,0,0,16,0,380,31.7
Miami (OH) (MAC),12,2-10,50,44,0,0,12,1,382,31.8
Fresno St. (Mountain West),14,6-8,58,55,0,0,17,0,454,32.4
Indiana (Big Ten),12,4-8,48,46,0,0,20,0,394,32.8
Wyoming (Mountain West),12,4-8,51,47,1,0,13,0,394,32.8
Army West Point (FBS Independent),12,4-8,50,46,2,0,15,0,395,32.9
Massachusetts (MAC),12,3-9,51,46,1,0,14,0,396,33.0
Vanderbilt (SEC),12,3-9,50,48,0,0,17,0,399,33.3
Kansas (Big 12),12,3-9,47,45,0,0,24,0,399,33.3
Bowling Green (MAC),14,8-6,62,58,0,0,13,0,469,33.5
Illinois (Big Ten),13,6-7,56,53,3,0,15,1,442,34.0
Fla. Atlantic (C-USA),12,3-9,53,53,0,0,14,0,413,34.4
Southern Miss. (C-USA),12,3-9,56,53,0,0,12,0,425,35.4
New Mexico (Mountain West),12,4-8,58,51,1,0,10,0,431,35.9
Troy (Sun Belt),12,3-9,56,54,0,0,14,1,434,36.2
Idaho (Sun Belt),11,1-10,54,50,0,0,12,0,410,37.3
UNLV (Mountain West),13,2-11,63,60,0,0,20,1,500,38.5
Washington St. (Pac-12),12,3-9,59,55,0,0,18,0,463,38.6
