Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Washington St. (Pac-12),12,3-9,771,510,18,5732,7.43,11.24,45,477.7
Western Ky. (C-USA),13,8-5,557,378,10,4866,8.74,12.87,49,374.3
East Carolina (AAC),13,8-5,637,402,11,4835,7.59,12.03,31,371.9
Baylor (Big 12),13,11-2,519,323,8,4757,9.17,14.73,38,365.9
Texas Tech (Big 12),12,4-8,559,332,18,4213,7.54,12.69,40,351.1
California (Pac-12),12,5-7,535,329,10,4152,7.76,12.62,37,346.0
TCU (Big 12),13,12-1,529,325,11,4240,8.02,13.05,37,326.2
Colorado St. (Mountain West),13,10-3,447,286,7,4181,9.35,14.62,34,321.6
West Virginia (Big 12),13,7-6,534,340,10,4121,7.72,12.12,26,317.0
Oregon (Pac-12),15,13-2,474,326,4,4687,9.89,14.38,44,312.5
Massachusetts (MAC),12,3-9,492,269,13,3741,7.60,13.91,27,311.8
Texas A&M (SEC),13,8-5,514,332,15,3971,7.73,11.96,39,305.5
Cincinnati (AAC),13,9-4,491,294,14,3947,8.04,13.43,35,303.6
Florida St. (ACC),14,13-1,516,330,20,4246,8.23,12.87,26,303.3
Southern California (Pac-12),13,9-4,460,318,5,3856,8.38,12.13,39,296.6
Kansas St. (Big 12),13,9-4,415,271,8,3736,9.00,13.79,23,287.4
Marshall (C-USA),14,13-1,473,279,13,4022,8.50,14.42,40,287.3
Notre Dame (FBS Independent),13,8-5,463,277,14,3711,8.02,13.40,30,285.5
Colorado (Pac-12),12,2-10,545,348,15,3415,6.27,9.81,29,284.6
South Carolina (SEC),13,7-6,468,277,11,3671,7.84,13.25,28,282.4
Arizona (Pac-12),14,10-4,564,320,10,3945,6.99,12.33,29,281.8
Mississippi St. (SEC),13,10-3,423,261,12,3649,8.63,13.98,31,280.7
Boise St. (Mountain West),14,12-2,451,310,15,3926,8.71,12.66,27,280.4
ULM (Sun Belt),12,4-8,529,317,7,3359,6.35,10.60,15,279.9
Georgia St. (Sun Belt),12,1-11,446,264,18,3348,7.51,12.68,23,279.0
BYU (FBS Independent),13,8-5,483,289,12,3623,7.50,12.54,32,278.7
North Carolina (ACC),13,6-7,509,315,13,3619,7.11,11.49,29,278.4
Alabama (SEC),14,12-2,451,290,10,3890,8.63,13.41,32,277.9
Miami (OH) (MAC),12,2-10,468,226,10,3333,7.12,14.75,23,277.8
Idaho (Sun Belt),11,1-10,442,257,20,3031,6.86,11.79,13,275.5
Oregon St. (Pac-12),12,5-7,472,290,8,3305,7.00,11.40,15,275.4
Arizona St. (Pac-12),13,10-3,467,281,9,3556,7.61,12.65,34,273.5
Southern Miss. (C-USA),12,3-9,482,277,15,3231,6.70,11.66,14,269.3
Western Mich. (MAC),13,8-5,372,253,10,3475,9.34,13.74,26,267.3
Michigan St. (Big Ten),13,11-2,400,236,9,3453,8.63,14.63,26,265.6
Tulsa (AAC),12,2-10,481,263,18,3176,6.60,12.08,23,264.7
Ole Miss (),13,9-4,428,258,15,3427,8.01,13.28,24,263.6
Clemson (ACC),13,10-3,451,292,12,3404,7.55,11.66,23,261.8
Arkansas St. (Sun Belt),13,7-6,448,276,8,3381,7.55,12.25,25,260.1
Bowling Green (MAC),14,8-6,547,317,13,3639,6.65,11.48,17,259.9
Buffalo (MAC),11,5-6,367,235,12,2855,7.78,12.15,32,259.5
UCLA (Pac-12),13,10-3,435,298,6,3358,7.72,11.27,24,258.3
UNLV (Mountain West),13,2-11,498,268,22,3357,6.74,12.53,16,258.2
San Jose St. (Mountain West),12,3-9,450,283,14,3038,6.75,10.73,16,253.2
Louisiana Tech (C-USA),14,9-5,467,270,13,3531,7.56,13.08,30,252.2
Louisville (ACC),13,9-4,428,237,10,3276,7.65,13.82,21,252.0
Miami (FL) (ACC),13,6-7,391,227,12,3249,8.31,14.31,26,249.9
Illinois (Big Ten),13,6-7,470,287,12,3247,6.91,11.31,25,249.8
Akron (MAC),12,5-7,528,284,14,2995,5.67,10.55,14,249.6
Iowa St. (Big 12),12,2-10,510,282,11,2981,5.85,10.57,21,248.4
Ohio St. (Big Ten),15,14-1,409,260,12,3707,9.06,14.26,42,247.1
Central Mich. (MAC),13,7-6,382,243,13,3157,8.26,12.99,27,242.8
Oklahoma St. (Big 12),13,7-6,401,222,17,3149,7.85,14.18,19,242.2
New Mexico St. (Sun Belt),12,2-10,452,278,24,2899,6.41,10.43,19,241.6
Iowa (Big Ten),13,7-6,437,265,7,3081,7.05,11.63,21,237.0
Memphis (AAC),13,10-3,418,262,9,3076,7.36,11.74,23,236.6
Virginia (ACC),12,5-7,432,248,16,2837,6.57,11.44,18,236.4
UCF (AAC),13,9-4,416,233,15,3059,7.35,13.13,23,235.3
Toledo (MAC),13,9-4,397,243,9,3044,7.67,12.53,24,234.2
Kent St. (MAC),11,2-9,442,244,17,2570,5.81,10.53,16,233.6
Penn St. (Big Ten),13,7-6,497,276,15,3034,6.10,10.99,13,233.4
Rice (C-USA),13,8-5,352,204,8,3009,8.55,14.75,25,231.5
Kentucky (SEC),12,5-7,405,228,11,2774,6.85,12.17,14,231.2
Houston (AAC),13,8-5,450,272,15,2993,6.65,11.00,18,230.2
Stanford (Pac-12),13,8-5,381,248,8,2988,7.84,12.05,20,229.8
Auburn (SEC),13,8-5,332,208,7,2984,8.99,14.35,23,229.5
Wyoming (Mountain West),12,4-8,375,212,10,2733,7.29,12.89,12,227.8
Rutgers (Big Ten),13,8-5,357,199,13,2956,8.28,14.85,22,227.4
Texas St. (Sun Belt),12,7-5,382,250,7,2711,7.10,10.84,22,225.9
Tennessee (SEC),13,7-6,453,281,14,2914,6.43,10.37,23,224.2
Fresno St. (Mountain West),14,6-8,530,299,21,3132,5.91,10.47,25,223.7
