Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Clemson (ACC),13,10-3,54,197,0.274
TCU (Big 12),13,12-1,61,219,0.279
Wisconsin (Big Ten),14,11-3,54,190,0.284
Virginia Tech (ACC),13,7-6,57,198,0.288
Nebraska (Big Ten),13,9-4,58,193,0.301
Penn St. (Big Ten),13,7-6,61,202,0.302
Marshall (C-USA),14,13-1,68,219,0.311
Michigan St. (Big Ten),13,11-2,57,182,0.313
West Virginia (Big 12),13,7-6,65,207,0.314
Louisville (ACC),13,9-4,62,195,0.318
ULM (Sun Belt),12,4-8,58,178,0.326
Ole Miss (),13,9-4,65,197,0.330
East Carolina (AAC),13,8-5,69,202,0.342
Tennessee (SEC),13,7-6,65,189,0.344
Duke (ACC),13,9-4,64,186,0.344
Ohio St. (Big Ten),15,14-1,73,212,0.344
Louisiana Tech (C-USA),14,9-5,76,219,0.347
Boise St. (Mountain West),14,12-2,78,224,0.348
Temple (AAC),12,6-6,64,183,0.350
Southern California (Pac-12),13,9-4,70,200,0.350
Mississippi St. (SEC),13,10-3,72,205,0.351
Texas (Big 12),13,6-7,76,215,0.353
Memphis (AAC),13,10-3,76,215,0.353
UAB (C-USA),12,6-6,63,178,0.354
Utah St. (Mountain West),14,10-4,83,232,0.358
Stanford (Pac-12),13,8-5,72,201,0.358
Arkansas St. (Sun Belt),13,7-6,71,198,0.359
FIU (C-USA),12,4-8,61,170,0.359
Auburn (SEC),13,8-5,64,178,0.360
LSU (SEC),13,8-5,71,197,0.360
Indiana (Big Ten),12,4-8,66,183,0.361
UTEP (C-USA),13,7-6,59,161,0.366
Air Force (Mountain West),13,10-3,71,193,0.368
Iowa (Big Ten),13,7-6,70,190,0.368
Akron (MAC),12,5-7,63,171,0.368
Missouri (SEC),14,11-3,81,219,0.370
Utah (Pac-12),13,9-4,74,199,0.372
UCF (AAC),13,9-4,72,193,0.373
Washington (Pac-12),14,8-6,82,219,0.374
Pittsburgh (),13,6-7,65,173,0.376
Alabama (SEC),14,12-2,82,217,0.378
Arizona St. (Pac-12),13,10-3,79,209,0.378
Buffalo (MAC),11,5-6,58,153,0.379
BYU (FBS Independent),13,8-5,85,223,0.381
Tulane (AAC),12,3-9,61,160,0.381
Michigan (Big Ten),12,5-7,68,178,0.382
Oklahoma (Big 12),13,8-5,82,214,0.383
North Texas (C-USA),12,4-8,66,172,0.384
Baylor (Big 12),13,11-2,81,210,0.386
Houston (AAC),13,8-5,75,194,0.387
Northwestern (Big Ten),12,5-7,70,181,0.387
Florida (SEC),12,7-5,76,196,0.388
Boston College (ACC),13,7-6,72,185,0.389
Virginia (ACC),12,5-7,67,172,0.390
Louisiana (Sun Belt),13,9-4,76,195,0.390
Washington St. (Pac-12),12,3-9,68,173,0.393
Syracuse (ACC),12,3-9,70,178,0.393
Georgia (SEC),13,10-3,75,190,0.395
Arkansas (SEC),13,7-6,72,182,0.396
Hawaii (Mountain West),13,4-9,81,204,0.397
Oregon St. (Pac-12),12,5-7,68,171,0.398
UConn (AAC),12,2-10,74,186,0.398
Miami (FL) (ACC),13,6-7,76,191,0.398
UCLA (Pac-12),13,10-3,83,208,0.399
Fresno St. (Mountain West),14,6-8,89,223,0.399
Texas St. (Sun Belt),12,7-5,80,200,0.400
Colorado (Pac-12),12,2-10,70,175,0.400
Maryland (Big Ten),13,7-6,90,224,0.402
Texas A&M (SEC),13,8-5,82,204,0.402
Western Mich. (MAC),13,8-5,78,194,0.402
Central Mich. (MAC),13,7-6,71,176,0.403
Minnesota (Big Ten),13,8-5,74,183,0.404
Arizona (Pac-12),14,10-4,94,232,0.405
Oklahoma St. (Big 12),13,7-6,84,206,0.408
San Diego St. (Mountain West),13,7-6,79,193,0.409
South Alabama (Sun Belt),13,6-7,82,200,0.410
Nevada (Mountain West),13,7-6,80,195,0.410
Wake Forest (ACC),12,3-9,78,190,0.411
Notre Dame (FBS Independent),13,8-5,79,192,0.411
Rice (C-USA),13,8-5,77,186,0.414
Kansas (Big 12),12,3-9,76,183,0.415
Massachusetts (MAC),12,3-9,77,185,0.416
Tulsa (AAC),12,2-10,75,180,0.417
California (Pac-12),12,5-7,78,186,0.419
Colorado St. (Mountain West),13,10-3,84,200,0.420
South Carolina (SEC),13,7-6,71,169,0.420
Vanderbilt (SEC),12,3-9,70,166,0.422
Illinois (Big Ten),13,6-7,85,201,0.423
Oregon (Pac-12),15,13-2,102,241,0.423
Rutgers (Big Ten),13,8-5,77,181,0.425
Miami (OH) (MAC),12,2-10,64,150,0.427
Ohio (MAC),12,6-6,76,178,0.427
UNLV (Mountain West),13,2-11,87,203,0.429
UTSA (C-USA),12,4-8,82,191,0.429
Navy (FBS Independent),13,8-5,76,177,0.429
Kansas St. (Big 12),13,9-4,76,177,0.429
Bowling Green (MAC),14,8-6,95,221,0.430
Wyoming (Mountain West),12,4-8,69,160,0.431
Toledo (MAC),13,9-4,82,190,0.432
NIU (MAC),14,11-3,93,213,0.437
Ball St. (MAC),12,5-7,80,183,0.437
SMU (AAC),12,1-11,71,162,0.438
Florida St. (ACC),14,13-1,93,212,0.439
Kentucky (SEC),12,5-7,79,180,0.439
Cincinnati (AAC),13,9-4,86,195,0.441
Middle Tenn. (C-USA),12,6-6,83,188,0.441
Southern Miss. (C-USA),12,3-9,72,162,0.444
New Mexico St. (Sun Belt),12,2-10,70,157,0.446
San Jose St. (Mountain West),12,3-9,75,168,0.446
South Fla. (AAC),12,4-8,78,172,0.453
Kent St. (MAC),11,2-9,77,169,0.456
Army West Point (FBS Independent),12,4-8,68,149,0.456
Idaho (Sun Belt),11,1-10,67,146,0.459
Georgia Tech (ACC),14,11-3,77,167,0.461
Iowa St. (Big 12),12,2-10,84,182,0.462
Fla. Atlantic (C-USA),12,3-9,81,174,0.466
Purdue (Big Ten),12,3-9,84,180,0.467
Texas Tech (Big 12),12,4-8,91,194,0.469
Eastern Mich. (MAC),12,2-10,88,186,0.473
Western Ky. (C-USA),13,8-5,84,177,0.475
NC State (ACC),13,8-5,96,198,0.485
North Carolina (ACC),13,6-7,95,194,0.490
Troy (Sun Belt),12,3-9,84,165,0.509
New Mexico (Mountain West),12,4-8,92,180,0.511
Georgia St. (Sun Belt),12,1-11,83,160,0.519
App State (Sun Belt),12,7-5,56,164,0.341
Ga. Southern (Sun Belt),12,9-3,67,165,0.406
Charlotte (FBS Independent),11,5-6,95,207,0.459
Old Dominion (C-USA),12,6-6,87,164,0.530
