Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
North Texas (C-USA),12,4-8,35,16,7,10,33,0.943
UCLA (Pac-12),13,10-3,51,20,12,16,48,0.941
Memphis (AAC),13,10-3,60,26,15,15,56,0.933
Missouri (SEC),14,11-3,45,13,15,14,42,0.933
Tennessee (SEC),13,7-6,54,18,15,17,50,0.926
Nevada (Mountain West),13,7-6,53,20,16,13,49,0.925
Rice (C-USA),13,8-5,48,22,10,12,44,0.917
Florida St. (ACC),14,13-1,59,22,13,19,54,0.915
Maryland (Big Ten),13,7-6,35,18,6,8,32,0.914
Louisiana (Sun Belt),13,9-4,57,25,11,16,52,0.912
Florida (SEC),12,7-5,44,16,10,14,40,0.909
Arizona St. (Pac-12),13,10-3,64,17,23,18,58,0.906
Oklahoma St. (Big 12),13,7-6,42,16,5,17,38,0.905
Kansas St. (Big 12),13,9-4,62,29,14,13,56,0.903
Rutgers (Big Ten),13,8-5,41,16,9,12,37,0.902
Cincinnati (AAC),13,9-4,51,16,18,12,46,0.902
Boise St. (Mountain West),14,12-2,71,33,17,14,64,0.901
Air Force (Mountain West),13,10-3,60,32,7,15,54,0.900
Pittsburgh (),13,6-7,59,31,13,9,53,0.898
Michigan (Big Ten),12,5-7,37,17,7,9,33,0.892
Ball St. (MAC),12,5-7,46,14,8,19,41,0.891
Louisiana Tech (C-USA),14,9-5,55,23,17,9,49,0.891
Washington (Pac-12),14,8-6,45,15,9,16,40,0.889
Colorado (Pac-12),12,2-10,45,12,17,11,40,0.889
Toledo (MAC),13,9-4,62,28,12,15,55,0.887
Nebraska (Big Ten),13,9-4,60,28,14,11,53,0.883
California (Pac-12),12,5-7,51,18,19,8,45,0.882
Western Mich. (MAC),13,8-5,51,21,11,13,45,0.882
BYU (FBS Independent),13,8-5,59,25,17,10,52,0.881
Western Ky. (C-USA),13,8-5,67,17,28,14,59,0.881
Auburn (SEC),13,8-5,58,25,13,13,51,0.879
Texas A&M (SEC),13,8-5,49,17,17,9,43,0.878
Minnesota (Big Ten),13,8-5,49,28,7,8,43,0.878
Duke (ACC),13,9-4,56,20,15,14,49,0.875
Virginia Tech (ACC),13,7-6,48,10,15,17,42,0.875
Navy (FBS Independent),13,8-5,55,35,6,7,48,0.873
Kentucky (SEC),12,5-7,39,14,6,14,34,0.872
Wisconsin (Big Ten),14,11-3,61,27,12,14,53,0.869
Southern California (Pac-12),13,9-4,53,12,28,6,46,0.868
Michigan St. (Big Ten),13,11-2,68,31,18,10,59,0.868
NC State (ACC),13,8-5,52,20,18,7,45,0.865
South Carolina (SEC),13,7-6,52,18,15,12,45,0.865
Oregon (Pac-12),15,13-2,80,31,21,17,69,0.863
TCU (Big 12),13,12-1,65,23,17,16,56,0.862
Texas St. (Sun Belt),12,7-5,50,20,14,9,43,0.860
Alabama (SEC),14,12-2,64,27,18,10,55,0.859
ULM (Sun Belt),12,4-8,34,7,8,14,29,0.853
Ohio St. (Big Ten),15,14-1,74,31,22,10,63,0.851
Georgia (SEC),13,10-3,67,27,18,12,57,0.851
Baylor (Big 12),13,11-2,73,40,8,14,62,0.849
Marshall (C-USA),14,13-1,71,25,21,14,60,0.845
Utah (Pac-12),13,9-4,45,17,9,12,38,0.844
UTEP (C-USA),13,7-6,44,19,6,12,37,0.841
Colorado St. (Mountain West),13,10-3,50,21,15,6,42,0.840
East Carolina (AAC),13,8-5,74,24,25,13,62,0.838
Boston College (ACC),13,7-6,37,18,5,8,31,0.838
Purdue (Big Ten),12,3-9,37,10,11,10,31,0.838
Virginia (ACC),12,5-7,49,12,11,18,41,0.837
North Carolina (ACC),13,6-7,55,23,17,6,46,0.836
New Mexico (Mountain West),12,4-8,30,19,2,4,25,0.833
Ohio (MAC),12,6-6,42,15,8,12,35,0.833
Bowling Green (MAC),14,8-6,53,22,5,17,44,0.830
Hawaii (Mountain West),13,4-9,47,13,11,15,39,0.830
Middle Tenn. (C-USA),12,6-6,47,24,7,8,39,0.830
New Mexico St. (Sun Belt),12,2-10,35,12,10,7,29,0.829
Louisville (ACC),13,9-4,58,25,14,9,48,0.828
Oklahoma (Big 12),13,8-5,58,29,13,6,48,0.828
Penn St. (Big Ten),13,7-6,40,9,8,16,33,0.825
Indiana (Big Ten),12,4-8,34,16,2,10,28,0.824
NIU (MAC),14,11-3,68,31,11,14,56,0.824
Georgia St. (Sun Belt),12,1-11,34,11,12,5,28,0.824
Mississippi St. (SEC),13,10-3,61,23,16,11,50,0.820
FIU (C-USA),12,4-8,33,9,7,11,27,0.818
Northwestern (Big Ten),12,5-7,43,17,7,11,35,0.814
Iowa St. (Big 12),12,2-10,43,11,15,9,35,0.814
UTSA (C-USA),12,4-8,32,12,1,13,26,0.813
Arkansas St. (Sun Belt),13,7-6,58,24,13,10,47,0.810
Georgia Tech (ACC),14,11-3,73,40,11,8,59,0.808
Central Mich. (MAC),13,7-6,52,16,19,7,42,0.808
Notre Dame (FBS Independent),13,8-5,62,21,19,10,50,0.806
UCF (AAC),13,9-4,56,18,11,16,45,0.804
Washington St. (Pac-12),12,3-9,61,5,34,10,49,0.803
Syracuse (ACC),12,3-9,35,11,3,14,28,0.800
West Virginia (Big 12),13,7-6,50,16,10,14,40,0.800
Arizona (Pac-12),14,10-4,60,20,13,15,48,0.800
Oregon St. (Pac-12),12,5-7,53,16,11,15,42,0.792
LSU (SEC),13,8-5,47,18,8,11,37,0.787
Miami (FL) (ACC),13,6-7,47,11,13,13,37,0.787
Texas (Big 12),13,6-7,42,17,10,6,33,0.786
Arkansas (SEC),13,7-6,56,24,12,8,44,0.786
Iowa (Big Ten),13,7-6,56,21,15,8,44,0.786
UNLV (Mountain West),13,2-11,46,17,9,10,36,0.783
South Alabama (Sun Belt),13,6-7,41,11,10,11,32,0.780
Troy (Sun Belt),12,3-9,36,16,7,5,28,0.778
Kansas (Big 12),12,3-9,31,9,7,8,24,0.774
Wyoming (Mountain West),12,4-8,35,10,7,10,27,0.771
San Diego St. (Mountain West),13,7-6,48,19,4,14,37,0.771
Utah St. (Mountain West),14,10-4,39,14,7,9,30,0.769
Southern Miss. (C-USA),12,3-9,39,8,8,14,30,0.769
Texas Tech (Big 12),12,4-8,38,4,18,7,29,0.763
Tulsa (AAC),12,2-10,46,11,14,10,35,0.761
Army West Point (FBS Independent),12,4-8,37,24,2,2,28,0.757
Houston (AAC),13,8-5,57,22,9,12,43,0.754
Fla. Atlantic (C-USA),12,3-9,44,11,12,10,33,0.750
Fresno St. (Mountain West),14,6-8,55,19,16,6,41,0.745
UAB (C-USA),12,6-6,51,24,5,9,38,0.745
Buffalo (MAC),11,5-6,50,13,18,6,37,0.740
Illinois (Big Ten),13,6-7,50,12,17,8,37,0.740
Stanford (Pac-12),13,8-5,57,21,10,11,42,0.737
