Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Baylor (Big 12),13,11-2,1138,7559,6.64,81,581.5
Marshall (C-USA),14,13-1,1032,7829,7.59,80,559.2
Oregon (Pac-12),15,13-2,1118,8205,7.34,86,547.0
Western Ky. (C-USA),13,8-5,986,6950,7.05,70,534.6
East Carolina (AAC),13,8-5,1070,6929,6.48,59,533.0
TCU (Big 12),13,12-1,1038,6929,6.68,69,533.0
Washington St. (Pac-12),12,3-9,1014,6210,6.12,50,517.5
Mississippi St. (SEC),13,10-3,1001,6679,6.67,60,513.8
Ohio St. (Big Ten),15,14-1,1099,7674,6.98,83,511.6
Texas Tech (Big 12),12,4-8,914,6049,6.62,48,504.1
Michigan St. (Big Ten),13,11-2,994,6510,6.55,70,500.8
West Virginia (Big 12),13,7-6,1097,6497,5.92,44,499.8
California (Pac-12),12,5-7,975,5942,6.09,59,495.2
Boise St. (Mountain West),14,12-2,1060,6920,6.53,66,494.3
Toledo (MAC),13,9-4,973,6377,6.55,59,490.5
Auburn (SEC),13,8-5,939,6305,6.71,55,485.0
Alabama (SEC),14,12-2,1018,6783,6.66,67,484.5
Colorado St. (Mountain West),13,10-3,882,6252,7.09,58,480.9
Georgia Tech (ACC),14,11-3,993,6671,6.72,66,476.5
Arkansas St. (Sun Belt),13,7-6,1024,6194,6.05,60,476.5
Wisconsin (Big Ten),14,11-3,970,6564,6.77,61,468.9
UCLA (Pac-12),13,10-3,992,6082,6.13,50,467.8
Oklahoma (Big 12),13,8-5,943,6041,6.41,57,464.7
Texas St. (Sun Belt),12,7-5,920,5573,6.06,51,464.4
Arizona (Pac-12),14,10-4,1139,6491,5.70,55,463.6
BYU (FBS Independent),13,8-5,1050,5986,5.70,60,460.5
Cincinnati (AAC),13,9-4,945,5982,6.33,53,460.2
Georgia (SEC),13,10-3,877,5951,6.79,62,457.8
Southern California (Pac-12),13,9-4,984,5948,6.04,57,457.5
Texas A&M (SEC),13,8-5,935,5920,6.33,59,455.4
Nebraska (Big Ten),13,9-4,946,5880,6.22,59,452.3
Notre Dame (FBS Independent),13,8-5,947,5784,6.11,54,444.9
South Carolina (SEC),13,7-6,947,5764,6.09,51,443.4
Arizona St. (Pac-12),13,10-3,975,5750,5.90,54,442.3
Florida St. (ACC),14,13-1,967,6179,6.39,53,441.4
NIU (MAC),14,11-3,1073,6177,5.76,55,441.2
Colorado (Pac-12),12,2-10,996,5270,5.29,42,439.2
Buffalo (MAC),11,5-6,810,4820,5.95,48,438.2
Western Mich. (MAC),13,8-5,875,5696,6.51,55,438.2
Pittsburgh (),13,6-7,918,5660,6.17,52,435.4
Bowling Green (MAC),14,8-6,1103,6061,5.50,47,432.9
UAB (C-USA),12,6-6,941,5182,5.51,44,431.8
Middle Tenn. (C-USA),12,6-6,873,5176,5.93,48,431.3
Miami (FL) (ACC),13,6-7,837,5594,6.68,45,430.3
North Carolina (ACC),13,6-7,1005,5587,5.56,55,429.8
Memphis (AAC),13,10-3,1012,5552,5.49,54,427.1
Kansas St. (Big 12),13,9-4,891,5481,6.15,53,421.6
Massachusetts (MAC),12,3-9,879,5053,5.75,43,421.1
New Mexico St. (Sun Belt),12,2-10,921,5051,5.48,38,420.9
Navy (FBS Independent),13,8-5,857,5453,6.36,54,419.5
Ole Miss (),13,9-4,904,5448,6.03,45,419.1
Air Force (Mountain West),13,10-3,1002,5443,5.43,49,418.7
Idaho (Sun Belt),11,1-10,881,4592,5.21,35,417.5
Louisiana (Sun Belt),13,9-4,918,5426,5.91,46,417.4
Houston (AAC),13,8-5,945,5383,5.70,46,414.1
Tulsa (AAC),12,2-10,958,4950,5.17,34,412.5
NC State (ACC),13,8-5,889,5311,5.97,50,408.5
Clemson (ACC),13,10-3,990,5308,5.36,43,408.3
Fresno St. (Mountain West),14,6-8,1096,5685,5.19,47,406.1
Arkansas (SEC),13,7-6,916,5278,5.76,52,406.0
Indiana (Big Ten),12,4-8,852,4860,5.70,36,405.0
Louisiana Tech (C-USA),14,9-5,957,5611,5.86,62,400.8
Iowa (Big Ten),13,7-6,951,5201,5.47,43,400.1
New Mexico (Mountain West),12,4-8,735,4794,6.52,41,399.5
Rice (C-USA),13,8-5,923,5190,5.62,47,399.2
Duke (ACC),13,9-4,963,5178,5.38,47,398.3
Central Mich. (MAC),13,7-6,886,5175,5.84,46,398.1
Nevada (Mountain West),13,7-6,966,5169,5.35,45,397.6
Louisville (ACC),13,9-4,939,5131,5.46,49,394.7
San Jose St. (Mountain West),12,3-9,904,4734,5.24,27,394.5
San Diego St. (Mountain West),13,7-6,866,5128,5.92,36,394.5
Oregon St. (Pac-12),12,5-7,848,4722,5.57,34,393.5
Rutgers (Big Ten),13,8-5,846,5070,5.99,43,390.0
Washington (Pac-12),14,8-6,1007,5441,5.40,42,388.6
Stanford (Pac-12),13,8-5,858,5052,5.89,42,388.6
Utah (Pac-12),13,9-4,943,5045,5.35,41,388.1
LSU (SEC),13,8-5,897,5037,5.62,42,387.5
UNLV (Mountain West),13,2-11,964,5036,5.22,34,387.4
Kentucky (SEC),12,5-7,849,4612,5.43,35,384.3
Boston College (ACC),13,7-6,878,4992,5.69,44,384.0
Wyoming (Mountain West),12,4-8,823,4571,5.55,29,380.9
Oklahoma St. (Big 12),13,7-6,907,4925,5.43,37,378.8
Utah St. (Mountain West),14,10-4,901,5303,5.89,42,378.8
South Alabama (Sun Belt),13,6-7,949,4888,5.15,33,376.0
Miami (OH) (MAC),12,2-10,826,4504,5.45,34,375.3
Georgia St. (Sun Belt),12,1-11,836,4504,5.39,36,375.3
Virginia (ACC),12,5-7,883,4490,5.08,31,374.2
Akron (MAC),12,5-7,891,4479,5.03,32,373.3
Iowa St. (Big 12),12,2-10,912,4470,4.90,33,372.5
Tennessee (SEC),13,7-6,977,4817,4.93,43,370.5
Ohio (MAC),12,6-6,845,4443,5.26,27,370.3
Ball St. (MAC),12,5-7,857,4431,5.17,35,369.3
Florida (SEC),12,7-5,841,4411,5.24,40,367.6
Illinois (Big Ten),13,6-7,883,4774,5.41,41,367.2
Missouri (SEC),14,11-3,954,5138,5.39,42,367.0
Virginia Tech (ACC),13,7-6,963,4749,4.93,31,365.3
Southern Miss. (C-USA),12,3-9,858,4380,5.10,23,365.0
Hawaii (Mountain West),13,4-9,993,4737,4.77,30,364.4
UCF (AAC),13,9-4,942,4727,5.02,42,363.6
Troy (Sun Belt),12,3-9,817,4359,5.34,30,363.3
Fla. Atlantic (C-USA),12,3-9,808,4357,5.39,32,363.1
Army West Point (FBS Independent),12,4-8,770,4305,5.59,36,358.8
Minnesota (Big Ten),13,8-5,853,4645,5.45,44,357.3
Northwestern (Big Ten),12,5-7,941,4237,4.50,30,353.1
UTEP (C-USA),13,7-6,860,4559,5.30,39,350.7
ULM (Sun Belt),12,4-8,892,4193,4.70,24,349.4
Tulane (AAC),12,3-9,862,4161,4.83,24,346.8
Purdue (Big Ten),12,3-9,836,4135,4.95,33,344.6
Maryland (Big Ten),13,7-6,846,4447,5.26,40,342.1
Texas (Big 12),13,6-7,892,4385,4.92,32,337.3
Penn St. (Big Ten),13,7-6,948,4359,4.60,26,335.3
Michigan (Big Ten),12,5-7,751,3996,5.32,27,333.0
Syracuse (ACC),12,3-9,807,3959,4.91,18,329.9
North Texas (C-USA),12,4-8,803,3911,4.87,34,325.9
Kansas (Big 12),12,3-9,842,3889,4.62,25,324.1
Kent St. (MAC),11,2-9,719,3470,4.83,22,315.5
Temple (AAC),12,6-6,772,3701,4.79,24,308.4
South Fla. (AAC),12,4-8,740,3656,4.94,22,304.7
UTSA (C-USA),12,4-8,796,3570,4.48,22,297.5
FIU (C-USA),12,4-8,812,3518,4.33,26,293.2
Eastern Mich. (MAC),12,2-10,779,3475,4.46,22,289.6
Vanderbilt (SEC),12,3-9,740,3460,4.68,20,288.3
UConn (AAC),12,2-10,736,3315,4.50,20,276.3
SMU (AAC),12,1-11,792,3228,4.08,15,269.0
Wake Forest (ACC),12,3-9,768,2595,3.38,16,216.3
Ga. Southern (Sun Belt),12,9-3,797,5859,7.35,62,488.3
Charlotte (FBS Independent),11,5-6,791,5356,6.77,49,486.9
App State (Sun Belt),12,7-5,877,5538,6.31,54,461.5
Old Dominion (C-USA),12,6-6,823,5303,6.44,52,441.9
