Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Michigan St. (Big Ten),13,11-2,459:35,35:21
UTEP (C-USA),13,7-6,454:28,34:57
Georgia Tech (ACC),14,11-3,478:12,34:09
Arkansas (SEC),13,7-6,442:37,34:02
Pittsburgh (),13,6-7,439:38,33:49
Wisconsin (Big Ten),14,11-3,471:00,33:38
Rice (C-USA),13,8-5,436:49,33:36
Central Mich. (MAC),13,7-6,434:22,33:24
LSU (SEC),13,8-5,430:47,33:08
Boston College (ACC),13,7-6,430:18,33:06
Buffalo (MAC),11,5-6,361:32,32:52
Western Mich. (MAC),13,8-5,426:10,32:46
Kansas St. (Big 12),13,9-4,425:31,32:43
Colorado (Pac-12),12,2-10,390:58,32:34
Louisville (ACC),13,9-4,422:51,32:31
Wyoming (Mountain West),12,4-8,389:31,32:27
Stanford (Pac-12),13,8-5,418:46,32:12
Oregon St. (Pac-12),12,5-7,386:23,32:11
UCF (AAC),13,9-4,414:35,31:53
Alabama (SEC),14,12-2,444:38,31:45
Louisiana (Sun Belt),13,9-4,412:18,31:42
Virginia (ACC),12,5-7,379:47,31:38
Tulsa (AAC),12,2-10,378:55,31:34
Air Force (Mountain West),13,10-3,410:07,31:32
Ohio St. (Big Ten),15,14-1,472:34,31:30
Washington St. (Pac-12),12,3-9,377:52,31:29
Toledo (MAC),13,9-4,408:59,31:27
Boise St. (Mountain West),14,12-2,440:23,31:27
Iowa (Big Ten),13,7-6,408:38,31:26
Minnesota (Big Ten),13,8-5,408:26,31:25
San Jose St. (Mountain West),12,3-9,376:59,31:24
Virginia Tech (ACC),13,7-6,408:22,31:24
Clemson (ACC),13,10-3,408:03,31:23
Idaho (Sun Belt),11,1-10,344:31,31:19
San Diego St. (Mountain West),13,7-6,407:09,31:19
Penn St. (Big Ten),13,7-6,406:22,31:15
Nevada (Mountain West),13,7-6,404:07,31:05
Army West Point (FBS Independent),12,4-8,372:43,31:03
Michigan (Big Ten),12,5-7,370:26,30:52
South Carolina (SEC),13,7-6,400:38,30:49
TCU (Big 12),13,12-1,398:06,30:37
Southern California (Pac-12),13,9-4,397:25,30:34
UAB (C-USA),12,6-6,366:40,30:33
Tulane (AAC),12,3-9,366:23,30:31
FIU (C-USA),12,4-8,365:56,30:29
South Alabama (Sun Belt),13,6-7,394:37,30:21
Oklahoma (Big 12),13,8-5,394:19,30:19
Rutgers (Big Ten),13,8-5,393:37,30:16
Nebraska (Big Ten),13,9-4,393:34,30:16
Kansas (Big 12),12,3-9,363:11,30:15
Tennessee (SEC),13,7-6,393:08,30:14
Navy (FBS Independent),13,8-5,392:58,30:13
New Mexico (Mountain West),12,4-8,362:18,30:11
Memphis (AAC),13,10-3,391:32,30:07
California (Pac-12),12,5-7,359:35,29:57
Florida (SEC),12,7-5,359:08,29:55
Ball St. (MAC),12,5-7,358:47,29:53
ULM (Sun Belt),12,4-8,358:38,29:53
West Virginia (Big 12),13,7-6,388:26,29:52
Auburn (SEC),13,8-5,388:25,29:52
Notre Dame (FBS Independent),13,8-5,388:06,29:51
Ohio (MAC),12,6-6,357:37,29:48
Texas (Big 12),13,6-7,386:43,29:44
East Carolina (AAC),13,8-5,386:17,29:42
Louisiana Tech (C-USA),14,9-5,415:55,29:42
UTSA (C-USA),12,4-8,355:57,29:39
Houston (AAC),13,8-5,385:12,29:37
Mississippi St. (SEC),13,10-3,385:06,29:37
Utah (Pac-12),13,9-4,384:13,29:33
Vanderbilt (SEC),12,3-9,353:55,29:29
NC State (ACC),13,8-5,383:23,29:29
Northwestern (Big Ten),12,5-7,353:16,29:26
Southern Miss. (C-USA),12,3-9,353:01,29:25
Utah St. (Mountain West),14,10-4,411:14,29:22
Troy (Sun Belt),12,3-9,352:18,29:21
Kent St. (MAC),11,2-9,322:48,29:20
Fla. Atlantic (C-USA),12,3-9,352:07,29:20
Miami (FL) (ACC),13,6-7,380:35,29:16
Georgia (SEC),13,10-3,380:31,29:16
Duke (ACC),13,9-4,379:28,29:11
UCLA (Pac-12),13,10-3,379:09,29:09
Colorado St. (Mountain West),13,10-3,379:07,29:09
Miami (OH) (MAC),12,2-10,349:26,29:07
Akron (MAC),12,5-7,349:11,29:05
Baylor (Big 12),13,11-2,377:10,29:00
Missouri (SEC),14,11-3,405:57,28:59
Florida St. (ACC),14,13-1,405:13,28:56
Purdue (Big Ten),12,3-9,346:59,28:54
Arkansas St. (Sun Belt),13,7-6,375:05,28:51
SMU (AAC),12,1-11,346:10,28:50
Hawaii (Mountain West),13,4-9,374:16,28:47
Middle Tenn. (C-USA),12,6-6,345:12,28:46
Wake Forest (ACC),12,3-9,344:48,28:44
NIU (MAC),14,11-3,402:12,28:43
Fresno St. (Mountain West),14,6-8,402:06,28:43
Cincinnati (AAC),13,9-4,373:17,28:42
Arizona St. (Pac-12),13,10-3,373:11,28:42
Kentucky (SEC),12,5-7,344:05,28:40
North Texas (C-USA),12,4-8,343:45,28:38
Washington (Pac-12),14,8-6,400:34,28:36
Marshall (C-USA),14,13-1,399:42,28:33
Iowa St. (Big 12),12,2-10,342:09,28:30
UConn (AAC),12,2-10,340:56,28:24
Georgia St. (Sun Belt),12,1-11,340:23,28:21
