Team,Games,Win-Loss,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game
Baylor (Big 12),13,11-2,82,81,0,0,18,0,627,48.2
TCU (Big 12),13,12-1,77,76,0,0,22,0,604,46.5
Marshall (C-USA),14,13-1,84,83,0,0,17,0,638,45.6
Oregon (Pac-12),15,13-2,90,79,4,0,18,0,681,45.4
Ohio St. (Big Ten),15,14-1,90,89,1,0,13,1,672,44.8
Western Ky. (C-USA),13,8-5,76,71,1,0,16,0,577,44.4
Michigan St. (Big Ten),13,11-2,74,73,0,0,14,0,559,43.0
Georgia (SEC),13,10-3,70,67,1,0,16,0,537,41.3
Boise St. (Mountain West),14,12-2,73,68,0,0,16,1,556,39.7
California (Pac-12),12,5-7,61,56,1,0,11,1,459,38.3
Georgia Tech (ACC),14,11-3,72,65,0,0,11,0,530,37.9
Nebraska (Big Ten),13,9-4,64,60,1,0,15,0,491,37.8
Louisiana Tech (C-USA),14,9-5,68,64,0,0,17,0,523,37.4
BYU (FBS Independent),13,8-5,63,62,0,0,12,3,482,37.1
Alabama (SEC),14,12-2,68,63,1,0,14,1,517,36.9
Arizona St. (Pac-12),13,10-3,59,53,2,0,23,0,480,36.9
Mississippi St. (SEC),13,10-3,64,60,0,0,12,0,480,36.9
Arkansas St. (Sun Belt),13,7-6,65,52,1,0,11,0,477,36.7
Toledo (MAC),13,9-4,61,57,1,0,17,0,476,36.6
Oklahoma (Big 12),13,8-5,62,60,0,1,13,0,473,36.4
Memphis (AAC),13,10-3,58,58,0,0,21,1,471,36.2
East Carolina (AAC),13,8-5,61,58,0,0,14,0,466,35.8
Southern California (Pac-12),13,9-4,63,61,0,0,9,0,466,35.8
Kansas St. (Big 12),13,9-4,57,52,1,0,23,0,465,35.8
Auburn (SEC),13,8-5,58,57,1,0,18,0,461,35.5
Texas A&M (SEC),13,8-5,60,59,0,0,13,0,458,35.2
Wisconsin (Big Ten),14,11-3,61,59,0,0,19,1,484,34.6
Arizona (Pac-12),14,10-4,61,57,0,0,20,0,483,34.5
Cincinnati (AAC),13,9-4,57,52,0,0,16,0,442,34.0
Colorado St. (Mountain West),13,10-3,58,57,0,0,12,0,441,33.9
Texas St. (Sun Belt),12,7-5,53,48,2,0,12,0,406,33.8
Western Mich. (MAC),13,8-5,57,51,1,0,14,1,439,33.8
Florida St. (ACC),14,13-1,56,55,0,0,27,0,472,33.7
UCLA (Pac-12),13,10-3,55,47,2,0,18,0,435,33.5
West Virginia (Big 12),13,7-6,49,47,0,0,30,2,435,33.5
North Carolina (ACC),13,6-7,60,52,1,0,6,0,432,33.2
UAB (C-USA),12,6-6,52,47,0,0,13,0,398,33.2
Notre Dame (FBS Independent),13,8-5,55,51,2,0,14,0,427,32.8
South Carolina (SEC),13,7-6,53,52,0,0,18,0,424,32.6
Duke (ACC),13,9-4,52,50,0,0,19,1,421,32.4
Buffalo (MAC),11,5-6,49,41,1,0,6,0,355,32.3
Arkansas (SEC),13,7-6,56,52,0,0,9,0,415,31.9
Pittsburgh (),13,6-7,52,50,0,0,16,2,414,31.8
Navy (FBS Independent),13,8-5,55,53,1,0,9,1,414,31.8
Washington St. (Pac-12),12,3-9,50,47,1,0,11,0,382,31.8
Middle Tenn. (C-USA),12,6-6,51,46,0,0,9,0,379,31.6
NIU (MAC),14,11-3,56,54,0,0,17,0,441,31.5
Air Force (Mountain West),13,10-3,50,46,2,0,19,1,409,31.5
Utah (Pac-12),13,9-4,49,44,0,0,23,0,407,31.3
Louisville (ACC),13,9-4,51,50,0,0,15,2,405,31.2
Clemson (ACC),13,10-3,48,46,0,0,21,2,401,30.8
Texas Tech (Big 12),12,4-8,49,42,0,0,10,0,366,30.5
Florida (SEC),12,7-5,44,42,0,0,19,0,363,30.3
Washington (Pac-12),14,8-6,52,47,2,0,20,0,423,30.2
NC State (ACC),13,8-5,51,46,2,0,12,0,392,30.2
Bowling Green (MAC),14,8-6,51,45,0,0,23,0,420,30.0
Houston (AAC),13,8-5,49,43,1,0,16,0,387,29.8
Louisiana (Sun Belt),13,9-4,47,43,0,1,18,1,383,29.5
Miami (FL) (ACC),13,6-7,47,40,1,0,18,1,380,29.2
Kentucky (SEC),12,5-7,41,41,0,0,21,0,350,29.2
Nevada (Mountain West),13,7-6,48,43,3,0,14,0,379,29.2
