Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Oklahoma (Big 12),13,8-5,9,58,0.69
Georgia Tech (ACC),14,11-3,11,65,0.79
New Mexico St. (Sun Belt),12,2-10,10,66,0.83
Michigan St. (Big Ten),13,11-2,11,53,0.85
New Mexico (Mountain West),12,4-8,11,73,0.92
Air Force (Mountain West),13,10-3,12,80,0.92
Wisconsin (Big Ten),14,11-3,13,99,0.93
Duke (ACC),13,9-4,13,91,1.00
NIU (MAC),14,11-3,14,82,1.00
UTEP (CUSA),13,7-6,13,79,1.00
Arkansas (SEC),13,7-6,14,104,1.08
Texas Tech (Big 12),12,4-8,13,89,1.08
Ball St. (MAC),12,5-7,13,84,1.08
Alabama (SEC),14,12-2,16,108,1.14
Auburn (SEC),13,8-5,15,92,1.15
Memphis (AAC),13,10-3,16,130,1.23
Toledo (MAC),13,9-4,17,136,1.31
Georgia (SEC),13,10-3,17,110,1.31
Army West Point (FBS Independent),12,4-8,16,88,1.33
Virginia (ACC),12,5-7,16,134,1.33
Louisiana Tech (CUSA),14,9-5,19,118,1.36
Cincinnati (AAC),13,9-4,18,119,1.38
Florida (SEC),12,7-5,17,92,1.42
Buffalo (MAC),11,5-6,16,83,1.45
Rutgers (Big Ten),13,8-5,19,142,1.46
Western Ky. (CUSA),13,8-5,19,137,1.46
Marshall (CUSA),14,13-1,21,125,1.50
Nevada (Mountain West),13,7-6,20,148,1.54
Miami (FL) (ACC),13,6-7,21,156,1.62
Boston College (ACC),13,7-6,21,153,1.62
Navy (FBS Independent),13,8-5,21,131,1.62
Minnesota (Big Ten),13,8-5,21,150,1.62
Pittsburgh (),13,6-7,21,148,1.62
Kent St. (MAC),11,2-9,18,109,1.64
Missouri (SEC),14,11-3,23,177,1.64
Florida St. (ACC),14,13-1,23,187,1.64
Iowa (Big Ten),13,7-6,22,146,1.69
Nebraska (Big Ten),13,9-4,22,129,1.69
Fla. Atlantic (CUSA),12,3-9,21,134,1.75
Temple (AAC),12,6-6,21,121,1.75
Vanderbilt (SEC),12,3-9,21,149,1.75
Mississippi St. (SEC),13,10-3,23,148,1.77
