Team,Games,Win-Loss,First Down Runs,First Down Passes,First Down Penalties,First Downs
Clemson (ACC),13,10-3,86,81,18,185
Penn St. (Big Ten),13,7-6,79,96,15,190
Louisville (ACC),13,9-4,74,110,15,199
Michigan (Big Ten),12,5-7,88,101,10,199
Michigan St. (Big Ten),13,11-2,67,112,20,199
Buffalo (MAC),11,5-6,95,94,13,202
LSU (SEC),13,8-5,100,89,13,202
Wisconsin (Big Ten),14,11-3,93,93,20,206
UTEP (C-USA),13,7-6,105,95,11,211
Virginia Tech (ACC),13,7-6,95,105,16,216
Florida (SEC),12,7-5,78,114,24,216
FIU (C-USA),12,4-8,101,97,18,216
TCU (Big 12),13,12-1,86,119,13,218
San Jose St. (Mountain West),12,3-9,145,64,10,219
Stanford (Pac-12),13,8-5,84,117,18,219
Iowa (Big Ten),13,7-6,106,101,12,219
North Texas (C-USA),12,4-8,98,106,18,222
Virginia (ACC),12,5-7,83,118,24,225
Boston College (ACC),13,7-6,77,135,13,225
Idaho (Sun Belt),11,1-10,116,91,18,225
UCF (AAC),13,9-4,97,103,25,225
Arkansas (SEC),13,7-6,97,115,13,225
ULM (Sun Belt),12,4-8,118,94,15,227
Wake Forest (ACC),12,3-9,114,94,23,231
Temple (AAC),12,6-6,111,101,21,233
Alabama (SEC),14,12-2,81,141,12,234
San Diego St. (Mountain West),13,7-6,113,97,25,235
UTSA (C-USA),12,4-8,94,112,32,238
Ole Miss (),13,9-4,106,118,15,239
Syracuse (ACC),12,3-9,100,120,20,240
Kent St. (MAC),11,2-9,115,100,26,241
UConn (AAC),12,2-10,110,110,23,243
Tennessee (SEC),13,7-6,120,110,14,244
Northwestern (Big Ten),12,5-7,111,116,17,244
UAB (C-USA),12,6-6,113,113,19,245
Memphis (AAC),13,10-3,82,140,23,245
Pittsburgh (),13,6-7,118,112,16,246
Western Mich. (MAC),13,8-5,96,125,25,246
Ohio (MAC),12,6-6,98,133,15,246
Tulane (AAC),12,3-9,106,117,23,246
Nebraska (Big Ten),13,9-4,113,118,15,246
Central Mich. (MAC),13,7-6,87,138,23,248
Houston (AAC),13,8-5,114,114,20,248
Air Force (Mountain West),13,10-3,91,144,14,249
Miami (FL) (ACC),13,6-7,111,109,29,249
Texas (Big 12),13,6-7,122,112,17,251
Georgia (SEC),13,10-3,133,100,19,252
Wyoming (Mountain West),12,4-8,120,122,10,252
Louisiana (Sun Belt),13,9-4,89,145,19,253
Minnesota (Big Ten),13,8-5,113,117,23,253
Akron (MAC),12,5-7,100,124,31,255
Rice (C-USA),13,8-5,111,124,21,256
Washington St. (Pac-12),12,3-9,88,140,28,256
Baylor (Big 12),13,11-2,85,128,43,256
West Virginia (Big 12),13,7-6,99,135,23,257
South Fla. (AAC),12,4-8,114,127,17,258
Boise St. (Mountain West),14,12-2,90,148,20,258
Arizona St. (Pac-12),13,10-3,100,146,15,261
Tulsa (AAC),12,2-10,115,123,23,261
Army West Point (FBS Independent),12,4-8,117,131,13,261
East Carolina (AAC),13,8-5,79,149,34,262
Texas St. (Sun Belt),12,7-5,121,125,16,262
Kansas St. (Big 12),13,9-4,98,153,11,262
Kansas (Big 12),12,3-9,116,123,24,263
Vanderbilt (SEC),12,3-9,124,120,19,263
Oklahoma (Big 12),13,8-5,86,155,23,264
Oregon St. (Pac-12),12,5-7,100,133,31,264
Ball St. (MAC),12,5-7,121,128,16,265
Utah St. (Mountain West),14,10-4,108,132,27,267
Mississippi St. (SEC),13,10-3,115,143,10,268
South Alabama (Sun Belt),13,6-7,127,111,30,268
Indiana (Big Ten),12,4-8,110,135,23,268
