Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Clemson (ACC),13,10-3,110,42,553,131,10.1
TCU (Big 12),13,12-1,88,48,432,112,8.6
Virginia Tech (ACC),13,7-6,77,64,516,109,8.4
Louisiana Tech (C-USA),14,9-5,82,64,454,114,8.1
Utah St. (Mountain West),14,10-4,85,58,503,114,8.1
Utah (Pac-12),13,9-4,86,34,437,103,7.9
Boise St. (Mountain West),14,12-2,89,40,411,109,7.8
Ole Miss (),13,9-4,77,44,400,99,7.6
Arizona St. (Pac-12),13,10-3,88,20,452,98,7.5
Missouri (SEC),14,11-3,76,58,452,105,7.5
Marshall (C-USA),14,13-1,79,52,421,105,7.5
ULM (Sun Belt),12,4-8,68,44,384,90,7.5
Oklahoma St. (Big 12),13,7-6,85,24,366,97,7.5
Ohio St. (Big Ten),15,14-1,94,32,449,110,7.3
Stanford (Pac-12),13,8-5,75,40,464,95,7.3
Florida (SEC),12,7-5,65,44,363,87,7.3
Baylor (Big 12),13,11-2,80,28,407,94,7.2
Wake Forest (ACC),12,3-9,59,54,342,86,7.2
Tulane (AAC),12,3-9,69,32,354,85,7.1
Penn St. (Big Ten),13,7-6,75,34,357,92,7.1
Bowling Green (MAC),14,8-6,70,56,337,98,7.0
Arizona (Pac-12),14,10-4,87,22,356,98,7.0
Tennessee (SEC),13,7-6,80,22,341,91,7.0
NC State (ACC),13,8-5,77,26,402,90,6.9
Alabama (SEC),14,12-2,73,46,360,96,6.9
Louisville (ACC),13,9-4,78,22,463,89,6.8
UCF (AAC),13,9-4,70,38,392,89,6.8
Boston College (ACC),13,7-6,74,30,351,89,6.8
Michigan (Big Ten),12,5-7,68,28,357,82,6.8
Rice (C-USA),13,8-5,83,10,396,88,6.8
UAB (C-USA),12,6-6,66,30,348,81,6.8
Memphis (AAC),13,10-3,79,16,361,87,6.7
Syracuse (ACC),12,3-9,69,22,311,80,6.7
Oregon St. (Pac-12),12,5-7,61,38,301,80,6.7
Wisconsin (Big Ten),14,11-3,77,32,381,93,6.6
Arkansas St. (Sun Belt),13,7-6,72,28,318,86,6.6
Temple (AAC),12,6-6,64,30,270,79,6.6
Virginia (ACC),12,5-7,64,28,362,78,6.5
Air Force (Mountain West),13,10-3,68,32,292,84,6.5
Michigan St. (Big Ten),13,11-2,62,44,423,84,6.5
Mississippi St. (SEC),13,10-3,62,44,320,84,6.5
Texas (Big 12),13,6-7,69,30,346,84,6.5
Washington (Pac-12),14,8-6,81,18,373,90,6.4
Tulsa (AAC),12,2-10,54,46,277,77,6.4
Indiana (Big Ten),12,4-8,65,24,264,77,6.4
Washington St. (Pac-12),12,3-9,63,28,311,77,6.4
Louisiana (Sun Belt),13,9-4,76,14,368,83,6.4
West Virginia (Big 12),13,7-6,70,26,278,83,6.4
Illinois (Big Ten),13,6-7,59,46,286,82,6.3
Auburn (SEC),13,8-5,65,34,296,82,6.3
Oregon (Pac-12),15,13-2,80,28,411,94,6.3
Arkansas (SEC),13,7-6,63,36,358,81,6.2
Southern California (Pac-12),13,9-4,71,18,347,80,6.2
UCLA (Pac-12),13,10-3,73,14,312,80,6.2
Oklahoma (Big 12),13,8-5,61,38,331,80,6.2
Minnesota (Big Ten),13,8-5,58,44,316,80,6.2
Nebraska (Big Ten),13,9-4,59,42,347,80,6.2
Toledo (MAC),13,9-4,60,38,340,79,6.1
Akron (MAC),12,5-7,59,26,280,72,6.0
UTSA (C-USA),12,4-8,53,37,234,72,6.0
Fresno St. (Mountain West),14,6-8,68,30,264,83,5.9
South Fla. (AAC),12,4-8,63,16,258,71,5.9
Idaho (Sun Belt),11,1-10,57,16,214,65,5.9
BYU (FBS Independent),13,8-5,66,20,257,76,5.8
San Diego St. (Mountain West),13,7-6,67,18,270,76,5.8
LSU (SEC),13,8-5,50,52,244,76,5.8
Cincinnati (AAC),13,9-4,59,34,411,76,5.8
