Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
San Jose St. (Mountain West),12,3-9,134,241,1414,6,5.87,10.55,117.8
Clemson (ACC),13,10-3,194,388,2046,12,5.27,10.55,157.4
LSU (SEC),13,8-5,199,385,2134,10,5.54,10.72,164.2
Wisconsin (Big Ten),14,11-3,170,347,2352,15,6.78,13.84,168.0
Georgia (SEC),13,10-3,204,379,2215,13,5.84,10.86,170.4
New Mexico St. (Sun Belt),12,2-10,187,299,2094,16,7.00,11.20,174.5
Iowa (Big Ten),13,7-6,189,352,2287,18,6.50,12.10,175.9
Stanford (Pac-12),13,8-5,245,430,2313,12,5.38,9.44,177.9
Penn St. (Big Ten),13,7-6,215,406,2317,10,5.71,10.78,178.2
San Diego St. (Mountain West),13,7-6,198,355,2321,10,6.54,11.72,178.5
Texas (Big 12),13,6-7,247,419,2395,13,5.72,9.70,184.2
Wake Forest (ACC),12,3-9,211,348,2239,12,6.43,10.61,186.6
Temple (AAC),12,6-6,216,367,2243,9,6.11,10.38,186.9
ULM (Sun Belt),12,4-8,196,337,2279,16,6.76,11.63,189.9
UTEP (C-USA),13,7-6,166,321,2486,19,7.74,14.98,191.2
Ole Miss (),13,9-4,240,402,2497,12,6.21,10.40,192.1
Miami (FL) (ACC),13,6-7,229,397,2503,14,6.30,10.93,192.5
Minnesota (Big Ten),13,8-5,233,406,2515,20,6.19,10.79,193.5
Georgia St. (Sun Belt),12,1-11,222,326,2324,23,7.13,10.47,193.7
Michigan (Big Ten),12,5-7,205,343,2324,14,6.78,11.34,193.7
UCF (AAC),13,9-4,243,441,2525,17,5.73,10.39,194.2
Tennessee (SEC),13,7-6,201,377,2551,16,6.77,12.69,196.2
Marshall (C-USA),14,13-1,254,466,2756,21,5.91,10.85,196.9
Pittsburgh (),13,6-7,199,372,2586,17,6.95,12.99,198.9
Virginia Tech (ACC),13,7-6,183,384,2587,13,6.74,14.14,199.0
Louisville (ACC),13,9-4,221,410,2595,14,6.33,11.74,199.6
Houston (AAC),13,8-5,230,412,2601,15,6.31,11.31,200.1
Ohio St. (Big Ten),15,14-1,276,495,3016,17,6.09,10.93,201.1
FIU (C-USA),12,4-8,181,338,2440,17,7.22,13.48,203.3
NC State (ACC),13,8-5,226,405,2661,19,6.57,11.77,204.7
Navy (FBS Independent),13,8-5,247,379,2668,22,7.04,10.80,205.2
Nebraska (Big Ten),13,9-4,214,441,2676,15,6.07,12.50,205.8
Duke (ACC),13,9-4,235,421,2688,14,6.38,11.44,206.8
North Texas (C-USA),12,4-8,216,362,2492,19,6.88,11.54,207.7
Troy (Sun Belt),12,3-9,205,333,2495,19,7.49,12.17,207.9
UConn (AAC),12,2-10,229,389,2505,21,6.44,10.94,208.8
Arkansas (SEC),13,7-6,217,392,2714,19,6.92,12.51,208.8
Syracuse (ACC),12,3-9,225,345,2519,19,7.30,11.20,209.9
Missouri (SEC),14,11-3,288,474,2978,18,6.28,10.34,212.7
South Alabama (Sun Belt),13,6-7,216,386,2767,19,7.17,12.81,212.8
Florida (SEC),12,7-5,228,429,2563,15,5.97,11.24,213.6
Northwestern (Big Ten),12,5-7,220,397,2572,17,6.48,11.69,214.3
Kentucky (SEC),12,5-7,217,377,2589,22,6.87,11.93,215.8
Arkansas St. (Sun Belt),13,7-6,238,410,2808,18,6.85,11.80,216.0
Kent St. (MAC),11,2-9,188,331,2379,18,7.19,12.65,216.3
Idaho (Sun Belt),11,1-10,159,252,2382,18,9.45,14.98,216.5
Illinois (Big Ten),13,6-7,214,370,2824,20,7.63,13.20,217.2
Western Mich. (MAC),13,8-5,222,412,2829,18,6.87,12.74,217.6
Vanderbilt (SEC),12,3-9,215,346,2620,19,7.57,12.19,218.3
UNLV (Mountain West),13,2-11,194,337,2855,25,8.47,14.72,219.6
South Fla. (AAC),12,4-8,249,362,2638,16,7.29,10.59,219.8
South Carolina (SEC),13,7-6,242,390,2866,16,7.35,11.84,220.5
Akron (MAC),12,5-7,225,402,2670,20,6.64,11.87,222.5
Buffalo (MAC),11,5-6,149,295,2448,17,8.30,16.43,222.5
Purdue (Big Ten),12,3-9,223,390,2687,18,6.89,12.05,223.9
Colorado St. (Mountain West),13,10-3,238,433,2915,14,6.73,12.25,224.2
Utah St. (Mountain West),14,10-4,265,489,3155,16,6.45,11.91,225.4
Alabama (SEC),14,12-2,268,493,3164,19,6.42,11.81,226.0
Florida St. (ACC),14,13-1,248,435,3175,22,7.30,12.80,226.8
Michigan St. (Big Ten),13,11-2,234,444,2955,17,6.66,12.63,227.3
Wyoming (Mountain West),12,4-8,214,325,2733,22,8.41,12.77,227.8
Memphis (AAC),13,10-3,264,494,2964,14,6.00,11.23,228.0
NIU (MAC),14,11-3,265,456,3199,18,7.02,12.07,228.5
Kansas St. (Big 12),13,9-4,273,439,2977,20,6.78,10.90,229.0
UTSA (C-USA),12,4-8,217,377,2754,18,7.31,12.69,229.5
Boston College (ACC),13,7-6,264,423,2987,20,7.06,11.31,229.8
Tulane (AAC),12,3-9,220,377,2759,18,7.32,12.54,229.9
Auburn (SEC),13,8-5,243,421,2991,22,7.10,12.31,230.1
Rutgers (Big Ten),13,8-5,241,402,2996,18,7.45,12.43,230.5
UAB (C-USA),12,6-6,204,384,2772,24,7.22,13.59,231.0
West Virginia (Big 12),13,7-6,241,455,3006,18,6.61,12.47,231.2
Virginia (ACC),12,5-7,218,394,2790,19,7.08,12.80,232.5
Central Mich. (MAC),13,7-6,249,423,3023,24,7.15,12.14,232.5
Boise St. (Mountain West),14,12-2,280,488,3260,18,6.68,11.64,232.9
TCU (Big 12),13,12-1,216,445,3029,17,6.81,14.02,233.0
Notre Dame (FBS Independent),13,8-5,249,413,3029,23,7.33,12.16,233.0
Rice (C-USA),13,8-5,226,414,3034,27,7.33,13.42,233.4
Maryland (Big Ten),13,7-6,253,456,3046,19,6.68,12.04,234.3
Miami (OH) (MAC),12,2-10,242,392,2812,23,7.17,11.62,234.3
Texas A&M (SEC),13,8-5,242,431,3052,19,7.08,12.61,234.8
Southern Miss. (C-USA),12,3-9,231,363,2821,23,7.77,12.21,235.1
Ball St. (MAC),12,5-7,250,402,2853,16,7.10,11.41,237.8
Army West Point (FBS Independent),12,4-8,244,362,2854,31,7.88,11.70,237.8
Fla. Atlantic (C-USA),12,3-9,238,404,2864,18,7.09,12.03,238.7
Texas St. (Sun Belt),12,7-5,262,416,2919,18,7.02,11.14,243.3
Kansas (Big 12),12,3-9,233,399,2922,22,7.32,12.54,243.5
Georgia Tech (ACC),14,11-3,282,448,3412,19,7.62,12.10,243.7
Louisiana Tech (C-USA),14,9-5,314,528,3420,19,6.48,10.89,244.3
Hawaii (Mountain West),13,4-9,243,421,3196,26,7.59,13.15,245.8
Utah (Pac-12),13,9-4,267,450,3206,23,7.12,12.01,246.6
Oregon St. (Pac-12),12,5-7,256,435,2977,20,6.84,11.63,248.1
New Mexico (Mountain West),12,4-8,217,359,3000,18,8.36,13.82,250.0
UCLA (Pac-12),13,10-3,306,497,3258,22,6.56,10.65,250.6
Indiana (Big Ten),12,4-8,271,440,3013,24,6.85,11.12,251.1
Texas Tech (Big 12),12,4-8,228,386,3038,27,7.87,13.32,253.2
Fresno St. (Mountain West),14,6-8,243,403,3557,32,8.83,14.64,254.1
Cincinnati (AAC),13,9-4,276,454,3320,22,7.31,12.03,255.4
East Carolina (AAC),13,8-5,284,500,3322,20,6.64,11.70,255.5
Massachusetts (MAC),12,3-9,269,442,3069,26,6.94,11.41,255.8
Colorado (Pac-12),12,2-10,244,408,3074,35,7.53,12.60,256.2
