Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Mississippi St. (SEC),13,10-3,44,14,5,9,28,0.636
Tulane (AAC),12,3-9,54,15,11,11,37,0.685
Memphis (AAC),13,10-3,32,12,4,6,22,0.688
FIU (C-USA),12,4-8,39,12,6,9,27,0.692
Arkansas (SEC),13,7-6,33,10,10,3,23,0.697
UCF (AAC),13,9-4,42,8,11,11,30,0.714
Virginia Tech (ACC),13,7-6,42,11,7,12,30,0.714
Temple (AAC),12,6-6,33,9,4,11,24,0.727
Cincinnati (AAC),13,9-4,52,14,9,15,38,0.731
Louisiana (Sun Belt),13,9-4,45,14,9,10,33,0.733
Ole Miss (),13,9-4,34,9,5,11,25,0.735
Western Mich. (MAC),13,8-5,46,16,9,9,34,0.739
Southern California (Pac-12),13,9-4,54,17,12,11,40,0.741
Clemson (ACC),13,10-3,27,8,7,5,20,0.741
Auburn (SEC),13,8-5,54,19,11,10,40,0.741
Washington (Pac-12),14,8-6,58,12,14,17,43,0.741
Western Ky. (C-USA),13,8-5,66,26,16,7,49,0.742
Ball St. (MAC),12,5-7,55,22,10,9,41,0.745
Kansas (Big 12),12,3-9,48,11,11,14,36,0.750
Texas (Big 12),13,6-7,44,16,8,9,33,0.750
Florida St. (ACC),14,13-1,52,17,11,11,39,0.750
Akron (MAC),12,5-7,41,9,13,9,31,0.756
Arizona St. (Pac-12),13,10-3,46,11,15,9,35,0.761
Eastern Mich. (MAC),12,2-10,59,22,10,13,45,0.763
Marshall (C-USA),14,13-1,51,11,15,13,39,0.765
Louisville (ACC),13,9-4,39,9,7,14,30,0.769
Northwestern (Big Ten),12,5-7,48,16,12,9,37,0.771
Southern Miss. (C-USA),12,3-9,53,20,11,10,41,0.774
Georgia (SEC),13,10-3,40,17,10,4,31,0.775
Syracuse (ACC),12,3-9,40,8,10,13,31,0.775
