Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
UConn (AAC),12,2-10,37,573,0,15.49
Tulsa (AAC),12,2-10,37,578,0,15.62
Iowa (Big Ten),13,7-6,23,370,0,16.09
Arkansas St. (Sun Belt),13,7-6,42,685,0,16.31
North Texas (CUSA),12,4-8,41,671,0,16.37
South Alabama (Sun Belt),13,6-7,49,803,0,16.39
UNLV (Mountain West),13,2-11,49,821,0,16.76
Louisiana (Sun Belt),13,9-4,38,655,0,17.24
Ohio St. (Big Ten),15,14-1,70,1207,0,17.24
North Carolina (ACC),13,6-7,34,592,0,17.41
UTEP (CUSA),13,7-6,19,332,0,17.47
Utah St. (Mountain West),14,10-4,42,737,0,17.55
Fresno St. (Mountain West),14,6-8,48,849,0,17.69
Mississippi St. (SEC),13,10-3,58,1038,0,17.90
Iowa St. (Big 12),12,2-10,40,718,1,17.95
Kansas St. (Big 12),13,9-4,60,1078,0,17.97
Memphis (AAC),13,10-3,33,598,0,18.12
BYU (FBS Independent),13,8-5,67,1235,0,18.43
Boston College (ACC),13,7-6,47,872,0,18.55
Baylor (Big 12),13,11-2,81,1504,1,18.57
Florida St. (ACC),14,13-1,45,846,0,18.80
Virginia (ACC),12,5-7,32,602,1,18.81
Tennessee (SEC),13,7-6,54,1016,0,18.81
NC State (ACC),13,8-5,27,508,0,18.81
Minnesota (Big Ten),13,8-5,30,566,0,18.87
Toledo (MAC),13,9-4,47,888,0,18.89
Arizona (Pac-12),14,10-4,40,758,0,18.95
Temple (AAC),12,6-6,48,913,0,19.02
Georgia (SEC),13,10-3,64,1232,0,19.25
Akron (MAC),12,5-7,43,828,0,19.26
New Mexico (Mountain West),12,4-8,23,444,0,19.30
NIU (MAC),14,11-3,71,1376,2,19.38
Northwestern (Big Ten),12,5-7,35,682,1,19.49
LSU (SEC),13,8-5,29,569,0,19.62
Massachusetts (MAC),12,3-9,52,1022,0,19.65
Texas A&M (SEC),13,8-5,36,709,0,19.69
Ohio (MAC),12,6-6,33,651,0,19.73
Purdue (Big Ten),12,3-9,37,731,0,19.76
Buffalo (MAC),11,5-6,39,772,0,19.79
Miami (OH) (MAC),12,2-10,45,892,2,19.82
Pittsburgh (),13,6-7,36,716,1,19.89
Clemson (ACC),13,10-3,41,816,1,19.90
Wisconsin (Big Ten),14,11-3,63,1254,0,19.90
Syracuse (ACC),12,3-9,32,637,1,19.91
Nevada (Mountain West),13,7-6,46,918,0,19.96
FIU (CUSA),12,4-8,48,964,0,20.08
TCU (Big 12),13,12-1,57,1151,0,20.19
Georgia St. (Sun Belt),12,1-11,28,566,0,20.21
Western Ky. (CUSA),13,8-5,81,1638,3,20.22
Washington (Pac-12),14,8-6,63,1279,0,20.30
San Jose St. (Mountain West),12,3-9,26,528,0,20.31
Virginia Tech (ACC),13,7-6,46,937,0,20.37
Oregon St. (Pac-12),12,5-7,36,740,0,20.56
Boise St. (Mountain West),14,12-2,36,741,1,20.58
Wake Forest (ACC),12,3-9,25,515,0,20.60
Air Force (Mountain West),13,10-3,36,745,0,20.69
California (Pac-12),12,5-7,48,994,0,20.71
Utah (Pac-12),13,9-4,35,727,1,20.77
Colorado St. (Mountain West),13,10-3,42,873,0,20.79
Texas Tech (Big 12),12,4-8,35,734,0,20.97
Middle Tenn. (CUSA),12,6-6,56,1175,0,20.98
Oklahoma St. (Big 12),13,7-6,56,1178,2,21.04
UCF (AAC),13,9-4,56,1182,0,21.11
Marshall (CUSA),14,13-1,56,1182,0,21.11
Nebraska (Big Ten),13,9-4,59,1248,1,21.15
Stanford (Pac-12),13,8-5,25,529,1,21.16
UTSA (CUSA),12,4-8,31,656,0,21.16
Texas St. (Sun Belt),12,7-5,24,508,0,21.17
Ole Miss (),13,9-4,42,893,0,21.26
Oklahoma (Big 12),13,8-5,26,554,0,21.31
Michigan (Big Ten),12,5-7,29,620,0,21.38
Oregon (Pac-12),15,13-2,93,1989,0,21.39
Idaho (Sun Belt),11,1-10,38,813,0,21.39
Colorado (Pac-12),12,2-10,28,600,0,21.43
Houston (AAC),13,8-5,52,1117,0,21.48
Alabama (SEC),14,12-2,60,1291,1,21.52
UCLA (Pac-12),13,10-3,30,646,1,21.53
San Diego St. (Mountain West),13,7-6,49,1057,0,21.57
Vanderbilt (SEC),12,3-9,26,561,0,21.58
Western Mich. (MAC),13,8-5,57,1230,0,21.58
ULM (Sun Belt),12,4-8,22,476,0,21.64
Central Mich. (MAC),13,7-6,43,933,0,21.70
SMU (AAC),12,1-11,27,586,1,21.70
Auburn (SEC),13,8-5,33,717,0,21.73
Bowling Green (MAC),14,8-6,69,1500,0,21.74
South Fla. (AAC),12,4-8,24,522,0,21.75
Army West Point (FBS Independent),12,4-8,41,892,0,21.76
Washington St. (Pac-12),12,3-9,53,1156,3,21.81
Louisiana Tech (CUSA),14,9-5,76,1662,1,21.87
Kent St. (MAC),11,2-9,30,660,0,22.00
Navy (FBS Independent),13,8-5,52,1159,0,22.29
West Virginia (Big 12),13,7-6,49,1094,1,22.33
Florida (SEC),12,7-5,47,1053,1,22.40
Rutgers (Big Ten),13,8-5,51,1143,0,22.41
Michigan St. (Big Ten),13,11-2,51,1144,0,22.43
East Carolina (AAC),13,8-5,56,1258,0,22.46
Southern California (Pac-12),13,9-4,59,1326,1,22.47
South Carolina (SEC),13,7-6,32,720,2,22.50
Kentucky (SEC),12,5-7,39,878,2,22.51
Louisville (ACC),13,9-4,45,1017,0,22.60
Georgia Tech (ACC),14,11-3,33,747,0,22.64
New Mexico St. (Sun Belt),12,2-10,36,815,1,22.64
Fla. Atlantic (CUSA),12,3-9,36,815,0,22.64
Cincinnati (AAC),13,9-4,47,1069,0,22.74
Maryland (Big Ten),13,7-6,45,1029,0,22.87
Indiana (Big Ten),12,4-8,24,550,0,22.92
Ball St. (MAC),12,5-7,41,946,1,23.07
Duke (ACC),13,9-4,51,1186,0,23.25
Arizona St. (Pac-12),13,10-3,55,1280,1,23.27
Illinois (Big Ten),13,6-7,27,629,1,23.30
Notre Dame (FBS Independent),13,8-5,26,609,1,23.42
Arkansas (SEC),13,7-6,50,1192,1,23.84
Wyoming (Mountain West),12,4-8,34,830,1,24.41
Miami (FL) (ACC),13,6-7,51,1253,1,24.57
Missouri (SEC),14,11-3,34,845,0,24.85
Troy (Sun Belt),12,3-9,34,851,0,25.03
UAB (CUSA),12,6-6,36,902,1,25.06
Eastern Mich. (MAC),12,2-10,16,405,1,25.31
Tulane (AAC),12,3-9,21,538,0,25.62
