Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Oregon (Pac-12),15,13-2,21,13,34,7,4,11,23,1.53
Michigan St. (Big Ten),13,11-2,16,18,34,6,9,15,19,1.46
TCU (Big 12),13,12-1,14,26,40,11,11,22,18,1.38
Georgia (SEC),13,10-3,13,16,29,7,6,13,16,1.23
Louisiana Tech (C-USA),14,9-5,16,26,42,13,13,26,16,1.14
Arizona St. (Pac-12),13,10-3,13,14,27,4,9,13,14,1.08
Baylor (Big 12),13,11-2,13,13,26,5,8,13,13,1.00
FIU (C-USA),12,4-8,19,14,33,12,10,22,11,0.92
NIU (MAC),14,11-3,10,14,24,9,3,12,12,0.86
Washington (Pac-12),14,8-6,16,13,29,11,6,17,12,0.86
Southern California (Pac-12),13,9-4,9,14,23,7,5,12,11,0.85
Nevada (Mountain West),13,7-6,14,13,27,5,11,16,11,0.85
Memphis (AAC),13,10-3,14,17,31,11,9,20,11,0.85
Georgia Tech (ACC),14,11-3,11,18,29,12,6,18,11,0.79
Minnesota (Big Ten),13,8-5,15,15,30,11,9,20,10,0.77
Ball St. (MAC),12,5-7,14,10,24,8,7,15,9,0.75
Bowling Green (MAC),14,8-6,17,16,33,10,13,23,10,0.71
UTEP (C-USA),13,7-6,10,11,21,6,6,12,9,0.69
Kentucky (SEC),12,5-7,8,15,23,4,11,15,8,0.67
Missouri (SEC),14,11-3,13,12,25,3,13,16,9,0.64
Utah St. (Mountain West),14,10-4,11,19,30,10,11,21,9,0.64
Houston (AAC),13,8-5,11,19,30,7,15,22,8,0.62
Kansas St. (Big 12),13,9-4,6,15,21,5,8,13,8,0.62
Rice (C-USA),13,8-5,11,9,20,4,8,12,8,0.62
Texas St. (Sun Belt),12,7-5,6,13,19,5,7,12,7,0.58
Arizona (Pac-12),14,10-4,13,13,26,8,10,18,8,0.57
Auburn (SEC),13,8-5,5,22,27,13,7,20,7,0.54
Ole Miss (),13,9-4,10,22,32,10,15,25,7,0.54
Arkansas (SEC),13,7-6,12,12,24,11,6,17,7,0.54
Boise St. (Mountain West),14,12-2,9,22,31,9,15,24,7,0.50
Florida (SEC),12,7-5,14,16,30,10,14,24,6,0.50
Ohio St. (Big Ten),15,14-1,8,25,33,14,12,26,7,0.47
Arkansas St. (Sun Belt),13,7-6,12,16,28,14,8,22,6,0.46
Duke (ACC),13,9-4,10,11,21,7,8,15,6,0.46
Clemson (ACC),13,10-3,12,12,24,6,12,18,6,0.46
Virginia (ACC),12,5-7,14,15,29,8,16,24,5,0.42
Western Ky. (C-USA),13,8-5,10,13,23,8,10,18,5,0.38
NC State (ACC),13,8-5,10,10,20,9,6,15,5,0.38
Utah (Pac-12),13,9-4,9,12,21,8,8,16,5,0.38
Oregon St. (Pac-12),12,5-7,7,11,18,6,8,14,4,0.33
Troy (Sun Belt),12,3-9,7,11,18,10,4,14,4,0.33
Northwestern (Big Ten),12,5-7,12,15,27,9,14,23,4,0.33
Louisville (ACC),13,9-4,4,26,30,16,10,26,4,0.31
San Diego St. (Mountain West),13,7-6,12,14,26,7,15,22,4,0.31
Temple (AAC),12,6-6,19,11,30,11,16,27,3,0.25
Kansas (Big 12),12,3-9,12,9,21,5,13,18,3,0.25
Tulane (AAC),12,3-9,11,17,28,7,18,25,3,0.25
LSU (SEC),13,8-5,10,10,20,8,9,17,3,0.23
Western Mich. (MAC),13,8-5,10,13,23,10,10,20,3,0.23
Louisiana (Sun Belt),13,9-4,10,7,17,5,9,14,3,0.23
Miami (OH) (MAC),12,2-10,11,11,22,10,10,20,2,0.17
Army West Point (FBS Independent),12,4-8,4,11,15,11,2,13,2,0.17
Colorado St. (Mountain West),13,10-3,6,13,19,10,7,17,2,0.15
Tennessee (SEC),13,7-6,8,16,24,8,14,22,2,0.15
Cincinnati (AAC),13,9-4,16,8,24,8,14,22,2,0.15
New Mexico (Mountain West),12,4-8,8,11,19,12,6,18,1,0.08
Boston College (ACC),13,7-6,5,9,14,3,10,13,1,0.08
Air Force (Mountain West),13,10-3,8,10,18,13,4,17,1,0.08
UCLA (Pac-12),13,10-3,5,11,16,10,6,16,0,0.00
Iowa St. (Big 12),12,2-10,6,10,16,5,11,16,0,0.00
South Fla. (AAC),12,4-8,14,6,20,9,11,20,0,0.00
North Texas (C-USA),12,4-8,10,12,22,9,13,22,0,0.00
Mississippi St. (SEC),13,10-3,7,16,23,11,12,23,0,0.00
