Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Georgia Tech (ACC),14,11-3,171,99,0.579
Auburn (SEC),13,8-5,179,94,0.525
Ohio St. (Big Ten),15,14-1,198,103,0.520
Alabama (SEC),14,12-2,198,102,0.515
Marshall (C-USA),14,13-1,183,94,0.514
Western Ky. (C-USA),13,8-5,180,92,0.511
Michigan St. (Big Ten),13,11-2,194,97,0.500
Georgia (SEC),13,10-3,163,81,0.497
Oregon (Pac-12),15,13-2,198,98,0.495
Colorado St. (Mountain West),13,10-3,174,85,0.489
Navy (FBS Independent),13,8-5,158,76,0.481
Western Mich. (MAC),13,8-5,177,85,0.480
NIU (MAC),14,11-3,226,108,0.478
Notre Dame (FBS Independent),13,8-5,190,90,0.474
Arkansas (SEC),13,7-6,187,88,0.471
Air Force (Mountain West),13,10-3,213,100,0.469
Baylor (Big 12),13,11-2,213,100,0.469
East Carolina (AAC),13,8-5,194,91,0.469
Southern California (Pac-12),13,9-4,208,97,0.466
Georgia St. (Sun Belt),12,1-11,172,80,0.465
Pittsburgh (),13,6-7,170,79,0.465
Mississippi St. (SEC),13,10-3,196,91,0.464
California (Pac-12),12,5-7,191,88,0.461
Toledo (MAC),13,9-4,187,86,0.460
Kansas St. (Big 12),13,9-4,172,79,0.459
NC State (ACC),13,8-5,177,81,0.458
Buffalo (MAC),11,5-6,164,75,0.457
Florida St. (ACC),14,13-1,175,80,0.457
Rice (C-USA),13,8-5,201,90,0.448
Iowa (Big Ten),13,7-6,201,90,0.448
Boise St. (Mountain West),14,12-2,205,91,0.444
Middle Tenn. (C-USA),12,6-6,169,75,0.444
Texas Tech (Big 12),12,4-8,174,76,0.437
San Jose St. (Mountain West),12,3-9,195,85,0.436
Central Mich. (MAC),13,7-6,161,70,0.435
South Carolina (SEC),13,7-6,175,76,0.434
BYU (FBS Independent),13,8-5,205,89,0.434
UAB (C-USA),12,6-6,192,83,0.432
TCU (Big 12),13,12-1,197,85,0.431
UCLA (Pac-12),13,10-3,202,87,0.431
Missouri (SEC),14,11-3,217,93,0.429
San Diego St. (Mountain West),13,7-6,179,76,0.425
North Carolina (ACC),13,6-7,198,84,0.424
Stanford (Pac-12),13,8-5,165,70,0.424
West Virginia (Big 12),13,7-6,229,97,0.424
Iowa St. (Big 12),12,2-10,201,85,0.423
Louisiana (Sun Belt),13,9-4,180,76,0.422
UTEP (C-USA),13,7-6,192,81,0.422
Washington St. (Pac-12),12,3-9,186,78,0.419
Clemson (ACC),13,10-3,222,93,0.419
Virginia (ACC),12,5-7,196,82,0.418
Duke (ACC),13,9-4,201,84,0.418
Idaho (Sun Belt),11,1-10,180,75,0.417
UCF (AAC),13,9-4,205,85,0.415
New Mexico St. (Sun Belt),12,2-10,203,84,0.414
Nevada (Mountain West),13,7-6,208,86,0.413
Nebraska (Big Ten),13,9-4,184,76,0.413
Cincinnati (AAC),13,9-4,177,73,0.412
Washington (Pac-12),14,8-6,214,88,0.411
Houston (AAC),13,8-5,193,79,0.409
Army West Point (FBS Independent),12,4-8,154,63,0.409
Utah (Pac-12),13,9-4,218,89,0.408
Texas A&M (SEC),13,8-5,179,73,0.408
Oklahoma (Big 12),13,8-5,178,72,0.404
Minnesota (Big Ten),13,8-5,176,71,0.403
Louisiana Tech (C-USA),14,9-5,197,79,0.401
Colorado (Pac-12),12,2-10,202,81,0.401
Northwestern (Big Ten),12,5-7,210,84,0.400
LSU (SEC),13,8-5,178,71,0.399
Wyoming (Mountain West),12,4-8,191,76,0.398
Ohio (MAC),12,6-6,174,69,0.397
Penn St. (Big Ten),13,7-6,215,85,0.395
Louisville (ACC),13,9-4,198,78,0.394
Michigan (Big Ten),12,5-7,155,61,0.394
Ole Miss (),13,9-4,183,72,0.393
Texas St. (Sun Belt),12,7-5,177,69,0.390
Virginia Tech (ACC),13,7-6,213,83,0.390
Tennessee (SEC),13,7-6,208,81,0.389
Troy (Sun Belt),12,3-9,180,70,0.389
North Texas (C-USA),12,4-8,181,70,0.387
Fla. Atlantic (C-USA),12,3-9,182,70,0.385
Tulsa (AAC),12,2-10,203,78,0.384
Ball St. (MAC),12,5-7,185,71,0.384
Wisconsin (Big Ten),14,11-3,178,68,0.382
Arizona St. (Pac-12),13,10-3,199,76,0.382
Arizona (Pac-12),14,10-4,234,89,0.380
Arkansas St. (Sun Belt),13,7-6,207,78,0.377
Bowling Green (MAC),14,8-6,231,87,0.377
Fresno St. (Mountain West),14,6-8,242,91,0.376
South Fla. (AAC),12,4-8,173,65,0.376
New Mexico (Mountain West),12,4-8,152,56,0.368
Miami (FL) (ACC),13,6-7,163,60,0.368
Memphis (AAC),13,10-3,207,76,0.367
South Alabama (Sun Belt),13,6-7,189,69,0.365
Florida (SEC),12,7-5,192,70,0.365
Purdue (Big Ten),12,3-9,188,68,0.362
Boston College (ACC),13,7-6,177,64,0.362
Illinois (Big Ten),13,6-7,186,67,0.360
Massachusetts (MAC),12,3-9,175,63,0.360
Rutgers (Big Ten),13,8-5,170,61,0.359
Eastern Mich. (MAC),12,2-10,177,63,0.356
UNLV (Mountain West),13,2-11,215,76,0.353
Southern Miss. (C-USA),12,3-9,182,63,0.346
ULM (Sun Belt),12,4-8,200,69,0.345
Miami (OH) (MAC),12,2-10,163,56,0.344
Texas (Big 12),13,6-7,201,69,0.343
Kansas (Big 12),12,3-9,201,69,0.343
Akron (MAC),12,5-7,178,61,0.343
Syracuse (ACC),12,3-9,179,61,0.341
Kentucky (SEC),12,5-7,183,62,0.339
Hawaii (Mountain West),13,4-9,231,77,0.333
Tulane (AAC),12,3-9,187,62,0.332
Oklahoma St. (Big 12),13,7-6,194,64,0.330
Utah St. (Mountain West),14,10-4,191,63,0.330
SMU (AAC),12,1-11,187,61,0.326
Maryland (Big Ten),13,7-6,184,60,0.326
FIU (C-USA),12,4-8,184,59,0.321
Oregon St. (Pac-12),12,5-7,166,53,0.319
UConn (AAC),12,2-10,164,50,0.305
Indiana (Big Ten),12,4-8,181,55,0.304
Vanderbilt (SEC),12,3-9,152,46,0.303
Kent St. (MAC),11,2-9,152,46,0.303
Wake Forest (ACC),12,3-9,183,52,0.284
UTSA (C-USA),12,4-8,177,50,0.282
Temple (AAC),12,6-6,166,39,0.235
Ga. Southern (Sun Belt),12,9-3,148,73,0.493
App State (Sun Belt),12,7-5,172,84,0.488
Old Dominion (C-USA),12,6-6,149,62,0.416
Charlotte (FBS Independent),11,5-6,152,50,0.329
