Team,Games,Win-Loss,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Buffalo (MAC),13,8-5,4,18,0.222
Baylor (Big 12),13,11-2,7,28,0.250
Alabama (SEC),13,11-2,5,19,0.263
Kansas (Big 12),12,3-9,2,7,0.286
Kent St. (MAC),12,4-8,4,13,0.308
North Texas (C-USA),13,9-4,4,13,0.308
Texas St. (Sun Belt),12,6-6,9,29,0.310
Michigan St. (Big Ten),14,13-1,6,19,0.316
Notre Dame (FBS Independent),13,9-4,6,19,0.316
Nevada (Mountain West),12,4-8,6,18,0.333
North Carolina (ACC),13,7-6,7,21,0.333
ULM (Sun Belt),12,6-6,4,12,0.333
Washington (Pac-12),13,9-4,9,26,0.346
BYU (FBS Independent),13,8-5,8,23,0.348
Bowling Green (MAC),14,10-4,8,23,0.348
Oklahoma (Big 12),13,11-2,5,14,0.357
UNLV (Mountain West),13,7-6,10,28,0.357
Southern California (Pac-12),14,10-4,8,22,0.364
Pittsburgh (ACC),13,7-6,7,19,0.368
Virginia Tech (ACC),13,8-5,6,16,0.375
Nebraska (Big Ten),13,9-4,8,21,0.381
Louisiana (Sun Belt),13,9-4,10,26,0.385
Texas (Big 12),13,8-5,5,13,0.385
Michigan (Big Ten),13,7-6,6,15,0.400
UConn (AAC),12,3-9,8,20,0.400
UCF (AAC),13,12-1,8,20,0.400
Maryland (ACC),13,7-6,7,17,0.412
Akron (MAC),12,5-7,7,17,0.412
Syracuse (ACC),13,7-6,8,19,0.421
Troy (Sun Belt),12,6-6,8,19,0.421
Central Mich. (MAC),12,6-6,8,19,0.421
Penn St. (Big Ten),12,7-5,6,14,0.429
Arkansas St. (Sun Belt),13,8-5,9,21,0.429
LSU (SEC),13,10-3,9,21,0.429
Virginia (ACC),12,2-10,6,14,0.429
Rice (C-USA),14,10-4,13,30,0.433
Fla. Atlantic (C-USA),12,6-6,7,16,0.438
Indiana (Big Ten),12,5-7,13,29,0.448
Texas Tech (Big 12),13,8-5,13,29,0.448
Wisconsin (Big Ten),13,9-4,9,20,0.450
