Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Florida St. (ACC),14,14-0,222,427,2193,14,5.14,9.88,156.6
Fla. Atlantic (C-USA),12,6-6,162,344,1938,11,5.63,11.96,161.5
Michigan St. (Big Ten),14,13-1,213,448,2319,12,5.18,10.89,165.6
Western Mich. (MAC),12,1-11,167,307,2030,16,6.61,12.16,169.2
Louisville (AAC),13,12-1,189,373,2220,8,5.95,11.75,170.8
Bowling Green (MAC),14,10-4,232,422,2392,11,5.67,10.31,170.9
Florida (SEC),12,4-8,159,319,2062,9,6.46,12.97,171.8
Virginia Tech (ACC),13,8-5,175,361,2245,12,6.22,12.83,172.7
Iowa (Big Ten),13,8-5,217,395,2271,20,5.75,10.47,174.7
Western Ky. (Sun Belt),12,8-4,181,312,2135,10,6.84,11.80,177.9
Alabama (SEC),13,11-2,197,355,2344,13,6.60,11.90,180.3
South Carolina (SEC),13,11-2,221,369,2550,15,6.91,11.54,196.2
LSU (SEC),13,10-3,223,398,2567,15,6.45,11.51,197.5
Army West Point (FBS Independent),12,3-9,155,251,2370,19,9.44,15.29,197.5
Notre Dame (FBS Independent),13,9-4,240,408,2576,19,6.31,10.73,198.2
Clemson (ACC),13,11-2,202,378,2613,14,6.91,12.94,201.0
Wisconsin (Big Ten),13,9-4,227,425,2633,16,6.20,11.60,202.5
Rice (C-USA),14,10-4,213,412,2838,21,6.89,13.32,202.7
Middle Tenn. (C-USA),13,8-5,245,389,2644,16,6.80,10.79,203.4
Central Mich. (MAC),12,6-6,200,326,2447,16,7.51,12.24,203.9
Oregon (Pac-12),13,11-2,271,479,2659,14,5.55,9.81,204.5
Mississippi St. (SEC),13,7-6,240,388,2667,18,6.87,11.11,205.2
Vanderbilt (SEC),13,9-4,272,449,2690,18,5.99,9.89,206.9
Marshall (C-USA),14,10-4,230,446,2913,17,6.53,12.67,208.1
Southern Miss. (C-USA),12,1-11,212,323,2531,24,7.84,11.94,210.9
South Fla. (AAC),12,2-10,215,342,2532,19,7.40,11.78,211.0
Kent St. (MAC),12,4-8,176,324,2533,19,7.82,14.39,211.1
Tennessee (SEC),12,5-7,200,354,2533,18,7.16,12.67,211.1
Cincinnati (AAC),13,9-4,254,438,2745,16,6.27,10.81,211.2
Oklahoma (Big 12),13,11-2,225,409,2763,17,6.76,12.28,212.5
Louisiana Tech (C-USA),12,4-8,204,357,2562,12,7.18,12.56,213.5
Southern California (Pac-12),14,10-4,293,516,3004,20,5.82,10.25,214.6
Nebraska (Big Ten),13,9-4,210,388,2790,17,7.19,13.29,214.6
Baylor (Big 12),13,11-2,212,440,2794,23,6.35,13.18,214.9
Minnesota (Big Ten),13,8-5,247,405,2796,16,6.90,11.32,215.1
Ole Miss (SEC),13,8-5,245,403,2802,10,6.95,11.44,215.5
Navy (FBS Independent),13,9-4,273,397,2807,23,7.07,10.28,215.9
Buffalo (MAC),13,8-5,197,379,2810,15,7.41,14.26,216.2
Texas Tech (Big 12),13,8-5,248,439,2822,16,6.43,11.38,217.1
UCLA (Pac-12),13,10-3,266,436,2829,16,6.49,10.64,217.6
UNLV (Mountain West),13,7-6,224,423,2830,21,6.69,12.63,217.7
Massachusetts (MAC),12,1-11,189,308,2613,22,8.48,13.83,217.8
Ohio (MAC),13,7-6,229,389,2833,24,7.28,12.37,217.9
Pittsburgh (ACC),13,7-6,225,386,2841,20,7.36,12.63,218.5
Ball St. (MAC),13,10-3,265,433,2841,14,6.56,10.72,218.5
BYU (FBS Independent),13,8-5,279,490,2846,19,5.81,10.20,218.9
NC State (ACC),12,3-9,227,383,2631,19,6.87,11.59,219.3
Kansas St. (Big 12),13,8-5,277,458,2857,13,6.24,10.31,219.8
UTEP (C-USA),12,2-10,161,273,2646,26,9.69,16.43,220.5
North Carolina (ACC),13,7-6,237,424,2869,16,6.77,12.11,220.7
Wake Forest (ACC),12,4-8,262,417,2676,20,6.42,10.21,223.0
Utah St. (Mountain West),14,9-5,261,483,3138,17,6.50,12.02,224.1
Texas (Big 12),13,8-5,238,419,2914,13,6.95,12.24,224.2
FIU (C-USA),12,1-11,206,317,2691,28,8.49,13.06,224.3
Purdue (Big Ten),12,1-11,233,357,2694,27,7.55,11.56,224.5
South Alabama (Sun Belt),12,6-6,218,370,2695,20,7.28,12.36,224.6
Maryland (ACC),13,7-6,269,435,2926,18,6.73,10.88,225.1
TCU (Big 12),12,4-8,213,412,2707,14,6.57,12.71,225.6
Washington (Pac-12),13,9-4,279,507,2954,15,5.83,10.59,227.2
Georgia (SEC),13,8-5,221,382,2956,18,7.74,13.38,227.4
North Texas (C-USA),13,9-4,267,455,2961,15,6.51,11.09,227.8
Tulane (C-USA),13,7-6,240,427,2969,13,6.95,12.37,228.4
Syracuse (ACC),13,7-6,250,428,2987,22,6.98,11.95,229.8
Kentucky (SEC),12,2-10,221,336,2758,22,8.21,12.48,229.8
Tulsa (C-USA),12,3-9,241,414,2768,25,6.69,11.49,230.7
