Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Bowling Green (MAC),14,10-4,476:43,34:03
Louisville (AAC),13,12-1,439:41,33:49
Florida (SEC),12,4-8,405:48,33:49
Wisconsin (Big Ten),13,9-4,436:24,33:34
Virginia (ACC),12,2-10,400:34,33:22
Georgia Tech (ACC),13,7-6,433:11,33:19
Michigan St. (Big Ten),14,13-1,466:26,33:19
Virginia Tech (ACC),13,8-5,433:01,33:18
Mississippi St. (SEC),13,7-6,432:30,33:16
Southern California (Pac-12),14,10-4,463:00,33:04
Minnesota (Big Ten),13,8-5,427:33,32:53
Rice (C-USA),14,10-4,458:58,32:47
UTEP (C-USA),12,2-10,389:18,32:26
Nevada (Mountain West),12,4-8,389:05,32:25
Oregon St. (Pac-12),13,7-6,421:10,32:23
Western Ky. (Sun Belt),12,8-4,388:25,32:22
New Mexico (Mountain West),12,3-9,388:09,32:20
Oklahoma (Big 12),13,11-2,419:54,32:18
North Texas (C-USA),13,9-4,418:56,32:13
UCF (AAC),13,12-1,418:33,32:11
Army West Point (FBS Independent),12,3-9,385:48,32:09
San Diego St. (Mountain West),13,8-5,416:33,32:02
South Carolina (SEC),13,11-2,416:12,32:00
Alabama (SEC),13,11-2,416:04,32:00
Texas St. (Sun Belt),12,6-6,382:53,31:54
NC State (ACC),12,3-9,382:38,31:53
Stanford (Pac-12),14,11-3,444:39,31:45
Kansas St. (Big 12),13,8-5,412:29,31:43
Vanderbilt (SEC),13,9-4,411:58,31:41
Fla. Atlantic (C-USA),12,6-6,380:02,31:40
Navy (FBS Independent),13,9-4,410:53,31:36
Buffalo (MAC),13,8-5,410:05,31:32
Ohio St. (Big Ten),14,12-2,439:44,31:24
Michigan (Big Ten),13,7-6,406:43,31:17
Cincinnati (AAC),13,9-4,406:42,31:17
Idaho (FBS Independent),12,1-11,375:00,31:15
Iowa (Big Ten),13,8-5,406:09,31:14
Utah St. (Mountain West),14,9-5,437:00,31:12
Iowa St. (Big 12),12,3-9,373:19,31:06
FIU (C-USA),12,1-11,370:35,30:52
Colorado St. (Mountain West),14,8-6,431:35,30:49
Pittsburgh (ACC),13,7-6,400:17,30:47
San Jose St. (Mountain West),12,6-6,367:36,30:38
Kent St. (MAC),12,4-8,367:24,30:37
UAB (C-USA),12,2-10,367:06,30:35
Arkansas (SEC),12,3-9,365:17,30:26
Syracuse (ACC),13,7-6,395:36,30:25
TCU (Big 12),12,4-8,364:37,30:23
Auburn (SEC),14,12-2,425:14,30:22
Eastern Mich. (MAC),12,2-10,364:15,30:21
Arizona St. (Pac-12),14,10-4,424:56,30:21
South Alabama (Sun Belt),12,6-6,363:58,30:19
Texas (Big 12),13,8-5,393:45,30:17
