Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Fresno St. (Mountain West),13,11-2,675,460,10,5133,7.60,11.16,50,394.8
Texas Tech (Big 12),13,8-5,714,453,18,5107,7.15,11.27,35,392.8
Oregon St. (Pac-12),13,7-6,625,413,16,4844,7.75,11.73,38,372.6
Washington St. (Pac-12),13,6-7,756,470,24,4784,6.33,10.18,36,368.0
Baylor (Big 12),13,11-2,448,277,6,4668,10.42,16.85,35,359.1
San Jose St. (Mountain West),12,6-6,496,317,14,4271,8.61,13.47,34,355.9
Texas A&M (SEC),13,9-4,489,339,13,4593,9.39,13.55,40,353.3
SMU (AAC),12,5-7,619,400,12,4097,6.62,10.24,23,341.4
Clemson (ACC),13,11-2,493,341,12,4330,8.78,12.70,39,333.1
California (Pac-12),12,1-11,621,368,14,3977,6.40,10.81,22,331.4
East Carolina (C-USA),13,10-3,565,397,10,4265,7.55,10.74,35,328.1
Ball St. (MAC),13,10-3,509,322,8,4214,8.28,13.09,35,324.2
Troy (Sun Belt),12,6-6,483,325,9,3867,8.01,11.90,28,322.3
Florida St. (ACC),14,14-0,442,288,13,4423,10.01,15.36,42,315.9
Georgia (SEC),13,8-5,459,293,12,4085,8.90,13.94,31,314.2
Louisville (AAC),13,12-1,439,311,4,4082,9.30,13.13,33,314.0
Indiana (Big Ten),12,5-7,470,279,14,3680,7.83,13.19,36,306.7
Cincinnati (AAC),13,9-4,469,311,17,3947,8.42,12.69,28,303.6
Hawaii (Mountain West),12,1-11,519,296,22,3617,6.97,12.22,31,301.4
Marshall (C-USA),14,10-4,522,315,10,4122,7.90,13.09,42,294.4
Oregon (Pac-12),13,11-2,405,256,6,3789,9.36,14.80,32,291.5
Illinois (Big Ten),12,4-8,455,302,14,3452,7.59,11.43,23,287.7
Ole Miss (SEC),13,8-5,490,310,13,3683,7.52,11.88,24,283.3
Wyoming (Mountain West),12,5-7,473,297,12,3389,7.16,11.41,29,282.4
UCF (AAC),13,12-1,404,269,11,3661,9.06,13.61,26,281.6
Houston (AAC),13,8-5,518,299,10,3647,7.04,12.20,30,280.5
Boise St. (Mountain West),13,8-5,466,329,11,3610,7.75,10.97,28,277.7
North Carolina (ACC),13,7-6,453,283,11,3606,7.96,12.74,28,277.4
Oklahoma St. (Big 12),13,10-3,484,280,13,3603,7.44,12.87,26,277.2
Colorado St. (Mountain West),14,8-6,480,298,11,3730,7.77,12.52,24,266.4
Bowling Green (MAC),14,10-4,404,255,7,3725,9.22,14.61,27,266.1
Arizona St. (Pac-12),14,10-4,494,309,12,3723,7.54,12.05,28,265.9
Miami (FL) (ACC),13,9-4,384,226,14,3452,8.99,15.27,25,265.5
West Virginia (Big 12),12,4-8,465,252,16,3148,6.77,12.49,16,262.3
Western Ky. (Sun Belt),12,8-4,407,266,16,3140,7.71,11.80,15,261.7
Washington (Pac-12),13,9-4,413,270,8,3384,8.19,12.53,25,260.3
Penn St. (Big Ten),12,7-5,409,241,10,3110,7.60,12.90,21,259.2
San Diego St. (Mountain West),13,8-5,462,260,14,3358,7.27,12.92,19,258.3
Notre Dame (FBS Independent),13,9-4,429,226,13,3313,7.72,14.66,27,254.8
South Carolina (SEC),13,11-2,383,239,4,3300,8.62,13.81,30,253.8
Missouri (SEC),14,12-2,454,267,8,3540,7.80,13.26,31,252.9
South Alabama (Sun Belt),12,6-6,394,231,9,3033,7.70,13.13,16,252.8
UCLA (Pac-12),13,10-3,390,265,9,3274,8.39,12.35,25,251.8
LSU (SEC),13,10-3,326,205,9,3263,10.01,15.92,23,251.0
Nevada (Mountain West),12,4-8,415,275,5,3003,7.24,10.92,17,250.3
Temple (AAC),12,2-10,418,235,11,2996,7.17,12.75,23,249.7
Colorado (Pac-12),12,4-8,411,235,15,2989,7.27,12.72,21,249.1
Maryland (ACC),13,7-6,415,230,10,3231,7.79,14.05,18,248.5
Alabama (SEC),13,11-2,365,244,7,3230,8.85,13.24,30,248.5
Duke (ACC),14,10-4,472,298,19,3474,7.36,11.66,26,248.1
Michigan (Big Ten),13,7-6,395,237,13,3221,8.15,13.59,21,247.8
Ohio (MAC),13,7-6,425,256,13,3190,7.51,12.46,22,245.4
Mississippi St. (SEC),13,7-6,429,253,12,3178,7.41,12.56,18,244.5
Southern Miss. (C-USA),12,1-11,485,249,26,2911,6.00,11.69,19,242.6
New Mexico St. (FBS Independent),12,2-10,407,265,13,2891,7.10,10.91,18,240.9
NC State (ACC),12,3-9,426,249,15,2890,6.78,11.61,14,240.8
UNLV (Mountain West),13,7-6,483,299,10,3105,6.43,10.38,27,238.8
ULM (Sun Belt),12,6-6,471,262,14,2850,6.05,10.88,22,237.5
Pittsburgh (ACC),13,7-6,401,244,9,3074,7.67,12.60,21,236.5
Utah (Pac-12),12,5-7,391,208,21,2835,7.25,13.63,22,236.3
Virginia Tech (ACC),13,8-5,432,243,15,3071,7.11,12.64,16,236.2
Rutgers (AAC),13,6-7,442,240,22,3063,6.93,12.76,22,235.6
UConn (AAC),12,3-9,439,241,18,2810,6.40,11.66,16,234.2
Utah St. (Mountain West),14,9-5,481,297,10,3268,6.79,11.00,30,233.4
Idaho (FBS Independent),12,1-11,424,224,13,2770,6.53,12.37,15,230.8
North Texas (C-USA),13,9-4,402,261,14,2987,7.43,11.44,16,229.8
Vanderbilt (SEC),13,9-4,376,243,16,2958,7.87,12.17,15,227.5
Buffalo (MAC),13,8-5,427,243,8,2955,6.92,12.16,25,227.3
Northwestern (Big Ten),12,5-7,382,241,13,2726,7.14,11.31,15,227.2
Southern California (Pac-12),14,10-4,389,250,9,3180,8.17,12.72,20,227.1
BYU (FBS Independent),13,8-5,447,237,14,2942,6.58,12.41,19,226.3
TCU (Big 12),12,4-8,419,240,17,2715,6.48,11.31,14,226.3
Kansas St. (Big 12),13,8-5,314,197,13,2921,9.30,14.83,22,224.7
NIU (MAC),14,12-2,418,261,8,3116,7.45,11.94,29,222.6
Akron (MAC),12,5-7,419,234,10,2633,6.28,11.25,18,219.4
Iowa St. (Big 12),12,3-9,415,232,14,2630,6.34,11.34,19,219.2
Purdue (Big Ten),12,1-11,426,235,13,2590,6.08,11.02,15,215.8
UAB (C-USA),12,2-10,353,185,9,2578,7.30,13.94,19,214.8
Texas (Big 12),13,8-5,431,246,15,2762,6.41,11.23,18,212.5
Louisiana (Sun Belt),13,9-4,319,196,14,2759,8.65,14.08,21,212.2
Virginia (ACC),12,2-10,506,277,17,2542,5.02,9.18,9,211.8
Michigan St. (Big Ten),14,13-1,430,248,7,2964,6.89,11.95,23,211.7
Western Mich. (MAC),12,1-11,438,215,18,2532,5.78,11.78,12,211.0
Central Mich. (MAC),12,6-6,346,192,17,2500,7.23,13.02,15,208.3
Middle Tenn. (C-USA),13,8-5,403,238,15,2707,6.72,11.37,17,208.2
Toledo (MAC),12,7-5,361,213,10,2481,6.87,11.65,19,206.8
Louisiana Tech (C-USA),12,4-8,448,254,15,2472,5.52,9.73,10,206.0
Ohio St. (Big Ten),14,12-2,368,238,9,2846,7.73,11.96,38,203.3
Arkansas St. (Sun Belt),13,8-5,368,255,7,2627,7.14,10.30,14,202.1
Oklahoma (Big 12),13,11-2,383,225,11,2588,6.76,11.50,24,199.1
Fla. Atlantic (C-USA),12,6-6,353,196,11,2380,6.74,12.14,16,198.3
Stanford (Pac-12),14,11-3,311,190,10,2771,8.91,14.58,21,197.9
Wisconsin (Big Ten),13,9-4,355,217,15,2562,7.22,11.81,22,197.1
Iowa (Big Ten),13,8-5,375,213,15,2562,6.83,12.03,19,197.1
Nebraska (Big Ten),13,9-4,378,218,13,2557,6.76,11.73,25,196.7
Wake Forest (ACC),12,4-8,414,219,14,2359,5.70,10.77,14,196.6
Arizona (Pac-12),13,8-5,383,233,7,2516,6.57,10.80,16,193.5
Kentucky (SEC),12,2-10,343,204,6,2319,6.76,11.37,14,193.3
Tulsa (C-USA),12,3-9,429,210,19,2297,5.35,10.94,12,191.4
Kent St. (MAC),12,4-8,363,209,9,2238,6.17,10.71,14,186.5
Tulane (C-USA),13,7-6,409,219,16,2404,5.88,10.98,19,184.9
Syracuse (ACC),13,7-6,405,242,17,2366,5.84,9.78,13,182.0
Rice (C-USA),14,10-4,347,177,9,2495,7.19,14.10,20,178.2
Eastern Mich. (MAC),12,2-10,336,178,14,2137,6.36,12.01,14,178.1
Memphis (AAC),12,3-9,361,206,11,2078,5.76,10.09,9,173.2
Auburn (SEC),14,12-2,285,173,8,2422,8.50,14.00,20,173.0
Florida (SEC),12,4-8,311,199,9,2051,6.59,10.31,11,170.9
South Fla. (AAC),12,2-10,357,166,16,2002,5.61,12.06,7,166.8
Tennessee (SEC),12,5-7,344,191,17,1979,5.75,10.36,12,164.9
UTEP (C-USA),12,2-10,292,169,10,1959,6.71,11.59,14,163.3
Massachusetts (MAC),12,1-11,339,177,18,1877,5.54,10.60,9,156.4
Boston College (ACC),13,7-6,268,164,8,2012,7.51,12.27,17,154.8
Texas St. (Sun Belt),12,6-6,300,166,11,1857,6.19,11.19,11,154.8
Arkansas (SEC),12,3-9,301,150,11,1782,5.92,11.88,15,148.5
Minnesota (Big Ten),13,8-5,267,137,7,1925,7.21,14.05,12,148.1
FIU (C-USA),12,1-11,293,153,10,1713,5.85,11.20,8,142.8
Kansas (Big 12),12,3-9,329,154,12,1685,5.12,10.94,9,140.4
Georgia Tech (ACC),13,7-6,203,92,13,1695,8.35,18.42,12,130.4
Miami (OH) (MAC),12,0-12,286,131,11,1491,5.21,11.38,8,124.3
New Mexico (Mountain West),12,3-9,177,90,5,1356,7.66,15.07,9,113.0
Air Force (Mountain West),12,2-10,174,93,4,1259,7.24,13.54,8,104.9
Navy (FBS Independent),13,9-4,146,74,4,1117,7.65,15.09,8,85.9
Army West Point (FBS Independent),12,3-9,154,75,4,931,6.05,12.41,4,77.6
Old Dominion (FBS Independent),12,8-4,519,363,8,4313,8.31,11.88,37,359.4
App State (FBS Independent),12,4-8,417,291,7,3261,7.82,11.21,16,271.8
Georgia St. (Sun Belt),12,0-12,430,218,12,3036,7.06,13.93,18,253.0
UTSA (C-USA),12,7-5,412,259,13,2909,7.06,11.23,13,242.4
Ga. Southern (FBS Independent),11,7-4,102,52,4,1002,9.82,19.27,6,91.1
