Team,Games,Win-Loss,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed
Louisville (AAC),13,12-1,779,3269,4.20,18,18,251.5
Michigan St. (Big Ten),14,13-1,873,3531,4.04,20,21,252.2
Florida St. (ACC),14,14-0,963,3940,4.09,21,21,281.4
Virginia Tech (ACC),13,8-5,810,3687,4.55,25,31,283.6
Alabama (SEC),13,11-2,771,3725,4.83,21,23,286.5
Iowa (Big Ten),13,8-5,861,3940,4.58,28,30,303.1
Wisconsin (Big Ten),13,9-4,839,3966,4.73,24,25,305.1
Florida (SEC),12,4-8,712,3771,5.30,26,27,314.3
Cincinnati (AAC),13,9-4,861,4103,4.77,28,34,315.6
Bowling Green (MAC),14,10-4,890,4500,5.06,27,29,321.4
Fla. Atlantic (C-USA),12,6-6,801,3911,4.88,29,32,325.9
Utah St. (Mountain West),14,9-5,1018,4632,4.55,26,28,330.9
Southern California (Pac-12),14,10-4,942,4693,4.98,34,39,335.2
Western Ky. (Sun Belt),12,8-4,763,4070,5.33,34,37,339.2
LSU (SEC),13,10-3,872,4429,5.08,30,32,340.7
Stanford (Pac-12),14,11-3,989,4804,4.86,30,31,343.1
North Texas (C-USA),13,9-4,881,4528,5.14,25,30,348.3
Mississippi St. (SEC),13,7-6,833,4541,5.45,35,36,349.3
South Carolina (SEC),13,11-2,833,4550,5.46,31,32,350.0
Oklahoma (Big 12),13,11-2,846,4552,5.38,34,36,350.2
South Fla. (AAC),12,2-10,777,4209,5.42,35,43,350.8
Tulane (C-USA),13,7-6,931,4577,4.92,30,33,352.1
Vanderbilt (SEC),13,9-4,909,4612,5.07,37,40,354.8
TCU (Big 12),12,4-8,886,4277,4.83,28,33,356.4
Clemson (ACC),13,11-2,921,4637,5.03,36,37,356.7
Kansas St. (Big 12),13,8-5,919,4665,5.08,33,35,358.8
Georgia Tech (ACC),13,7-6,849,4683,5.52,36,38,360.2
Baylor (Big 12),13,11-2,986,4684,4.75,38,41,360.3
UCF (AAC),13,12-1,879,4706,5.35,34,36,362.0
Rice (C-USA),14,10-4,957,5097,5.33,41,43,364.1
Notre Dame (FBS Independent),13,9-4,930,4760,5.12,32,34,366.2
Wake Forest (ACC),12,4-8,878,4394,5.00,33,36,366.2
Syracuse (ACC),13,7-6,897,4773,5.32,41,42,367.2
Pittsburgh (ACC),13,7-6,865,4778,5.52,39,43,367.5
Marshall (C-USA),14,10-4,1053,5160,4.90,37,40,368.6
East Carolina (C-USA),13,10-3,979,4794,4.90,36,39,368.8
Oregon (Pac-12),13,11-2,1042,4811,4.62,31,32,370.1
Ole Miss (SEC),13,8-5,917,4816,5.25,37,38,370.5
Memphis (AAC),12,3-9,857,4448,5.19,34,37,370.7
Nebraska (Big Ten),13,9-4,926,4820,5.21,38,38,370.8
Michigan (Big Ten),13,7-6,912,4829,5.29,37,40,371.5
Arizona St. (Pac-12),14,10-4,942,5213,5.53,45,48,372.4
Minnesota (Big Ten),13,8-5,858,4852,5.66,35,36,373.2
Maryland (ACC),13,7-6,957,4867,5.09,38,38,374.4
Georgia (SEC),13,8-5,902,4882,5.41,43,47,375.5
Ohio St. (Big Ten),14,12-2,1000,5284,5.28,40,42,377.4
BYU (FBS Independent),13,8-5,1028,4925,4.79,30,33,378.8
Penn St. (Big Ten),12,7-5,864,4576,5.30,34,38,381.3
Buffalo (MAC),13,8-5,890,4976,5.59,39,40,382.8
South Alabama (Sun Belt),12,6-6,820,4611,5.62,35,36,384.3
UConn (AAC),12,3-9,836,4615,5.52,40,46,384.6
Oklahoma St. (Big 12),13,10-3,1049,5004,4.77,27,33,384.9
San Diego St. (Mountain West),13,8-5,955,5020,5.26,51,55,386.2
UCLA (Pac-12),13,10-3,990,5032,5.08,35,37,387.1
Washington (Pac-12),13,9-4,1015,5051,4.98,35,37,388.5
Louisiana (Sun Belt),13,9-4,888,5116,5.76,37,43,393.5
Navy (FBS Independent),13,9-4,908,5132,5.65,40,41,394.8
Texas St. (Sun Belt),12,6-6,880,4760,5.41,38,41,396.7
Akron (MAC),12,5-7,865,4764,5.51,43,44,397.0
Utah (Pac-12),12,5-7,887,4772,5.38,35,41,397.7
NC State (ACC),12,3-9,814,4793,5.89,45,48,399.4
Arizona (Pac-12),13,8-5,991,5214,5.26,38,39,401.1
Middle Tenn. (C-USA),13,8-5,987,5235,5.30,41,43,402.7
North Carolina (ACC),13,7-6,993,5241,5.28,35,38,403.2
Virginia (ACC),12,2-10,856,4843,5.66,47,51,403.6
Central Mich. (MAC),12,6-6,831,4862,5.85,39,43,405.2
Ohio (MAC),13,7-6,918,5276,5.75,45,46,405.8
Texas (Big 12),13,8-5,966,5294,5.48,34,39,407.2
Louisiana Tech (C-USA),12,4-8,925,4899,5.30,37,39,408.3
Kent St. (MAC),12,4-8,813,4919,6.05,40,40,409.9
Army West Point (FBS Independent),12,3-9,753,4930,6.55,48,49,410.8
SMU (AAC),12,5-7,887,4951,5.58,47,54,412.6
Rutgers (AAC),13,6-7,944,5366,5.68,48,49,412.8
Arkansas St. (Sun Belt),13,8-5,929,5370,5.78,42,43,413.1
Boise St. (Mountain West),13,8-5,1023,5374,5.25,36,41,413.4
Arkansas (SEC),12,3-9,814,4961,6.09,46,49,413.4
Ball St. (MAC),13,10-3,965,5380,5.58,36,39,413.8
NIU (MAC),14,12-2,1068,5808,5.44,41,43,414.9
Houston (AAC),13,8-5,1034,5405,5.23,33,34,415.8
Colorado St. (Mountain West),14,8-6,1012,5828,5.76,49,52,416.3
Missouri (SEC),14,12-2,1080,5848,5.41,38,39,417.7
Duke (ACC),14,10-4,1033,5852,5.67,42,48,418.0
Tennessee (SEC),12,5-7,827,5021,6.07,43,46,418.4
Texas Tech (Big 12),13,8-5,1015,5441,5.36,48,51,418.5
Western Mich. (MAC),12,1-11,865,5030,5.82,46,55,419.2
Auburn (SEC),14,12-2,989,5890,5.96,38,41,420.7
Toledo (MAC),12,7-5,870,5061,5.82,44,45,421.8
Northwestern (Big Ten),12,5-7,930,5082,5.46,36,40,423.5
Miami (FL) (ACC),13,9-4,964,5543,5.75,42,43,426.4
ULM (Sun Belt),12,6-6,880,5122,5.82,41,46,426.8
Kentucky (SEC),12,2-10,819,5126,6.26,48,49,427.2
Boston College (ACC),13,7-6,941,5577,5.93,45,48,429.0
Tulsa (C-USA),12,3-9,934,5155,5.52,46,52,429.6
FIU (C-USA),12,1-11,784,5156,6.58,54,57,429.7
Fresno St. (Mountain West),13,11-2,992,5600,5.65,48,51,430.8
Kansas (Big 12),12,3-9,892,5191,5.82,45,48,432.6
UNLV (Mountain West),13,7-6,981,5632,5.74,49,55,433.2
Massachusetts (MAC),12,1-11,788,5199,6.60,45,50,433.3
Southern Miss. (C-USA),12,1-11,890,5226,5.87,62,68,435.5
Oregon St. (Pac-12),13,7-6,924,5676,6.14,48,51,436.6
West Virginia (Big 12),12,4-8,920,5460,5.93,47,48,455.0
Washington St. (Pac-12),13,6-7,1006,5954,5.92,48,52,458.0
San Jose St. (Mountain West),12,6-6,898,5511,6.14,55,55,459.3
Purdue (Big Ten),12,1-11,886,5519,6.23,55,61,459.9
Iowa St. (Big 12),12,3-9,918,5557,6.05,50,56,463.1
Colorado (Pac-12),12,4-8,924,5616,6.08,55,58,468.0
UTEP (C-USA),12,2-10,756,5620,7.43,61,62,468.3
Temple (AAC),12,2-10,888,5683,6.40,41,42,473.6
Texas A&M (SEC),13,9-4,973,6185,6.36,54,55,475.8
