Team,Games,Win-Loss,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return
Louisville (AAC),13,12-1,13,15,0,1.15
Utah St. (Mountain West),14,9-5,10,13,0,1.30
Kent St. (MAC),12,4-8,11,24,0,2.18
North Carolina (ACC),13,7-6,18,52,0,2.89
Fresno St. (Mountain West),13,11-2,9,27,0,3.00
LSU (SEC),13,10-3,15,47,0,3.13
Louisiana Tech (CUSA),12,4-8,14,44,0,3.14
Boise St. (Mountain West),13,8-5,13,41,1,3.15
Oregon (Pac-12),13,11-2,8,26,0,3.25
Purdue (Big Ten),12,1-11,23,75,0,3.26
Arizona (Pac-12),13,8-5,15,50,0,3.33
Penn St. (Big Ten),12,7-5,12,40,0,3.33
Florida (SEC),12,4-8,13,49,0,3.77
Northwestern (Big Ten),12,5-7,16,61,1,3.81
Air Force (Mountain West),12,2-10,9,35,0,3.89
UCLA (Pac-12),13,10-3,16,63,0,3.94
Hawaii (Mountain West),12,1-11,23,93,0,4.04
Houston (AAC),13,8-5,18,73,0,4.06
Georgia (SEC),13,8-5,10,43,2,4.30
Alabama (SEC),13,11-2,13,58,0,4.46
Ohio (MAC),13,7-6,15,68,0,4.53
Temple (AAC),12,2-10,24,109,0,4.54
UTEP (CUSA),12,2-10,22,104,1,4.73
Iowa (Big Ten),13,8-5,21,103,0,4.90
Kansas (Big 12),12,3-9,35,172,0,4.91
UCF (AAC),13,12-1,18,91,1,5.06
West Virginia (Big 12),12,4-8,29,147,0,5.07
South Fla. (AAC),12,2-10,26,138,0,5.31
Washington (Pac-12),13,9-4,19,102,0,5.37
Massachusetts (MAC),12,1-11,20,108,0,5.40
Clemson (ACC),13,11-2,16,87,0,5.44
NC State (ACC),12,3-9,22,122,0,5.55
Boston College (ACC),13,7-6,28,157,0,5.61
Maryland (ACC),13,7-6,28,159,0,5.68
FIU (CUSA),12,1-11,27,155,0,5.74
Illinois (Big Ten),12,4-8,20,117,0,5.85
Mississippi St. (SEC),13,7-6,13,78,1,6.00
North Texas (CUSA),13,9-4,21,129,0,6.14
Kentucky (SEC),12,2-10,25,155,0,6.20
Michigan (Big Ten),13,7-6,28,178,0,6.36
Rutgers (AAC),13,6-7,16,102,0,6.38
NIU (MAC),14,12-2,14,90,0,6.43
Navy (FBS Independent),13,9-4,11,72,0,6.55
Vanderbilt (SEC),13,9-4,23,152,0,6.61
Michigan St. (Big Ten),14,13-1,18,120,0,6.67
Utah (Pac-12),12,5-7,19,128,0,6.74
Army West Point (FBS Independent),12,3-9,16,108,0,6.75
Oregon St. (Pac-12),13,7-6,13,88,0,6.77
Memphis (AAC),12,3-9,20,136,1,6.80
East Carolina (CUSA),13,10-3,22,151,0,6.86
Washington St. (Pac-12),13,6-7,21,147,0,7.00
Auburn (SEC),14,12-2,5,35,0,7.00
UConn (AAC),12,3-9,28,197,1,7.04
Stanford (Pac-12),14,11-3,29,207,0,7.14
Arkansas St. (Sun Belt),13,8-5,17,122,0,7.18
Wisconsin (Big Ten),13,9-4,13,94,0,7.23
Bowling Green (MAC),14,10-4,12,87,1,7.25
Akron (MAC),12,5-7,15,109,0,7.27
BYU (FBS Independent),13,8-5,28,218,0,7.79
Tulane (CUSA),13,7-6,40,312,2,7.80
Wyoming (Mountain West),12,5-7,26,204,1,7.85
Southern California (Pac-12),14,10-4,16,126,0,7.88
UAB (CUSA),12,2-10,20,158,0,7.90
Buffalo (MAC),13,8-5,23,182,0,7.91
South Alabama (Sun Belt),12,6-6,23,182,0,7.91
San Diego St. (Mountain West),13,8-5,13,103,1,7.92
Nebraska (Big Ten),13,9-4,15,121,0,8.07
South Carolina (SEC),13,11-2,12,99,0,8.25
Ole Miss (SEC),13,8-5,17,141,0,8.29
Wake Forest (ACC),12,4-8,20,166,0,8.30
Missouri (SEC),14,12-2,20,170,0,8.50
Troy (Sun Belt),12,6-6,17,146,1,8.59
Texas (Big 12),13,8-5,14,121,1,8.64
Toledo (MAC),12,7-5,12,107,0,8.92
Georgia Tech (ACC),13,7-6,17,152,0,8.94
Syracuse (ACC),13,7-6,32,288,0,9.00
Colorado (Pac-12),12,4-8,20,182,1,9.10
New Mexico St. (FBS Independent),12,2-10,28,255,2,9.11
Ball St. (MAC),13,10-3,13,119,0,9.15
ULM (Sun Belt),12,6-6,26,240,1,9.23
Rice (CUSA),14,10-4,31,287,1,9.26
Marshall (CUSA),14,10-4,21,195,2,9.29
Indiana (Big Ten),12,5-7,15,140,1,9.33
Notre Dame (FBS Independent),13,9-4,17,161,0,9.47
Fla. Atlantic (CUSA),12,6-6,28,267,1,9.54
UNLV (Mountain West),13,7-6,23,222,1,9.65
Miami (OH) (MAC),12,0-12,51,495,0,9.71
Nevada (Mountain West),12,4-8,24,233,1,9.71
Tulsa (CUSA),12,3-9,31,301,2,9.71
Colorado St. (Mountain West),14,8-6,33,321,1,9.73
San Jose St. (Mountain West),12,6-6,17,168,0,9.88
Tennessee (SEC),12,5-7,22,218,1,9.91
Arizona St. (Pac-12),14,10-4,19,191,0,10.05
Virginia (ACC),12,2-10,22,222,1,10.09
Western Ky. (Sun Belt),12,8-4,11,112,0,10.18
Minnesota (Big Ten),13,8-5,26,271,0,10.42
Oklahoma St. (Big 12),13,10-3,19,199,1,10.47
Texas A&M (SEC),13,9-4,16,171,0,10.69
TCU (Big 12),12,4-8,17,183,1,10.76
Central Mich. (MAC),12,6-6,24,259,2,10.79
Texas Tech (Big 12),13,8-5,34,368,1,10.82
Duke (ACC),14,10-4,20,219,2,10.95
Iowa St. (Big 12),12,3-9,16,182,2,11.38
Western Mich. (MAC),12,1-11,28,322,2,11.50
Middle Tenn. (CUSA),13,8-5,28,323,1,11.54
Virginia Tech (ACC),13,8-5,33,384,2,11.64
Idaho (FBS Independent),12,1-11,33,390,0,11.82
New Mexico (Mountain West),12,3-9,18,213,1,11.83
Miami (FL) (ACC),13,9-4,16,196,0,12.25
Texas St. (Sun Belt),12,6-6,23,286,0,12.43
Kansas St. (Big 12),13,8-5,10,128,0,12.80
Arkansas (SEC),12,3-9,19,250,1,13.16
Southern Miss. (CUSA),12,1-11,30,416,0,13.87
Louisiana (Sun Belt),13,9-4,11,157,0,14.27
Cincinnati (AAC),13,9-4,17,263,1,15.47
Oklahoma (Big 12),13,11-2,20,312,1,15.60
SMU (AAC),12,5-7,15,240,1,16.00
Pittsburgh (ACC),13,7-6,24,390,3,16.25
Ohio St. (Big Ten),14,12-2,7,115,1,16.43
Baylor (Big 12),13,11-2,12,202,0,16.83
Florida St. (ACC),14,14-0,14,237,0,16.93
California (Pac-12),12,1-11,23,444,5,19.30
Eastern Mich. (MAC),12,2-10,11,241,0,21.91
UTSA (CUSA),12,7-5,22,138,0,6.27
App State (FBS Independent),12,4-8,19,121,0,6.37
Ga. Southern (FBS Independent),11,7-4,5,34,0,6.80
Georgia St. (Sun Belt),12,0-12,13,199,1,15.31
Old Dominion (FBS Independent),12,8-4,13,372,1,28.62
