Team,Games,Win-Loss,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent
Louisville (AAC),13,12-1,46,172,0.267
Michigan St. (Big Ten),14,13-1,57,204,0.279
Virginia Tech (ACC),13,8-5,55,185,0.297
Wisconsin (Big Ten),13,9-4,57,186,0.306
Clemson (ACC),13,11-2,65,211,0.308
Nebraska (Big Ten),13,9-4,58,188,0.309
Oklahoma St. (Big 12),13,10-3,72,229,0.314
Virginia (ACC),12,2-10,58,181,0.320
Stanford (Pac-12),14,11-3,64,199,0.322
Florida St. (ACC),14,14-0,68,211,0.322
Utah St. (Mountain West),14,9-5,75,231,0.325
Southern California (Pac-12),14,10-4,66,202,0.327
Auburn (SEC),14,12-2,66,200,0.330
Cincinnati (AAC),13,9-4,60,181,0.331
Syracuse (ACC),13,7-6,63,188,0.335
Fla. Atlantic (C-USA),12,6-6,57,170,0.335
Marshall (C-USA),14,10-4,75,223,0.336
Oklahoma (Big 12),13,11-2,60,178,0.337
Baylor (Big 12),13,11-2,74,218,0.339
Florida (SEC),12,4-8,51,150,0.340
Maryland (ACC),13,7-6,69,202,0.342
Texas Tech (Big 12),13,8-5,71,207,0.343
Houston (AAC),13,8-5,73,212,0.344
Alabama (SEC),13,11-2,61,176,0.347
Buffalo (MAC),13,8-5,63,181,0.348
UCLA (Pac-12),13,10-3,68,195,0.349
Rice (C-USA),14,10-4,74,212,0.349
Mississippi St. (SEC),13,7-6,63,179,0.352
Bowling Green (MAC),14,10-4,67,190,0.353
Ohio St. (Big Ten),14,12-2,73,205,0.356
Iowa (Big Ten),13,8-5,71,199,0.357
TCU (Big 12),12,4-8,73,203,0.360
BYU (FBS Independent),13,8-5,84,233,0.361
North Texas (C-USA),13,9-4,70,193,0.363
Georgia Tech (ACC),13,7-6,61,168,0.363
Wake Forest (ACC),12,4-8,69,190,0.363
South Alabama (Sun Belt),12,6-6,60,165,0.364
Utah (Pac-12),12,5-7,70,192,0.365
Penn St. (Big Ten),12,7-5,66,181,0.365
Fresno St. (Mountain West),13,11-2,79,215,0.367
Vanderbilt (SEC),13,9-4,68,185,0.368
Minnesota (Big Ten),13,8-5,64,174,0.368
Texas (Big 12),13,8-5,77,209,0.368
Arizona St. (Pac-12),14,10-4,79,213,0.371
Colorado St. (Mountain West),14,8-6,81,218,0.372
Duke (ACC),14,10-4,79,212,0.373
South Carolina (SEC),13,11-2,63,169,0.373
Missouri (SEC),14,12-2,85,225,0.378
