Team,Games,Win-Loss,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed
Louisville (AAC),13,12-1,406,1049,2.58,10,80.7
Michigan St. (Big Ten),14,13-1,425,1212,2.85,8,86.6
Stanford (Pac-12),14,11-3,435,1251,2.88,8,89.4
Rutgers (AAC),13,6-7,423,1310,3.10,17,100.8
Wisconsin (Big Ten),13,9-4,414,1333,3.22,8,102.5
Cincinnati (AAC),13,9-4,423,1358,3.21,12,104.5
Alabama (SEC),13,11-2,416,1381,3.32,8,106.2
Utah St. (Mountain West),14,9-5,535,1494,2.79,9,106.7
Ohio St. (Big Ten),14,12-2,466,1532,3.29,9,109.4
Virginia Tech (ACC),13,8-5,449,1442,3.21,13,110.9
Georgia Tech (ACC),13,7-6,422,1505,3.57,18,115.8
Memphis (AAC),12,3-9,421,1396,3.32,16,116.3
East Carolina (C-USA),13,10-3,465,1517,3.26,12,116.7
North Texas (C-USA),13,9-4,426,1567,3.68,10,120.5
Southern California (Pac-12),14,10-4,426,1689,3.96,14,120.6
UCF (AAC),13,12-1,400,1592,3.98,21,122.5
Tulane (C-USA),13,7-6,504,1608,3.19,17,123.7
Florida St. (ACC),14,14-0,536,1747,3.26,7,124.8
Iowa (Big Ten),13,8-5,466,1669,3.58,8,128.4
Utah (Pac-12),12,5-7,444,1564,3.52,13,130.3
TCU (Big 12),12,4-8,474,1570,3.31,14,130.8
San Diego St. (Mountain West),13,8-5,467,1708,3.66,20,131.4
UConn (AAC),12,3-9,440,1625,3.69,17,135.4
Syracuse (ACC),13,7-6,469,1786,3.81,19,137.4
Oklahoma (Big 12),13,11-2,437,1789,4.09,17,137.6
Arizona St. (Pac-12),14,10-4,497,1927,3.88,21,137.6
Kansas St. (Big 12),13,8-5,461,1808,3.92,20,139.1
South Fla. (AAC),12,2-10,435,1677,3.86,16,139.8
Michigan (Big Ten),13,7-6,478,1822,3.81,14,140.2
Colorado St. (Mountain West),14,8-6,520,1968,3.78,16,140.6
SMU (AAC),12,5-7,446,1689,3.79,23,140.8
Oklahoma St. (Big 12),13,10-3,508,1851,3.64,11,142.4
Florida (SEC),12,4-8,393,1709,4.35,17,142.4
Wake Forest (ACC),12,4-8,461,1718,3.73,13,143.2
LSU (SEC),13,10-3,474,1862,3.93,15,143.2
