Team,Games,Win-Loss,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return
Miami (OH) (MAC),12,0-12,25,356,0,14.24
South Alabama (Sun Belt),12,6-6,63,1000,0,15.87
Florida (SEC),12,4-8,32,525,0,16.41
Syracuse (ACC),13,7-6,45,760,0,16.89
Utah St. (Mountain West),14,9-5,45,791,0,17.58
Indiana (Big Ten),12,5-7,36,636,0,17.67
Ohio (MAC),13,7-6,64,1133,1,17.70
Buffalo (MAC),13,8-5,51,922,0,18.08
Stanford (Pac-12),14,11-3,57,1033,0,18.12
Texas A&M (SEC),13,9-4,48,877,0,18.27
Akron (MAC),12,5-7,39,716,0,18.36
Ohio St. (Big Ten),14,12-2,74,1361,0,18.39
Vanderbilt (SEC),13,9-4,25,460,0,18.40
Rutgers (AAC),13,6-7,51,942,0,18.47
Ball St. (MAC),13,10-3,69,1281,0,18.57
Florida St. (ACC),14,14-0,70,1301,0,18.59
UCLA (Pac-12),13,10-3,46,859,0,18.67
Oklahoma St. (Big 12),13,10-3,66,1237,0,18.74
Iowa St. (Big 12),12,3-9,34,642,1,18.88
Arkansas St. (Sun Belt),13,8-5,49,932,0,19.02
ULM (Sun Belt),12,6-6,22,421,0,19.14
Air Force (Mountain West),12,2-10,22,422,0,19.18
Northwestern (Big Ten),12,5-7,43,829,0,19.28
Wisconsin (Big Ten),13,9-4,68,1313,0,19.31
Clemson (ACC),13,11-2,48,933,0,19.44
Marshall (CUSA),14,10-4,46,896,0,19.48
Arizona (Pac-12),13,8-5,41,801,0,19.54
California (Pac-12),12,1-11,29,570,1,19.66
Louisiana Tech (CUSA),12,4-8,38,750,0,19.74
Kentucky (SEC),12,2-10,40,792,0,19.80
Central Mich. (MAC),12,6-6,42,832,0,19.81
Miami (FL) (ACC),13,9-4,42,833,0,19.83
Navy (FBS Independent),13,9-4,58,1151,0,19.84
Cincinnati (AAC),13,9-4,49,979,1,19.98
Baylor (Big 12),13,11-2,70,1401,0,20.01
Washington St. (Pac-12),13,6-7,49,982,1,20.04
Boise St. (Mountain West),13,8-5,49,984,0,20.08
