Team,Games,Win-Loss,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game
Houston (AAC),13,8-5,18,25,43,8,10,18,25,1.92
Louisville (AAC),13,12-1,11,16,27,6,4,10,17,1.31
Florida St. (ACC),14,14-0,9,26,35,5,13,18,17,1.21
Oklahoma St. (Big 12),13,10-3,12,21,33,5,13,18,15,1.15
Missouri (SEC),14,12-2,12,20,32,8,8,16,16,1.14
Buffalo (MAC),13,8-5,14,15,29,7,8,15,14,1.08
Arizona St. (Pac-12),14,10-4,12,21,33,6,12,18,15,1.07
South Carolina (SEC),13,11-2,12,18,30,13,4,17,13,1.00
Baylor (Big 12),13,11-2,10,19,29,10,6,16,13,1.00
Michigan St. (Big Ten),14,13-1,11,17,28,8,7,15,13,0.93
NIU (MAC),14,12-2,11,19,30,9,8,17,13,0.93
Navy (FBS Independent),13,9-4,9,13,22,6,4,10,12,0.92
Ball St. (MAC),13,10-3,18,13,31,11,8,19,12,0.92
Middle Tenn. (C-USA),13,8-5,18,15,33,6,15,21,12,0.92
North Texas (C-USA),13,9-4,16,18,34,9,14,23,11,0.85
Tulane (C-USA),13,7-6,16,19,35,8,16,24,11,0.85
Oregon (Pac-12),13,11-2,11,17,28,12,6,18,10,0.77
UCLA (Pac-12),13,10-3,12,14,26,7,9,16,10,0.77
Bowling Green (MAC),14,10-4,13,8,21,4,7,11,10,0.71
Utah St. (Mountain West),14,9-5,12,17,29,9,10,19,10,0.71
Oklahoma (Big 12),13,11-2,8,16,24,5,11,16,8,0.62
East Carolina (C-USA),13,10-3,6,18,24,6,10,16,8,0.62
Nevada (Mountain West),12,4-8,8,10,18,6,5,11,7,0.58
Mississippi St. (SEC),13,7-6,11,14,25,6,12,18,7,0.54
Virginia Tech (ACC),13,8-5,7,19,26,4,15,19,7,0.54
Arkansas St. (Sun Belt),13,8-5,12,9,21,7,7,14,7,0.54
Washington (Pac-12),13,9-4,7,16,23,8,8,16,7,0.54
Rice (C-USA),14,10-4,12,14,26,10,9,19,7,0.50
Clemson (ACC),13,11-2,12,18,30,12,12,24,6,0.46
Vanderbilt (SEC),13,9-4,11,18,29,7,16,23,6,0.46
South Alabama (Sun Belt),12,6-6,7,11,18,4,9,13,5,0.42
Michigan (Big Ten),13,7-6,9,17,26,8,13,21,5,0.38
Miami (FL) (ACC),13,9-4,9,18,27,8,14,22,5,0.38
UCF (AAC),13,12-1,12,14,26,10,11,21,5,0.38
UNLV (Mountain West),13,7-6,9,11,20,5,10,15,5,0.38
Ohio St. (Big Ten),14,12-2,8,16,24,10,9,19,5,0.36
Southern California (Pac-12),14,10-4,5,17,22,8,9,17,5,0.36
Toledo (MAC),12,7-5,12,8,20,6,10,16,4,0.33
Texas (Big 12),13,8-5,16,10,26,7,15,22,4,0.31
Arizona (Pac-12),13,8-5,4,18,22,11,7,18,4,0.31
Northwestern (Big Ten),12,5-7,4,19,23,7,13,20,3,0.25
Boston College (ACC),13,7-6,11,9,20,9,8,17,3,0.23
Boise St. (Mountain West),13,8-5,11,16,27,13,11,24,3,0.23
Minnesota (Big Ten),13,8-5,9,10,19,9,7,16,3,0.23
Oregon St. (Pac-12),13,7-6,10,19,29,10,16,26,3,0.23
Marshall (C-USA),14,10-4,8,18,26,13,10,23,3,0.21
Texas St. (Sun Belt),12,6-6,8,11,19,6,11,17,2,0.17
