Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Florida St. (ACC),14,14-0,21,20,0,0,8,0,170,12.1
Louisville (AAC),13,12-1,18,18,0,0,10,1,158,12.2
Michigan St. (Big Ten),14,13-1,21,20,0,0,13,0,185,13.2
Alabama (SEC),13,11-2,23,22,0,0,7,0,181,13.9
Bowling Green (MAC),14,10-4,29,28,1,0,6,0,222,15.9
Wisconsin (Big Ten),13,9-4,25,21,1,0,13,0,212,16.3
Utah St. (Mountain West),14,9-5,28,26,0,0,15,0,239,17.1
North Texas (C-USA),13,9-4,30,28,0,0,7,1,231,17.8
Iowa (Big Ten),13,8-5,30,30,0,0,12,0,246,18.9
Stanford (Pac-12),14,11-3,31,27,1,0,17,0,266,19.0
Virginia Tech (ACC),13,8-5,31,29,0,0,12,0,251,19.3
South Carolina (SEC),13,11-2,32,29,2,0,13,0,264,20.3
Oregon (Pac-12),13,11-2,32,29,0,0,15,0,266,20.5
Cincinnati (AAC),13,9-4,34,29,1,0,12,1,273,21.0
Florida (SEC),12,4-8,27,25,0,0,22,0,253,21.1
Southern California (Pac-12),14,10-4,39,36,2,0,7,1,297,21.2
UCF (AAC),13,12-1,36,33,2,0,8,0,277,21.3
Tulane (C-USA),13,7-6,33,32,0,0,16,0,278,21.4
Oklahoma St. (Big 12),13,10-3,33,30,1,0,17,0,281,21.6
Houston (AAC),13,8-5,34,28,0,0,17,0,283,21.8
LSU (SEC),13,10-3,32,31,0,0,21,0,286,22.0
BYU (FBS Independent),13,8-5,33,31,0,0,18,2,287,22.1
Oklahoma (Big 12),13,11-2,36,32,0,0,13,0,287,22.1
Clemson (ACC),13,11-2,37,34,0,0,10,1,288,22.2
Minnesota (Big Ten),13,8-5,36,31,0,0,14,0,289,22.2
Fla. Atlantic (C-USA),12,6-6,32,30,0,0,15,0,267,22.3
Notre Dame (FBS Independent),13,9-4,34,31,1,0,18,0,291,22.4
Ohio St. (Big Ten),14,12-2,42,36,1,0,9,0,317,22.6
Georgia Tech (ACC),13,7-6,38,35,1,0,10,1,297,22.8
Washington (Pac-12),13,9-4,37,33,0,0,14,0,297,22.8
Kansas St. (Big 12),13,8-5,35,32,1,0,18,0,298,22.9
Marshall (C-USA),14,10-4,40,33,3,0,14,0,321,22.9
Mississippi St. (SEC),13,7-6,36,35,1,0,14,2,299,23.0
Missouri (SEC),14,12-2,39,36,1,0,17,0,323,23.1
UCLA (Pac-12),13,10-3,37,35,0,0,14,1,301,23.2
Baylor (Big 12),13,11-2,41,37,0,0,7,1,306,23.5
Ole Miss (SEC),13,8-5,38,36,0,0,14,1,308,23.7
Wake Forest (ACC),12,4-8,36,35,0,0,12,1,289,24.1
Arizona (Pac-12),13,8-5,39,34,0,0,15,1,315,24.2
Navy (FBS Independent),13,9-4,41,36,3,0,9,1,317,24.4
Buffalo (MAC),13,8-5,40,37,2,0,12,0,317,24.4
Rice (C-USA),14,10-4,43,40,1,0,14,0,342,24.4
North Carolina (ACC),13,7-6,38,36,0,0,18,0,318,24.5
Western Ky. (Sun Belt),12,8-4,37,33,2,0,12,0,295,24.6
Memphis (AAC),12,3-9,37,35,1,0,12,0,295,24.6
Vanderbilt (SEC),13,9-4,40,37,2,0,13,0,320,24.6
Ball St. (MAC),13,10-3,39,37,1,0,16,0,321,24.7
Auburn (SEC),14,12-2,41,38,1,0,20,0,346,24.7
East Carolina (C-USA),13,10-3,39,38,0,0,16,1,322,24.8
Nebraska (Big Ten),13,9-4,38,36,0,0,19,1,323,24.8
Boise St. (Mountain West),13,8-5,41,38,0,0,13,0,323,24.8
NIU (MAC),14,12-2,43,37,1,0,18,0,351,25.1
South Alabama (Sun Belt),12,6-6,36,32,2,0,16,1,302,25.2
TCU (Big 12),12,4-8,33,33,0,0,24,0,303,25.3
Maryland (ACC),13,7-6,38,36,1,0,21,0,329,25.3
Syracuse (ACC),13,7-6,42,40,1,0,12,0,330,25.4
Texas (Big 12),13,8-5,39,37,0,0,21,1,336,25.8
Arkansas St. (Sun Belt),13,8-5,43,38,1,0,14,0,340,26.2
Penn St. (Big Ten),12,7-5,38,37,1,0,15,1,314,26.2
Middle Tenn. (C-USA),13,8-5,43,38,2,0,13,1,341,26.2
Louisiana Tech (C-USA),12,4-8,39,39,0,0,14,0,315,26.3
Louisiana (Sun Belt),13,9-4,43,39,1,0,15,0,344,26.5
Duke (ACC),14,10-4,48,45,2,0,12,0,373,26.6
Arizona St. (Pac-12),14,10-4,48,41,0,0,14,1,373,26.6
Miami (FL) (ACC),13,9-4,43,39,0,0,17,0,348,26.8
Michigan (Big Ten),13,7-6,40,37,0,0,24,0,349,26.8
Kent St. (MAC),12,4-8,40,38,0,0,15,0,323,26.9
Northwestern (Big Ten),12,5-7,40,35,1,0,16,0,325,27.1
Pittsburgh (ACC),13,7-6,43,41,0,0,18,0,353,27.2
Texas St. (Sun Belt),12,6-6,41,41,0,0,13,1,328,27.3
Ohio (MAC),13,7-6,46,43,0,0,12,1,357,27.5
Utah (Pac-12),12,5-7,41,32,2,0,18,0,336,28.0
Akron (MAC),12,5-7,44,39,1,0,12,1,343,28.6
Toledo (MAC),12,7-5,45,41,1,0,10,0,343,28.6
South Fla. (AAC),12,2-10,43,41,0,0,14,1,343,28.6
Central Mich. (MAC),12,6-6,43,38,1,0,15,0,343,28.6
Boston College (ACC),13,7-6,48,47,0,1,13,0,376,28.9
Georgia (SEC),13,8-5,47,43,1,0,16,1,377,29.0
Tennessee (SEC),12,5-7,46,45,0,0,9,0,348,29.0
Rutgers (AAC),13,6-7,49,46,1,0,15,0,387,29.8
Colorado St. (Mountain West),14,8-6,52,46,4,0,17,0,417,29.8
Temple (AAC),12,2-10,42,41,0,0,21,1,358,29.8
NC State (ACC),12,3-9,48,43,2,0,9,0,362,30.2
ULM (Sun Belt),12,6-6,46,42,1,0,14,0,362,30.2
UConn (AAC),12,3-9,46,43,0,0,14,1,363,30.3
Fresno St. (Mountain West),13,11-2,51,43,3,0,13,0,394,30.3
Texas Tech (Big 12),13,8-5,51,49,0,0,14,0,397,30.5
Arkansas (SEC),12,3-9,49,48,0,0,9,0,369,30.8
Kentucky (SEC),12,2-10,49,46,1,1,10,0,374,31.2
Oregon St. (Pac-12),13,7-6,51,43,1,0,19,0,408,31.4
Army West Point (FBS Independent),12,3-9,49,40,3,0,13,0,379,31.6
San Diego St. (Mountain West),13,8-5,55,49,0,0,11,0,412,31.7
Kansas (Big 12),12,3-9,48,45,0,1,15,1,382,31.8
UNLV (Mountain West),13,7-6,55,49,1,0,11,0,414,31.8
Texas A&M (SEC),13,9-4,55,51,1,0,12,0,419,32.2
Washington St. (Pac-12),13,6-7,52,48,2,0,19,1,423,32.5
Massachusetts (MAC),12,1-11,50,49,0,0,15,1,396,33.0
Virginia (ACC),12,2-10,51,47,2,0,14,0,399,33.3
West Virginia (Big 12),12,4-8,48,47,1,0,21,0,400,33.3
SMU (AAC),12,5-7,54,45,2,0,9,0,400,33.3
Tulsa (C-USA),12,3-9,52,50,0,0,15,0,407,33.9
Nevada (Mountain West),12,4-8,54,47,2,0,12,1,413,34.4
San Jose St. (Mountain West),12,6-6,55,45,2,0,14,0,421,35.1
Illinois (Big Ten),12,4-8,55,52,0,0,13,2,425,35.4
