Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
ULM (Sun Belt),12,6-6,27,139,2.25
Wyoming (Mountain West),12,5-7,27,190,2.25
UTEP (C-USA),12,2-10,27,176,2.25
Akron (MAC),12,5-7,27,185,2.25
San Diego St. (Mountain West),13,8-5,30,221,2.31
Washington (Pac-12),13,9-4,30,200,2.31
East Carolina (C-USA),13,10-3,30,200,2.31
Memphis (AAC),12,3-9,28,213,2.33
Eastern Mich. (MAC),12,2-10,28,143,2.33
West Virginia (Big 12),12,4-8,28,170,2.33
Florida St. (ACC),14,14-0,33,233,2.36
Utah St. (Mountain West),14,9-5,33,189,2.36
Southern California (Pac-12),14,10-4,34,220,2.43
Washington St. (Pac-12),13,6-7,32,244,2.46
Tulane (C-USA),13,7-6,32,167,2.46
Illinois (Big Ten),12,4-8,30,231,2.50
Kansas (Big 12),12,3-9,30,227,2.50
Louisiana Tech (C-USA),12,4-8,30,209,2.50
Texas Tech (Big 12),13,8-5,33,222,2.54
Virginia Tech (ACC),13,8-5,33,247,2.54
Vanderbilt (SEC),13,9-4,33,178,2.54
Central Mich. (MAC),12,6-6,31,198,2.58
Rice (C-USA),14,10-4,37,201,2.64
Temple (AAC),12,2-10,32,208,2.67
Rutgers (AAC),13,6-7,35,230,2.69
Clemson (ACC),13,11-2,35,220,2.69
South Fla. (AAC),12,2-10,33,202,2.75
Michigan (Big Ten),13,7-6,36,270,2.77
UCLA (Pac-12),13,10-3,36,203,2.77
BYU (FBS Independent),13,8-5,38,232,2.92
Arizona St. (Pac-12),14,10-4,41,228,2.93
Bowling Green (MAC),14,10-4,41,232,2.93
California (Pac-12),12,1-11,36,212,3.00
Southern Miss. (C-USA),12,1-11,36,235,3.00
NC State (ACC),12,3-9,36,213,3.00
Northwestern (Big Ten),12,5-7,36,198,3.00
Kentucky (SEC),12,2-10,37,236,3.08
SMU (AAC),12,5-7,38,210,3.17
Iowa St. (Big 12),12,3-9,38,225,3.17
Purdue (Big Ten),12,1-11,38,265,3.17
Pittsburgh (ACC),13,7-6,43,361,3.31
UConn (AAC),12,3-9,42,284,3.50
Hawaii (Mountain West),12,1-11,43,264,3.58
Miami (OH) (MAC),12,0-12,50,311,4.17
FIU (C-USA),12,1-11,52,360,4.33
Idaho (FBS Independent),12,1-11,53,368,4.42
Ga. Southern (FBS Independent),11,7-4,8,37,0.73
UTSA (C-USA),12,7-5,18,96,1.50
App State (FBS Independent),12,4-8,20,150,1.67
Old Dominion (FBS Independent),12,8-4,23,153,1.92
Georgia St. (Sun Belt),12,0-12,32,189,2.67
