Team,Games,Win-Loss,Sacks,Sack Yards,Average Sacks per Game
Toledo (MAC),12,7-5,6,26,0.50
Notre Dame (FBS Independent),13,9-4,8,63,0.62
Arkansas (SEC),12,3-9,8,75,0.67
Air Force (Mountain West),12,2-10,9,79,0.75
NIU (MAC),14,12-2,11,65,0.79
Tulsa (C-USA),12,3-9,10,82,0.83
Fresno St. (Mountain West),13,11-2,11,71,0.85
North Texas (C-USA),13,9-4,11,53,0.85
Georgia Tech (ACC),13,7-6,14,87,1.08
Oklahoma St. (Big 12),13,10-3,14,80,1.08
Stanford (Pac-12),14,11-3,16,94,1.14
Iowa (Big Ten),13,8-5,15,61,1.15
Oklahoma (Big 12),13,11-2,15,109,1.15
Kent St. (MAC),12,4-8,14,86,1.17
Michigan St. (Big Ten),14,13-1,17,127,1.21
Duke (ACC),14,10-4,17,93,1.21
Texas (Big 12),13,8-5,16,94,1.23
Middle Tenn. (C-USA),13,8-5,16,90,1.23
Wisconsin (Big Ten),13,9-4,16,94,1.23
Ball St. (MAC),13,10-3,16,105,1.23
Tennessee (SEC),12,5-7,15,110,1.25
Auburn (SEC),14,12-2,18,121,1.29
Cincinnati (AAC),13,9-4,17,136,1.31
Arizona (Pac-12),13,8-5,17,76,1.31
Nebraska (Big Ten),13,9-4,17,140,1.31
Miami (FL) (ACC),13,9-4,17,147,1.31
Alabama (SEC),13,11-2,17,118,1.31
Massachusetts (MAC),12,1-11,16,74,1.33
Navy (FBS Independent),13,9-4,18,143,1.38
Oregon (Pac-12),13,11-2,18,111,1.38
Syracuse (ACC),13,7-6,18,109,1.38
South Alabama (Sun Belt),12,6-6,17,153,1.42
Army West Point (FBS Independent),12,3-9,17,69,1.42
Ohio (MAC),13,7-6,19,150,1.46
Indiana (Big Ten),12,5-7,18,121,1.50
Buffalo (MAC),13,8-5,20,110,1.54
Colorado St. (Mountain West),14,8-6,22,137,1.57
Ohio St. (Big Ten),14,12-2,22,135,1.57
North Carolina (ACC),13,7-6,21,166,1.62
Texas A&M (SEC),13,9-4,21,152,1.62
Colorado (Pac-12),12,4-8,20,154,1.67
Western Ky. (Sun Belt),12,8-4,20,143,1.67
Troy (Sun Belt),12,6-6,20,164,1.67
Georgia (SEC),13,8-5,22,140,1.69
UCF (AAC),13,12-1,22,149,1.69
Boston College (ACC),13,7-6,22,150,1.69
Baylor (Big 12),13,11-2,22,113,1.69
Texas St. (Sun Belt),12,6-6,21,135,1.75
San Jose St. (Mountain West),12,6-6,21,155,1.75
South Carolina (SEC),13,11-2,23,153,1.77
Mississippi St. (SEC),13,7-6,23,150,1.77
Western Mich. (MAC),12,1-11,22,154,1.83
Penn St. (Big Ten),12,7-5,22,135,1.83
Marshall (C-USA),14,10-4,26,184,1.86
Utah (Pac-12),12,5-7,23,138,1.92
TCU (Big 12),12,4-8,23,165,1.92
LSU (SEC),13,10-3,25,196,1.92
Oregon St. (Pac-12),13,7-6,25,212,1.92
Missouri (SEC),14,12-2,27,159,1.93
New Mexico (Mountain West),12,3-9,24,146,2.00
Kansas St. (Big 12),13,8-5,26,150,2.00
Louisville (AAC),13,12-1,26,188,2.00
Boise St. (Mountain West),13,8-5,26,138,2.00
UNLV (Mountain West),13,7-6,26,194,2.00
Virginia (ACC),12,2-10,24,187,2.00
Ole Miss (SEC),13,8-5,27,178,2.08
Louisiana (Sun Belt),13,9-4,27,166,2.08
Maryland (ACC),13,7-6,27,204,2.08
Minnesota (Big Ten),13,8-5,27,170,2.08
New Mexico St. (FBS Independent),12,2-10,25,167,2.08
Wake Forest (ACC),12,4-8,25,192,2.08
Fla. Atlantic (C-USA),12,6-6,26,148,2.17
Nevada (Mountain West),12,4-8,26,171,2.17
UAB (C-USA),12,2-10,26,158,2.17
Houston (AAC),13,8-5,29,209,2.23
Arkansas St. (Sun Belt),13,8-5,29,155,2.23
Florida (SEC),12,4-8,27,227,2.25
