Team,Games,Win-Loss,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed
Southern California (Pac-12),14,10-4,43,11,11,5,27,0.628
North Texas (C-USA),13,9-4,35,8,9,5,22,0.629
Bowling Green (MAC),14,10-4,34,14,6,2,22,0.647
Alabama (SEC),13,11-2,25,6,8,3,17,0.680
Louisville (AAC),13,12-1,38,10,8,8,26,0.684
Utah St. (Mountain West),14,9-5,45,9,10,12,31,0.689
Oklahoma St. (Big 12),13,10-3,45,10,10,12,32,0.711
Buffalo (MAC),13,8-5,42,16,6,8,30,0.714
Ohio (MAC),13,7-6,43,15,9,7,31,0.721
Auburn (SEC),14,12-2,52,17,9,12,38,0.731
Tulane (C-USA),13,7-6,49,12,9,15,36,0.735
Tennessee (SEC),12,5-7,49,20,9,7,36,0.735
UCF (AAC),13,12-1,38,19,7,2,28,0.737
Georgia Tech (ACC),13,7-6,42,17,9,5,31,0.738
Minnesota (Big Ten),13,8-5,50,17,9,11,37,0.740
Stanford (Pac-12),14,11-3,43,7,14,11,32,0.744
Middle Tenn. (C-USA),13,8-5,53,21,10,9,40,0.755
Houston (AAC),13,8-5,49,16,9,12,37,0.755
East Carolina (C-USA),13,10-3,45,12,14,8,34,0.756
Ball St. (MAC),13,10-3,41,16,6,9,31,0.756
Wisconsin (Big Ten),13,9-4,33,7,7,11,25,0.758
Baylor (Big 12),13,11-2,42,12,14,6,32,0.762
Cincinnati (AAC),13,9-4,34,10,8,8,26,0.765
Florida St. (ACC),14,14-0,30,5,11,7,23,0.767
ULM (Sun Belt),12,6-6,43,17,9,7,33,0.767
Memphis (AAC),12,3-9,44,15,10,9,34,0.773
Navy (FBS Independent),13,9-4,45,14,16,5,35,0.778
South Fla. (AAC),12,2-10,45,14,10,11,35,0.778
Wyoming (Mountain West),12,5-7,55,21,16,6,43,0.782
Boston College (ACC),13,7-6,46,16,14,6,36,0.783
Arkansas St. (Sun Belt),13,8-5,56,21,11,12,44,0.786
Wake Forest (ACC),12,4-8,47,13,12,12,37,0.787
Ohio St. (Big Ten),14,12-2,43,7,22,5,34,0.791
Miami (OH) (MAC),12,0-12,68,23,18,13,54,0.794
Louisiana (Sun Belt),13,9-4,44,16,7,12,35,0.795
Miami (FL) (ACC),13,9-4,50,21,6,13,40,0.800
Michigan St. (Big Ten),14,13-1,30,6,8,10,24,0.800
Iowa St. (Big 12),12,3-9,51,22,9,10,41,0.804
Washington St. (Pac-12),13,6-7,51,16,13,12,41,0.804
South Carolina (SEC),13,11-2,46,15,12,10,37,0.804
Oregon (Pac-12),13,11-2,46,13,12,12,37,0.804
Kentucky (SEC),12,2-10,52,18,16,8,42,0.808
BYU (FBS Independent),13,8-5,47,11,14,13,38,0.809
New Mexico St. (FBS Independent),12,2-10,63,32,9,10,51,0.810
Notre Dame (FBS Independent),13,9-4,48,13,12,14,39,0.813
LSU (SEC),13,10-3,43,12,9,14,35,0.814
Massachusetts (MAC),12,1-11,43,14,9,12,35,0.814
UNLV (Mountain West),13,7-6,44,21,8,7,36,0.818
Clemson (ACC),13,11-2,33,15,6,6,27,0.818
Florida (SEC),12,4-8,39,15,4,13,32,0.821
Virginia Tech (ACC),13,8-5,28,11,6,6,23,0.821
Louisiana Tech (C-USA),12,4-8,45,25,2,10,37,0.822
Western Ky. (Sun Belt),12,8-4,45,24,5,8,37,0.822
Arkansas (SEC),12,3-9,45,14,15,8,37,0.822
Duke (ACC),14,10-4,45,16,13,8,37,0.822
Washington (Pac-12),13,9-4,46,19,8,11,38,0.826
Troy (Sun Belt),12,6-6,46,23,7,8,38,0.826
Colorado St. (Mountain West),14,8-6,46,13,14,11,38,0.826
Western Mich. (MAC),12,1-11,52,22,9,12,43,0.827
Boise St. (Mountain West),13,8-5,52,17,14,12,43,0.827
Colorado (Pac-12),12,4-8,64,27,16,10,53,0.828
UCLA (Pac-12),13,10-3,47,18,11,10,39,0.830
Marshall (C-USA),14,10-4,53,20,11,13,44,0.830
Kent St. (MAC),12,4-8,53,19,13,12,44,0.830
Missouri (SEC),14,12-2,48,17,11,12,40,0.833
San Jose St. (Mountain West),12,6-6,60,24,17,9,50,0.833
West Virginia (Big 12),12,4-8,60,19,13,18,50,0.833
Idaho (FBS Independent),12,1-11,61,26,20,5,51,0.836
Texas Tech (Big 12),13,8-5,49,24,7,10,41,0.837
TCU (Big 12),12,4-8,43,11,7,18,36,0.837
