Team,Games,Win-Loss,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points
Florida St. (ACC),14,14-0,73,35,23,13,71,0.973
Boston College (ACC),13,7-6,33,10,9,13,32,0.970
Northwestern (Big Ten),12,5-7,46,13,11,20,44,0.957
Ohio St. (Big Ten),14,12-2,63,33,20,7,60,0.952
Air Force (Mountain West),12,2-10,37,26,3,6,35,0.946
Southern California (Pac-12),14,10-4,40,18,9,10,37,0.925
Marshall (C-USA),14,10-4,66,27,25,9,61,0.924
New Mexico St. (FBS Independent),12,2-10,35,14,10,8,32,0.914
Ball St. (MAC),13,10-3,66,20,24,16,60,0.909
New Mexico (Mountain West),12,3-9,42,30,0,8,38,0.905
Stanford (Pac-12),14,11-3,52,21,9,17,47,0.904
Rice (C-USA),14,10-4,51,30,9,7,46,0.902
Georgia Tech (ACC),13,7-6,49,35,5,4,44,0.898
Iowa St. (Big 12),12,3-9,39,14,10,11,35,0.897
Boise St. (Mountain West),13,8-5,68,27,19,15,61,0.897
North Carolina (ACC),13,7-6,47,16,15,11,42,0.894
Arizona St. (Pac-12),14,10-4,75,33,13,21,67,0.893
Vanderbilt (SEC),13,9-4,56,31,6,13,50,0.893
Minnesota (Big Ten),13,8-5,37,20,5,8,33,0.892
Texas Tech (Big 12),13,8-5,70,17,23,22,62,0.886
Washington (Pac-12),13,9-4,61,28,18,8,54,0.885
Auburn (SEC),14,12-2,61,37,7,10,54,0.885
Texas (Big 12),13,8-5,42,19,5,13,37,0.881
Nebraska (Big Ten),13,9-4,50,19,15,10,44,0.880
TCU (Big 12),12,4-8,41,19,7,10,36,0.878
Army West Point (FBS Independent),12,3-9,41,27,3,6,36,0.878
Colorado St. (Mountain West),14,8-6,56,27,11,11,49,0.875
Missouri (SEC),14,12-2,64,27,18,11,56,0.875
Kansas St. (Big 12),13,8-5,48,26,5,11,42,0.875
Oklahoma St. (Big 12),13,10-3,64,32,16,8,56,0.875
Oklahoma (Big 12),13,11-2,55,13,16,19,48,0.873
Buffalo (MAC),13,8-5,47,19,16,6,41,0.872
Navy (FBS Independent),13,9-4,61,40,2,11,53,0.869
UCF (AAC),13,12-1,67,25,15,18,58,0.866
South Carolina (SEC),13,11-2,52,22,15,8,45,0.865
Wisconsin (Big Ten),13,9-4,59,22,17,12,51,0.864
Georgia (SEC),13,8-5,73,24,22,17,63,0.863
Louisiana (Sun Belt),13,9-4,51,26,10,8,44,0.863
Duke (ACC),14,10-4,58,25,15,10,50,0.862
Louisville (AAC),13,12-1,58,15,18,17,50,0.862
UAB (C-USA),12,2-10,36,14,5,12,31,0.861
UCLA (Pac-12),13,10-3,64,31,15,9,55,0.859
Michigan (Big Ten),13,7-6,56,23,14,10,48,0.857
Toledo (MAC),12,7-5,48,19,9,13,41,0.854
East Carolina (C-USA),13,10-3,75,27,24,13,64,0.853
Bowling Green (MAC),14,10-4,61,28,11,13,52,0.852
Utah St. (Mountain West),14,9-5,61,17,23,12,52,0.852
Arkansas St. (Sun Belt),13,8-5,54,26,9,11,46,0.852
NIU (MAC),14,12-2,74,31,18,14,63,0.851
Clemson (ACC),13,11-2,60,22,19,10,51,0.850
