Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Louisville (AAC),13,12-1,70,93,20,183
Virginia Tech (ACC),13,8-5,74,101,16,191
Florida (SEC),12,4-8,87,83,22,192
Alabama (SEC),13,11-2,78,101,15,194
Michigan St. (Big Ten),14,13-1,64,110,26,200
Western Ky. (Sun Belt),12,8-4,107,79,15,201
Iowa (Big Ten),13,8-5,96,103,8,207
Fla. Atlantic (C-USA),12,6-6,97,97,14,208
Wisconsin (Big Ten),13,9-4,76,113,20,209
TCU (Big 12),12,4-8,87,114,21,222
Virginia (ACC),12,2-10,98,108,20,226
South Carolina (SEC),13,11-2,106,103,19,228
Texas St. (Sun Belt),12,6-6,93,121,15,229
Cincinnati (AAC),13,9-4,80,131,19,230
Wake Forest (ACC),12,4-8,99,113,19,231
North Texas (C-USA),13,9-4,85,122,24,231
Florida St. (ACC),14,14-0,101,110,21,232
Mississippi St. (SEC),13,7-6,94,123,15,232
Oklahoma (Big 12),13,11-2,92,118,23,233
Penn St. (Big Ten),12,7-5,86,140,7,233
UConn (AAC),12,3-9,84,129,20,233
Clemson (ACC),13,11-2,99,111,24,234
Army West Point (FBS Independent),12,3-9,126,100,9,235
South Alabama (Sun Belt),12,6-6,112,112,13,237
South Fla. (AAC),12,2-10,100,114,24,238
NC State (ACC),12,3-9,102,122,15,239
Bowling Green (MAC),14,10-4,104,117,20,241
Baylor (Big 12),13,11-2,98,109,35,242
Utah (Pac-12),12,5-7,82,145,15,242
Arizona St. (Pac-12),14,10-4,94,135,14,243
Syracuse (ACC),13,7-6,98,122,23,243
Pittsburgh (ACC),13,7-6,105,119,19,243
Minnesota (Big Ten),13,8-5,108,123,14,245
Buffalo (MAC),13,8-5,108,117,21,246
LSU (SEC),13,10-3,103,124,19,246
Rice (C-USA),14,10-4,117,114,15,246
UCF (AAC),13,12-1,88,139,21,248
Kansas St. (Big 12),13,8-5,109,127,13,249
Memphis (AAC),12,3-9,86,138,26,250
Central Mich. (MAC),12,6-6,128,110,14,252
Georgia (SEC),13,8-5,101,126,25,252
Tulane (C-USA),13,7-6,85,142,26,253
West Virginia (Big 12),12,4-8,103,136,15,254
Maryland (ACC),13,7-6,104,137,13,254
Tennessee (SEC),12,5-7,129,112,14,255
Michigan (Big Ten),13,7-6,108,138,9,255
Massachusetts (MAC),12,1-11,125,116,14,255
Kentucky (SEC),12,2-10,122,117,16,255
Southern California (Pac-12),14,10-4,95,135,25,255
ULM (Sun Belt),12,6-6,113,127,15,255
Georgia Tech (ACC),13,7-6,83,159,14,256
FIU (C-USA),12,1-11,120,111,25,256
Tulsa (C-USA),12,3-9,119,133,5,257
Utah St. (Mountain West),14,9-5,99,129,30,258
Akron (MAC),12,5-7,106,133,19,258
Kent St. (MAC),12,4-8,136,107,16,259
Vanderbilt (SEC),13,9-4,110,133,17,260
Louisiana Tech (C-USA),12,4-8,136,116,9,261
Nebraska (Big Ten),13,9-4,108,130,23,261
UTEP (C-USA),12,2-10,139,108,15,262
BYU (FBS Independent),13,8-5,100,136,27,263
Iowa St. (Big 12),12,3-9,116,131,17,264
Louisiana (Sun Belt),13,9-4,106,139,20,265
Kansas (Big 12),12,3-9,108,135,23,266
Ole Miss (SEC),13,8-5,123,128,15,266
San Diego St. (Mountain West),13,8-5,95,145,26,266
Fresno St. (Mountain West),13,11-2,94,156,16,266
East Carolina (C-USA),13,10-3,97,154,15,266
Arkansas (SEC),12,3-9,127,127,12,266
Ohio (MAC),13,7-6,110,133,24,267
SMU (AAC),12,5-7,101,145,23,269
Arkansas St. (Sun Belt),13,8-5,120,125,24,269
Western Mich. (MAC),12,1-11,154,95,20,269
Oregon (Pac-12),13,11-2,123,121,27,271
Colorado (Pac-12),12,4-8,118,141,12,271
Texas (Big 12),13,8-5,131,128,16,275
Marshall (C-USA),14,10-4,128,123,24,275
Rutgers (AAC),13,6-7,79,181,15,275
Troy (Sun Belt),12,6-6,113,138,25,276
Arizona (Pac-12),13,8-5,122,139,15,276
North Carolina (ACC),13,7-6,122,142,14,278
Boston College (ACC),13,7-6,118,150,11,279
Toledo (MAC),12,7-5,116,145,19,280
Ball St. (MAC),13,10-3,135,129,16,280
Stanford (Pac-12),14,11-3,98,154,28,280
Notre Dame (FBS Independent),13,9-4,130,127,23,280
Washington (Pac-12),13,9-4,114,143,23,280
Texas Tech (Big 12),13,8-5,136,125,20,281
Nevada (Mountain West),12,4-8,137,133,12,282
Eastern Mich. (MAC),12,2-10,139,125,18,282
Ohio St. (Big Ten),14,12-2,102,166,15,283
Navy (FBS Independent),13,9-4,142,133,8,283
Oregon St. (Pac-12),13,7-6,123,144,17,284
Illinois (Big Ten),12,4-8,133,131,20,284
UNLV (Mountain West),13,7-6,140,135,10,285
Temple (AAC),12,2-10,107,152,27,286
Oklahoma St. (Big 12),13,10-3,115,143,29,287
Northwestern (Big Ten),12,5-7,123,155,9,287
Middle Tenn. (C-USA),13,8-5,146,126,15,287
Miami (FL) (ACC),13,9-4,123,154,10,287
Southern Miss. (C-USA),12,1-11,136,131,21,288
Auburn (SEC),14,12-2,116,152,20,288
New Mexico St. (FBS Independent),12,2-10,161,120,9,290
Houston (AAC),13,8-5,119,150,21,290
Colorado St. (Mountain West),14,8-6,95,169,27,291
Wyoming (Mountain West),12,5-7,138,138,16,292
UCLA (Pac-12),13,10-3,123,139,31,293
San Jose St. (Mountain West),12,6-6,142,134,17,293
New Mexico (Mountain West),12,3-9,162,123,9,294
Boise St. (Mountain West),13,8-5,128,150,17,295
Purdue (Big Ten),12,1-11,162,119,14,295
UAB (C-USA),12,2-10,134,133,28,295
Washington St. (Pac-12),13,6-7,133,143,21,297
Missouri (SEC),14,12-2,120,160,17,297
California (Pac-12),12,1-11,109,159,29,297
Hawaii (Mountain West),12,1-11,140,133,28,301
Texas A&M (SEC),13,9-4,147,140,17,304
NIU (MAC),14,12-2,120,173,15,308
Miami (OH) (MAC),12,0-12,155,145,9,309
Indiana (Big Ten),12,5-7,149,149,12,310
Idaho (FBS Independent),12,1-11,131,159,21,311
Duke (ACC),14,10-4,141,150,20,311
Air Force (Mountain West),12,2-10,174,143,13,330
Ga. Southern (FBS Independent),11,7-4,90,91,20,201
App State (FBS Independent),12,4-8,139,95,12,246
UTSA (C-USA),12,7-5,106,129,23,258
Old Dominion (FBS Independent),12,8-4,121,132,20,273
Georgia St. (Sun Belt),12,0-12,135,132,11,278
