Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
LSU (SEC),13,10-3,161,92,0.571
Louisville (AAC),13,12-1,175,98,0.560
Florida St. (ACC),14,14-0,157,82,0.522
Georgia Tech (ACC),13,7-6,175,90,0.514
Marshall (C-USA),14,10-4,210,108,0.514
Navy (FBS Independent),13,9-4,174,89,0.511
East Carolina (C-USA),13,10-3,196,100,0.510
Texas A&M (SEC),13,9-4,161,81,0.503
Louisiana (Sun Belt),13,9-4,174,87,0.500
Stanford (Pac-12),14,11-3,197,98,0.497
Washington (Pac-12),13,9-4,202,99,0.490
UCLA (Pac-12),13,10-3,192,94,0.490
Kansas St. (Big 12),13,8-5,162,79,0.488
UCF (AAC),13,12-1,158,77,0.487
Cincinnati (AAC),13,9-4,190,92,0.484
Illinois (Big Ten),12,4-8,170,81,0.476
Alabama (SEC),13,11-2,147,70,0.476
Boise St. (Mountain West),13,8-5,201,95,0.473
Arizona (Pac-12),13,8-5,212,100,0.472
North Texas (C-USA),13,9-4,202,95,0.470
Baylor (Big 12),13,11-2,202,95,0.470
Ohio St. (Big Ten),14,12-2,169,79,0.467
Indiana (Big Ten),12,5-7,184,86,0.467
Auburn (SEC),14,12-2,187,87,0.465
Middle Tenn. (C-USA),13,8-5,192,89,0.464
Western Ky. (Sun Belt),12,8-4,158,73,0.462
Ole Miss (SEC),13,8-5,197,90,0.457
Bowling Green (MAC),14,10-4,178,81,0.455
Utah St. (Mountain West),14,9-5,232,105,0.453
Wyoming (Mountain West),12,5-7,188,85,0.452
NIU (MAC),14,12-2,197,89,0.452
Texas Tech (Big 12),13,8-5,218,98,0.450
Ball St. (MAC),13,10-3,170,76,0.447
Clemson (ACC),13,11-2,197,88,0.447
Arkansas St. (Sun Belt),13,8-5,193,86,0.446
Air Force (Mountain West),12,2-10,172,76,0.442
Michigan St. (Big Ten),14,13-1,213,94,0.441
Troy (Sun Belt),12,6-6,186,82,0.441
South Carolina (SEC),13,11-2,180,79,0.439
Missouri (SEC),14,12-2,194,85,0.438
Iowa (Big Ten),13,8-5,202,88,0.436
San Jose St. (Mountain West),12,6-6,189,82,0.434
Nevada (Mountain West),12,4-8,199,86,0.432
Colorado St. (Mountain West),14,8-6,213,92,0.432
Oregon (Pac-12),13,11-2,160,69,0.431
Army West Point (FBS Independent),12,3-9,168,72,0.429
Central Mich. (MAC),12,6-6,154,66,0.429
Fresno St. (Mountain West),13,11-2,196,83,0.423
Minnesota (Big Ten),13,8-5,182,77,0.423
Temple (AAC),12,2-10,173,73,0.422
Toledo (MAC),12,7-5,152,64,0.421
Notre Dame (FBS Independent),13,9-4,176,74,0.420
Georgia (SEC),13,8-5,165,69,0.418
Wisconsin (Big Ten),13,9-4,177,74,0.418
Arkansas (SEC),12,3-9,156,65,0.417
North Carolina (ACC),13,7-6,188,77,0.410
San Diego St. (Mountain West),13,8-5,211,86,0.408
Oregon St. (Pac-12),13,7-6,180,73,0.406
Texas (Big 12),13,8-5,222,90,0.405
UTEP (C-USA),12,2-10,187,75,0.401
Buffalo (MAC),13,8-5,202,81,0.401
South Alabama (Sun Belt),12,6-6,180,72,0.400
Fla. Atlantic (C-USA),12,6-6,185,74,0.400
UNLV (Mountain West),13,7-6,193,77,0.399
Northwestern (Big Ten),12,5-7,188,75,0.399
Kent St. (MAC),12,4-8,172,68,0.395
Washington St. (Pac-12),13,6-7,200,79,0.395
Duke (ACC),14,10-4,200,79,0.395
Oklahoma (Big 12),13,11-2,195,77,0.395
Rice (C-USA),14,10-4,216,85,0.394
Akron (MAC),12,5-7,183,72,0.393
Nebraska (Big Ten),13,9-4,186,73,0.392
Michigan (Big Ten),13,7-6,181,71,0.392
Mississippi St. (SEC),13,7-6,176,69,0.392
Ohio (MAC),13,7-6,189,74,0.392
Arizona St. (Pac-12),14,10-4,215,84,0.391
Florida (SEC),12,4-8,172,67,0.390
SMU (AAC),12,5-7,198,77,0.389
Oklahoma St. (Big 12),13,10-3,196,76,0.388
Syracuse (ACC),13,7-6,209,81,0.388
NC State (ACC),12,3-9,214,82,0.383
Pittsburgh (ACC),13,7-6,173,66,0.382
Virginia (ACC),12,2-10,229,87,0.380
ULM (Sun Belt),12,6-6,203,77,0.379
BYU (FBS Independent),13,8-5,231,87,0.377
UAB (C-USA),12,2-10,168,63,0.375
New Mexico (Mountain West),12,3-9,152,57,0.375
New Mexico St. (FBS Independent),12,2-10,169,62,0.367
Massachusetts (MAC),12,1-11,186,67,0.360
Tulane (C-USA),13,7-6,192,69,0.359
Louisiana Tech (C-USA),12,4-8,184,66,0.359
Tennessee (SEC),12,5-7,159,57,0.358
Houston (AAC),13,8-5,191,68,0.356
Wake Forest (ACC),12,4-8,184,65,0.353
Rutgers (AAC),13,6-7,184,65,0.353
Miami (FL) (ACC),13,9-4,159,56,0.352
Southern California (Pac-12),14,10-4,185,65,0.351
Tulsa (C-USA),12,3-9,203,71,0.350
Boston College (ACC),13,7-6,176,61,0.347
Iowa St. (Big 12),12,3-9,203,70,0.345
Penn St. (Big Ten),12,7-5,172,59,0.343
UConn (AAC),12,3-9,184,63,0.342
Utah (Pac-12),12,5-7,187,64,0.342
Eastern Mich. (MAC),12,2-10,162,55,0.340
Texas St. (Sun Belt),12,6-6,171,58,0.339
California (Pac-12),12,1-11,213,72,0.338
Colorado (Pac-12),12,4-8,172,58,0.337
Vanderbilt (SEC),13,9-4,181,60,0.331
Idaho (FBS Independent),12,1-11,209,69,0.330
Virginia Tech (ACC),13,8-5,201,65,0.323
Hawaii (Mountain West),12,1-11,198,64,0.323
TCU (Big 12),12,4-8,175,56,0.320
West Virginia (Big 12),12,4-8,185,59,0.319
Maryland (ACC),13,7-6,189,60,0.317
Kentucky (SEC),12,2-10,165,51,0.309
Western Mich. (MAC),12,1-11,188,58,0.309
Purdue (Big Ten),12,1-11,172,53,0.308
Memphis (AAC),12,3-9,173,53,0.306
Southern Miss. (C-USA),12,1-11,179,53,0.296
South Fla. (AAC),12,2-10,172,48,0.279
Kansas (Big 12),12,3-9,190,53,0.279
Miami (OH) (MAC),12,0-12,167,41,0.246
FIU (C-USA),12,1-11,173,39,0.225
Ga. Southern (FBS Independent),11,7-4,140,71,0.507
Old Dominion (FBS Independent),12,8-4,163,76,0.466
UTSA (C-USA),12,7-5,166,75,0.452
App State (FBS Independent),12,4-8,166,71,0.428
Georgia St. (Sun Belt),12,0-12,181,60,0.331
