Team,Games,Win-Loss,4th Attempts,4th Conversions,4th Percent
Wake Forest (ACC),12,4-8,10,12,0.833
Vanderbilt (SEC),13,9-4,22,28,0.786
Rutgers (AAC),13,6-7,21,27,0.778
Florida St. (ACC),14,14-0,3,4,0.750
East Carolina (C-USA),13,10-3,12,17,0.706
South Carolina (SEC),13,11-2,21,30,0.700
Minnesota (Big Ten),13,8-5,14,20,0.700
Duke (ACC),14,10-4,16,23,0.696
Oklahoma (Big 12),13,11-2,11,16,0.688
Iowa St. (Big 12),12,3-9,13,19,0.684
Navy (FBS Independent),13,9-4,19,28,0.679
NIU (MAC),14,12-2,14,21,0.667
Troy (Sun Belt),12,6-6,14,21,0.667
North Carolina (ACC),13,7-6,14,21,0.667
UTEP (C-USA),12,2-10,14,21,0.667
Nebraska (Big Ten),13,9-4,10,15,0.667
Fresno St. (Mountain West),13,11-2,21,32,0.656
Michigan St. (Big Ten),14,13-1,9,14,0.643
Ohio St. (Big Ten),14,12-2,14,22,0.636
Missouri (SEC),14,12-2,10,16,0.625
San Jose St. (Mountain West),12,6-6,16,26,0.615
Texas A&M (SEC),13,9-4,11,18,0.611
Florida (SEC),12,4-8,11,18,0.611
Utah (Pac-12),12,5-7,11,18,0.611
Kentucky (SEC),12,2-10,17,28,0.607
Washington St. (Pac-12),13,6-7,15,25,0.600
Arizona St. (Pac-12),14,10-4,15,25,0.600
Colorado St. (Mountain West),14,8-6,15,25,0.600
Air Force (Mountain West),12,2-10,16,27,0.593
Georgia (SEC),13,8-5,13,22,0.591
Marshall (C-USA),14,10-4,13,22,0.591
Virginia Tech (ACC),13,8-5,10,17,0.588
Alabama (SEC),13,11-2,7,12,0.583
Clemson (ACC),13,11-2,15,26,0.577
Eastern Mich. (MAC),12,2-10,12,21,0.571
Stanford (Pac-12),14,11-3,8,14,0.571
Kansas St. (Big 12),13,8-5,4,7,0.571
Tulsa (C-USA),12,3-9,17,30,0.567
Rice (C-USA),14,10-4,9,16,0.563
Boston College (ACC),13,7-6,5,9,0.556
UConn (AAC),12,3-9,11,20,0.550
Wisconsin (Big Ten),13,9-4,11,20,0.550
Tulane (C-USA),13,7-6,6,11,0.545
Penn St. (Big Ten),12,7-5,13,24,0.542
Oregon St. (Pac-12),13,7-6,14,26,0.538
Michigan (Big Ten),13,7-6,7,13,0.538
Ole Miss (SEC),13,8-5,15,28,0.536
New Mexico (Mountain West),12,3-9,15,28,0.536
Fla. Atlantic (C-USA),12,6-6,8,15,0.533
Southern California (Pac-12),14,10-4,8,15,0.533
North Texas (C-USA),13,9-4,8,15,0.533
Auburn (SEC),14,12-2,8,15,0.533
Texas St. (Sun Belt),12,6-6,11,21,0.524
BYU (FBS Independent),13,8-5,11,21,0.524
Boise St. (Mountain West),13,8-5,12,23,0.522
Baylor (Big 12),13,11-2,13,25,0.520
Nevada (Mountain West),12,4-8,14,28,0.500
Army West Point (FBS Independent),12,3-9,13,26,0.500
Indiana (Big Ten),12,5-7,12,24,0.500
Western Ky. (Sun Belt),12,8-4,12,24,0.500
Toledo (MAC),12,7-5,8,16,0.500
Pittsburgh (ACC),13,7-6,5,10,0.500
Oregon (Pac-12),13,11-2,15,31,0.484
SMU (AAC),12,5-7,13,27,0.481
Memphis (AAC),12,3-9,13,27,0.481
UNLV (Mountain West),13,7-6,12,25,0.480
Purdue (Big Ten),12,1-11,12,25,0.480
Temple (AAC),12,2-10,11,23,0.478
UAB (C-USA),12,2-10,10,21,0.476
Cincinnati (AAC),13,9-4,9,19,0.474
Kent St. (MAC),12,4-8,9,19,0.474
Syracuse (ACC),13,7-6,8,17,0.471
Buffalo (MAC),13,8-5,8,17,0.471
Arkansas (SEC),12,3-9,7,15,0.467
Texas (Big 12),13,8-5,11,24,0.458
Wyoming (Mountain West),12,5-7,10,22,0.455
Bowling Green (MAC),14,10-4,10,22,0.455
Western Mich. (MAC),12,1-11,10,22,0.455
Tennessee (SEC),12,5-7,5,11,0.455
Oklahoma St. (Big 12),13,10-3,5,11,0.455
NC State (ACC),12,3-9,14,31,0.452
Mississippi St. (SEC),13,7-6,13,29,0.448
Hawaii (Mountain West),12,1-11,12,27,0.444
Georgia Tech (ACC),13,7-6,8,18,0.444
Texas Tech (Big 12),13,8-5,8,18,0.444
Idaho (FBS Independent),12,1-11,15,34,0.441
Southern Miss. (C-USA),12,1-11,7,16,0.438
FIU (C-USA),12,1-11,10,23,0.435
Northwestern (Big Ten),12,5-7,6,14,0.429
Miami (OH) (MAC),12,0-12,11,26,0.423
California (Pac-12),12,1-11,16,38,0.421
Washington (Pac-12),13,9-4,8,19,0.421
Utah St. (Mountain West),14,9-5,8,19,0.421
Miami (FL) (ACC),13,9-4,8,19,0.421
UCLA (Pac-12),13,10-3,5,12,0.417
Ohio (MAC),13,7-6,5,12,0.417
Massachusetts (MAC),12,1-11,9,22,0.409
Arizona (Pac-12),13,8-5,12,30,0.400
TCU (Big 12),12,4-8,6,15,0.400
San Diego St. (Mountain West),13,8-5,15,38,0.395
Akron (MAC),12,5-7,7,18,0.389
Notre Dame (FBS Independent),13,9-4,5,13,0.385
Middle Tenn. (C-USA),13,8-5,6,16,0.375
UCF (AAC),13,12-1,3,8,0.375
South Alabama (Sun Belt),12,6-6,8,22,0.364
New Mexico St. (FBS Independent),12,2-10,4,11,0.364
Ball St. (MAC),13,10-3,5,14,0.357
Maryland (ACC),13,7-6,6,18,0.333
Illinois (Big Ten),12,4-8,5,15,0.333
LSU (SEC),13,10-3,3,9,0.333
