Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game
Baylor (Big 12),13,11-2,1074,8044,7.49,82,618.8
Oregon (Pac-12),13,11-2,973,7345,7.55,74,565.0
Fresno St. (Mountain West),13,11-2,1088,7122,6.55,71,547.8
Texas A&M (SEC),13,9-4,954,6999,7.34,73,538.4
NIU (MAC),14,12-2,1073,7277,6.78,68,519.8
Florida St. (ACC),14,14-0,947,7267,7.67,84,519.1
Ohio St. (Big Ten),14,12-2,1003,7167,7.15,83,511.9
Texas Tech (Big 12),13,8-5,1136,6643,5.85,54,511.0
Indiana (Big Ten),12,5-7,928,6102,6.58,61,508.5
Clemson (ACC),13,11-2,1037,6600,6.36,65,507.7
Auburn (SEC),14,12-2,1014,7018,6.92,68,501.3
Marshall (C-USA),14,10-4,1093,7005,6.41,76,500.4
Washington (Pac-12),13,9-4,1023,6491,6.35,60,499.3
BYU (FBS Independent),13,8-5,1111,6417,5.78,43,493.6
San Jose St. (Mountain West),12,6-6,928,5919,6.38,46,493.3
Missouri (SEC),14,12-2,1042,6870,6.59,66,490.7
Georgia (SEC),13,8-5,945,6294,6.66,57,484.2
Wisconsin (Big Ten),13,9-4,912,6251,6.85,57,480.8
Ball St. (MAC),13,10-3,960,6202,6.46,63,477.1
Boise St. (Mountain West),13,8-5,1029,6188,6.01,61,476.0
Ole Miss (SEC),13,8-5,1018,6153,6.04,46,473.3
Wyoming (Mountain West),12,5-7,922,5674,6.15,50,472.8
Cincinnati (AAC),13,9-4,985,6137,6.23,56,472.1
Colorado St. (Mountain West),14,8-6,1051,6591,6.27,61,470.8
East Carolina (C-USA),13,10-3,1028,6086,5.92,65,468.2
Oregon St. (Pac-12),13,7-6,980,6071,6.19,53,467.0
Troy (Sun Belt),12,6-6,920,5559,6.04,51,463.3
Louisville (AAC),13,12-1,894,5991,6.70,51,460.8
Bowling Green (MAC),14,10-4,983,6432,6.54,57,459.4
Western Ky. (Sun Belt),12,8-4,875,5502,6.29,46,458.5
Arizona (Pac-12),13,8-5,1030,5960,5.79,52,458.5
Arizona St. (Pac-12),14,10-4,1102,6402,5.81,64,457.3
Alabama (SEC),13,11-2,826,5903,7.15,58,454.1
California (Pac-12),12,1-11,1045,5443,5.21,32,453.6
LSU (SEC),13,10-3,849,5893,6.94,60,453.3
South Carolina (SEC),13,11-2,920,5880,6.39,57,452.3
Oklahoma St. (Big 12),13,10-3,987,5834,5.91,61,448.8
UCLA (Pac-12),13,10-3,956,5830,6.10,61,448.5
Toledo (MAC),12,7-5,843,5368,6.37,45,447.3
UCF (AAC),13,12-1,875,5740,6.56,54,441.5
SMU (AAC),12,5-7,945,5222,5.53,36,435.2
Mississippi St. (SEC),13,7-6,956,5647,5.91,47,434.4
Penn St. (Big Ten),12,7-5,910,5198,5.71,43,433.2
Georgia Tech (ACC),13,7-6,916,5586,6.10,58,429.7
Nevada (Mountain West),12,4-8,974,5151,5.29,40,429.3
Illinois (Big Ten),12,4-8,866,5120,5.91,43,426.7
Duke (ACC),14,10-4,1016,5966,5.87,54,426.1
Miami (FL) (ACC),13,9-4,820,5536,6.75,50,425.8
North Carolina (ACC),13,7-6,943,5534,5.87,47,425.7
South Alabama (Sun Belt),12,6-6,882,5106,5.79,41,425.5
San Diego St. (Mountain West),13,8-5,972,5524,5.68,49,424.9
Oklahoma (Big 12),13,11-2,942,5499,5.84,43,423.0
New Mexico (Mountain West),12,3-9,781,5062,6.48,49,421.8
Washington St. (Pac-12),13,6-7,999,5478,5.48,46,421.4
Houston (AAC),13,8-5,953,5454,5.72,49,419.5
Louisiana (Sun Belt),13,9-4,883,5418,6.14,54,416.8
Hawaii (Mountain West),12,1-11,947,4992,5.27,43,416.0
Nebraska (Big Ten),13,9-4,962,5361,5.57,49,412.4
Utah St. (Mountain West),14,9-5,1073,5761,5.37,51,411.5
UNLV (Mountain West),13,7-6,990,5348,5.40,52,411.4
Navy (FBS Independent),13,9-4,921,5347,5.81,58,411.3
West Virginia (Big 12),12,4-8,892,4932,5.53,34,411.0
North Texas (C-USA),13,9-4,951,5336,5.61,47,410.5
Texas (Big 12),13,8-5,1005,5313,5.29,43,408.7
Arkansas St. (Sun Belt),13,8-5,947,5301,5.60,45,407.8
Middle Tenn. (C-USA),13,8-5,929,5298,5.70,42,407.5
Notre Dame (FBS Independent),13,9-4,869,5280,6.08,39,406.2
Rice (C-USA),14,10-4,1046,5678,5.43,51,405.6
Stanford (Pac-12),14,11-3,895,5675,6.34,51,405.4
NC State (ACC),12,3-9,945,4842,5.12,28,403.5
Kansas St. (Big 12),13,8-5,828,5235,6.32,51,402.7
Southern California (Pac-12),14,10-4,924,5599,6.06,49,399.9
Northwestern (Big Ten),12,5-7,889,4795,5.39,31,399.6
Temple (AAC),12,2-10,840,4788,5.70,40,399.0
Maryland (ACC),13,7-6,891,5160,5.79,36,396.9
Utah (Pac-12),12,5-7,864,4759,5.51,41,396.6
Buffalo (MAC),13,8-5,965,5131,5.32,46,394.7
UAB (C-USA),12,2-10,808,4715,5.84,36,392.9
Army West Point (FBS Independent),12,3-9,847,4648,5.49,38,387.3
Michigan St. (Big Ten),14,13-1,999,5397,5.40,46,385.5
New Mexico St. (FBS Independent),12,2-10,851,4622,5.43,32,385.2
Fla. Atlantic (C-USA),12,6-6,852,4575,5.37,37,381.3
Ohio (MAC),13,7-6,887,4932,5.56,38,379.4
Iowa (Big Ten),13,8-5,932,4901,5.26,37,377.0
Syracuse (ACC),13,7-6,958,4899,5.11,38,376.8
Michigan (Big Ten),13,7-6,893,4855,5.44,48,373.5
Colorado (Pac-12),12,4-8,832,4439,5.34,31,369.9
Kent St. (MAC),12,4-8,797,4427,5.55,30,368.9
Virginia (ACC),12,2-10,995,4421,4.44,27,368.4
Idaho (FBS Independent),12,1-11,925,4420,4.78,27,368.3
Air Force (Mountain West),12,2-10,811,4411,5.44,38,367.6
Boston College (ACC),13,7-6,791,4774,6.04,41,367.2
Vanderbilt (SEC),13,9-4,880,4765,5.41,49,366.5
Louisiana Tech (C-USA),12,4-8,858,4394,5.12,24,366.2
Rutgers (AAC),13,6-7,897,4747,5.29,39,365.2
Iowa St. (Big 12),12,3-9,903,4356,4.82,35,363.0
Pittsburgh (ACC),13,7-6,853,4708,5.52,41,362.2
ULM (Sun Belt),12,6-6,860,4324,5.03,32,360.3
Arkansas (SEC),12,3-9,775,4286,5.53,29,357.2
Tulsa (C-USA),12,3-9,912,4274,4.69,27,356.2
Virginia Tech (ACC),13,8-5,925,4628,5.00,33,356.0
Tennessee (SEC),12,5-7,804,4240,5.27,30,353.3
UTEP (C-USA),12,2-10,826,4175,5.05,31,347.9
TCU (Big 12),12,4-8,822,4138,5.03,34,344.8
Minnesota (Big Ten),13,8-5,853,4463,5.23,35,343.3
Akron (MAC),12,5-7,837,4104,4.90,30,342.0
Kentucky (SEC),12,2-10,774,4094,5.29,30,341.2
Central Mich. (MAC),12,6-6,756,4093,5.41,31,341.1
Eastern Mich. (MAC),12,2-10,781,4033,5.16,27,336.1
Western Mich. (MAC),12,1-11,827,3926,4.75,22,327.2
Texas St. (Sun Belt),12,6-6,771,3915,5.08,33,326.3
UConn (AAC),12,3-9,827,3823,4.62,28,318.6
Florida (SEC),12,4-8,793,3800,4.79,25,316.7
Southern Miss. (C-USA),12,1-11,820,3786,4.62,24,315.5
Tulane (C-USA),13,7-6,870,4053,4.66,34,311.8
Memphis (AAC),12,3-9,799,3738,4.68,23,311.5
Kansas (Big 12),12,3-9,825,3534,4.28,21,294.5
Wake Forest (ACC),12,4-8,802,3488,4.35,25,290.7
Purdue (Big Ten),12,1-11,745,3395,4.56,21,282.9
Massachusetts (MAC),12,1-11,787,3379,4.29,14,281.6
South Fla. (AAC),12,2-10,716,3066,4.28,11,255.5
Miami (OH) (MAC),12,0-12,737,2710,3.68,13,225.8
FIU (C-USA),12,1-11,738,2628,3.56,13,219.0
Old Dominion (FBS Independent),12,8-4,920,6228,6.77,66,519.0
Ga. Southern (FBS Independent),11,7-4,728,4966,6.82,50,451.5
UTSA (C-USA),12,7-5,838,5014,5.98,36,417.8
App State (FBS Independent),12,4-8,845,4917,5.82,34,409.8
Georgia St. (Sun Belt),12,0-12,794,4263,5.37,27,355.3
