Team,Games,Win-Loss,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game
Auburn (SEC),14,12-2,729,4596,6.30,48,328.3
Navy (FBS Independent),13,9-4,775,4230,5.46,50,325.4
Army West Point (FBS Independent),12,3-9,693,3717,5.36,34,309.8
New Mexico (Mountain West),12,3-9,604,3706,6.14,40,308.8
Ohio St. (Big Ten),14,12-2,635,4321,6.80,45,308.6
Georgia Tech (ACC),13,7-6,713,3891,5.46,46,299.3
NIU (MAC),14,12-2,655,4161,6.35,39,297.2
Wisconsin (Big Ten),13,9-4,557,3689,6.62,35,283.8
Oregon (Pac-12),13,11-2,568,3556,6.26,42,273.5
BYU (FBS Independent),13,8-5,664,3475,5.23,24,267.3
Arizona (Pac-12),13,8-5,647,3444,5.32,36,264.9
Air Force (Mountain West),12,2-10,637,3152,4.95,30,262.7
Baylor (Big 12),13,11-2,626,3376,5.39,47,259.7
Toledo (MAC),12,7-5,482,2887,5.99,26,240.6
Washington (Pac-12),13,9-4,610,3107,5.09,35,239.0
Missouri (SEC),14,12-2,588,3330,5.66,35,237.9
Rice (C-USA),14,10-4,699,3183,4.55,31,227.4
Oklahoma (Big 12),13,11-2,559,2911,5.21,19,223.9
Nebraska (Big Ten),13,9-4,584,2804,4.80,24,215.7
Boston College (ACC),13,7-6,523,2762,5.28,24,212.5
Arkansas (SEC),12,3-9,474,2504,5.28,14,208.7
Stanford (Pac-12),14,11-3,584,2904,4.97,30,207.4
Marshall (C-USA),14,10-4,571,2883,5.05,34,205.9
Arkansas St. (Sun Belt),13,8-5,579,2674,4.62,31,205.7
Alabama (SEC),13,11-2,461,2673,5.80,28,205.6
Louisiana (Sun Belt),13,9-4,564,2659,4.71,33,204.5
Colorado St. (Mountain West),14,8-6,571,2861,5.01,37,204.4
Florida St. (ACC),14,14-0,505,2844,5.63,42,203.1
LSU (SEC),13,10-3,523,2630,5.03,37,202.3
Indiana (Big Ten),12,5-7,458,2422,5.29,25,201.8
Middle Tenn. (C-USA),13,8-5,526,2591,4.93,25,199.3
South Carolina (SEC),13,11-2,537,2580,4.80,27,198.5
Boise St. (Mountain West),13,8-5,563,2578,4.58,33,198.3
Western Ky. (Sun Belt),12,8-4,468,2362,5.05,31,196.8
UCLA (Pac-12),13,10-3,566,2556,4.52,36,196.6
Texas (Big 12),13,8-5,574,2551,4.44,25,196.2
Minnesota (Big Ten),13,8-5,586,2538,4.33,23,195.2
Syracuse (ACC),13,7-6,553,2533,4.58,25,194.8
Bowling Green (MAC),14,10-4,579,2707,4.68,30,193.4
Arizona St. (Pac-12),14,10-4,608,2679,4.41,36,191.4
Wyoming (Mountain West),12,5-7,449,2285,5.09,21,190.4
Ole Miss (SEC),13,8-5,528,2470,4.68,22,190.0
Mississippi St. (SEC),13,7-6,527,2469,4.69,29,189.9
Tennessee (SEC),12,5-7,460,2261,4.92,18,188.4
Texas A&M (SEC),13,9-4,465,2406,5.17,33,185.1
UTEP (C-USA),12,2-10,534,2216,4.15,17,184.7
Fla. Atlantic (C-USA),12,6-6,499,2195,4.40,21,182.9
Kent St. (MAC),12,4-8,434,2189,5.04,16,182.4
North Texas (C-USA),13,9-4,549,2349,4.28,31,180.7
Iowa (Big Ten),13,8-5,557,2339,4.20,18,179.9
Nevada (Mountain West),12,4-8,559,2148,3.84,23,179.0
UAB (C-USA),12,2-10,455,2137,4.70,17,178.1
Utah St. (Mountain West),14,9-5,592,2493,4.21,21,178.1
Duke (ACC),14,10-4,544,2492,4.58,28,178.0
Kansas St. (Big 12),13,8-5,514,2314,4.50,29,178.0
Clemson (ACC),13,11-2,544,2270,4.17,26,174.6
Penn St. (Big Ten),12,7-5,501,2088,4.17,22,174.0
Michigan St. (Big Ten),14,13-1,569,2433,4.28,23,173.8
Southern California (Pac-12),14,10-4,535,2419,4.52,29,172.8
South Alabama (Sun Belt),12,6-6,488,2073,4.25,25,172.8
UNLV (Mountain West),13,7-6,507,2243,4.42,25,172.5
Northwestern (Big Ten),12,5-7,507,2069,4.08,16,172.4
Oklahoma St. (Big 12),13,10-3,503,2231,4.44,35,171.6
Texas St. (Sun Belt),12,6-6,471,2058,4.37,22,171.5
Georgia (SEC),13,8-5,486,2209,4.55,26,169.9
Cincinnati (AAC),13,9-4,516,2190,4.24,28,168.5
Buffalo (MAC),13,8-5,538,2176,4.04,21,167.4
