Team,Games,Win-Loss,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game
Clemson (ACC),13,11-2,106,34,460,123,9.5
Tulane (C-USA),13,7-6,76,68,439,110,8.5
Hawaii (Mountain West),12,1-11,80,40,359,100,8.3
Fresno St. (Mountain West),13,11-2,94,28,439,108,8.3
TCU (Big 12),12,4-8,83,30,360,98,8.2
Louisville (AAC),13,12-1,92,20,461,102,7.8
Stanford (Pac-12),14,11-3,85,48,479,109,7.8
Maryland (ACC),13,7-6,78,46,456,101,7.8
Missouri (SEC),14,12-2,94,27,413,108,7.7
Utah St. (Mountain West),14,9-5,74,66,392,107,7.6
Baylor (Big 12),13,11-2,79,40,338,99,7.6
South Fla. (AAC),12,2-10,80,22,335,91,7.6
SMU (AAC),12,5-7,68,44,323,90,7.5
Virginia (ACC),12,2-10,60,58,367,89,7.4
Virginia Tech (ACC),13,8-5,66,60,412,96,7.4
Oklahoma St. (Big 12),13,10-3,84,22,336,95,7.3
Marshall (C-USA),14,10-4,75,54,370,102,7.3
Nebraska (Big Ten),13,9-4,80,28,411,94,7.2
Syracuse (ACC),13,7-6,80,28,438,94,7.2
Arizona St. (Pac-12),14,10-4,85,32,413,101,7.2
South Alabama (Sun Belt),12,6-6,62,48,358,86,7.2
Florida St. (ACC),14,14-0,85,26,408,98,7.0
NC State (ACC),12,3-9,63,42,277,84,7.0
Buffalo (MAC),13,8-5,68,44,363,90,6.9
West Virginia (Big 12),12,4-8,67,32,316,83,6.9
Texas (Big 12),13,8-5,71,36,347,89,6.8
Cincinnati (AAC),13,9-4,64,50,374,89,6.8
Ole Miss (SEC),13,8-5,76,24,342,88,6.8
Vanderbilt (SEC),13,9-4,74,28,334,88,6.8
Boston College (ACC),13,7-6,70,34,368,87,6.7
Boise St. (Mountain West),13,8-5,68,38,286,87,6.7
South Carolina (SEC),13,11-2,73,28,348,87,6.7
Utah (Pac-12),12,5-7,65,30,336,80,6.7
Pittsburgh (ACC),13,7-6,77,18,340,86,6.6
Louisiana (Sun Belt),13,9-4,67,36,275,85,6.5
Southern California (Pac-12),14,10-4,79,24,373,91,6.5
Ohio St. (Big Ten),14,12-2,74,34,386,91,6.5
Michigan St. (Big Ten),14,13-1,64,54,366,91,6.5
Southern Miss. (C-USA),12,1-11,60,36,252,78,6.5
Memphis (AAC),12,3-9,67,22,292,78,6.5
Auburn (SEC),14,12-2,68,44,329,90,6.4
Georgia Tech (ACC),13,7-6,69,28,342,83,6.4
Texas Tech (Big 12),13,8-5,70,26,276,83,6.4
California (Pac-12),12,1-11,58,36,222,76,6.3
Rutgers (AAC),13,6-7,56,52,315,82,6.3
Tulsa (C-USA),12,3-9,55,40,314,75,6.3
