Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Baylor (Big 12),13,11-2,1138.0,7559.0,6.64,81.0,581.5,941.0,4964.0,5.28,41.0,43.0,381.8,13.0,13.0,26.0,5.0,8.0,13.0,13.0,1.0,377:10,29:00,80.0,28.0,407.0,94.0,7.2,24.0,152.0,1.85,82.0,81.0,0.0,0.0,18.0,0.0,627.0,48.2,43.0,41.0,0.0,0.0,11.0,0.0,332.0,25.5,619.0,2802.0,4.53,43.0,215.5,485.0,1530.0,3.15,17.0,117.7,73.0,40.0,8.0,14.0,62.0,0.849,38.0,15.0,11.0,7.0,33.0,0.868,11.0,56.0,0.0,5.09,11.0,56.0,0.0,5.09,519.0,323.0,8.0,4757.0,9.17,14.73,38.0,365.9,249.0,456.0,3434.0,24.0,7.53,13.79,264.2,81.0,1504.0,1.0,18.57,81.0,1504.0,1.0,18.57,85.0,128.0,43.0,256.0,85.0,128.0,43.0,256.0,127.0,1149.0,88.38,213.0,100.0,0.469,81.0,210.0,0.386,25.0,34.0,0.735,6.0,24.0,0.25
Marshall (C-USA),14,13-1,1032.0,7829.0,7.59,80.0,559.2,1056.0,4999.0,4.73,36.0,36.0,357.1,9.0,13.0,22.0,11.0,13.0,24.0,-2.0,-0.14,399:42,28:33,79.0,52.0,421.0,105.0,7.5,,,,84.0,83.0,0.0,0.0,17.0,0.0,638.0,45.6,36.0,31.0,1.0,0.0,15.0,0.0,294.0,21.0,559.0,3807.0,6.81,40.0,271.9,590.0,2243.0,3.8,15.0,160.2,71.0,25.0,21.0,14.0,60.0,0.845,51.0,11.0,15.0,13.0,39.0,0.765,,,,,,,,,473.0,279.0,13.0,4022.0,8.5,14.42,40.0,287.3,254.0,466.0,2756.0,21.0,5.91,10.85,196.9,,,,,,,,,138.0,127.0,36.0,301.0,138.0,127.0,36.0,301.0,119.0,1124.0,80.29,183.0,94.0,0.514,68.0,219.0,0.311,10.0,20.0,0.5,6.0,25.0,0.24
Oregon (Pac-12),15,13-2,1118.0,8205.0,7.34,86.0,547.0,1168.0,6445.0,5.52,43.0,43.0,429.7,21.0,13.0,34.0,7.0,4.0,11.0,23.0,1.53,402:15,26:49,80.0,28.0,411.0,94.0,6.3,31.0,165.0,2.07,90.0,79.0,4.0,0.0,18.0,0.0,681.0,45.4,43.0,38.0,1.0,0.0,18.0,1.0,354.0,23.6,644.0,3518.0,5.46,42.0,234.5,587.0,2481.0,4.23,22.0,165.4,80.0,31.0,21.0,17.0,69.0,0.863,59.0,20.0,17.0,13.0,50.0,0.847,12.0,69.0,0.0,5.75,12.0,69.0,0.0,5.75,474.0,326.0,4.0,4687.0,9.89,14.38,44.0,312.5,351.0,581.0,3964.0,21.0,6.82,11.29,264.3,93.0,1989.0,0.0,21.39,93.0,1989.0,0.0,21.39,132.0,189.0,28.0,349.0,132.0,189.0,28.0,349.0,123.0,1084.0,72.27,198.0,98.0,0.495,102.0,241.0,0.423,17.0,28.0,0.607,19.0,39.0,0.487
Western Ky. (C-USA),13,8-5,986.0,6950.0,7.05,70.0,534.6,996.0,6629.0,6.66,66.0,70.0,509.9,10.0,13.0,23.0,8.0,10.0,18.0,5.0,0.38,365:07,28:05,63.0,18.0,285.0,72.0,5.5,,,,76.0,71.0,1.0,0.0,16.0,0.0,577.0,44.4,70.0,66.0,0.0,0.0,11.0,0.0,519.0,39.9,429.0,2084.0,4.86,21.0,160.3,576.0,2870.0,4.98,33.0,220.8,67.0,17.0,28.0,14.0,59.0,0.881,66.0,26.0,16.0,7.0,49.0,0.742,,,,,,,,,557.0,378.0,10.0,4866.0,8.74,12.87,49.0,374.3,267.0,420.0,3759.0,33.0,8.95,14.08,289.2,,,,,,,,,148.0,170.0,21.0,339.0,148.0,170.0,21.0,339.0,76.0,743.0,57.15,180.0,92.0,0.511,84.0,177.0,0.475,5.0,12.0,0.417,15.0,27.0,0.556
East Carolina (AAC),13,8-5,1070.0,6929.0,6.48,59.0,533.0,937.0,4775.0,5.1,36.0,41.0,367.3,5.0,14.0,19.0,12.0,11.0,23.0,-4.0,-0.31,386:17,29:42,49.0,46.0,268.0,72.0,5.5,32.0,232.0,2.46,61.0,58.0,0.0,0.0,14.0,0.0,466.0,35.8,41.0,37.0,1.0,0.0,17.0,0.0,336.0,25.8,433.0,2094.0,4.84,28.0,161.1,437.0,1453.0,3.32,16.0,111.8,74.0,24.0,25.0,13.0,62.0,0.838,39.0,15.0,8.0,10.0,33.0,0.846,22.0,165.0,1.0,7.5,22.0,165.0,1.0,7.5,637.0,402.0,11.0,4835.0,7.59,12.03,31.0,371.9,284.0,500.0,3322.0,20.0,6.64,11.7,255.5,56.0,1258.0,0.0,22.46,56.0,1258.0,0.0,22.46,79.0,149.0,34.0,262.0,79.0,149.0,34.0,262.0,109.0,1004.0,77.23,194.0,91.0,0.469,69.0,202.0,0.342,11.0,24.0,0.458,14.0,22.0,0.636
TCU (Big 12),13,12-1,1038.0,6929.0,6.68,69.0,533.0,953.0,4443.0,4.66,26.0,28.0,341.8,14.0,26.0,40.0,11.0,11.0,22.0,18.0,1.38,398:06,30:37,88.0,48.0,432.0,112.0,8.6,23.0,120.0,1.77,77.0,76.0,0.0,0.0,22.0,0.0,604.0,46.5,28.0,26.0,0.0,1.0,17.0,0.0,247.0,19.0,509.0,2689.0,5.28,32.0,206.8,508.0,1414.0,2.78,9.0,108.8,65.0,23.0,17.0,16.0,56.0,0.862,32.0,9.0,4.0,14.0,27.0,0.844,9.0,-9.0,0.0,-1.0,9.0,-9.0,0.0,-1.0,529.0,325.0,11.0,4240.0,8.02,13.05,37.0,326.2,216.0,445.0,3029.0,17.0,6.81,14.02,233.0,57.0,1151.0,0.0,20.19,57.0,1151.0,0.0,20.19,86.0,119.0,13.0,218.0,86.0,119.0,13.0,218.0,82.0,752.0,57.85,197.0,85.0,0.431,61.0,219.0,0.279,7.0,14.0,0.5,12.0,22.0,0.545
Washington St. (Pac-12),12,3-9,1014.0,6210.0,6.12,50.0,517.5,859.0,5307.0,6.18,51.0,59.0,442.3,5.0,3.0,8.0,7.0,18.0,25.0,-17.0,-1.42,377:52,31:29,63.0,28.0,311.0,77.0,6.4,36.0,273.0,3.0,50.0,47.0,1.0,0.0,11.0,0.0,382.0,31.8,59.0,55.0,0.0,0.0,18.0,0.0,463.0,38.6,243.0,478.0,1.97,5.0,39.8,430.0,1748.0,4.07,18.0,145.7,61.0,5.0,34.0,10.0,49.0,0.803,53.0,14.0,19.0,13.0,46.0,0.868,19.0,329.0,3.0,17.32,19.0,329.0,3.0,17.32,771.0,510.0,18.0,5732.0,7.43,11.24,45.0,477.7,276.0,429.0,3559.0,33.0,8.3,12.89,296.6,53.0,1156.0,3.0,21.81,53.0,1156.0,3.0,21.81,88.0,140.0,28.0,256.0,88.0,140.0,28.0,256.0,94.0,812.0,67.67,186.0,78.0,0.419,68.0,173.0,0.393,18.0,40.0,0.45,10.0,18.0,0.556
Mississippi St. (SEC),13,10-3,1001.0,6679.0,6.67,60.0,513.8,977.0,5517.0,5.65,34.0,35.0,424.4,7.0,16.0,23.0,11.0,12.0,23.0,0.0,0.0,385:06,29:37,62.0,44.0,320.0,84.0,6.5,23.0,148.0,1.77,64.0,60.0,0.0,0.0,12.0,0.0,480.0,36.9,35.0,31.0,0.0,0.0,13.0,1.0,282.0,21.7,578.0,3030.0,5.24,29.0,233.1,471.0,1970.0,4.18,17.0,151.5,61.0,23.0,16.0,11.0,50.0,0.82,44.0,14.0,5.0,9.0,28.0,0.636,14.0,101.0,0.0,7.21,14.0,101.0,0.0,7.21,423.0,261.0,12.0,3649.0,8.63,13.98,31.0,280.7,264.0,506.0,3547.0,17.0,7.01,13.44,272.8,58.0,1038.0,0.0,17.9,58.0,1038.0,0.0,17.9,115.0,143.0,10.0,268.0,115.0,143.0,10.0,268.0,67.0,513.0,39.46,196.0,91.0,0.464,72.0,205.0,0.351,9.0,21.0,0.429,9.0,22.0,0.409
Ohio St. (Big Ten),15,14-1,1099.0,7674.0,6.98,83.0,511.6,1032.0,5136.0,4.98,41.0,43.0,342.4,8.0,25.0,33.0,14.0,12.0,26.0,7.0,0.47,472:34,31:30,94.0,32.0,449.0,110.0,7.3,28.0,203.0,1.87,90.0,89.0,1.0,0.0,13.0,1.0,672.0,44.8,43.0,42.0,0.0,0.0,10.0,0.0,330.0,22.0,690.0,3967.0,5.75,41.0,264.5,537.0,2120.0,3.95,24.0,141.3,74.0,31.0,22.0,10.0,63.0,0.851,45.0,19.0,12.0,7.0,38.0,0.844,10.0,58.0,0.0,5.8,10.0,58.0,0.0,5.8,409.0,260.0,12.0,3707.0,9.06,14.26,42.0,247.1,276.0,495.0,3016.0,17.0,6.09,10.93,201.1,70.0,1207.0,0.0,17.24,70.0,1207.0,0.0,17.24,120.0,135.0,28.0,283.0,120.0,135.0,28.0,283.0,84.0,711.0,47.4,198.0,103.0,0.52,73.0,212.0,0.344,13.0,22.0,0.591,10.0,19.0,0.526
Texas Tech (Big 12),12,4-8,914.0,6049.0,6.62,48.0,504.1,986.0,6152.0,6.24,63.0,63.0,512.7,9.0,6.0,15.0,10.0,18.0,28.0,-13.0,-1.08,313:04,26:05,48.0,30.0,258.0,63.0,5.3,13.0,89.0,1.08,49.0,42.0,0.0,0.0,10.0,0.0,366.0,30.5,63.0,61.0,0.0,0.0,18.0,1.0,495.0,41.3,355.0,1836.0,5.17,8.0,153.0,600.0,3114.0,5.19,36.0,259.5,38.0,4.0,18.0,7.0,29.0,0.763,57.0,31.0,13.0,8.0,52.0,0.912,14.0,50.0,0.0,3.57,14.0,50.0,0.0,3.57,559.0,332.0,18.0,4213.0,7.54,12.69,40.0,351.1,228.0,386.0,3038.0,27.0,7.87,13.32,253.2,35.0,734.0,0.0,20.97,35.0,734.0,0.0,20.97,164.0,130.0,31.0,325.0,164.0,130.0,31.0,325.0,112.0,1070.0,89.17,174.0,76.0,0.437,91.0,194.0,0.469,10.0,23.0,0.435,13.0,21.0,0.619
