Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Oklahoma (Big 12),14,12-2,928.0,7984.0,8.6,85.0,570.3,1036.0,6353.0,6.13,61.0,62.0,453.8,5.0,6.0,11.0,6.0,7.0,13.0,-2.0,-0.14,405:34,28:58,59.0,40.0,319.0,79.0,5.6,19.0,116.0,1.36,89.0,88.0,0.0,1.0,17.0,1.0,677.0,48.4,62.0,54.0,2.0,0.0,12.0,0.0,466.0,33.3,527.0,3464.0,6.57,42.0,247.4,548.0,2237.0,4.08,33.0,159.8,68.0,25.0,20.0,17.0,62.0,0.912,54.0,30.0,15.0,5.0,50.0,0.926,6.0,21.0,0.0,3.5,6.0,21.0,0.0,3.5,401.0,274.0,7.0,4520.0,11.27,16.5,43.0,322.9,315.0,488.0,4116.0,28.0,8.43,13.07,294.0,18.0,453.0,1.0,25.17,18.0,453.0,1.0,25.17,134.0,181.0,27.0,342.0,134.0,181.0,27.0,342.0,86.0,855.0,61.07,140.0,71.0,0.507,96.0,207.0,0.464,11.0,16.0,0.688,20.0,30.0,0.667
Ohio St. (Big Ten),14,13-1,1131.0,7498.0,6.63,74.0,535.6,979.0,5648.0,5.77,44.0,46.0,403.4,12.0,11.0,23.0,9.0,8.0,17.0,6.0,0.43,447:13,31:56,88.0,22.0,421.0,99.0,7.1,23.0,116.0,1.64,79.0,76.0,0.0,0.0,13.0,2.0,593.0,42.4,46.0,39.0,0.0,0.0,14.0,0.0,357.0,25.5,570.0,2398.0,4.21,23.0,171.3,490.0,2215.0,4.52,26.0,158.2,70.0,20.0,24.0,11.0,54.0,0.771,42.0,18.0,11.0,9.0,38.0,0.905,13.0,43.0,0.0,3.31,13.0,43.0,0.0,3.31,561.0,396.0,8.0,5100.0,9.09,12.88,51.0,364.3,272.0,489.0,3433.0,18.0,7.02,12.62,245.2,33.0,492.0,0.0,14.91,33.0,492.0,0.0,14.91,102.0,145.0,36.0,283.0,102.0,145.0,36.0,283.0,116.0,1055.0,75.36,204.0,95.0,0.466,67.0,205.0,0.327,14.0,21.0,0.667,9.0,19.0,0.474
Clemson (ACC),15,15-0,1076.0,7908.0,7.35,86.0,527.2,1023.0,4288.0,4.19,21.0,23.0,285.9,12.0,12.0,24.0,9.0,8.0,17.0,7.0,0.47,431:20,28:45,113.0,46.0,617.0,136.0,9.1,17.0,115.0,1.13,90.0,88.0,0.0,0.0,12.0,0.0,664.0,44.3,23.0,20.0,0.0,0.0,13.0,0.0,197.0,13.1,568.0,3723.0,6.55,49.0,248.2,576.0,1444.0,2.51,8.0,96.3,75.0,34.0,23.0,9.0,66.0,0.88,36.0,8.0,7.0,11.0,26.0,0.722,17.0,121.0,1.0,7.12,17.0,121.0,1.0,7.12,508.0,328.0,8.0,4185.0,8.24,12.76,37.0,279.0,238.0,447.0,2844.0,13.0,6.36,11.95,189.6,32.0,657.0,1.0,20.53,32.0,657.0,1.0,20.53,97.0,116.0,22.0,235.0,97.0,116.0,22.0,235.0,73.0,674.0,44.93,202.0,93.0,0.46,68.0,239.0,0.285,11.0,19.0,0.579,10.0,28.0,0.357
Memphis (AAC),14,8-6,1028.0,7324.0,7.12,76.0,523.1,1069.0,5994.0,5.61,56.0,59.0,428.1,12.0,9.0,21.0,7.0,10.0,17.0,4.0,0.29,408:59,29:12,88.0,32.0,382.0,104.0,7.4,24.0,145.0,1.71,80.0,76.0,0.0,0.0,15.0,0.0,601.0,42.9,59.0,51.0,1.0,0.0,12.0,2.0,447.0,31.9,615.0,3919.0,6.37,48.0,279.9,588.0,2405.0,4.09,32.0,171.8,63.0,27.0,19.0,10.0,56.0,0.889,54.0,27.0,13.0,5.0,45.0,0.833,15.0,141.0,0.0,9.4,15.0,141.0,0.0,9.4,413.0,256.0,10.0,3405.0,8.24,13.3,28.0,243.2,276.0,481.0,3589.0,24.0,7.46,13.0,256.4,34.0,608.0,0.0,17.88,34.0,608.0,0.0,17.88,128.0,155.0,28.0,311.0,128.0,155.0,28.0,311.0,101.0,833.0,59.5,191.0,90.0,0.471,88.0,222.0,0.396,11.0,17.0,0.647,19.0,34.0,0.559
UCF (AAC),13,12-1,986.0,6795.0,6.89,72.0,522.7,1031.0,5638.0,5.47,33.0,35.0,433.7,14.0,14.0,28.0,7.0,7.0,14.0,14.0,1.08,330:27,25:25,82.0,48.0,334.0,106.0,8.2,19.0,130.0,1.46,75.0,74.0,1.0,0.0,12.0,0.0,562.0,43.2,35.0,31.0,0.0,0.0,18.0,0.0,295.0,22.7,594.0,3448.0,5.8,43.0,265.2,618.0,2890.0,4.68,17.0,222.3,59.0,31.0,16.0,6.0,53.0,0.898,44.0,12.0,7.0,14.0,33.0,0.75,13.0,124.0,1.0,9.54,13.0,124.0,1.0,9.54,392.0,224.0,7.0,3347.0,8.54,14.94,29.0,257.5,229.0,413.0,2748.0,16.0,6.65,12.0,211.4,52.0,1038.0,0.0,19.96,52.0,1038.0,0.0,19.96,160.0,122.0,25.0,307.0,160.0,122.0,25.0,307.0,97.0,848.0,65.23,175.0,88.0,0.503,90.0,215.0,0.419,12.0,20.0,0.6,13.0,30.0,0.433
Alabama (SEC),15,14-1,1009.0,7830.0,7.76,85.0,522.0,981.0,4793.0,4.89,33.0,35.0,319.5,7.0,14.0,21.0,7.0,8.0,15.0,6.0,0.4,454:55,30:19,83.0,48.0,395.0,107.0,7.1,15.0,121.0,1.0,92.0,83.0,0.0,0.0,15.0,2.0,684.0,45.6,35.0,34.0,0.0,0.0,9.0,0.0,271.0,18.1,571.0,2976.0,5.21,33.0,198.4,516.0,1819.0,3.53,11.0,121.3,79.0,31.0,23.0,11.0,65.0,0.823,41.0,9.0,15.0,6.0,30.0,0.732,9.0,24.0,0.0,2.67,9.0,24.0,0.0,2.67,438.0,301.0,8.0,4854.0,11.08,16.13,52.0,323.6,244.0,465.0,2974.0,22.0,6.4,12.19,198.3,41.0,825.0,0.0,20.12,41.0,825.0,0.0,20.12,93.0,131.0,29.0,253.0,93.0,131.0,29.0,253.0,87.0,796.0,53.07,165.0,86.0,0.521,76.0,222.0,0.342,7.0,15.0,0.467,11.0,24.0,0.458
Houston (AAC),13,8-5,1010.0,6663.0,6.6,74.0,512.5,1087.0,6454.0,5.94,61.0,62.0,496.5,10.0,14.0,24.0,10.0,9.0,19.0,5.0,0.38,325:42,25:03,68.0,38.0,306.0,87.0,6.7,30.0,198.0,2.31,78.0,75.0,2.0,0.0,8.0,0.0,571.0,43.9,62.0,57.0,1.0,0.0,16.0,2.0,483.0,37.2,536.0,2822.0,5.26,29.0,217.1,617.0,2872.0,4.65,42.0,220.9,57.0,20.0,25.0,5.0,50.0,0.877,63.0,35.0,12.0,11.0,58.0,0.921,19.0,159.0,0.0,8.37,19.0,159.0,0.0,8.37,474.0,284.0,9.0,3841.0,8.1,13.52,45.0,295.5,279.0,470.0,3582.0,19.0,7.62,12.84,275.5,59.0,1218.0,0.0,20.64,59.0,1218.0,0.0,20.64,152.0,161.0,22.0,335.0,152.0,161.0,22.0,335.0,87.0,683.0,52.54,194.0,89.0,0.459,104.0,224.0,0.464,14.0,28.0,0.5,10.0,20.0,0.5
West Virginia (Big 12),12,8-4,870.0,6147.0,7.07,60.0,512.3,839.0,4876.0,5.81,39.0,41.0,406.3,9.0,15.0,24.0,7.0,10.0,17.0,7.0,0.58,346:09,28:50,85.0,22.0,366.0,96.0,8.0,29.0,204.0,2.42,62.0,59.0,1.0,0.0,16.0,1.0,483.0,40.3,41.0,38.0,2.0,0.0,12.0,1.0,326.0,27.2,425.0,1931.0,4.54,22.0,160.9,450.0,1772.0,3.94,17.0,147.7,53.0,17.0,18.0,8.0,43.0,0.811,45.0,14.0,14.0,11.0,39.0,0.867,9.0,69.0,0.0,7.67,9.0,69.0,0.0,7.67,445.0,291.0,10.0,4216.0,9.47,14.49,38.0,351.3,247.0,389.0,3104.0,22.0,7.98,12.57,258.7,44.0,850.0,0.0,19.32,44.0,850.0,0.0,19.32,112.0,131.0,19.0,262.0,112.0,131.0,19.0,262.0,85.0,800.0,66.67,156.0,68.0,0.436,57.0,158.0,0.361,9.0,16.0,0.563,12.0,19.0,0.632
Ole Miss (SEC),12,5-7,860.0,6126.0,7.12,45.0,510.5,918.0,5801.0,6.32,51.0,54.0,483.4,8.0,7.0,15.0,5.0,9.0,14.0,1.0,0.08,323:36,26:58,54.0,64.0,317.0,86.0,7.2,32.0,196.0,2.67,49.0,47.0,0.0,0.0,22.0,0.0,407.0,33.9,54.0,54.0,0.0,0.0,18.0,1.0,434.0,36.2,419.0,1969.0,4.7,24.0,164.1,523.0,2661.0,5.09,25.0,221.8,54.0,20.0,7.0,21.0,48.0,0.889,63.0,20.0,16.0,16.0,52.0,0.825,10.0,150.0,1.0,15.0,10.0,150.0,1.0,15.0,441.0,282.0,9.0,4157.0,9.43,14.74,21.0,346.4,250.0,395.0,3140.0,26.0,7.95,12.56,261.7,41.0,1012.0,1.0,24.68,41.0,1012.0,1.0,24.68,144.0,130.0,30.0,304.0,144.0,130.0,30.0,304.0,88.0,802.0,66.83,156.0,55.0,0.353,68.0,168.0,0.405,8.0,16.0,0.5,12.0,23.0,0.522
Oklahoma St. (Big 12),13,7-6,1011.0,6502.0,6.43,63.0,500.2,974.0,5882.0,6.04,53.0,55.0,452.5,8.0,5.0,13.0,9.0,13.0,22.0,-9.0,-0.69,356:48,27:26,83.0,26.0,344.0,96.0,7.4,34.0,231.0,2.62,65.0,61.0,0.0,0.0,16.0,0.0,499.0,38.4,55.0,52.0,1.0,0.0,12.0,1.0,422.0,32.5,518.0,2474.0,4.78,30.0,190.3,522.0,2410.0,4.62,26.0,185.4,67.0,28.0,17.0,15.0,60.0,0.896,53.0,18.0,11.0,10.0,39.0,0.736,20.0,141.0,1.0,7.05,20.0,141.0,1.0,7.05,493.0,293.0,13.0,4028.0,8.17,13.75,33.0,309.8,279.0,452.0,3472.0,27.0,7.68,12.44,267.1,26.0,494.0,0.0,19.0,26.0,494.0,0.0,19.0,108.0,156.0,37.0,301.0,108.0,156.0,37.0,301.0,89.0,917.0,70.54,194.0,87.0,0.448,71.0,189.0,0.376,15.0,24.0,0.625,10.0,19.0,0.526
