Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
LSU (SEC),15,15-0,1080.0,8526.0,7.89,93.0,568.4,1008.0,5153.0,5.11,39.0,42.0,343.5,5.0,17.0,22.0,5.0,7.0,12.0,10.0,0.67,455:44,30:22,76.0,40.0,419.0,96.0,6.4,35.0,221.0,2.33,95.0,89.0,1.0,0.0,21.0,1.0,726.0,48.4,42.0,37.0,3.0,0.0,11.0,0.0,328.0,21.9,513.0,2502.0,4.88,32.0,166.8,487.0,1812.0,3.72,19.0,120.8,75.0,25.0,34.0,13.0,72.0,0.96,40.0,14.0,12.0,5.0,31.0,0.775,9.0,117.0,1.0,13.0,9.0,117.0,1.0,13.0,567.0,426.0,7.0,6024.0,10.62,14.14,61.0,401.6,264.0,521.0,3341.0,20.0,6.41,12.66,222.7,15.0,337.0,0.0,22.47,15.0,337.0,0.0,22.47,87.0,158.0,38.0,283.0,87.0,158.0,38.0,283.0,93.0,936.0,62.4,183.0,91.0,0.497,63.0,213.0,0.296,6.0,9.0,0.667,15.0,31.0,0.484
UCF (AAC),13,10-3,1016.0,7026.0,6.92,70.0,540.5,985.0,4499.0,4.57,31.0,36.0,346.1,8.0,13.0,21.0,7.0,8.0,15.0,6.0,0.46,344:14,26:28,89.0,56.0,436.0,117.0,9.0,24.0,140.0,1.85,74.0,71.0,1.0,0.0,15.0,1.0,564.0,43.4,36.0,31.0,2.0,0.0,16.0,0.0,299.0,23.0,559.0,2909.0,5.2,34.0,223.8,546.0,1906.0,3.49,14.0,146.6,57.0,20.0,13.0,12.0,45.0,0.789,43.0,12.0,12.0,12.0,36.0,0.837,10.0,137.0,1.0,13.7,10.0,137.0,1.0,13.7,457.0,271.0,8.0,4117.0,9.01,15.19,36.0,316.7,230.0,439.0,2593.0,17.0,5.91,11.27,199.5,33.0,743.0,1.0,22.52,33.0,743.0,1.0,22.52,111.0,120.0,31.0,262.0,111.0,120.0,31.0,262.0,111.0,952.0,73.23,200.0,81.0,0.405,63.0,215.0,0.293,19.0,33.0,0.576,16.0,25.0,0.64
Oklahoma (Big 12),14,12-2,946.0,7527.0,7.96,74.0,537.6,886.0,4990.0,5.63,47.0,48.0,356.4,4.0,7.0,11.0,10.0,9.0,19.0,-8.0,-0.57,434:30,31:02,86.0,36.0,405.0,104.0,7.4,23.0,147.0,1.64,76.0,75.0,1.0,0.0,19.0,0.0,590.0,42.1,48.0,46.0,0.0,0.0,16.0,0.0,382.0,27.3,565.0,3363.0,5.95,38.0,240.2,459.0,1877.0,4.09,20.0,134.1,73.0,30.0,22.0,15.0,67.0,0.918,48.0,20.0,12.0,13.0,45.0,0.938,5.0,46.0,0.0,9.2,5.0,46.0,0.0,9.2,381.0,262.0,9.0,4164.0,10.93,15.89,36.0,297.4,257.0,427.0,3113.0,27.0,7.29,12.11,222.4,38.0,730.0,0.0,19.21,38.0,730.0,0.0,19.21,98.0,138.0,42.0,278.0,98.0,138.0,42.0,278.0,101.0,1038.0,74.14,155.0,77.0,0.497,57.0,177.0,0.322,8.0,12.0,0.667,10.0,24.0,0.417
Ohio St. (Big Ten),14,13-1,1069.0,7419.0,6.94,87.0,529.9,881.0,3636.0,4.13,23.0,23.0,259.7,10.0,15.0,25.0,13.0,3.0,16.0,9.0,0.64,447:31,31:57,105.0,38.0,494.0,124.0,8.9,35.0,224.0,2.5,88.0,87.0,0.0,0.0,13.0,1.0,656.0,46.9,23.0,19.0,3.0,0.0,9.0,1.0,192.0,13.7,663.0,3735.0,5.63,39.0,266.8,488.0,1452.0,2.98,14.0,103.7,75.0,30.0,29.0,8.0,67.0,0.893,29.0,10.0,2.0,7.0,19.0,0.655,12.0,36.0,0.0,3.0,12.0,36.0,0.0,3.0,406.0,271.0,3.0,3684.0,9.07,13.59,48.0,263.1,200.0,393.0,2184.0,9.0,5.56,10.92,156.0,43.0,770.0,0.0,17.91,43.0,770.0,0.0,17.91,99.0,89.0,29.0,217.0,99.0,89.0,29.0,217.0,81.0,770.0,55.0,183.0,101.0,0.552,60.0,206.0,0.291,8.0,13.0,0.615,7.0,20.0,0.35
Clemson (ACC),15,14-1,1075.0,7931.0,7.38,85.0,528.7,970.0,4325.0,4.46,24.0,24.0,288.3,11.0,19.0,30.0,5.0,10.0,15.0,15.0,1.0,453:49,30:15,87.0,64.0,504.0,119.0,7.9,18.0,142.0,1.2,88.0,85.0,2.0,0.0,14.0,0.0,659.0,43.9,24.0,23.0,0.0,0.0,12.0,0.0,203.0,13.5,566.0,3606.0,6.37,45.0,240.4,537.0,1741.0,3.24,10.0,116.1,67.0,33.0,18.0,8.0,59.0,0.881,33.0,7.0,7.0,11.0,25.0,0.758,9.0,68.0,0.0,7.56,9.0,68.0,0.0,7.56,509.0,326.0,10.0,4325.0,8.5,13.27,40.0,288.3,231.0,433.0,2584.0,14.0,5.97,11.19,172.3,25.0,439.0,0.0,17.56,25.0,439.0,0.0,17.56,92.0,108.0,18.0,218.0,92.0,108.0,18.0,218.0,85.0,684.0,45.6,181.0,80.0,0.442,71.0,230.0,0.309,6.0,12.0,0.5,10.0,23.0,0.435
Alabama (SEC),13,11-2,842.0,6640.0,7.89,76.0,510.8,877.0,4217.0,4.81,24.0,26.0,324.4,11.0,17.0,28.0,4.0,6.0,10.0,18.0,1.38,389:58,29:59,61.0,34.0,317.0,78.0,6.0,12.0,81.0,0.92,83.0,80.0,0.0,0.0,12.0,0.0,614.0,47.2,26.0,22.0,2.0,0.0,20.0,0.0,242.0,18.6,436.0,2191.0,5.03,27.0,168.5,467.0,1783.0,3.82,9.0,137.2,62.0,22.0,21.0,9.0,52.0,0.839,32.0,9.0,9.0,9.0,27.0,0.844,11.0,101.0,0.0,9.18,11.0,101.0,0.0,9.18,406.0,287.0,6.0,4449.0,10.96,15.5,49.0,342.2,230.0,410.0,2434.0,15.0,5.94,10.58,187.2,27.0,469.0,0.0,17.37,27.0,469.0,0.0,17.37,95.0,121.0,31.0,247.0,95.0,121.0,31.0,247.0,95.0,855.0,65.77,153.0,80.0,0.523,66.0,185.0,0.357,13.0,19.0,0.684,7.0,19.0,0.368
Washington St. (Pac-12),13,6-7,920.0,6568.0,7.14,62.0,505.2,886.0,5882.0,6.64,50.0,53.0,452.5,9.0,10.0,19.0,9.0,16.0,25.0,-6.0,-0.46,381:23,29:20,52.0,32.0,238.0,68.0,5.2,20.0,156.0,1.54,62.0,55.0,1.0,1.0,20.0,0.0,491.0,37.8,53.0,46.0,4.0,0.0,12.0,0.0,408.0,31.4,210.0,885.0,4.21,12.0,68.1,488.0,2411.0,4.94,27.0,185.5,71.0,10.0,35.0,16.0,61.0,0.859,48.0,22.0,11.0,8.0,41.0,0.854,8.0,116.0,1.0,14.5,8.0,116.0,1.0,14.5,710.0,505.0,16.0,5683.0,8.0,11.25,50.0,437.2,250.0,398.0,3471.0,23.0,8.72,13.88,267.0,26.0,506.0,1.0,19.46,26.0,506.0,1.0,19.46,131.0,139.0,27.0,297.0,131.0,139.0,27.0,297.0,85.0,794.0,61.08,141.0,60.0,0.426,68.0,162.0,0.42,13.0,22.0,0.591,13.0,23.0,0.565
Louisiana (Sun Belt),14,11-3,987.0,6918.0,7.01,69.0,494.1,955.0,5205.0,5.45,32.0,33.0,371.8,9.0,10.0,19.0,10.0,4.0,14.0,5.0,0.36,420:39,30:02,55.0,22.0,297.0,66.0,4.7,15.0,131.0,1.07,69.0,67.0,0.0,0.0,16.0,1.0,531.0,37.9,33.0,28.0,1.0,0.0,16.0,0.0,276.0,19.7,574.0,3604.0,6.28,42.0,257.4,545.0,2437.0,4.47,21.0,174.1,70.0,29.0,19.0,13.0,61.0,0.871,43.0,18.0,4.0,9.0,31.0,0.721,12.0,91.0,0.0,7.58,12.0,91.0,0.0,7.58,413.0,268.0,4.0,3314.0,8.02,12.37,27.0,236.7,235.0,410.0,2768.0,11.0,6.75,11.78,197.7,40.0,702.0,0.0,17.55,40.0,702.0,0.0,17.55,147.0,120.0,29.0,296.0,147.0,120.0,29.0,296.0,98.0,817.0,58.36,168.0,80.0,0.476,68.0,188.0,0.362,9.0,17.0,0.529,11.0,27.0,0.407
SMU (AAC),13,10-3,1037.0,6368.0,6.14,70.0,489.8,1004.0,5785.0,5.76,50.0,53.0,445.0,12.0,9.0,21.0,6.0,11.0,17.0,4.0,0.31,375:20,28:52,89.0,44.0,465.0,111.0,8.5,17.0,108.0,1.31,73.0,58.0,6.0,0.0,12.0,0.0,544.0,41.8,53.0,50.0,2.0,0.0,20.0,1.0,434.0,33.4,534.0,2351.0,4.4,35.0,180.8,522.0,2033.0,3.89,16.0,156.4,72.0,25.0,19.0,11.0,55.0,0.764,48.0,12.0,15.0,14.0,41.0,0.854,14.0,67.0,0.0,4.79,14.0,67.0,0.0,4.79,503.0,313.0,11.0,4017.0,7.99,12.83,35.0,309.0,289.0,482.0,3752.0,34.0,7.78,12.98,288.6,63.0,1135.0,1.0,18.02,63.0,1135.0,1.0,18.02,105.0,167.0,30.0,302.0,105.0,167.0,30.0,302.0,83.0,743.0,57.15,212.0,93.0,0.439,79.0,210.0,0.376,22.0,30.0,0.733,15.0,32.0,0.469
Memphis (AAC),14,12-2,992.0,6791.0,6.85,65.0,485.1,999.0,5369.0,5.37,42.0,45.0,383.5,8.0,11.0,19.0,9.0,11.0,20.0,-1.0,-0.07,427:25,30:31,80.0,34.0,348.0,97.0,6.9,27.0,170.0,1.93,71.0,65.0,1.0,1.0,23.0,1.0,566.0,40.4,45.0,38.0,4.0,0.0,18.0,0.0,370.0,26.4,551.0,2614.0,4.74,32.0,186.7,586.0,2627.0,4.48,27.0,187.6,61.0,21.0,16.0,13.0,50.0,0.82,50.0,20.0,10.0,16.0,46.0,0.92,16.0,107.0,1.0,6.69,16.0,107.0,1.0,6.69,441.0,281.0,11.0,4177.0,9.47,14.86,33.0,298.4,219.0,413.0,2742.0,15.0,6.64,12.52,195.9,30.0,557.0,0.0,18.57,30.0,557.0,0.0,18.57,134.0,120.0,28.0,282.0,134.0,120.0,28.0,282.0,103.0,839.0,59.93,193.0,89.0,0.461,83.0,210.0,0.395,14.0,24.0,0.583,15.0,31.0,0.484
