Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
LSU (SEC),12,9-3,771,6573,8.53,73,547.8,808,4910,6.08,43,43,409.2,3,10,13,3,4,7,6,0.5,346:09,28:51,47,38,260,66,5.5,22,96,1.83,74,73,1,0,12,1,557,46.4,43,37,4,0,10,0,333,27.8,405,2562,6.33,32,213.5,428,1965,4.59,23,163.8,61,28,17,10,55,0.902,42,17,14,7,38,0.905,2,-1,0,-0.5,2,-1,0,-0.5,366,255,4,4011,10.96,15.73,41,334.2,241,380,2945,20,7.75,12.22,245.4,31,623,0,20.1,31,623,0,20.1,109,130,13,252,109,130,13,252,74,627,52.25,120,68,0.567,72,159,0.453,6,14,0.429,13,28,0.464
Oregon (Pac-12),13,11-2,880,6846,7.78,76,526.6,841,4164,4.95,25,26,320.3,5,11,16,2,5,7,9,0.69,399:20,30:43,55,24,357,67,5.2,5,31,0.38,77,69,5,0,11,0,574,44.2,26,20,2,0,15,0,225,17.3,408,2390,5.86,32,183.8,373,1268,3.4,10,97.5,67,26,25,8,59,0.881,40,10,12,12,34,0.85,6,92,0,15.33,6,92,0,15.33,472,364,5,4456,9.44,12.24,44,342.8,281,468,2896,15,6.19,10.31,222.8,26,418,0,16.08,26,418,0,16.08,77,133,28,238,77,133,28,238,91,828,63.69,144,73,0.507,63,179,0.352,17,23,0.739,18,37,0.486
Liberty (CUSA),13,13-0,921,6694,7.27,70,514.9,840,4633,5.52,38,39,356.4,4,21,25,11,5,16,9,0.69,438:15,33:43,53,46,253,76,5.8,9,65,0.69,72,71,0,0,9,0,530,40.8,38,30,2,0,9,0,289,22.2,642,3938,6.13,39,302.9,375,1451,3.87,12,111.6,64,33,14,6,53,0.828,42,10,17,7,34,0.81,7,24,0,3.43,7,24,0,3.43,279,163,5,2756,9.88,16.91,31,212.0,266,465,3182,26,6.84,11.96,244.8,36,547,0,15.19,36,547,0,15.19,97,130,29,256,97,130,29,256,82,826,63.54,145,73,0.503,64,173,0.37,11,20,0.55,15,35,0.429
North Carolina (ACC),12,8-4,890,6047,6.79,53,503.9,882,4865,5.52,39,40,405.4,9,12,21,5,9,14,7,0.58,337:18,28:07,56,28,306,70,5.8,30,137,2.5,54,50,1,0,21,0,439,36.6,40,36,2,0,15,0,325,27.1,457,2365,5.18,28,197.1,474,1957,4.13,20,163.1,56,24,11,15,50,0.893,51,17,13,10,40,0.784,8,31,0,3.88,8,31,0,3.88,433,274,9,3682,8.5,13.44,25,306.8,256,408,2908,19,7.13,11.36,242.3,19,485,1,25.53,19,485,1,25.53,106,143,26,275,106,143,26,275,85,802,66.83,173,85,0.491,67,171,0.392,8,17,0.471,16,31,0.516
Oklahoma (Big 12),12,10-2,895,6029,6.74,63,502.4,871,4679,5.37,29,31,389.9,6,19,25,8,6,14,11,0.92,349:12,29:06,60,56,267,88,7.3,17,97,1.42,68,66,0,0,14,1,518,43.2,31,23,2,0,18,0,267,22.2,487,2167,4.45,31,180.6,435,1773,4.08,13,147.8,64,28,16,13,57,0.891,39,10,11,10,31,0.795,16,75,1,4.69,16,75,1,4.69,408,284,6,3862,9.47,13.6,32,321.8,245,436,2906,16,6.67,11.86,242.2,23,413,0,17.96,23,413,0,17.96,91,129,23,243,91,129,23,243,80,684,57.0,162,80,0.494,55,181,0.304,13,18,0.722,18,34,0.529
North Texas (AAC),12,5-7,911,5950,6.53,52,495.8,872,5717,6.56,59,60,476.4,4,10,14,10,9,19,-5,-0.42,350:24,29:12,40,22,155,51,4.2,38,249,3.17,52,46,4,0,16,0,414,34.5,60,52,3,0,9,0,445,37.1,449,2294,5.11,19,191.2,544,3062,5.63,37,255.2,49,11,21,12,44,0.898,48,25,10,7,42,0.875,4,19,0,4.75,4,19,0,4.75,462,284,9,3656,7.91,12.87,33,304.7,191,328,2655,22,8.09,13.9,221.2,5,56,0,11.2,5,56,0,11.2,151,117,13,281,151,117,13,281,57,559,46.58,173,73,0.422,78,169,0.462,21,35,0.6,16,27,0.593
UCF (Big 12),12,6-6,828,5907,7.13,50,492.2,816,4712,5.77,35,37,392.7,4,11,15,6,10,16,-1,-0.08,348:55,29:05,53,24,303,65,5.4,22,165,1.83,51,46,0,1,12,0,388,32.5,37,31,2,0,16,0,305,25.4,495,2798,5.65,28,233.2,463,2242,4.84,24,186.8,48,22,9,7,38,0.792,51,21,7,13,41,0.804,11,151,1,13.73,11,151,1,13.73,333,212,10,3109,9.34,14.67,22,259.1,203,353,2470,11,7.0,12.17,205.8,25,567,0,22.68,25,567,0,22.68,122,122,18,262,122,122,18,262,72,597,49.75,152,76,0.5,63,159,0.396,12,20,0.6,13,23,0.565
Georgia (SEC),13,12-1,882,6278,7.12,60,482.9,795,3838,4.83,26,26,295.2,1,12,13,7,7,14,-1,-0.08,433:07,33:19,58,20,293,68,5.2,12,73,0.92,62,62,0,0,21,1,499,38.4,26,22,1,0,12,0,216,16.6,454,2305,5.08,35,177.3,396,1528,3.86,13,117.5,73,33,15,18,66,0.904,35,12,9,11,32,0.914,0,0,0,0.0,0,0,0,0.0,428,308,7,3973,9.28,12.9,25,305.6,224,399,2310,13,5.79,10.31,177.7,18,295,0,16.39,18,295,0,16.39,90,107,16,213,90,107,16,213,57,551,42.38,157,86,0.548,43,163,0.264,8,10,0.8,16,28,0.571
Texas (Big 12),13,12-1,931,6187,6.65,50,475.9,830,4182,5.04,26,26,321.7,7,16,23,7,9,16,7,0.54,413:24,31:48,67,30,325,82,6.3,26,156,2.0,55,52,1,1,28,0,468,36.2,26,22,1,0,16,0,228,17.5,499,2458,4.93,26,189.1,366,1051,2.87,7,80.8,55,16,11,17,44,0.8,35,5,11,9,25,0.714,13,76,0,5.85,13,76,0,5.85,432,293,9,3729,8.63,12.73,24,286.8,278,464,3131,19,6.75,11.26,240.8,31,614,0,19.81,31,614,0,19.81,66,139,18,223,66,139,18,223,82,665,51.15,174,67,0.385,44,166,0.265,19,30,0.633,12,26,0.462
Texas St. (Sun Belt),12,7-5,887,5649,6.37,53,470.8,849,4972,5.86,47,53,414.3,9,6,15,14,9,23,-8,-0.67,349:08,29:06,79,46,445,102,8.5,28,144,2.33,56,52,1,0,14,0,432,36.0,53,43,3,0,13,0,406,33.8,487,2279,4.68,29,189.9,458,1882,4.11,24,156.8,57,23,15,11,49,0.86,53,20,17,8,45,0.849,10,74,0,7.4,10,74,0,7.4,400,272,9,3370,8.42,12.39,24,280.8,258,391,3090,23,7.9,11.98,257.5,46,1086,1,23.61,46,1086,1,23.61,106,132,33,271,106,132,33,271,84,771,64.25,167,75,0.449,85,178,0.478,20,31,0.645,15,32,0.469
