Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Ohio St. (Big Ten),13,11-2,917.0,7300.0,7.96,70.0,561.5,909.0,4848.0,5.33,38.0,39.0,372.9,8.0,12.0,20.0,3.0,8.0,11.0,9.0,0.69,381:57,29:23,68.0,30.0,379.0,83.0,6.4,17.0,133.0,1.31,76.0,76.0,0.0,0.0,20.0,1.0,594.0,45.7,39.0,38.0,0.0,0.0,8.0,0.0,296.0,22.8,423.0,2348.0,5.55,24.0,180.6,448.0,1648.0,3.68,17.0,126.8,59.0,17.0,21.0,16.0,54.0,0.915,42.0,15.0,16.0,5.0,36.0,0.857,7.0,41.0,0.0,5.86,7.0,41.0,0.0,5.86,494.0,349.0,8.0,4952.0,10.02,14.19,46.0,380.9,284.0,461.0,3200.0,21.0,6.94,11.27,246.2,40.0,713.0,1.0,17.82,40.0,713.0,1.0,17.82,97.0,151.0,29.0,277.0,97.0,151.0,29.0,277.0,85.0,770.0,59.23,155.0,81.0,0.523,77.0,186.0,0.414,11.0,19.0,0.579,10.0,21.0,0.476
Western Ky. (C-USA),14,9-5,1045.0,7494.0,7.17,76.0,535.3,1083.0,6101.0,5.63,51.0,53.0,435.8,10.0,21.0,31.0,8.0,12.0,20.0,11.0,0.79,389:28,27:49,63.0,38.0,357.0,82.0,5.9,17.0,123.0,1.21,79.0,72.0,2.0,0.0,23.0,0.0,619.0,44.2,53.0,51.0,0.0,0.0,14.0,0.0,411.0,29.4,347.0,1422.0,4.1,13.0,101.6,564.0,2348.0,4.16,28.0,167.7,77.0,12.0,40.0,18.0,70.0,0.909,52.0,24.0,7.0,12.0,43.0,0.827,,,,,,,,,698.0,480.0,12.0,6072.0,8.7,12.65,63.0,433.7,316.0,519.0,3753.0,23.0,7.23,11.88,268.1,33.0,613.0,0.0,18.58,33.0,613.0,0.0,18.58,139.0,169.0,24.0,332.0,139.0,169.0,24.0,332.0,95.0,758.0,54.14,174.0,81.0,0.466,92.0,211.0,0.436,11.0,22.0,0.5,18.0,41.0,0.439
Virginia (ACC),12,6-6,892.0,6189.0,6.94,52.0,515.8,844.0,5592.0,6.63,47.0,48.0,466.0,7.0,8.0,15.0,6.0,12.0,18.0,-3.0,-0.25,367:41,30:38,38.0,28.0,181.0,52.0,4.3,40.0,232.0,3.33,52.0,50.0,2.0,0.0,15.0,2.0,415.0,34.6,48.0,45.0,1.0,0.0,15.0,1.0,382.0,31.8,339.0,1478.0,4.36,21.0,123.2,468.0,2710.0,5.79,21.0,225.8,60.0,18.0,20.0,13.0,51.0,0.85,51.0,13.0,13.0,13.0,39.0,0.765,16.0,157.0,0.0,9.81,16.0,157.0,0.0,9.81,553.0,350.0,12.0,4711.0,8.52,13.46,31.0,392.6,225.0,376.0,2882.0,26.0,7.66,12.81,240.2,11.0,263.0,1.0,23.91,11.0,263.0,1.0,23.91,119.0,132.0,30.0,281.0,119.0,132.0,30.0,281.0,77.0,681.0,56.75,159.0,73.0,0.459,66.0,161.0,0.41,8.0,19.0,0.421,12.0,20.0,0.6
Kent St. (MAC),14,7-7,1053.0,6933.0,6.58,57.0,495.2,1066.0,6601.0,6.19,63.0,65.0,471.5,9.0,16.0,25.0,6.0,6.0,12.0,13.0,0.93,373:37,26:41,49.0,32.0,235.0,65.0,4.6,40.0,230.0,2.86,57.0,51.0,3.0,0.0,21.0,0.0,462.0,33.0,65.0,57.0,1.0,0.0,19.0,1.0,508.0,36.3,647.0,3481.0,5.38,36.0,248.6,580.0,2882.0,4.97,40.0,205.9,68.0,26.0,11.0,19.0,56.0,0.824,64.0,28.0,11.0,15.0,54.0,0.844,8.0,23.0,0.0,2.88,8.0,23.0,0.0,2.88,406.0,262.0,6.0,3452.0,8.5,13.18,21.0,246.6,307.0,486.0,3719.0,23.0,7.65,12.11,265.6,55.0,853.0,0.0,15.51,55.0,853.0,0.0,15.51,155.0,174.0,31.0,360.0,155.0,174.0,31.0,360.0,110.0,998.0,71.29,202.0,88.0,0.436,95.0,203.0,0.468,13.0,27.0,0.481,21.0,35.0,0.6
Coastal Carolina (Sun Belt),13,11-2,831.0,6431.0,7.74,69.0,494.7,836.0,4412.0,5.28,36.0,36.0,339.4,6.0,6.0,12.0,6.0,4.0,10.0,2.0,0.15,406:56,31:18,63.0,46.0,335.0,86.0,6.6,22.0,141.0,1.69,72.0,65.0,2.0,0.0,9.0,2.0,532.0,40.9,36.0,29.0,3.0,0.0,10.0,0.0,281.0,21.6,509.0,2974.0,5.84,36.0,228.8,477.0,1938.0,4.06,21.0,149.1,48.0,25.0,14.0,4.0,43.0,0.896,40.0,16.0,9.0,6.0,31.0,0.775,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,322.0,227.0,4.0,3457.0,10.74,15.23,33.0,265.9,208.0,359.0,2474.0,15.0,6.89,11.89,190.3,52.0,1037.0,0.0,19.94,52.0,1037.0,0.0,19.94,106.0,109.0,17.0,232.0,106.0,109.0,17.0,232.0,70.0,666.0,51.23,143.0,77.0,0.538,62.0,172.0,0.36,10.0,13.0,0.769,13.0,29.0,0.448
Ole Miss (SEC),13,10-3,1017.0,6402.0,6.29,54.0,492.5,992.0,5468.0,5.51,39.0,40.0,420.6,9.0,11.0,20.0,5.0,7.0,12.0,8.0,0.62,357:13,27:29,58.0,36.0,284.0,76.0,5.8,34.0,218.0,2.62,56.0,51.0,1.0,0.0,15.0,2.0,438.0,33.7,40.0,36.0,2.0,0.0,13.0,1.0,321.0,24.7,588.0,2829.0,4.81,33.0,217.6,550.0,2478.0,4.51,25.0,190.6,69.0,29.0,12.0,11.0,52.0,0.754,52.0,21.0,11.0,10.0,42.0,0.808,17.0,76.0,0.0,4.47,17.0,76.0,0.0,4.47,429.0,286.0,7.0,3573.0,8.33,12.49,21.0,274.8,269.0,442.0,2990.0,14.0,6.76,11.12,230.0,50.0,1050.0,0.0,21.0,50.0,1050.0,0.0,21.0,144.0,143.0,37.0,324.0,144.0,143.0,37.0,324.0,118.0,983.0,75.62,191.0,73.0,0.382,72.0,187.0,0.385,31.0,49.0,0.633,17.0,35.0,0.486
Alabama (SEC),15,13-2,1119.0,7323.0,6.54,69.0,488.2,956.0,4561.0,4.77,34.0,36.0,304.1,7.0,15.0,22.0,6.0,7.0,13.0,9.0,0.6,475:46,31:43,103.0,36.0,549.0,121.0,8.1,42.0,284.0,2.8,75.0,71.0,4.0,0.0,23.0,0.0,598.0,39.9,36.0,33.0,1.0,0.0,17.0,0.0,302.0,20.1,548.0,2250.0,4.11,21.0,150.0,485.0,1290.0,2.66,9.0,86.0,68.0,20.0,26.0,17.0,63.0,0.926,40.0,8.0,14.0,12.0,34.0,0.85,12.0,73.0,0.0,6.08,12.0,73.0,0.0,6.08,571.0,380.0,7.0,5073.0,8.88,13.35,48.0,338.2,297.0,471.0,3271.0,25.0,6.94,11.01,218.1,24.0,455.0,1.0,18.96,24.0,455.0,1.0,18.96,86.0,141.0,36.0,263.0,86.0,141.0,36.0,263.0,107.0,990.0,66.0,225.0,117.0,0.52,65.0,209.0,0.311,9.0,18.0,0.5,17.0,31.0,0.548
Pittsburgh (ACC),14,11-3,1069.0,6812.0,6.37,70.0,486.6,977.0,4950.0,5.07,41.0,43.0,353.6,7.0,16.0,23.0,7.0,8.0,15.0,8.0,0.57,437:00,31:13,87.0,50.0,547.0,112.0,8.0,34.0,257.0,2.43,76.0,71.0,0.0,0.0,17.0,1.0,580.0,41.4,43.0,39.0,1.0,0.0,10.0,1.0,331.0,23.6,525.0,2089.0,3.98,26.0,149.2,471.0,1250.0,2.65,15.0,89.3,69.0,24.0,25.0,12.0,61.0,0.884,47.0,14.0,14.0,8.0,36.0,0.766,11.0,58.0,0.0,5.27,11.0,58.0,0.0,5.27,544.0,367.0,8.0,4723.0,8.68,12.87,44.0,337.4,302.0,506.0,3700.0,26.0,7.31,12.25,264.3,45.0,1002.0,1.0,22.27,45.0,1002.0,1.0,22.27,80.0,162.0,37.0,279.0,80.0,162.0,37.0,279.0,94.0,895.0,63.93,204.0,90.0,0.441,68.0,203.0,0.335,17.0,25.0,0.68,7.0,26.0,0.269
Tennessee (SEC),13,7-6,952.0,6174.0,6.49,63.0,474.9,1010.0,5482.0,5.43,47.0,48.0,421.7,3.0,13.0,16.0,10.0,3.0,13.0,3.0,0.23,318:21,24:29,77.0,50.0,386.0,102.0,7.8,44.0,233.0,3.38,67.0,67.0,0.0,0.0,12.0,3.0,511.0,39.3,48.0,44.0,2.0,0.0,14.0,0.0,378.0,29.1,577.0,2832.0,4.91,30.0,217.8,521.0,1931.0,3.71,24.0,148.5,58.0,26.0,13.0,10.0,49.0,0.845,50.0,22.0,14.0,10.0,46.0,0.92,7.0,14.0,0.0,2.0,7.0,14.0,0.0,2.0,375.0,243.0,3.0,3342.0,8.91,13.75,33.0,257.1,300.0,489.0,3551.0,23.0,7.26,11.84,273.2,26.0,550.0,1.0,21.15,26.0,550.0,1.0,21.15,118.0,154.0,23.0,295.0,118.0,154.0,23.0,295.0,89.0,788.0,60.62,179.0,80.0,0.447,91.0,216.0,0.421,15.0,32.0,0.469,19.0,37.0,0.514
North Carolina (ACC),13,6-7,895.0,6088.0,6.8,56.0,468.3,889.0,5434.0,6.11,50.0,52.0,418.0,5.0,11.0,16.0,5.0,9.0,14.0,2.0,0.15,362:53,27:55,56.0,30.0,280.0,71.0,5.5,49.0,277.0,3.77,57.0,53.0,3.0,0.0,19.0,0.0,458.0,35.2,52.0,46.0,4.0,0.0,17.0,0.0,417.0,32.1,513.0,2764.0,5.39,30.0,212.6,504.0,2340.0,4.64,23.0,180.0,49.0,19.0,9.0,16.0,44.0,0.898,51.0,17.0,11.0,15.0,43.0,0.843,19.0,199.0,1.0,10.47,19.0,199.0,1.0,10.47,382.0,237.0,9.0,3324.0,8.7,14.03,26.0,255.7,234.0,385.0,3094.0,27.0,8.04,13.22,238.0,16.0,320.0,0.0,20.0,16.0,320.0,0.0,20.0,134.0,132.0,31.0,297.0,134.0,132.0,31.0,297.0,95.0,900.0,69.23,164.0,71.0,0.433,73.0,175.0,0.417,11.0,21.0,0.524,10.0,17.0,0.588
