Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Baylor (Big 12),13,10-3,1103.0,8011.0,7.26,85.0,616.2,994.0,5155.0,5.19,47.0,49.0,396.5,12.0,14.0,26.0,13.0,13.0,26.0,0.0,0.0,362:13,27:51,85.0,26.0,349.0,98.0,7.5,15.0,86.0,1.15,86.0,83.0,1.0,0.0,8.0,0.0,625.0,48.1,49.0,47.0,0.0,0.0,9.0,0.0,368.0,28.3,714.0,4247.0,5.95,41.0,326.7,552.0,2120.0,3.84,17.0,163.1,70.0,36.0,17.0,8.0,61.0,0.871,42.0,14.0,16.0,8.0,38.0,0.905,8.0,28.0,0.0,3.5,8.0,28.0,0.0,3.5,389.0,229.0,13.0,3764.0,9.68,16.44,44.0,289.5,255.0,442.0,3035.0,30.0,6.87,11.9,233.5,61.0,1406.0,1.0,23.05,61.0,1406.0,1.0,23.05,119.0,126.0,29.0,274.0,119.0,126.0,29.0,274.0,118.0,1043.0,80.23,195.0,91.0,0.467,74.0,201.0,0.368,28.0,40.0,0.7,9.0,23.0,0.391
Texas Tech (Big 12),13,7-6,1084.0,7533.0,6.95,73.0,579.5,1031.0,7120.0,6.91,74.0,77.0,547.7,10.0,15.0,25.0,8.0,15.0,23.0,2.0,0.15,362:41,27:53,54.0,30.0,198.0,69.0,5.3,27.0,166.0,2.08,77.0,72.0,2.0,0.0,16.0,0.0,586.0,45.1,77.0,74.0,1.0,0.0,9.0,1.0,567.0,43.6,464.0,2487.0,5.36,34.0,191.3,590.0,3639.0,6.17,49.0,279.9,64.0,26.0,17.0,13.0,56.0,0.875,64.0,38.0,12.0,5.0,55.0,0.859,24.0,297.0,1.0,12.38,24.0,297.0,1.0,12.38,620.0,389.0,15.0,5046.0,8.14,12.97,39.0,388.2,270.0,441.0,3481.0,25.0,7.89,12.89,267.8,43.0,1077.0,1.0,25.05,43.0,1077.0,1.0,25.05,167.0,148.0,22.0,337.0,167.0,148.0,22.0,337.0,92.0,836.0,64.31,203.0,105.0,0.517,96.0,193.0,0.497,11.0,23.0,0.478,7.0,16.0,0.438
TCU (Big 12),13,11-2,1078.0,7317.0,6.79,65.0,562.8,1004.0,5179.0,5.16,44.0,45.0,398.4,12.0,7.0,19.0,4.0,15.0,19.0,0.0,0.0,407:44,31:21,65.0,38.0,323.0,84.0,6.5,18.0,84.0,1.38,69.0,60.0,3.0,0.0,21.0,2.0,547.0,42.1,45.0,45.0,0.0,0.0,13.0,0.0,354.0,27.2,561.0,2800.0,4.99,26.0,215.4,562.0,2374.0,4.22,27.0,182.6,66.0,22.0,21.0,10.0,53.0,0.803,45.0,23.0,4.0,8.0,35.0,0.778,13.0,33.0,0.0,2.54,13.0,33.0,0.0,2.54,517.0,326.0,15.0,4517.0,8.74,13.86,39.0,347.5,220.0,442.0,2805.0,17.0,6.35,12.75,215.8,35.0,715.0,0.0,20.43,35.0,715.0,0.0,20.43,125.0,113.0,35.0,273.0,125.0,113.0,35.0,273.0,94.0,922.0,70.92,198.0,86.0,0.434,58.0,209.0,0.278,7.0,15.0,0.467,17.0,34.0,0.5
Bowling Green (MAC),14,10-4,1136.0,7655.0,6.74,81.0,546.8,1084.0,5849.0,5.4,47.0,50.0,417.8,7.0,20.0,27.0,7.0,8.0,15.0,12.0,0.86,390:56,27:55,65.0,56.0,336.0,93.0,6.6,36.0,224.0,2.57,82.0,75.0,0.0,0.0,8.0,0.0,591.0,42.2,50.0,49.0,0.0,1.0,18.0,0.0,405.0,28.9,542.0,2520.0,4.65,34.0,180.0,592.0,2553.0,4.31,28.0,182.4,71.0,27.0,25.0,7.0,59.0,0.831,54.0,22.0,9.0,14.0,45.0,0.833,15.0,270.0,1.0,18.0,15.0,270.0,1.0,18.0,594.0,398.0,8.0,5135.0,8.64,12.9,47.0,366.8,290.0,492.0,3296.0,19.0,6.7,11.37,235.4,56.0,1186.0,1.0,21.18,56.0,1186.0,1.0,21.18,140.0,160.0,27.0,327.0,140.0,160.0,27.0,327.0,123.0,1123.0,80.21,209.0,105.0,0.502,91.0,223.0,0.408,16.0,30.0,0.533,15.0,31.0,0.484
Oregon (Pac-12),13,9-4,993.0,6997.0,7.05,67.0,538.2,1046.0,6309.0,6.03,59.0,62.0,485.3,9.0,13.0,22.0,7.0,10.0,17.0,5.0,0.38,354:27,27:15,73.0,36.0,368.0,91.0,7.0,39.0,236.0,3.0,71.0,67.0,0.0,0.0,22.0,0.0,559.0,43.0,62.0,58.0,2.0,0.0,18.0,0.0,488.0,37.5,618.0,3639.0,5.89,34.0,279.9,491.0,2324.0,4.73,24.0,178.8,70.0,28.0,17.0,15.0,60.0,0.857,66.0,19.0,27.0,14.0,60.0,0.909,18.0,275.0,3.0,15.28,18.0,275.0,3.0,15.28,375.0,236.0,10.0,3358.0,8.95,14.23,33.0,258.3,348.0,555.0,3985.0,35.0,7.18,11.45,306.5,36.0,807.0,0.0,22.42,36.0,807.0,0.0,22.42,127.0,176.0,24.0,327.0,127.0,176.0,24.0,327.0,90.0,793.0,61.0,179.0,70.0,0.391,84.0,199.0,0.422,16.0,28.0,0.571,17.0,24.0,0.708
Cincinnati (AAC),13,7-6,1059.0,6992.0,6.6,54.0,537.8,917.0,5312.0,5.79,45.0,51.0,408.6,5.0,9.0,14.0,11.0,22.0,33.0,-19.0,-1.46,401:24,30:52,47.0,22.0,172.0,58.0,4.5,26.0,145.0,2.0,54.0,49.0,2.0,0.0,21.0,0.0,440.0,33.8,51.0,47.0,1.0,0.0,16.0,1.0,405.0,31.2,512.0,2313.0,4.52,25.0,177.9,507.0,2491.0,4.91,21.0,191.6,65.0,24.0,15.0,14.0,53.0,0.815,56.0,17.0,17.0,14.0,48.0,0.857,12.0,111.0,0.0,9.25,12.0,111.0,0.0,9.25,547.0,341.0,22.0,4679.0,8.55,13.72,29.0,359.9,237.0,410.0,2821.0,24.0,6.88,11.9,217.0,51.0,1343.0,2.0,26.33,51.0,1343.0,2.0,26.33,110.0,125.0,29.0,264.0,110.0,125.0,29.0,264.0,104.0,948.0,72.92,196.0,100.0,0.51,69.0,186.0,0.371,7.0,11.0,0.636,11.0,20.0,0.55
Oklahoma (Big 12),13,11-2,1013.0,6893.0,6.8,70.0,530.2,989.0,4738.0,4.79,34.0,34.0,364.5,7.0,20.0,27.0,9.0,9.0,18.0,9.0,0.69,399:01,30:41,74.0,32.0,372.0,90.0,6.9,41.0,216.0,3.15,73.0,71.0,0.0,0.0,19.0,0.0,566.0,43.5,34.0,31.0,0.0,0.0,17.0,0.0,286.0,22.0,574.0,2887.0,5.03,32.0,222.1,552.0,2102.0,3.81,15.0,161.7,69.0,24.0,22.0,15.0,61.0,0.884,43.0,13.0,10.0,11.0,34.0,0.791,11.0,12.0,0.0,1.09,11.0,12.0,0.0,1.09,439.0,292.0,9.0,4006.0,9.13,13.72,38.0,308.2,230.0,437.0,2636.0,19.0,6.03,11.46,202.8,50.0,1073.0,0.0,21.46,50.0,1073.0,0.0,21.46,118.0,119.0,28.0,265.0,118.0,119.0,28.0,265.0,80.0,800.0,61.54,181.0,79.0,0.436,93.0,230.0,0.404,9.0,17.0,0.529,6.0,14.0,0.429
California (Pac-12),13,8-5,989.0,6879.0,6.96,60.0,529.2,967.0,5898.0,6.1,45.0,48.0,453.7,12.0,15.0,27.0,9.0,14.0,23.0,4.0,0.31,377:54,29:04,52.0,30.0,265.0,67.0,5.2,27.0,215.0,2.08,63.0,53.0,4.0,0.0,18.0,0.0,493.0,37.9,48.0,44.0,2.0,0.0,21.0,0.0,399.0,30.7,439.0,1987.0,4.53,16.0,152.8,565.0,2727.0,4.83,24.0,209.8,68.0,15.0,29.0,16.0,60.0,0.882,52.0,19.0,13.0,16.0,48.0,0.923,6.0,62.0,0.0,10.33,6.0,62.0,0.0,10.33,550.0,352.0,14.0,4892.0,8.89,13.9,44.0,376.3,239.0,402.0,3171.0,21.0,7.89,13.27,243.9,64.0,1340.0,1.0,20.94,64.0,1340.0,1.0,20.94,140.0,133.0,15.0,288.0,140.0,133.0,15.0,288.0,67.0,568.0,43.69,179.0,84.0,0.469,83.0,193.0,0.43,13.0,26.0,0.5,10.0,17.0,0.588
Western Ky. (C-USA),14,12-2,1019.0,7369.0,7.23,80.0,526.4,997.0,5673.0,5.69,45.0,48.0,405.2,14.0,17.0,31.0,8.0,9.0,17.0,14.0,1.0,,,73.0,20.0,299.0,83.0,5.9,,,,82.0,79.0,2.0,0.0,15.0,0.0,620.0,44.3,48.0,45.0,0.0,0.0,10.0,0.0,363.0,25.9,465.0,2158.0,4.64,30.0,154.1,525.0,2318.0,4.42,17.0,165.6,73.0,25.0,28.0,11.0,64.0,0.877,49.0,13.0,17.0,8.0,38.0,0.776,,,,,,,,,554.0,398.0,9.0,5211.0,9.41,13.09,50.0,372.2,254.0,472.0,3355.0,28.0,7.11,13.21,239.6,,,,,,,,,126.0,139.0,24.0,289.0,126.0,139.0,24.0,289.0,,,,184.0,88.0,0.478,70.0,199.0,0.352,,,,,,
Ole Miss (SEC),13,10-3,952.0,6731.0,7.07,64.0,517.8,1029.0,5016.0,4.87,32.0,33.0,385.8,8.0,15.0,23.0,9.0,14.0,23.0,0.0,0.0,344:51,26:31,83.0,44.0,398.0,105.0,8.1,19.0,147.0,1.46,68.0,66.0,0.0,0.0,19.0,0.0,531.0,40.8,33.0,28.0,1.0,0.0,22.0,0.0,294.0,22.6,463.0,2380.0,5.14,29.0,183.1,496.0,1652.0,3.33,9.0,127.1,62.0,21.0,16.0,15.0,52.0,0.839,50.0,9.0,16.0,17.0,42.0,0.84,18.0,107.0,0.0,5.94,18.0,107.0,0.0,5.94,489.0,318.0,14.0,4351.0,8.9,13.68,35.0,334.7,319.0,533.0,3364.0,23.0,6.31,10.55,258.8,40.0,765.0,0.0,19.13,40.0,765.0,0.0,19.13,99.0,157.0,22.0,278.0,99.0,157.0,22.0,278.0,79.0,702.0,54.0,169.0,70.0,0.414,88.0,226.0,0.389,7.0,15.0,0.467,7.0,23.0,0.304
