year,0_team,1_team,winner_id
2013,northwestern,maine,0
2013,florida,tennessee,0
2013,notre dame,michigan state,0
2013,wisconsin,purdue,0
2013,nebraska,south dakota state,0
2013,maryland,west virginia,0
2013,virginia,vmi,0
2013,bowling green,murray state,0
2013,penn state,kent state,0
2013,southern california,utah state,0
2013,miami fl,cincinnati,1
2013,baylor,south fla,0
2013,memphis,arkansas state,0
2013,akron,louisiana,1
2013,florida state,bethunecookman,0
2013,alabama,colorado state,0
2013,texas tech,texas state,0
2013,western ky,morgan state,0
2013,texas am,smu,0
2013,niu,eastern ill,0
2013,stanford,arizona state,0
2013,mississippi state,troy,0
2013,san diego state,oregon state,1
2013,lsu,auburn,0
2013,uconn,michigan,1
2013,indiana,missouri,1
2013,texas,kansas state,0
2013,utep,utsa,1
2013,nevada,hawaii,0
2013,unlv,western ill,0
2013,air force,wyoming,1
2013,byu,utah,1
2013,washington state,idaho,0
2013,ucla,new mexico state,0
2013,tulsa,iowa state,1
2013,georgia tech,virginia tech,1
2013,san jose state,utah state,1
2013,byu,middle tenn,0
2013,tcu,smu,0
2013,purdue,niu,1
2013,south fla,miami fl,1
2013,ucf,south carolina,1
2013,west virginia,oklahoma state,0
2013,illinois,miami fl,0
2013,tennessee,south alabama,0
2013,north carolina,east carolina,1
2013,pittsburgh,virginia,0
2013,western ky,navy,0
2013,bowling green,akron,0
2013,duke,troy,0
2013,oregon state,colorado,0
2013,ball state,toledo,0
2013,minnesota,iowa,1
2013,colorado state,utep,0
2013,buffalo,uconn,0
2013,nc state,central mich,0
2013,clemson,wake forest,0
2013,georgia,lsu,0
2013,notre dame,oklahoma,1
2013,boston college,florida state,1
2013,utsa,houston,1
2013,louisiana tech,army west point,1
2013,idaho,temple,0
2013,alabama,ole miss,0
2013,texas state,wyoming,0
2013,western mich,kent state,1
2013,south fla,tulane,1
2013,washington,arizona,0
2013,arkansas,texas am,1
2013,kentucky,florida,1
2013,rice,fla atlantic,0
2013,missouri,arkansas state,0
2013,vanderbilt,uab,0
2013,new mexico,unlv,1
2013,new mexico state,san diego state,1
2013,ohio state,wisconsin,0
2013,nevada,air force,0
2013,washington state,stanford,1
2013,boise state,southern miss,0
2013,oregon,california,0
2013,arizona state,southern california,0
2013,hawaii,fresno state,1
2013,south fla,western ky,1
2013,iowa state,texas,1
2013,utah,ucla,1
2013,utah state,byu,1
2013,san diego state,nevada,0
2013,navy,air force,0
2013,kansas,texas tech,1
2013,buffalo,eastern mich,0
2013,indiana,penn state,0
2013,iowa,michigan state,1
2013,virginia,ball state,1
2013,nebraska,illinois,0
2013,smu,rutgers,1
2013,temple,louisville,1
2013,florida state,maryland,0
2013,alabama,georgia state,0
2013,virginia tech,north carolina,0
2013,boston college,army west point,0
2013,troy,south alabama,0
2013,miami fl,central mich,1
2013,marshall,utsa,0
2013,akron,ohio,1
2013,uab,fla atlantic,1
2013,toledo,western mich,0
2013,syracuse,clemson,1
2013,miami fl,georgia tech,0
2013,oklahoma state,kansas state,0
2013,tulane,north texas,0
2013,tulsa,rice,1
2013,kent state,niu,1
2013,middle tenn,east carolina,1
2013,wake forest,nc state,0
2013,bowling green,massachusetts,0
2013,tennessee,georgia,1
2013,michigan,minnesota,0
2013,southern miss,fiu,1
2013,california,washington state,1
2013,memphis,ucf,1
2013,idaho,fresno state,1
2013,colorado,oregon,1
2013,louisiana,texas state,0
2013,auburn,ole miss,0
2013,new mexico,new mexico state,0
2013,mississippi state,lsu,1
2013,oklahoma,tcu,0
2013,south fla,cincinnati,0
2013,florida,arkansas,0
2013,vanderbilt,missouri,1
2013,south carolina,kentucky,0
2013,utep,louisiana tech,1
2013,notre dame,arizona state,0
2013,baylor,west virginia,0
2013,northwestern,ohio state,1
2013,stanford,washington,0
2013,hawaii,san jose state,1
2013,louisville,rutgers,0
2013,air force,san diego state,1
2013,southern california,arizona,0
2013,cincinnati,temple,0
2013,uconn,south fla,1
2013,tcu,kansas,0
2013,purdue,nebraska,1
2013,virginia tech,pittsburgh,0
2013,texas tech,iowa state,0
2013,georgia,missouri,1
2013,texas,oklahoma,0
2013,army west point,eastern mich,0
2013,houston,memphis,0
2013,michigan state,indiana,0
2013,arkansas,south carolina,1
2013,duke,navy,0
2013,ohio,central mich,1
2013,auburn,western caro,0
2013,western mich,buffalo,1
2013,ball state,kent state,0
2013,massachusetts,miami fl,0
2013,lsu,florida,0
2013,wyoming,new mexico,0
2013,colorado state,san jose state,1
2013,kansas state,baylor,1
2013,wisconsin,northwestern,0
2013,clemson,boston college,0
2013,georgia state,troy,1
2013,maryland,virginia,0
2013,tulane,east carolina,0
2013,nc state,syracuse,1
2013,washington,oregon,1
2013,utsa,rice,1
2013,niu,akron,0
2013,penn state,michigan,0
2013,fla atlantic,marshall,1
2013,utah,stanford,0
2013,byu,georgia tech,0
2013,texas state,south fla,1
2013,arkansas state,idaho,0
2013,kentucky,alabama,1
2013,north texas,middle tenn,0
2013,mississippi state,bowling green,0
2013,fiu,uab,1
2013,utah state,boise state,1
2013,utep,tulsa,1
2013,unlv,hawaii,0
2013,ole miss,texas am,1
2013,arizona state,colorado,0
2013,washington state,oregon state,1
2013,ucla,california,0
2013,western ky,louisiana,1
2013,north carolina,miami fl,1
2013,louisville,ucf,1
2013,west virginia,texas tech,1
2013,east carolina,southern miss,0
2013,tennessee,south carolina,0
2013,toledo,navy,0
2013,vanderbilt,georgia,0
2013,memphis,smu,1
2013,cincinnati,uconn,0
2013,oklahoma state,tcu,0
2013,northwestern,minnesota,1
2013,michigan state,purdue,0
2013,missouri,florida,0
2013,georgia tech,syracuse,0
2013,temple,army west point,0
2013,miami fl,akron,1
2013,eastern mich,ohio,1
2013,wyoming,colorado state,1
2013,western mich,ball state,1
2013,colorado,charleston so,0
2013,central mich,niu,1
2013,south alabama,kent state,0
2013,kansas,oklahoma,1
2013,stanford,ucla,0
2013,buffalo,massachusetts,0
2013,virginia,duke,1
2013,houston,byu,1
2013,michigan,indiana,0
2013,wake forest,maryland,0
2013,texas am,auburn,1
2013,ohio state,iowa,0
2013,louisiana tech,north texas,1
2013,arizona state,washington,0
2013,ole miss,lsu,0
2013,pittsburgh,old dominion,0
2013,baylor,iowa state,0
2013,alabama,arkansas,0
2013,texas state,georgia state,0
2013,notre dame,southern california,0
2013,clemson,florida state,1
2013,new mexico state,rice,1
2013,boise state,nevada,0
2013,illinois,wisconsin,1
2013,new mexico,utah state,1
2013,arizona,utah,0
2013,fresno state,unlv,0
2013,oregon,washington state,0
2013,california,oregon state,1
2013,arkansas state,louisiana,1
2013,mississippi state,kentucky,0
2013,middle tenn,marshall,0
2013,byu,boise state,0
2013,ucf,uconn,0
2013,miami fl,wake forest,0
2013,iowa state,oklahoma state,1
2013,iowa,northwestern,0
2013,akron,ball state,1
2013,rutgers,houston,1
2013,minnesota,nebraska,0
2013,south fla,louisville,1
2013,texas am,vanderbilt,0
2013,virginia,georgia tech,1
2013,navy,pittsburgh,0
2013,ohio,miami fl,0
2013,bowling green,toledo,1
2013,massachusetts,western mich,1
2013,smu,temple,0
2013,virginia tech,duke,1
2013,alabama,tennessee,0
2013,maryland,clemson,1
2013,florida state,nc state,0
2013,north carolina,boston college,0
2013,kent state,buffalo,1
2013,tulane,tulsa,0
2013,niu,eastern mich,0
2013,illinois,michigan state,1
2013,rice,utep,0
2013,kansas state,west virginia,0
2013,western ky,troy,1
2013,southern california,utah,0
2013,oklahoma,texas tech,0
2013,utsa,uab,0
2013,air force,notre dame,1
2013,fiu,louisiana tech,1
2013,nevada,unlv,1
2013,missouri,south carolina,1
2013,oregon,ucla,0
2013,kansas,baylor,1
2013,south fla,georgia state,0
2013,texas state,south alabama,0
2013,southern miss,north texas,1
2013,san jose state,wyoming,0
2013,lsu,furman,0
2013,tcu,texas,1
2013,ole miss,idaho,0
2013,auburn,fla atlantic,0
2013,ohio state,penn state,0
2013,new mexico state,abilene christian,0
2013,colorado,arizona,1
2013,san diego state,fresno state,1
2013,oregon state,stanford,1
2013,washington,california,0
2013,hawaii,colorado state,1
2013,memphis,cincinnati,1
2013,houston,south fla,0
2013,troy,south fla,1
2013,north texas,rice,0
2013,washington state,arizona state,1
2013,oregon state,southern california,1
2013,boston college,virginia tech,0
2013,penn state,illinois,0
2013,air force,army west point,0
2013,purdue,ohio state,1
2013,iowa,wisconsin,1
2013,massachusetts,niu,1
2013,marshall,southern miss,0
2013,rutgers,temple,0
2013,south carolina,mississippi state,0
2013,nc state,north carolina,1
2013,syracuse,wake forest,0
2013,uab,middle tenn,1
2013,georgia state,western ky,1
2013,michigan state,michigan,0
2013,notre dame,navy,0
2013,akron,kent state,0
2013,virginia,clemson,1
2013,california,arizona,1
2013,tcu,west virginia,1
2013,kansas state,iowa state,0
2013,florida,georgia,1
2013,nebraska,northwestern,0
2013,indiana,minnesota,1
2013,tulsa,utsa,1
2013,texas,kansas,0
2013,utah state,hawaii,0
2013,unlv,san jose state,1
2013,idaho,texas state,1
2013,fla atlantic,tulane,0
2013,louisiana,new mexico state,0
2013,fiu,east carolina,1
2013,arkansas,auburn,1
2013,texas tech,oklahoma state,1
