id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
1350,2016,Wed,Utah,,26,Indiana,,24,27608.0,"Utah RB Joe Williams, Indiana LB Tegray Scales",,Redbox Bowl
1351,2015,Sat,Nebraska,,37,UCLA,,29,33527.0,"Nebraska QB Tommy Armstrong, Jr., UCLA DB Jaleel Wadood",,Redbox Bowl
1352,2014,Tue,Stanford,,45,Maryland,,21,34780.0,"QB Kevin Hogan (Stanford), LB James Vaughters (Stanford)",,Redbox Bowl
1353,2013,Fri,Washington,,31,Brigham Young,,16,34136.0,"RB Bishop Sankey (Washington), DE Hau'oli Kikaha (Washington)",Kraft,Redbox Bowl
1387,2019,Tue,Hawaii,,38,Brigham Young,,34,21582.0,"Hawaii QB Cole McDonald, BYU QB Zach Wilson",SoFi,Hawaii Bowl
1388,2018,Sat,Louisiana Tech,,31,Hawaii,,14,30911.0,"Louisiana Tech DE Jaylon Ferguson, Hawaii DE Kendall Hune",SoFi,Hawaii Bowl
1389,2017,Sun,Fresno State,,33,Houston,,27,20546.0,"Fresno State QB Marcus McMaryion, Houston WR Steven Dunbar",,Hawaii Bowl
1405,2019,Fri,Iowa,19.0,49,Southern California,22.0,24,50123.0,"Iowa WR Ihmir Smith-Marsette, Iowa DE A.J. Epenesa",San Diego County Credit Union,Holiday Bowl
1406,2018,Mon,Northwestern,,31,Utah,20.0,20,47007.0,"Northwestern QB Clayton Thorson, Northwestern S JR Pace",San Diego County Credit Union,Holiday Bowl
1407,2017,Thu,Michigan State,18.0,42,Washington State,21.0,17,47092.0,"Michigan State QB Brian Lewerke, Michigan State LB Chris Frey Jr.",San Diego County Credit Union,Holiday Bowl
1408,2016,Tue,Minnesota,,17,Washington State,,12,48704.0,"Minnesota RB Rodney Smith, Minnesota LB Blake Cashman",National Funding,Holiday Bowl
1409,2015,Wed,Wisconsin,23.0,23,Southern California,,21,48329.0,"Wisconsin QB Jole Stave, Wisconsin LB Jack Cichy",National Funding,Holiday Bowl
1410,2014,Sat,Southern California,24.0,45,Nebraska,25.0,42,55789.0,"QB Cody Kessler (USC), DE Leonard Williams (USC)",National University,Holiday Bowl
1411,2013,Mon,Texas Tech,,37,Arizona State,16.0,23,52930.0,"QB Davis Webb (Texas Tech), LB Will Smith (Texas Tech)",National University,Holiday Bowl
1457,2013,Thu,Pittsburgh,,30,Bowling Green,,27,26259.0,RB James Conner (Pitt),Little Caesars,Little Caesars Bowl
1475,2016,Mon,Tulsa,,55,Central Michigan,,10,15262.0,Tulsa QB Dane Evans,,Miami Beach Bowl
1476,2015,Mon,Western Kentucky,25.0,45,South Florida,,35,21712.0,Western Kentucky QB Brandon Doughty,,Miami Beach Bowl
1477,2014,Mon,Memphis,,55,Brigham Young,,48,36742.0,QB Paxton Lynch (Memphis),,Miami Beach Bowl
1478,2019,Fri,North Carolina,,55,Temple,,13,24242.0,North Carolina QB Sam Howell,Northrop Grumman,Military Bowl
1479,2018,Mon,Cincinnati,,35,Virginia Tech,,31,32832.0,Cincinnati RB Mike Warren,Northrop Grumman,Military Bowl
1480,2017,Thu,Navy,,49,Virginia,,7,35921.0,Navy QB Zach Abey,Northrop Grumman,Military Bowl
1481,2016,Tue,Wake Forest,,34,Temple,23.0,26,26656.0,Wake Forest LB Thomas Brown,Northrop Grumman,Military Bowl
1482,2015,Mon,Navy,21.0,44,Pittsburgh,,28,36352.0,Navy QB Keenan Reynolds,Northrop Grumman,Military Bowl
1483,2014,Sat,Virginia Tech,,33,Cincinnati,,17,34277.0,RB J.C. Coleman (Virginia Tech),Northrop Grumman,Military Bowl
1484,2013,Fri,Marshall,,31,Maryland,,20,30163.0,QB Rakeem Cato (Marshall),Northrop Grumman,Military Bowl
1500,2013,Thu,Utah State,,21,Northern Illinois,24.0,14,23408.0,"RB Joey DeMartino (Utah State), LB Jake Doughty (Utah State)",San Diego County Credit Union,Poinsettia Bowl
