id,year,day,winner_tie,winner_rank,winner_points,loser_tie,loser_rank,loser_points,attendance,mvp,sponsor,bowl_name
338,2020,Sat,Iowa State,12.0,34,Oregon,25.0,17,0.0,"Iowa State QB Brock Purdy, Iowa State LB O'Rien Vance",PlayStation,Fiesta Bowl
339,2019,Sat,Clemson,3.0,29,Ohio State,2.0,23,71330.0,"Clemson QB Trevor Lawrence, Clemson LB Chad Smith",PlayStation,Fiesta Bowl
340,2018,Tue,Louisiana State,11.0,40,Central Florida,7.0,32,57246.0,"LSU QB Joe Burrow, LSU DL Rashard Lawrence",PlayStation,Fiesta Bowl
341,2017,Sat,Penn State,9.0,35,Washington,12.0,28,61842.0,"Penn State QB Trace McSorley, Penn State S Marcus Allen",PlayStation,Fiesta Bowl
342,2016,Sat,Clemson,3.0,31,Ohio State,2.0,0,71279.0,"Clemson QB Deshaun Watson, Clemson DE Clelin Ferrell",Playstation,Fiesta Bowl
343,2015,Fri,Ohio State,7.0,44,Notre Dame,8.0,28,71123.0,"OSU QB JT Barrett, OSU CB Eli Apple",BattleFrog,Fiesta Bowl
345,2013,Wed,Central Florida,15.0,52,Baylor,6.0,42,65172.0,"QB Blake Bortles (UCF), LB Terrance Plummer (UCF)",Tostitos,Fiesta Bowl
388,2021,Tue,San Diego State,,38,Texas-San Antonio,24.0,24,15801.0,"SDSU WR Jesse Matthews, SDSU S CJ Baskerville",Tropical Smoothie Cafe,Frisco Bowl
389,2019,Fri,Kent State,,51,Utah State,,41,12120.0,"Kent State QB Dustin Crum, Kent State DB Qwuantrezz Knight",Tropical Smoothie Cafe,Frisco Bowl
390,2018,Wed,Ohio,,27,San Diego State,,0,11029.0,"Ohio RB AJ Ouellette, Ohio LB Evan Croutch",DXL,Frisco Bowl
391,2017,Wed,Louisiana Tech,,51,Southern Methodist,,10,14419.0,"Louisiana Tech QB J'Mar Smith, Louisiana Tech CB Amik Robertson",DXL,Frisco Bowl
392,2021,Thu,Miami,,27,North Texas,,14,11721.0,"Miami QB Brett Gabbert, Miami DB Jacquez Warren",,Frisco Football Classic
393,2021,Fri,Wake Forest,20.0,38,Rutgers,,10,28508.0,"Wake Forest QB Sam Hartman, Rutgers QB Johnny Langan",TaxSlayer,Gator Bowl
394,2020,Sat,Kentucky,,23,North Carolina State,24.0,21,10422.0,"Kentucky RB Asim Rose Jr., NC State RB Zonovan Knight",TaxSlayer,Gator Bowl
395,2019,Thu,Tennessee,,23,Indiana,,22,61789.0,"Tennessee RB Eric Gray, Indiana QB Peyton Ramsey",TaxSlayer,Gator Bowl
396,2018,Mon,Texas A&M,21.0,52,North Carolina State,,13,38206.0,Texas A&M RB Trayveon Williams,TaxSlayer,Gator Bowl
397,2017,Sat,Mississippi State,24.0,31,Louisville,,27,41310.0,"Mississippi State S Mark McLaurin, Louisville QB Lamar Jackson",TaxSlayer,Gator Bowl
398,2016,Sat,Georgia Tech,,33,Kentucky,,18,43102.0,"Georgia Tech RB Dedrick Mills, Kentucky QB Stephen Johnson II",TaxSlayer,Gator Bowl
399,2015,Sat,Georgia,,24,Penn State,,17,58212.0,Georgia WR Terry Godwin,TaxSlayer,Gator Bowl
400,2014,Fri,Tennessee,,45,Iowa,,28,56310.0,QB Joshua Dobbs (Tennessee),,Gator Bowl
401,2013,Wed,Nebraska,,24,Georgia,23.0,19,60712.0,WR Quincy Enunwa (Nebraska),Taxslayer,Gator Bowl
470,2021,Sat,Liberty,,56,Eastern Michigan,,20,15186.0,Liberty QB Malik Willis,LendingTree,LendingTree Bowl
471,2020,Sat,Georgia State,,39,Western Kentucky,,21,5128.0,Georgia State QB Cornelious Brown IV,,LendingTree Bowl
472,2019,Mon,Louisiana,,27,Miami,,17,29212.0,Louisiana QB Levi Lewis,LendingTree,LendingTree Bowl
473,2018,Sat,Troy,,42,Buffalo,,32,31818.0,Troy QB Sawyer Smith,Dollar General,LendingTree Bowl
474,2017,Sat,Appalachian State,,34,Toledo,,0,28706.0,Appalachian State RB Jalin Moore,Dollar General,LendingTree Bowl
475,2016,Fri,Troy,,28,Ohio,,23,32377.0,Troy LB Justin Lucas,Dollar General,LendingTree Bowl
476,2015,Wed,Georgia Southern,,58,Bowling Green,,27,28656.0,Georgia Southern QB Favian Upshaw,GoDaddy,LendingTree Bowl
477,2014,Sun,Toledo,,63,Arkansas State,,44,36811.0,RB Kareem Hunt (Toledo),GoDaddy,LendingTree Bowl
478,2013,Sun,Arkansas State,,23,Ball State,,20,36119.0,QB Fredi Knighten (Arkansas State),GoDaddy,LendingTree Bowl
493,2021,Tue,Air Force,,31,Louisville,,28,15251.0,Air Force QB Haaziq Daniels,Servpro,First Responder Bowl
494,2020,Sat,Louisiana,16.0,31,Texas-San Antonio,,24,3512.0,Louisiana RB Elijah Mitchell,Servpro,First Responder Bowl
495,2019,Mon,Western Kentucky,,23,Western Michigan,,20,13164.0,Western Kentucky WR Lucky Jackson,Servpro,First Responder Bowl
496,2017,Tue,Utah,,30,West Virginia,,14,20507.0,Utah CB Julian Blackmon,Zaxby's,First Responder Bowl
497,2016,Tue,Army,,38,North Texas,,31,39117.0,Army QB Ahmad Bradshaw,Zaxby's,First Responder Bowl
498,2015,Sat,Washington,,44,Southern Ole Miss,,31,20229.0,Washington RB Myles Gaskin,Zaxby's,First Responder Bowl
499,2014,Fri,Louisiana Tech,,35,Illinois,,18,31297.0,LB Houston Bates (Louisiana Tech),Zaxby's,First Responder Bowl
504,2021,Sat,Alabama-Birmingham,,31,Brigham Young,12.0,28,26276.0,BYU RB Tyler Allgeier,Radiance Technologies,Independence Bowl
505,2019,Thu,Louisiana Tech,,14,Miami,,0,33129.0,"Louisiana Tech RB Justin Henderson, Louisiana Tech LB Connor Taylor",Walk-On's,Independence Bowl
506,2018,Thu,Duke,,56,Temple,,27,27492.0,"Duke QB Daniel Jones, Temple DB Delvon Randall",Walk-On's,Independence Bowl
507,2017,Wed,Florida State,,42,Southern Ole Miss,,13,33601.0,"Florida State QB James Blackman, Florida State DB Nate Andrews",Walk-On's,Independence Bowl
508,2016,Mon,North Carolina State,,41,Vanderbilt,,17,28995.0,"NC State FB Jaylen Samuels, NC State LB Airius Moore",Camping World,Independence Bowl
509,2015,Sat,Virginia Tech,,55,Tulsa,,52,31289.0,"Virginia Tech WR Isaiah Ford, Virginia Tech S Jerey Brady",Camping World,Independence Bowl
510,2014,Sat,South Carolina,,24,Miami,,21,38242.0,"WR Pharoh Cooper (South Carolina), LB Skai Moore (South Carolina",Duck Commander,Independence Bowl
511,2013,Tue,Arizona,,42,Boston College,,19,36917.0,"QB BJ Denker (Arizona), S William Parks (Arizona)",AdvoCare,Independence Bowl
549,2021,Sat,Utah State,,24,Oregon State,,13,29896.0,"Utah State DE Nick Heninger, Utah State WR Deven Thompkins",Jimmy Kimmel,LA Bowl
550,2021,Thu,Wisconsin,,20,Arizona State,,13,32515.0,Wisconsin RB Braelon Allen,SRS Distribution,Las Vegas Bowl
551,2019,Sat,Washington,,38,Boise State,18.0,7,34197.0,Washington DB Elijah Molden,Mitsubishi Motors,Las Vegas Bowl
552,2018,Sat,Fresno State,19.0,31,Arizona State,,20,37146.0,Fresno State RB Ronnie Rivers,Mitsubishi Motors,Las Vegas Bowl
553,2017,Sat,Boise State,25.0,38,Oregon,,28,36432.0,Boise State WR Cedric Wilson,,Las Vegas Bowl
555,2015,Sat,Utah,20.0,35,Brigham Young,,28,42213.0,Utah DB Tevin Carter,Royal Purple,Las Vegas Bowl
556,2014,Sat,Utah,23.0,45,Colorado State,,10,33067.0,QB Travis Wilson (Utah),Royal Purple,Las Vegas Bowl
579,2021,Tue,Texas Tech,,34,Mississippi State,,7,48615.0,Texas Tech QB Donovan Smith,AutoZone,Liberty Bowl
580,2020,Thu,West Virginia,,24,Army,,21,8187.0,West Virginia WR T.J. Simmons,AutoZone,Liberty Bowl
581,2019,Tue,Navy,21.0,20,Kansas State,,17,50515.0,Navy QB Malcolm Perry,AutoZone,Liberty Bowl
582,2018,Mon,Oklahoma State,,38,Missouri,24.0,33,51587.0,Oklahoma State QB Taylor Cornelius,AutoZone,Liberty Bowl
583,2017,Sat,Iowa State,,21,Memphis,19.0,20,57266.0,Iowa State WR Allen Lazard,AutoZone,Liberty Bowl
584,2016,Fri,Georgia,,31,Texas Christian,,23,51087.0,Georgia DT Trenton Thompson,AutoZone,Liberty Bowl
585,2015,Sat,Arkansas,,45,Kansas State,,23,61136.0,Arkansas RB Alex Collins,AutoZone,Liberty Bowl
586,2014,Mon,Texas A&M,,45,West Virginia,,37,51282.0,QB Kyle Allen (Texas A&M),Autozone,Liberty Bowl
587,2013,Tue,Mississippi State,,44,Rice,,7,57846.0,QB Dak Prescott (Mississippi State),AutoZone,Liberty Bowl
642,2021,Tue,Kansas State,,42,Louisiana State,,20,52207.0,Kansas State QB Skylar Thompson,TaxAct,Texas Bowl
643,2019,Fri,Texas A&M,,24,Oklahoma State,25.0,21,68415.0,Texas A&M QB Kellen Mond,Academy Sports + Outdoors,Texas Bowl
644,2018,Thu,Baylor,,45,Vanderbilt,,38,51104.0,Baylor QB Charlie Brewer,Academy Sports + Outdoors,Texas Bowl
645,2017,Wed,Texas,,33,Missouri,,16,67820.0,Texas P Michael Dickson,Academy Sports + Outdoors,Texas Bowl
646,2016,Wed,Kansas State,,33,Texas A&M,,28,71054.0,KSU QB Jesse Ertz,AdvoCare V100,Texas Bowl
647,2015,Tue,Louisiana State,22.0,56,Texas Tech,,27,71054.0,LSU RB Leonard Fournette,AdvoCare V100,Texas Bowl
648,2014,Mon,Arkansas,,31,Texas,,7,71115.0,QB Brandon Allen (Arkansas),,Texas Bowl
656,2021,Thu,Purdue,,48,Tennessee,,45,69489.0,Purdue WR Broc Thompson,TransPerfect,Music City Bowl
657,2019,Mon,Louisville,,38,Mississippi State,,28,46850.0,Louisville QB Micale Cunningham,Franklin American Mortgage,Music City Bowl
658,2018,Fri,Auburn,,63,Purdue,,14,59024.0,Auburn QB Jarrett Stidham,Franklin American Mortgage,Music City Bowl
659,2017,Fri,Northwestern,20.0,24,Kentucky,,23,48675.0,Northwestern RB Justin Jackson,Franklin American Mortgage,Music City Bowl
660,2016,Fri,Tennessee,,38,Nebraska,24.0,24,68496.0,Tennessee QB Joshua Dobbs,Franklin American Mortgage,Music City Bowl
661,2015,Wed,Louisville,,27,Texas A&M,,21,50478.0,Louisville QB Lamar Jackson,Franklin American Mortgage,Music City Bowl
662,2014,Tue,Notre Dame,,31,Louisiana State,22.0,28,60149.0,QB Malik Zaire (Notre Dame),Franklin Mortgage,Music City Bowl
663,2013,Mon,Ole Miss,,25,Georgia Tech,,17,52125.0,QB Bo Wallace (Ole Miss),Franklin American Mortgage,Music City Bowl
679,2021,Mon,Tulsa,,30,Old Dominion,,17,6557.0,Tulsa QB Davis Brin,,Myrtle Beach Bowl
680,2020,Mon,Appalachian State,,56,North Texas,,28,5000.0,Appalachian State RB Camerun Peoples,,Myrtle Beach Bowl
681,2021,Sat,Fresno State,,31,Texas-El Paso,,24,16422.0,"Fresno State RB Jordan Mims, Fresno State DB Elijah Gates",PUBG Mobile,New Mexico Bowl
682,2020,Thu,Hawaii,,28,Houston,,14,2060.0,"Hawaii WR Calvin Turner, Hawaii LB Darius Muasau",,New Mexico Bowl
683,2019,Sat,San Diego State,,48,Central Michigan,,11,18823.0,"SDSU RB Jordan Byrd, SDSU WR Jesse Matthews, SDSU LB Kyahva Tezino",,New Mexico Bowl
684,2018,Sat,Utah State,,52,North Texas,,13,25387.0,"Utah State QB Jordan Love, Utah State DB DJ Williams",,New Mexico Bowl
685,2017,Sat,Marshall,,31,Colorado State,,28,26087.0,"Marshall WR Tyre Brady, Marshall LB Channing Hames",Gildan,New Mexico Bowl
686,2016,Sat,New Mexico,,23,Texas-San Antonio,,20,29688.0,"New Mexico QB Lamar Jordan, New Mexico LB Dakota Cox",Gildan,New Mexico Bowl
687,2015,Sat,Arizona,,45,New Mexico,,37,30289.0,"Arizona QB Anu Solomon, Arizona LB Scooby Wright III",Gildan,New Mexico Bowl
688,2014,Sat,Utah State,,21,Texas-El Paso,,6,28725.0,"QB Kent Myers (Utah State), LB Zach Vigil (Utah State)",Gildan,New Mexico Bowl
689,2013,Sat,Colorado State,,48,Washington State,,45,27104.0,"QB Connor Halliday (WSU), DE Shaquil Barrett (CSU)",Gildan,New Mexico Bowl
697,2021,Sat,Louisiana,16.0,36,Marshall,,21,21642.0,Louisiana QB Levi Lewis,R+L Carriers,New Orleans Bowl
698,2020,Wed,Georgia Southern,,38,Louisiana Tech,,3,3000.0,Georgia Southern QB Shai Werts,R+L Carriers,New Orleans Bowl
699,2019,Sat,Appalachian State,20.0,31,Alabama-Birmingham,,17,21202.0,Appalachian State RB Darrynton Evans,R+L Carriers,New Orleans Bowl
700,2018,Sat,Appalachian State,,45,Middle Tennessee State,,13,23942.0,Appalachian State QB Zac Thomas,R+L Carriers,New Orleans Bowl
701,2017,Sat,Troy,,50,North Texas,,30,24904.0,Troy QB Brandon Silvers,R+L Carriers,New Orleans Bowl
702,2016,Sat,Southern Ole Miss,,28,Louisiana,,21,35061.0,Southern Miss WR Allenzae Staggers,R+L Carriers,New Orleans Bowl
703,2015,Sat,Louisiana Tech,,47,Arkansas State,,28,32487.0,Louisiana Tech RB Kenneth Dixon,R+L Carriers,New Orleans Bowl
705,2013,Sat,Louisiana,,24,Tulane,,21,54728.0,RB Orleans Darkwa (Tulane),R+L Carriers,New Orleans Bowl
718,2021,Fri,Georgia,3.0,34,Michigan,2.0,11,66839.0,"Georgia QB Stetson Bennett, Georgia CB Derion Kendrick",Capital One,Orange Bowl
719,2020,Sat,Texas A&M,5.0,41,North Carolina,14.0,27,13737.0,Texas A&M RB Devon Achane,Capital One,Orange Bowl
720,2019,Mon,Florida,6.0,36,Virginia,,28,65157.0,Florida RB Lamical Perine,Capital One,Orange Bowl
721,2018,Sat,Alabama,1.0,45,Oklahoma,4.0,34,66203.0,"Alabama QB Tua Tagovailoa, Alabama S Xavier McKinney",Capital One,Orange Bowl
722,2017,Sat,Wisconsin,6.0,34,Miami,,24,65326.0,Wisconsin QB Alex Hornibrook,Capital One,Orange Bowl
723,2016,Fri,Florida State,10.0,33,Michigan,6.0,32,65326.0,FSU RB Dalvin Cook,Capital One,Orange Bowl
724,2015,Thu,Clemson,1.0,37,Oklahoma,4.0,17,67615.0,"Clemson QB Deshaun Watson, Clemson LB Ben Boulware",Capital One,Orange Bowl
725,2014,Wed,Georgia Tech,10.0,49,Mississippi State,8.0,34,58211.0,QB Justin Thomas (Georgia Tech),Capital One,Orange Bowl
726,2013,Fri,Clemson,12.0,40,Ohio State,7.0,35,72080.0,WR Sammy Watkins (Clemson),Discover Financial,Orange Bowl
806,2021,Sat,Arkansas,22.0,24,Penn State,,10,49577.0,Arkansas QB K.J. Jefferson,Outback Steakhouse,Outback Bowl
807,2020,Sat,Ole Miss,,26,Indiana,7.0,20,11025.0,Ole Miss QB Matt Corral,,Outback Bowl
808,2019,Wed,Minnesota,16.0,31,Auburn,9.0,24,45652.0,Minnesota WR Tyler Johnson,Outback Steakhouse,Outback Bowl
809,2018,Tue,Iowa,,27,Mississippi State,18.0,22,40518.0,Iowa WR Nick Easley,Outback Steakhouse,Outback Bowl
810,2017,Mon,South Carolina,,26,Michigan,,19,45687.0,South Carolina QB Jake Bentley,Outback Steakhouse,Outback Bowl
811,2016,Mon,Florida,20.0,30,Iowa,21.0,3,51119.0,Florida DB Chauncey Gardner,Outback Steakhouse,Outback Bowl
812,2015,Fri,Tennessee,,45,Northwestern,12.0,6,53202.0,Tennessee RB Jalen Hurd,,Outback Bowl
813,2014,Thu,Wisconsin,17.0,34,Auburn,19.0,31,44023.0,RB Melvin Gordon (Wisconsin),,Outback Bowl
814,2013,Wed,Louisiana State,14.0,21,Iowa,,14,51296.0,RB Jeremy Hill (LSU),Outback Steakhouse,Outback Bowl
842,2021,Thu,Michigan State,11.0,31,Pittsburgh,13.0,21,41230.0,"Michigan State WR Jayden Reed, Michigan State LB Cal Haladay",Chick-fil-A,Peach Bowl
843,2020,Fri,Georgia,11.0,24,Cincinnati,6.0,21,15301.0,"Georgia K Jack Podlesny, Georgia LB Azeez Ojulari",Chick-fil-A,Peach Bowl
844,2019,Sat,Louisiana State,1.0,63,Oklahoma,4.0,28,78347.0,"LSU QB Joe Burrow, LSU LB K'Lavon Chaisson",Chick-fil-A,Peach Bowl
845,2018,Sat,Florida,10.0,41,Michigan,8.0,15,74006.0,Florida QB Feleipe Franks,Chick-fil-A,Peach Bowl
846,2017,Mon,Central Florida,10.0,34,Auburn,7.0,27,71109.0,"Central Florida QB McKenzie Milton, Central Florida LB Shaquem Griffin",Chick-fil-A,Peach Bowl
847,2016,Sat,Alabama,1.0,24,Washington,4.0,7,75996.0,"Alabama RB Bo Scarbrough, Alabama LB Ryan Anderson",Chick-fil-A,Peach Bowl
848,2015,Thu,Houston,14.0,38,Florida State,9.0,24,71007.0,"Houston QB Greg Ward, Jr., Houston CB William Jackson III",Chick-fil-A,Peach Bowl
849,2014,Wed,Texas Christian,6.0,42,Ole Miss,9.0,3,65706.0,"QB Trevone Boykin (TCU), DE James McFarland (TCU)",Chick-Fil-A,Peach Bowl
850,2013,Tue,Texas A&M,20.0,52,Duke,22.0,48,67496.0,"QB Johnny Manziel (Texas A&M), DB Toney Hurd Jr. (Texas A&M)",Chick-fil-A,Peach Bowl
896,2021,Wed,Maryland,,54,Virginia Tech,,10,29653.0,Maryland QB Taulia Tagovailoa,New Era,Pinstripe Bowl
897,2019,Fri,Michigan State,,27,Wake Forest,,21,36895.0,Michigan State QB Brian Lewerke,New Era,Pinstripe Bowl
898,2018,Thu,Wisconsin,,35,Miami,,3,37821.0,Wisconsin RB Jonathan Taylor,New Era,Pinstripe Bowl
899,2017,Wed,Iowa,,27,Boston College,,20,37667.0,Iowa RB Akrum Wadley,New Era,Pinstripe Bowl
900,2016,Wed,Northwestern,,31,Pittsburgh,22.0,24,37918.0,Northwestern RB Justin Jackson,New Era,Pinstripe Bowl
901,2015,Sat,Duke,,44,Indiana,,41,37218.0,"Duke QB Thomas Sirk, Duke RB Shaun Wilson",New Era,Pinstripe Bowl
902,2014,Sat,Penn State,,31,Boston College,,30,49012.0,QB Christian Hackenberg (Penn State),New Era,Pinstripe Bowl
903,2013,Sat,Notre Dame,25.0,29,Rutgers,,16,47122.0,OT Zack Martin (Notre Dame),New Era,Pinstripe Bowl
907,2021,Mon,Western Michigan,,52,Nevada,,24,22321.0,Western Michigan RB Sean Tyler,Ford Motor Company,Quick Lane Bowl
908,2019,Thu,Pittsburgh,,34,Eastern Michigan,,30,34765.0,Pittsburgh QB Kenny Pickett,Quick Lane,Quick Lane Bowl
909,2018,Wed,Minnesota,,34,Georgia Tech,,10,27228.0,Minnesota RB Mohamed Ibrahim,Quick Lane,Quick Lane Bowl
910,2017,Tue,Duke,,36,Northern Illinois,,14,20211.0,Duke QB Daniel Jones,Quick Lane,Quick Lane Bowl
911,2016,Mon,Boston College,,36,Maryland,,30,19117.0,BC Defensive Line,Ford,Quick Lane Bowl
912,2015,Mon,Minnesota,,21,Central Michigan,,14,34217.0,Minnesota QB Mitch Leidner,,Quick Lane Bowl
913,2014,Fri,Rutgers,,40,North Carolina,,21,23876.0,RB Josh Hicks (MVP),,Quick Lane Bowl
914,2021,Sat,Ohio State,7.0,48,Utah,10.0,45,87842.0,Ohio State WR Jaxon Smith-Njigba,Capital One,Rose Bowl
915,2020,Fri,Alabama,1.0,31,Notre Dame,4.0,14,18373.0,"Alabama WR DeVonta Smith, Alabama CB Patrick Surtain II",Capital One,Rose Bowl
916,2019,Wed,Oregon,7.0,28,Wisconsin,11.0,27,90462.0,"Oregon QB Justin Herbert, Oregon S Brady Breeze",Northwestern Mutual,Rose Bowl
917,2018,Tue,Ohio State,5.0,28,Washington,9.0,23,91853.0,"Ohio State QB Dwayne Haskins, Ohio State S Brendon White",Northwestern Mutual,Rose Bowl
918,2017,Mon,Georgia,3.0,54,Oklahoma,2.0,48,92844.0,"Georgia RB Sony Michel, Georgia LB Roquan Smith",Northwestern Mutual,Rose Bowl
919,2016,Mon,Southern California,9.0,52,Penn State,5.0,49,95128.0,"USC QB Sam Darnold, USC DT Stevie Tu'ikolovatu",Northwestern Mutual,Rose Bowl
