Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Kent St. (MAC),4,3-1,326.0,2426.0,7.44,27.0,606.5,261.0,1696.0,6.5,21.0,21.0,424.0,2.0,3.0,5.0,2.0,2.0,4.0,1.0,0.25,120:04,30:01,19.0,12.0,98.0,25.0,6.2,5.0,33.0,1.25,27.0,25.0,0.0,0.0,4.0,0.0,199.0,49.8,21.0,18.0,1.0,0.0,2.0,0.0,152.0,38.0,200.0,1132.0,5.66,13.0,283.0,170.0,1048.0,6.16,19.0,262.0,27.0,11.0,8.0,4.0,23.0,0.852,17.0,12.0,2.0,2.0,16.0,0.941,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,-1.0,126.0,90.0,2.0,1294.0,10.27,14.38,14.0,323.5,47.0,91.0,648.0,2.0,7.12,13.79,162.0,18.0,412.0,0.0,22.89,18.0,412.0,0.0,22.89,45.0,31.0,11.0,87.0,45.0,31.0,11.0,87.0,37.0,325.0,81.25,57.0,32.0,0.561,21.0,48.0,0.438,7.0,8.0,0.875,3.0,7.0,0.429
UCF (AAC),10,6-4,859.0,5681.0,6.61,55.0,568.1,794.0,4918.0,6.19,43.0,44.0,491.8,13.0,9.0,22.0,6.0,4.0,10.0,12.0,1.2,275:03,27:30,60.0,22.0,293.0,71.0,7.1,22.0,139.0,2.2,55.0,46.0,4.0,0.0,12.0,1.0,422.0,42.2,44.0,34.0,4.0,0.0,8.0,1.0,332.0,33.2,444.0,2107.0,4.75,23.0,210.7,444.0,1926.0,4.34,17.0,192.6,55.0,19.0,18.0,12.0,49.0,0.891,45.0,15.0,17.0,7.0,39.0,0.867,11.0,120.0,0.0,10.91,11.0,120.0,0.0,10.91,415.0,249.0,4.0,3574.0,8.61,14.35,32.0,357.4,209.0,350.0,2992.0,26.0,8.55,14.32,299.2,25.0,571.0,0.0,22.84,25.0,571.0,0.0,22.84,112.0,144.0,20.0,276.0,112.0,144.0,20.0,276.0,92.0,748.0,74.8,160.0,78.0,0.488,63.0,146.0,0.432,12.0,22.0,0.545,11.0,20.0,0.55
Ole Miss (SEC),10,5-5,797.0,5555.0,6.97,53.0,555.5,778.0,5190.0,6.67,47.0,50.0,519.0,7.0,6.0,13.0,4.0,14.0,18.0,-5.0,-0.5,278:34,27:51,38.0,18.0,186.0,47.0,4.7,19.0,101.0,1.9,54.0,46.0,2.0,0.0,6.0,0.0,392.0,39.2,50.0,45.0,1.0,0.0,12.0,0.0,383.0,38.3,462.0,2106.0,4.56,23.0,210.6,391.0,2069.0,5.29,28.0,206.9,62.0,23.0,18.0,6.0,47.0,0.758,49.0,22.0,13.0,8.0,43.0,0.878,6.0,54.0,0.0,9.0,6.0,54.0,0.0,9.0,335.0,238.0,14.0,3449.0,10.3,14.49,30.0,344.9,263.0,387.0,3121.0,19.0,8.06,11.87,312.1,22.0,384.0,0.0,17.45,22.0,384.0,0.0,17.45,108.0,150.0,16.0,274.0,108.0,150.0,16.0,274.0,60.0,516.0,51.6,141.0,70.0,0.496,63.0,135.0,0.467,22.0,33.0,0.667,13.0,18.0,0.722
Alabama (SEC),13,13-0,902.0,7041.0,7.81,79.0,541.6,909.0,4579.0,5.04,30.0,30.0,352.2,10.0,12.0,22.0,8.0,4.0,12.0,10.0,0.77,401:58,30:55,65.0,32.0,306.0,81.0,6.2,19.0,116.0,1.46,84.0,84.0,0.0,0.0,14.0,0.0,630.0,48.5,30.0,28.0,1.0,0.0,14.0,0.0,252.0,19.4,477.0,2385.0,5.0,37.0,183.5,441.0,1470.0,3.33,15.0,113.1,68.0,32.0,21.0,10.0,63.0,0.926,39.0,14.0,6.0,9.0,29.0,0.744,5.0,22.0,0.0,4.4,5.0,22.0,0.0,4.4,425.0,324.0,4.0,4656.0,10.96,14.37,42.0,358.2,272.0,468.0,3109.0,15.0,6.64,11.43,239.2,34.0,618.0,0.0,18.18,34.0,618.0,0.0,18.18,89.0,143.0,27.0,259.0,89.0,143.0,27.0,259.0,78.0,625.0,48.08,146.0,86.0,0.589,83.0,200.0,0.415,5.0,9.0,0.556,13.0,24.0,0.542
North Carolina (ACC),12,8-4,849.0,6447.0,7.59,66.0,537.2,829.0,4811.0,5.8,42.0,44.0,400.9,3.0,8.0,11.0,5.0,8.0,13.0,-2.0,-0.17,370:16,30:51,61.0,16.0,308.0,69.0,5.8,34.0,210.0,2.83,66.0,64.0,1.0,1.0,12.0,0.0,500.0,41.7,44.0,36.0,4.0,0.0,15.0,0.0,353.0,29.4,492.0,2830.0,5.75,35.0,235.8,434.0,1851.0,4.26,25.0,154.2,56.0,28.0,13.0,9.0,50.0,0.893,46.0,19.0,10.0,11.0,40.0,0.87,12.0,84.0,0.0,7.0,12.0,84.0,0.0,7.0,357.0,244.0,8.0,3617.0,10.13,14.82,31.0,301.4,230.0,395.0,2960.0,17.0,7.49,12.87,246.7,11.0,236.0,0.0,21.45,11.0,236.0,0.0,21.45,103.0,123.0,31.0,257.0,103.0,123.0,31.0,257.0,85.0,814.0,67.83,139.0,64.0,0.46,63.0,166.0,0.38,11.0,19.0,0.579,10.0,19.0,0.526
BYU (FBS Independent),12,11-1,799.0,6266.0,7.84,68.0,522.2,793.0,3809.0,4.8,23.0,23.0,317.4,10.0,8.0,18.0,5.0,4.0,9.0,9.0,0.75,359:25,29:57,50.0,20.0,214.0,60.0,5.0,12.0,110.0,1.0,69.0,63.0,3.0,0.0,13.0,0.0,522.0,43.5,23.0,19.0,0.0,0.0,9.0,0.0,184.0,15.3,423.0,2281.0,5.39,34.0,190.1,419.0,1439.0,3.43,8.0,119.9,61.0,28.0,20.0,7.0,55.0,0.902,25.0,7.0,9.0,3.0,19.0,0.76,9.0,80.0,0.0,8.89,9.0,80.0,0.0,8.89,376.0,273.0,4.0,3985.0,10.6,14.6,34.0,332.1,229.0,374.0,2370.0,15.0,6.34,10.35,197.5,23.0,358.0,0.0,15.57,23.0,358.0,0.0,15.57,89.0,115.0,12.0,216.0,89.0,115.0,12.0,216.0,52.0,442.0,36.83,132.0,65.0,0.492,67.0,171.0,0.392,12.0,22.0,0.545,10.0,25.0,0.4
Ohio St. (Big Ten),8,7-1,570.0,4155.0,7.29,41.0,519.4,549.0,3213.0,5.85,26.0,27.0,401.6,12.0,7.0,19.0,3.0,6.0,9.0,10.0,1.25,258:34,32:19,38.0,16.0,205.0,46.0,5.8,21.0,133.0,2.62,44.0,43.0,0.0,0.0,7.0,0.0,328.0,41.0,27.0,21.0,0.0,0.0,7.0,1.0,206.0,25.8,345.0,2055.0,5.96,19.0,256.9,233.0,781.0,3.35,10.0,97.6,44.0,15.0,13.0,6.0,34.0,0.773,29.0,10.0,10.0,5.0,25.0,0.862,5.0,98.0,1.0,19.6,5.0,98.0,1.0,19.6,225.0,158.0,6.0,2100.0,9.33,13.29,22.0,262.5,209.0,316.0,2432.0,16.0,7.7,11.64,304.0,19.0,337.0,0.0,17.74,19.0,337.0,0.0,17.74,44.0,110.0,12.0,166.0,44.0,110.0,12.0,166.0,49.0,435.0,54.38,106.0,52.0,0.491,39.0,105.0,0.371,5.0,9.0,0.556,8.0,15.0,0.533
North Texas (C-USA),10,4-6,779.0,5132.0,6.59,46.0,513.2,752.0,5221.0,6.94,57.0,58.0,522.1,2.0,7.0,9.0,6.0,9.0,15.0,-6.0,-0.6,256:15,25:38,37.0,30.0,217.0,52.0,5.2,17.0,116.0,1.7,46.0,44.0,0.0,0.0,8.0,0.0,344.0,34.4,58.0,57.0,1.0,0.0,7.0,0.0,428.0,42.8,443.0,2302.0,5.2,18.0,230.2,441.0,2692.0,6.1,32.0,269.2,34.0,10.0,12.0,5.0,27.0,0.794,53.0,25.0,17.0,3.0,45.0,0.849,,,,,,,,,336.0,185.0,9.0,2830.0,8.42,15.3,28.0,283.0,195.0,311.0,2529.0,25.0,8.13,12.97,252.9,38.0,736.0,0.0,19.37,38.0,736.0,0.0,19.37,,,,,,,,,,,,150.0,70.0,0.467,68.0,144.0,0.472,,,,,,
Florida (SEC),12,8-4,840.0,6118.0,7.28,58.0,509.8,847.0,5136.0,6.06,44.0,48.0,428.0,7.0,9.0,16.0,9.0,10.0,19.0,-3.0,-0.25,366:01,30:30,56.0,36.0,334.0,74.0,6.2,20.0,116.0,1.67,60.0,59.0,1.0,0.0,19.0,0.0,478.0,39.8,48.0,44.0,1.0,0.0,12.0,0.0,370.0,30.8,367.0,1575.0,4.29,12.0,131.2,449.0,2046.0,4.56,16.0,170.5,62.0,12.0,30.0,14.0,56.0,0.903,45.0,13.0,16.0,9.0,38.0,0.844,3.0,31.0,0.0,10.33,3.0,31.0,0.0,10.33,473.0,321.0,10.0,4543.0,9.6,14.15,46.0,378.6,255.0,398.0,3090.0,28.0,7.76,12.12,257.5,28.0,533.0,0.0,19.04,28.0,533.0,0.0,19.04,118.0,138.0,18.0,274.0,118.0,138.0,18.0,274.0,64.0,542.0,45.17,140.0,70.0,0.5,69.0,168.0,0.411,7.0,12.0,0.583,15.0,23.0,0.652
Clemson (ACC),12,10-2,901.0,6028.0,6.69,64.0,502.3,781.0,3922.0,5.02,26.0,30.0,326.8,9.0,14.0,23.0,9.0,6.0,15.0,8.0,0.67,365:25,30:27,85.0,48.0,459.0,109.0,9.1,20.0,153.0,1.67,67.0,64.0,0.0,0.0,18.0,1.0,522.0,43.5,30.0,29.0,0.0,0.0,11.0,0.0,242.0,20.2,411.0,1846.0,4.49,33.0,153.8,438.0,1352.0,3.09,9.0,112.7,61.0,27.0,16.0,10.0,53.0,0.869,31.0,6.0,12.0,6.0,24.0,0.774,17.0,144.0,0.0,8.47,17.0,144.0,0.0,8.47,490.0,326.0,6.0,4182.0,8.53,12.83,31.0,348.5,190.0,343.0,2570.0,17.0,7.49,13.53,214.2,12.0,269.0,0.0,22.42,12.0,269.0,0.0,22.42,65.0,105.0,22.0,192.0,65.0,105.0,22.0,192.0,65.0,578.0,48.17,179.0,83.0,0.464,54.0,173.0,0.312,10.0,15.0,0.667,7.0,19.0,0.368
