Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Oklahoma (Big 12),14,12-2,979.0,8114.0,8.29,80.0,579.6,947.0,5529.0,5.84,47.0,47.0,394.9,10.0,8.0,18.0,7.0,6.0,13.0,5.0,0.36,445:33,31:49,58.0,34.0,330.0,75.0,5.4,26.0,181.0,1.86,83.0,81.0,1.0,0.0,17.0,0.0,632.0,45.1,47.0,42.0,2.0,0.0,17.0,0.0,379.0,27.1,546.0,3049.0,5.58,33.0,217.8,500.0,2191.0,4.38,24.0,156.5,72.0,26.0,25.0,14.0,65.0,0.903,49.0,17.0,13.0,13.0,43.0,0.878,8.0,131.0,0.0,16.38,8.0,131.0,0.0,16.38,433.0,309.0,6.0,5065.0,11.7,16.39,47.0,361.8,267.0,447.0,3338.0,23.0,7.47,12.5,238.4,21.0,485.0,0.0,23.1,21.0,485.0,0.0,23.1,118.0,133.0,35.0,286.0,118.0,133.0,35.0,286.0,82.0,808.0,57.71,162.0,69.0,0.426,73.0,192.0,0.38,12.0,23.0,0.522,13.0,22.0,0.591
Oklahoma St. (Big 12),13,10-3,1008.0,7396.0,7.34,71.0,568.9,966.0,5321.0,5.51,42.0,48.0,409.3,7.0,17.0,24.0,11.0,10.0,21.0,3.0,0.23,365:27,28:06,78.0,34.0,430.0,95.0,7.3,24.0,130.0,1.85,74.0,70.0,1.0,0.0,23.0,0.0,585.0,45.0,48.0,47.0,1.0,0.0,15.0,0.0,382.0,29.4,505.0,2337.0,4.63,34.0,179.8,506.0,1829.0,3.61,23.0,140.7,75.0,30.0,19.0,18.0,67.0,0.893,48.0,17.0,9.0,13.0,39.0,0.813,13.0,89.0,1.0,6.85,13.0,89.0,1.0,6.85,503.0,325.0,10.0,5059.0,10.06,15.57,37.0,389.2,265.0,460.0,3492.0,19.0,7.59,13.18,268.6,66.0,1278.0,1.0,19.36,66.0,1278.0,1.0,19.36,112.0,144.0,30.0,286.0,112.0,144.0,30.0,286.0,66.0,592.0,45.54,180.0,82.0,0.456,80.0,206.0,0.388,13.0,20.0,0.65,9.0,17.0,0.529
Louisville (ACC),13,8-5,959.0,7084.0,7.39,62.0,544.9,899.0,5045.0,5.61,42.0,47.0,388.1,10.0,13.0,23.0,11.0,10.0,21.0,2.0,0.15,395:28,30:25,67.0,24.0,350.0,79.0,6.1,33.0,181.0,2.54,64.0,58.0,1.0,0.0,17.0,0.0,495.0,38.1,47.0,45.0,1.0,0.0,9.0,0.0,356.0,27.4,495.0,3186.0,6.44,33.0,245.1,514.0,2124.0,4.13,24.0,163.4,59.0,21.0,15.0,14.0,50.0,0.847,39.0,21.0,8.0,5.0,34.0,0.872,20.0,119.0,0.0,5.95,20.0,119.0,0.0,5.95,464.0,277.0,10.0,3898.0,8.4,14.07,29.0,299.8,224.0,385.0,2921.0,18.0,7.59,13.04,224.7,66.0,1306.0,1.0,19.79,66.0,1306.0,1.0,19.79,118.0,133.0,15.0,266.0,118.0,133.0,15.0,266.0,82.0,664.0,51.08,181.0,80.0,0.442,74.0,179.0,0.413,19.0,30.0,0.633,11.0,19.0,0.579
Memphis (AAC),13,10-3,941.0,6917.0,7.35,72.0,532.1,1054.0,6061.0,5.75,56.0,56.0,466.2,15.0,16.0,31.0,6.0,10.0,16.0,15.0,1.15,343:16,26:24,79.0,24.0,352.0,91.0,7.0,21.0,138.0,1.62,79.0,76.0,0.0,0.0,14.0,0.0,592.0,45.5,56.0,50.0,2.0,0.0,10.0,1.0,422.0,32.5,453.0,2562.0,5.66,33.0,197.1,568.0,2394.0,4.21,25.0,184.2,62.0,21.0,23.0,12.0,56.0,0.903,57.0,23.0,13.0,10.0,46.0,0.807,5.0,23.0,0.0,4.6,5.0,23.0,0.0,4.6,488.0,307.0,10.0,4355.0,8.92,14.19,39.0,335.0,283.0,486.0,3667.0,31.0,7.55,12.96,282.1,73.0,1296.0,0.0,17.75,73.0,1296.0,0.0,17.75,125.0,161.0,32.0,318.0,125.0,161.0,32.0,318.0,111.0,1006.0,77.38,169.0,74.0,0.438,98.0,215.0,0.456,11.0,20.0,0.55,20.0,30.0,0.667
UCF (AAC),13,13-0,924.0,6896.0,7.46,77.0,530.5,969.0,5563.0,5.74,40.0,43.0,427.9,12.0,20.0,32.0,6.0,9.0,15.0,17.0,1.31,365:01,28:04,59.0,34.0,305.0,76.0,5.8,13.0,64.0,1.0,84.0,80.0,1.0,0.0,13.0,1.0,627.0,48.2,43.0,36.0,1.0,0.0,11.0,0.0,329.0,25.3,500.0,2583.0,5.17,39.0,198.7,498.0,2078.0,4.17,16.0,159.8,71.0,34.0,16.0,10.0,60.0,0.845,40.0,13.0,13.0,8.0,34.0,0.85,6.0,41.0,0.0,6.83,6.0,41.0,0.0,6.83,424.0,287.0,9.0,4313.0,10.17,15.03,38.0,331.8,261.0,471.0,3485.0,24.0,7.4,13.35,268.1,78.0,1589.0,1.0,20.37,78.0,1589.0,1.0,20.37,110.0,141.0,29.0,280.0,110.0,141.0,29.0,280.0,109.0,888.0,68.31,165.0,75.0,0.455,82.0,201.0,0.408,10.0,20.0,0.5,15.0,31.0,0.484
South Fla. (AAC),12,10-2,1001.0,6156.0,6.15,55.0,513.0,892.0,4317.0,4.84,34.0,37.0,359.8,4.0,20.0,24.0,8.0,6.0,14.0,10.0,0.83,365:52,30:29,85.0,32.0,409.0,101.0,8.4,18.0,111.0,1.5,57.0,52.0,1.0,0.0,21.0,0.0,459.0,38.3,37.0,32.0,1.0,1.0,8.0,0.0,282.0,23.5,634.0,3169.0,5.0,30.0,264.1,457.0,1523.0,3.33,17.0,126.9,61.0,22.0,10.0,17.0,49.0,0.803,31.0,13.0,7.0,7.0,27.0,0.871,21.0,158.0,1.0,7.52,21.0,158.0,1.0,7.52,367.0,196.0,6.0,2987.0,8.14,15.24,25.0,248.9,230.0,435.0,2794.0,17.0,6.42,12.15,232.8,47.0,1136.0,1.0,24.17,47.0,1136.0,1.0,24.17,85.0,123.0,28.0,236.0,85.0,123.0,28.0,236.0,111.0,1032.0,86.0,206.0,90.0,0.437,71.0,195.0,0.364,12.0,20.0,0.6,7.0,19.0,0.368
Ohio St. (Big Ten),14,12-2,1029.0,7084.0,6.88,73.0,506.0,948.0,4213.0,4.44,29.0,35.0,300.9,11.0,13.0,24.0,9.0,10.0,19.0,5.0,0.36,397:40,28:24,100.0,28.0,479.0,114.0,8.1,22.0,131.0,1.57,75.0,71.0,1.0,0.0,17.0,1.0,576.0,41.1,35.0,33.0,1.0,0.0,7.0,0.0,266.0,19.0,589.0,3405.0,5.78,34.0,243.2,501.0,1471.0,2.94,13.0,105.1,68.0,25.0,20.0,16.0,61.0,0.897,40.0,11.0,12.0,6.0,29.0,0.725,7.0,54.0,0.0,7.71,7.0,54.0,0.0,7.71,440.0,287.0,10.0,3679.0,8.36,12.82,39.0,262.8,246.0,447.0,2742.0,16.0,6.13,11.15,195.9,82.0,1428.0,2.0,17.41,82.0,1428.0,2.0,17.41,77.0,127.0,31.0,235.0,77.0,127.0,31.0,235.0,97.0,943.0,67.36,185.0,86.0,0.465,69.0,215.0,0.321,15.0,22.0,0.682,13.0,27.0,0.481
Missouri (SEC),13,7-6,916.0,6528.0,7.13,60.0,502.2,962.0,5383.0,5.6,47.0,50.0,414.1,5.0,12.0,17.0,11.0,14.0,25.0,-8.0,-0.62,325:17,25:01,81.0,44.0,359.0,103.0,7.9,13.0,92.0,1.0,63.0,59.0,0.0,0.0,17.0,0.0,488.0,37.5,50.0,48.0,1.0,0.0,20.0,2.0,414.0,31.8,486.0,2516.0,5.18,16.0,193.5,521.0,2075.0,3.98,27.0,159.6,53.0,14.0,21.0,13.0,48.0,0.906,45.0,18.0,12.0,11.0,41.0,0.911,11.0,92.0,0.0,8.36,11.0,92.0,0.0,8.36,430.0,247.0,14.0,4012.0,9.33,16.24,44.0,308.6,263.0,441.0,3308.0,20.0,7.5,12.58,254.5,39.0,851.0,1.0,21.82,39.0,851.0,1.0,21.82,110.0,133.0,24.0,267.0,110.0,133.0,24.0,267.0,96.0,774.0,59.54,173.0,78.0,0.451,92.0,212.0,0.434,3.0,11.0,0.273,9.0,17.0,0.529
Fla. Atlantic (C-USA),14,11-3,1026.0,6977.0,6.8,73.0,498.4,1051.0,5454.0,5.19,40.0,40.0,389.6,6.0,20.0,26.0,6.0,7.0,13.0,13.0,0.93,384:28,27:27,60.0,50.0,364.0,85.0,6.1,16.0,72.0,1.14,75.0,65.0,4.0,0.0,15.0,0.0,568.0,40.6,40.0,35.0,1.0,0.0,13.0,1.0,318.0,22.7,665.0,3994.0,6.01,52.0,285.3,557.0,2224.0,3.99,22.0,158.9,65.0,41.0,9.0,11.0,61.0,0.938,48.0,16.0,11.0,10.0,37.0,0.771,,,,,,,,,361.0,234.0,7.0,2983.0,8.26,12.75,21.0,213.1,276.0,494.0,3230.0,18.0,6.54,11.7,230.7,23.0,399.0,0.0,17.35,23.0,399.0,0.0,17.35,,,,,,,,,,,,184.0,73.0,0.397,85.0,216.0,0.394,,,,,,
Arkansas St. (Sun Belt),12,7-5,975.0,5937.0,6.09,55.0,494.8,857.0,4530.0,5.29,35.0,40.0,377.5,10.0,14.0,24.0,8.0,17.0,25.0,-1.0,-0.08,346:17,28:51,74.0,51.0,406.0,100.0,8.3,33.0,201.0,2.75,59.0,48.0,1.0,0.0,16.0,1.0,454.0,37.8,40.0,34.0,3.0,0.0,9.0,1.0,309.0,25.8,463.0,1831.0,3.95,17.0,152.6,460.0,1633.0,3.55,17.0,136.1,64.0,13.0,22.0,11.0,46.0,0.719,31.0,14.0,5.0,6.0,25.0,0.806,4.0,8.0,0.0,2.0,4.0,8.0,0.0,2.0,512.0,317.0,17.0,4106.0,8.02,12.95,38.0,342.2,204.0,397.0,2897.0,18.0,7.3,14.2,241.4,49.0,1048.0,3.0,21.39,49.0,1048.0,3.0,21.39,88.0,120.0,25.0,233.0,88.0,120.0,25.0,233.0,94.0,828.0,69.0,180.0,80.0,0.444,61.0,185.0,0.33,5.0,15.0,0.333,4.0,11.0,0.364
