Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Oklahoma (Big 12),13,11-2,942.0,5499.0,5.84,43.0,423.0,846.0,4552.0,5.38,34.0,36.0,350.2,8.0,16.0,24.0,5.0,11.0,16.0,8.0,0.62,419:54,32:18,57.0,32.0,303.0,73.0,5.6,15.0,109.0,1.15,50.0,47.0,1.0,1.0,24.0,2.0,427.0,32.8,36.0,32.0,0.0,0.0,13.0,0.0,287.0,22.1,559.0,2911.0,5.21,19.0,223.9,437.0,1789.0,4.09,17.0,137.6,55.0,13.0,16.0,19.0,48.0,0.873,35.0,14.0,6.0,10.0,30.0,0.857,20.0,312.0,1.0,15.6,20.0,312.0,1.0,15.6,383.0,225.0,11.0,2588.0,6.76,11.5,24.0,199.1,225.0,409.0,2763.0,17.0,6.76,12.28,212.5,36.0,838.0,0.0,23.28,36.0,838.0,0.0,23.28,92.0,118.0,23.0,233.0,92.0,118.0,23.0,233.0,87.0,723.0,55.62,195.0,77.0,0.395,60.0,178.0,0.337,11.0,16.0,0.688,5.0,14.0,0.357
New Mexico (Mountain West),12,3-9,781.0,5062.0,6.48,49.0,421.8,836.0,6199.0,7.42,70.0,71.0,516.6,6.0,4.0,10.0,9.0,5.0,14.0,-4.0,-0.33,388:09,32:20,35.0,24.0,185.0,47.0,3.9,24.0,146.0,2.0,53.0,49.0,1.0,0.0,8.0,0.0,393.0,32.8,71.0,69.0,0.0,0.0,6.0,0.0,513.0,42.8,604.0,3706.0,6.14,40.0,308.8,500.0,3086.0,6.17,40.0,257.2,42.0,30.0,0.0,8.0,38.0,0.905,53.0,27.0,16.0,4.0,47.0,0.887,18.0,213.0,1.0,11.83,18.0,213.0,1.0,11.83,177.0,90.0,5.0,1356.0,7.66,15.07,9.0,113.0,228.0,336.0,3113.0,30.0,9.26,13.65,259.4,50.0,1145.0,0.0,22.9,50.0,1145.0,0.0,22.9,162.0,123.0,9.0,294.0,162.0,123.0,9.0,294.0,44.0,363.0,30.25,152.0,57.0,0.375,72.0,146.0,0.493,15.0,28.0,0.536,15.0,22.0,0.682
Washington St. (Pac-12),13,6-7,999.0,5478.0,5.48,46.0,421.4,1006.0,5954.0,5.92,48.0,52.0,458.0,14.0,16.0,30.0,11.0,24.0,35.0,-5.0,-0.38,372:05,28:37,58.0,36.0,276.0,76.0,5.8,32.0,244.0,2.46,51.0,49.0,0.0,0.0,16.0,0.0,403.0,31.0,52.0,48.0,2.0,0.0,19.0,1.0,423.0,32.5,243.0,694.0,2.86,10.0,53.4,547.0,2434.0,4.45,25.0,187.2,51.0,10.0,22.0,8.0,40.0,0.784,51.0,16.0,13.0,12.0,41.0,0.804,21.0,147.0,0.0,7.0,21.0,147.0,0.0,7.0,756.0,470.0,24.0,4784.0,6.33,10.18,36.0,368.0,287.0,459.0,3520.0,23.0,7.67,12.26,270.8,49.0,982.0,1.0,20.04,49.0,982.0,1.0,20.04,133.0,143.0,21.0,297.0,133.0,143.0,21.0,297.0,75.0,628.0,48.31,200.0,79.0,0.395,77.0,202.0,0.381,15.0,25.0,0.6,15.0,26.0,0.577
Houston (AAC),13,8-5,953.0,5454.0,5.72,49.0,419.5,1034.0,5405.0,5.23,33.0,34.0,415.8,18.0,25.0,43.0,8.0,10.0,18.0,25.0,1.92,334:08,25:42,62.0,32.0,360.0,78.0,6.0,29.0,209.0,2.23,54.0,52.0,1.0,0.0,17.0,1.0,431.0,33.2,34.0,28.0,0.0,0.0,17.0,0.0,283.0,21.8,435.0,1807.0,4.15,19.0,139.0,541.0,1937.0,3.58,18.0,149.0,59.0,15.0,19.0,15.0,49.0,0.831,49.0,16.0,9.0,12.0,37.0,0.755,18.0,73.0,0.0,4.06,18.0,73.0,0.0,4.06,518.0,299.0,10.0,3647.0,7.04,12.2,30.0,280.5,298.0,493.0,3468.0,15.0,7.03,11.64,266.8,42.0,903.0,0.0,21.5,42.0,903.0,0.0,21.5,119.0,150.0,21.0,290.0,119.0,150.0,21.0,290.0,98.0,881.0,67.77,191.0,68.0,0.356,73.0,212.0,0.344,4.0,17.0,0.235,14.0,25.0,0.56
Louisiana (Sun Belt),13,9-4,883.0,5418.0,6.14,54.0,416.8,888.0,5116.0,5.76,37.0,43.0,393.5,9.0,14.0,23.0,8.0,14.0,22.0,1.0,0.08,387:09,29:46,67.0,36.0,275.0,85.0,6.5,27.0,166.0,2.08,59.0,54.0,2.0,0.0,9.0,0.0,439.0,33.8,43.0,39.0,1.0,0.0,15.0,0.0,344.0,26.5,564.0,2659.0,4.71,33.0,204.5,474.0,1959.0,4.13,20.0,150.7,51.0,26.0,10.0,8.0,44.0,0.863,44.0,16.0,7.0,12.0,35.0,0.795,11.0,157.0,0.0,14.27,11.0,157.0,0.0,14.27,319.0,196.0,14.0,2759.0,8.65,14.08,21.0,212.2,250.0,414.0,3157.0,17.0,7.63,12.63,242.8,49.0,1086.0,3.0,22.16,49.0,1086.0,3.0,22.16,106.0,139.0,20.0,265.0,106.0,139.0,20.0,265.0,68.0,641.0,49.31,174.0,87.0,0.5,76.0,184.0,0.413,4.0,14.0,0.286,10.0,26.0,0.385
Hawaii (Mountain West),12,1-11,947.0,4992.0,5.27,43.0,416.0,994.0,5936.0,5.97,54.0,59.0,494.7,15.0,9.0,24.0,12.0,22.0,34.0,-10.0,-0.83,319:47,26:38,80.0,40.0,359.0,100.0,8.3,43.0,264.0,3.58,44.0,36.0,3.0,0.0,7.0,1.0,329.0,27.4,59.0,56.0,1.0,0.0,17.0,1.0,465.0,38.8,428.0,1375.0,3.21,12.0,114.6,578.0,2563.0,4.43,27.0,213.6,40.0,12.0,13.0,5.0,30.0,0.75,53.0,22.0,15.0,10.0,47.0,0.887,23.0,93.0,0.0,4.04,23.0,93.0,0.0,4.04,519.0,296.0,22.0,3617.0,6.97,12.22,31.0,301.4,248.0,416.0,3373.0,27.0,8.11,13.6,281.1,34.0,749.0,0.0,22.03,34.0,749.0,0.0,22.03,140.0,133.0,28.0,301.0,140.0,133.0,28.0,301.0,88.0,777.0,64.75,198.0,64.0,0.323,84.0,201.0,0.418,12.0,27.0,0.444,11.0,21.0,0.524
Nebraska (Big Ten),13,9-4,962.0,5361.0,5.57,49.0,412.4,926.0,4820.0,5.21,38.0,38.0,370.8,4.0,14.0,18.0,16.0,13.0,29.0,-11.0,-0.85,381:20,29:20,80.0,28.0,411.0,94.0,7.2,17.0,140.0,1.31,54.0,50.0,0.0,0.0,13.0,1.0,415.0,31.9,38.0,36.0,0.0,0.0,19.0,1.0,323.0,24.8,584.0,2804.0,4.8,24.0,215.7,538.0,2030.0,3.77,21.0,156.2,50.0,19.0,15.0,10.0,44.0,0.88,44.0,19.0,7.0,13.0,39.0,0.886,15.0,121.0,0.0,8.07,15.0,121.0,0.0,8.07,378.0,218.0,13.0,2557.0,6.76,11.73,25.0,196.7,210.0,388.0,2790.0,17.0,7.19,13.29,214.6,28.0,566.0,0.0,20.21,28.0,566.0,0.0,20.21,108.0,130.0,23.0,261.0,108.0,130.0,23.0,261.0,76.0,665.0,51.15,186.0,73.0,0.392,58.0,188.0,0.309,10.0,15.0,0.667,8.0,21.0,0.381
Utah St. (Mountain West),14,9-5,1073.0,5761.0,5.37,51.0,411.5,1018.0,4632.0,4.55,26.0,28.0,330.9,12.0,17.0,29.0,9.0,10.0,19.0,10.0,0.71,437:00,31:12,74.0,66.0,392.0,107.0,7.6,33.0,189.0,2.36,56.0,53.0,1.0,0.0,18.0,0.0,445.0,31.8,28.0,26.0,0.0,0.0,15.0,0.0,239.0,17.1,592.0,2493.0,4.21,21.0,178.1,535.0,1494.0,2.79,9.0,106.7,61.0,17.0,23.0,12.0,52.0,0.852,45.0,9.0,10.0,12.0,31.0,0.689,10.0,13.0,0.0,1.3,10.0,13.0,0.0,1.3,481.0,297.0,10.0,3268.0,6.79,11.0,30.0,233.4,261.0,483.0,3138.0,17.0,6.5,12.02,224.1,45.0,791.0,0.0,17.58,45.0,791.0,0.0,17.58,99.0,129.0,30.0,258.0,99.0,129.0,30.0,258.0,84.0,782.0,55.86,232.0,105.0,0.453,75.0,231.0,0.325,8.0,19.0,0.421,19.0,33.0,0.576
UNLV (Mountain West),13,7-6,990.0,5348.0,5.4,52.0,411.4,981.0,5632.0,5.74,49.0,55.0,433.2,9.0,11.0,20.0,5.0,10.0,15.0,5.0,0.38,387:38,29:49,58.0,28.0,247.0,72.0,5.5,26.0,194.0,2.0,52.0,45.0,1.0,0.0,10.0,0.0,389.0,29.9,55.0,49.0,1.0,0.0,11.0,0.0,414.0,31.8,507.0,2243.0,4.42,25.0,172.5,558.0,2802.0,5.02,28.0,215.5,54.0,17.0,19.0,6.0,42.0,0.778,44.0,21.0,8.0,7.0,36.0,0.818,23.0,222.0,1.0,9.65,23.0,222.0,1.0,9.65,483.0,299.0,10.0,3105.0,6.43,10.38,27.0,238.8,224.0,423.0,2830.0,21.0,6.69,12.63,217.7,52.0,1145.0,1.0,22.02,52.0,1145.0,1.0,22.02,140.0,135.0,10.0,285.0,140.0,135.0,10.0,285.0,45.0,406.0,31.23,193.0,77.0,0.399,99.0,208.0,0.476,12.0,25.0,0.48,10.0,28.0,0.357
Navy (FBS Independent),13,9-4,921.0,5347.0,5.81,58.0,411.3,908.0,5132.0,5.65,40.0,41.0,394.8,9.0,13.0,22.0,6.0,4.0,10.0,12.0,0.92,410:53,31:36,32.0,14.0,114.0,39.0,3.0,18.0,143.0,1.38,58.0,51.0,2.0,0.0,11.0,0.0,436.0,33.5,41.0,36.0,3.0,0.0,9.0,1.0,317.0,24.4,775.0,4230.0,5.46,50.0,325.4,511.0,2325.0,4.55,17.0,178.8,61.0,40.0,2.0,11.0,53.0,0.869,45.0,14.0,16.0,5.0,35.0,0.778,11.0,72.0,0.0,6.55,11.0,72.0,0.0,6.55,146.0,74.0,4.0,1117.0,7.65,15.09,8.0,85.9,273.0,397.0,2807.0,23.0,7.07,10.28,215.9,58.0,1151.0,0.0,19.84,58.0,1151.0,0.0,19.84,142.0,133.0,8.0,283.0,142.0,133.0,8.0,283.0,34.0,282.0,21.69,174.0,89.0,0.511,79.0,172.0,0.459,19.0,28.0,0.679,16.0,29.0,0.552
