Team,Games,Win-Loss,Off Plays,Off Yards,Off Yards/Play,Off TDs,Off Yards per Game,Def Plays,Yards Allowed,Yards/Play Allowed,Off TDs Allowed,Total TDs Allowed,Yards Per Game Allowed,Fumbles Recovered,Opponents Intercepted,Turnovers Gain,Fumbles Lost,Interceptions Thrown,Turnovers Lost,Turnover Margin,Avg Turnover Margin per Game,Time of Possession,Average Time of Possession per Game,Solo Tackle For Loss,Assist Tackle For Loss,Tackle for Loss Yards,Total Tackle For Loss,Tackle For Loss Per Game,Sacks,Sack Yards,Average Sacks per Game,Touchdowns,PAT,2 Point Conversions,Defensive Points,Feild Goals,Safety,Total Points,Points Per Game,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed,Rush Attempts,Rush Yds,Yards/Rush,Rushing TD,Rushing Yards per Game,Opp Rush Attempts,Opp Rush Yards Alloweed,Yds/Rush Allowed,Opp Rush Touchdowns Allowed,Rush Yards Per Game Allowed,Redzone Attempts,Redzone Rush TD,Redzone Pass TD,Redzone Field Goals Made,Redzone Scores,Redzone Points,Opp Redzone Attempts,Opp Redzone Rush TD Allowed,Opp Redzone Pass Touchdowns Allowed,Opp Redzone Field Goals Made,Opp Redzone Scores,Redzone Points Allowed,Punt Returns,Net Punt Return Yards,Punt Return Touchdowns,Avg Yards Per Punt Return,Opp Punt Returns,Opp Net Punt Return Yards,Opp Punt Return Touchdowns Allowed,Avg Yards Allowed per Punt Return,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed,Kickoffs Returned,Kickoff Return Yards,Kickoff Return Touchdowns,Avg Yard per Kickoff Return,Opp Kickoff Returns,Opponent Kickoff Return Yards,Opp Kickoff Return Touchdowns Allowed,Avg Yards per Kickoff Return Allowed,First Down Runs,First Down Passes,First Down Penalties,First Downs,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs,Penalties,Penalty Yards,Penalty Yards Per Game,3rd Attempts,3rd Conversions,3rd Percent,Opp 3rd Conversion,Opp 3rd Attempt,Opponent 3rd Percent,4th Attempts,4th Conversions,4th Percent,Opp 4th Conversion,Opp 4th Attempt,Opponent 4th Percent
Texas Tech (Big 12),12,5-7,1042.0,6774.0,6.5,69.0,,943.0,6652.0,7.05,65.0,68.0,554.3,8.0,5.0,13.0,6.0,11.0,17.0,-4.0,-0.33,370:22,30:51,42.0,10.0,147.0,47.0,3.9,30.0,273.0,2.5,70.0,65.0,0.0,0.0,13.0,0.0,524.0,43.7,68.0,66.0,1.0,0.0,14.0,2.0,522.0,43.5,389.0,1218.0,3.13,22.0,101.5,500.0,2863.0,5.73,37.0,238.6,63.0,20.0,26.0,11.0,57.0,0.905,62.0,30.0,10.0,13.0,53.0,0.855,10.0,84.0,0.0,8.4,10.0,84.0,0.0,8.4,653.0,428.0,11.0,5556.0,8.51,12.98,47.0,463.0,271.0,443.0,3789.0,28.0,8.55,13.98,315.8,41.0,927.0,1.0,22.61,41.0,927.0,1.0,22.61,138.0,172.0,11.0,321.0,138.0,172.0,11.0,321.0,94.0,744.0,62.0,195.0,101.0,0.518,71.0,164.0,0.433,11.0,25.0,0.44,11.0,21.0,0.524
Oklahoma (Big 12),13,11-2,957.0,7212.0,7.54,73.0,,960.0,5616.0,5.85,44.0,46.0,432.0,8.0,9.0,17.0,9.0,8.0,17.0,0.0,0.0,419:30,32:16,53.0,30.0,244.0,68.0,5.2,21.0,134.0,1.62,77.0,72.0,2.0,0.0,11.0,0.0,571.0,43.9,46.0,43.0,1.0,0.0,18.0,0.0,375.0,28.8,573.0,3078.0,5.37,30.0,236.8,465.0,2114.0,4.55,15.0,162.6,59.0,24.0,17.0,11.0,52.0,0.881,46.0,11.0,11.0,14.0,36.0,0.783,9.0,67.0,0.0,7.44,9.0,67.0,0.0,7.44,384.0,271.0,8.0,4134.0,10.77,15.25,43.0,318.0,271.0,495.0,3502.0,29.0,7.07,12.92,269.4,51.0,1110.0,0.0,21.76,51.0,1110.0,0.0,21.76,112.0,145.0,19.0,276.0,112.0,145.0,19.0,276.0,66.0,679.0,52.23,169.0,87.0,0.515,92.0,216.0,0.426,7.0,13.0,0.538,15.0,27.0,0.556
Louisville (ACC),13,9-4,961.0,6925.0,7.21,69.0,,894.0,4189.0,4.69,36.0,38.0,322.2,10.0,15.0,25.0,22.0,10.0,32.0,-7.0,-0.54,374:08,28:46,79.0,30.0,391.0,94.0,7.2,47.0,334.0,3.62,71.0,68.0,1.0,0.0,19.0,0.0,553.0,42.5,38.0,34.0,2.0,0.0,13.0,2.0,309.0,23.8,525.0,3148.0,6.0,37.0,242.2,483.0,1497.0,3.1,7.0,115.2,76.0,26.0,21.0,16.0,63.0,0.829,35.0,4.0,18.0,9.0,31.0,0.886,19.0,183.0,0.0,9.63,19.0,183.0,0.0,9.63,436.0,248.0,10.0,3777.0,8.66,15.23,32.0,290.5,224.0,411.0,2692.0,29.0,6.55,12.02,207.1,88.0,1835.0,0.0,20.85,88.0,1835.0,0.0,20.85,84.0,115.0,28.0,227.0,84.0,115.0,28.0,227.0,101.0,919.0,70.69,180.0,74.0,0.411,64.0,203.0,0.315,11.0,16.0,0.688,9.0,19.0,0.474
Tulsa (AAC),13,10-3,1114.0,6851.0,6.15,66.0,,1013.0,5544.0,5.47,44.0,48.0,426.5,11.0,10.0,21.0,9.0,12.0,21.0,0.0,0.0,386:05,29:41,68.0,26.0,348.0,81.0,6.2,24.0,151.0,1.85,70.0,67.0,0.0,1.0,21.0,0.0,552.0,42.5,48.0,44.0,1.0,0.0,18.0,0.0,388.0,29.8,665.0,3402.0,5.12,33.0,261.7,526.0,2292.0,4.36,28.0,176.3,66.0,24.0,17.0,18.0,59.0,0.894,50.0,24.0,5.0,12.0,41.0,0.82,17.0,141.0,0.0,8.29,17.0,141.0,0.0,8.29,449.0,267.0,12.0,3449.0,7.68,12.92,33.0,265.3,260.0,487.0,3252.0,16.0,6.68,12.51,250.2,64.0,1517.0,0.0,23.7,64.0,1517.0,0.0,23.7,107.0,138.0,16.0,261.0,107.0,138.0,16.0,261.0,78.0,684.0,52.62,210.0,97.0,0.462,85.0,228.0,0.373,9.0,15.0,0.6,17.0,32.0,0.531
Western Ky. (C-USA),14,11-3,958.0,7324.0,7.65,77.0,,1014.0,5272.0,5.2,41.0,43.0,376.6,7.0,14.0,21.0,11.0,8.0,19.0,2.0,0.14,,,62.0,50.0,312.0,87.0,6.2,22.0,128.0,1.57,82.0,78.0,0.0,1.0,21.0,1.0,637.0,45.5,43.0,41.0,0.0,0.0,15.0,0.0,344.0,24.6,487.0,2609.0,5.36,35.0,186.4,456.0,1361.0,2.98,16.0,97.2,73.0,28.0,19.0,16.0,63.0,0.863,47.0,14.0,13.0,13.0,40.0,0.851,,,,,,,,,471.0,305.0,8.0,4715.0,10.01,15.46,42.0,336.8,328.0,558.0,3911.0,25.0,7.01,11.92,279.4,,,,,,,,,,,,,,,,,,,,167.0,78.0,0.467,81.0,213.0,0.38,7.0,17.0,0.412,,,
Baylor (Big 12),13,7-6,1108.0,6795.0,6.13,58.0,,1032.0,5601.0,5.43,47.0,48.0,430.8,10.0,12.0,22.0,12.0,15.0,27.0,-5.0,-0.38,351:11,27:00,82.0,32.0,391.0,98.0,7.5,26.0,122.0,2.0,60.0,58.0,1.0,0.0,10.0,0.0,450.0,34.6,48.0,45.0,0.0,0.0,14.0,1.0,377.0,29.0,628.0,3143.0,5.0,25.0,241.8,620.0,2609.0,4.21,30.0,200.7,60.0,21.0,15.0,9.0,45.0,0.75,50.0,26.0,4.0,12.0,42.0,0.84,8.0,17.0,0.0,2.13,8.0,17.0,0.0,2.13,480.0,269.0,15.0,3652.0,7.61,13.58,33.0,280.9,226.0,412.0,2992.0,17.0,7.26,13.24,230.2,55.0,1056.0,0.0,19.2,55.0,1056.0,0.0,19.2,133.0,128.0,29.0,290.0,133.0,128.0,29.0,290.0,129.0,1068.0,82.15,222.0,94.0,0.423,90.0,217.0,0.415,26.0,46.0,0.565,14.0,22.0,0.636
Toledo (MAC),13,9-4,935.0,6731.0,7.2,63.0,,888.0,5155.0,5.81,39.0,41.0,396.5,4.0,6.0,10.0,5.0,9.0,14.0,-4.0,-0.31,392:20,30:10,61.0,26.0,294.0,74.0,5.7,14.0,89.0,1.08,65.0,61.0,2.0,0.0,13.0,0.0,494.0,38.0,41.0,40.0,0.0,0.0,16.0,0.0,334.0,25.7,512.0,2535.0,4.95,17.0,195.0,474.0,2285.0,4.82,15.0,175.8,50.0,14.0,22.0,10.0,46.0,0.92,47.0,11.0,16.0,13.0,40.0,0.851,15.0,99.0,0.0,6.6,15.0,99.0,0.0,6.6,423.0,291.0,9.0,4196.0,9.92,14.42,46.0,322.8,227.0,414.0,2870.0,24.0,6.93,12.64,220.8,66.0,1297.0,1.0,19.65,66.0,1297.0,1.0,19.65,110.0,126.0,20.0,256.0,110.0,126.0,20.0,256.0,91.0,796.0,61.23,182.0,93.0,0.511,66.0,190.0,0.347,4.0,10.0,0.4,7.0,15.0,0.467
Middle Tenn. (C-USA),13,8-5,973.0,6730.0,6.92,65.0,,1068.0,5843.0,5.47,61.0,62.0,449.5,8.0,11.0,19.0,6.0,15.0,21.0,-2.0,-0.15,,,50.0,30.0,254.0,65.0,5.0,14.0,84.0,1.08,67.0,64.0,1.0,0.0,16.0,0.0,516.0,39.7,62.0,59.0,1.0,0.0,10.0,1.0,465.0,35.8,417.0,2494.0,5.98,26.0,191.8,577.0,2583.0,4.48,37.0,198.7,59.0,19.0,26.0,10.0,55.0,0.932,69.0,32.0,16.0,7.0,55.0,0.797,,,,,,,,,556.0,349.0,15.0,4236.0,7.62,12.14,39.0,325.8,286.0,491.0,3260.0,24.0,6.64,11.4,250.8,,,,,,,,,,,,,,,,,,,,184.0,82.0,0.446,81.0,210.0,0.386,4.0,14.0,0.286,,,
Louisiana Tech (C-USA),14,9-5,960.0,7206.0,7.51,73.0,,1018.0,5893.0,5.79,60.0,62.0,420.9,9.0,9.0,18.0,8.0,9.0,17.0,1.0,0.07,,,70.0,36.0,406.0,88.0,6.3,28.0,172.0,2.0,79.0,78.0,0.0,0.0,22.0,1.0,620.0,44.3,62.0,60.0,0.0,1.0,12.0,0.0,470.0,33.6,417.0,2119.0,5.08,30.0,151.4,524.0,2047.0,3.91,27.0,146.2,69.0,23.0,21.0,15.0,59.0,0.855,62.0,23.0,22.0,11.0,56.0,0.903,,,,,,,,,543.0,362.0,9.0,5087.0,9.37,14.05,43.0,363.4,323.0,494.0,3846.0,33.0,7.79,11.91,274.7,,,,,,,,,,,,,,,,,,,,155.0,78.0,0.503,85.0,187.0,0.455,6.0,10.0,0.6,,,
California (Pac-12),12,5-7,1035.0,6158.0,5.95,53.0,,927.0,6219.0,6.71,62.0,67.0,518.3,7.0,11.0,18.0,3.0,12.0,15.0,3.0,0.25,339:38,28:18,34.0,34.0,192.0,51.0,4.3,16.0,130.0,1.33,54.0,51.0,2.0,0.0,22.0,0.0,445.0,37.1,67.0,65.0,0.0,0.0,14.0,1.0,511.0,42.6,414.0,1852.0,4.47,16.0,154.3,532.0,3274.0,6.15,32.0,272.8,54.0,14.0,18.0,15.0,47.0,0.87,54.0,23.0,19.0,8.0,50.0,0.926,27.0,320.0,1.0,11.85,27.0,320.0,1.0,11.85,621.0,383.0,12.0,4306.0,6.93,11.24,37.0,358.8,236.0,395.0,2945.0,30.0,7.46,12.48,245.4,48.0,865.0,2.0,18.02,48.0,865.0,2.0,18.02,158.0,133.0,29.0,320.0,158.0,133.0,29.0,320.0,89.0,909.0,75.75,202.0,79.0,0.391,76.0,161.0,0.472,23.0,31.0,0.742,9.0,11.0,0.818
