Team,Games,Win-Loss,Touchdowns Allowed,Opponent Extra Points,2 Point Conversions Allowed,Opp Deflected Extra Points,Opp Feild Goals Made,Opp Safety,Points Allowed,Avg Points per Game Allowed
Harvard (Ivy League),10,10-0,15,12,0,0,7,0,123,12.3
N.C. A&T (MEAC),12,9-3,21,17,0,0,8,0,167,13.9
North Dakota St. (MVFC),16,15-1,27,24,0,0,13,0,225,14.1
Stony Brook (CAA),12,5-7,21,15,2,0,13,0,184,15.3
Bryant (NEC),11,8-3,22,20,1,0,7,1,177,16.1
Jacksonville (Pioneer),11,9-2,25,20,1,0,7,0,193,17.5
Norfolk St. (MEAC),12,4-8,24,20,0,0,13,4,211,17.6
Southeastern La. (Southland),13,9-4,30,25,2,0,7,0,230,17.7
Wagner (NEC),11,7-4,26,20,2,0,6,0,198,18.0
Sacred Heart (NEC),12,9-3,31,25,0,0,5,0,226,18.8
Chattanooga (SoCon),14,10-4,37,29,1,0,6,0,271,19.4
Alcorn (SWAC),13,10-3,32,26,2,0,10,1,254,19.5
Coastal Carolina (Big South),14,12-2,35,27,2,0,11,0,274,19.6
Samford (SoCon),11,7-4,28,26,1,0,7,0,217,19.7
UNI (MVFC),14,9-5,36,33,0,0,10,0,279,19.9
Marist (Pioneer),11,4-7,27,24,1,0,11,0,221,20.1
Drake (Pioneer),11,7-4,29,23,2,1,8,1,229,20.8
South Carolina St. (MEAC),12,8-4,31,29,0,0,11,1,250,20.8
Montana (Big Sky),14,9-5,36,31,1,0,15,0,294,21.0
Bethune-Cookman (MEAC),12,9-3,31,24,0,0,14,0,252,21.0
Dartmouth (Ivy League),10,8-2,27,21,2,0,7,1,210,21.0
New Hampshire (CAA),14,12-2,37,28,1,0,15,0,297,21.2
Maine (CAA),11,5-6,29,22,1,0,12,0,234,21.3
Illinois St. (MVFC),15,13-2,41,29,3,0,13,1,322,21.5
Duquesne (NEC),12,6-6,31,28,0,0,14,1,258,21.5
Jacksonville St. (OVC),12,10-2,32,29,0,0,13,0,260,21.7
Bucknell (Patriot),11,8-3,31,29,0,0,8,0,239,21.7
Charleston So. (Big South),12,8-4,33,28,3,1,10,0,264,22.0
Villanova (CAA),14,11-3,39,37,0,0,13,0,310,22.1
Lafayette (Patriot),11,5-6,29,27,1,1,14,0,247,22.5
