Team,Games,Win-Loss,Opp First Down Runs,Opp First Down Passes,Opp First Down Penalties,Opp First Downs
Wagner (NEC),11,7-4,56,88,16,160
Bethune-Cookman (MEAC),12,9-3,56,79,33,168
Harvard (Ivy League),10,10-0,52,105,16,173
Stony Brook (CAA),12,5-7,67,81,26,174
Bryant (NEC),11,8-3,74,85,16,175
Sacred Heart (NEC),12,9-3,52,95,28,175
Samford (SoCon),11,7-4,95,69,14,178
McNeese (Southland),11,6-5,67,95,17,179
Norfolk St. (MEAC),12,4-8,81,72,27,180
Charleston So. (Big South),12,8-4,81,83,18,182
Drake (Pioneer),11,7-4,72,96,16,184
Bucknell (Patriot),11,8-3,72,99,16,187
Chattanooga (SoCon),14,10-4,91,83,16,190
Jacksonville (Pioneer),11,9-2,79,99,19,197
Maine (CAA),11,5-6,87,98,12,197
Lafayette (Patriot),11,5-6,102,83,12,197
Saint Francis (PA) (NEC),11,5-6,91,85,22,198
Wofford (SoCon),11,6-5,70,111,17,198
Dayton (Pioneer),11,8-3,89,89,26,204
Presbyterian (Big South),11,6-5,106,83,16,205
Jacksonville St. (OVC),12,10-2,79,96,31,206
Duquesne (NEC),12,6-6,84,98,24,206
Tennessee St. (OVC),12,6-6,96,81,30,207
Brown (Ivy League),10,5-5,74,118,15,207
Yale (Ivy League),10,8-2,85,108,15,208
South Carolina St. (MEAC),12,8-4,95,105,11,211
N.C. A&T (MEAC),12,9-3,85,107,21,213
North Dakota (Big Sky),12,5-7,82,120,13,215
Gardner-Webb (Big South),12,4-8,83,126,6,215
Dartmouth (Ivy League),10,8-2,76,121,18,215
Cornell (Ivy League),10,1-9,80,121,16,217
Eastern Ill. (OVC),12,5-7,100,97,20,217
Georgetown (Patriot),11,3-8,109,96,12,218
Mississippi Val. (SWAC),11,2-9,111,91,16,218
Marist (Pioneer),11,4-7,84,117,18,219
Florida A&M (MEAC),12,3-9,106,102,12,220
Southeastern La. (Southland),13,9-4,88,109,23,220
Texas Southern (SWAC),11,5-6,106,82,33,221
Missouri St. (MVFC),12,4-8,95,110,16,221
Central Conn. St. (NEC),12,3-9,102,104,16,222
Princeton (Ivy League),10,5-5,51,157,15,223
Mercer (SoCon),12,6-6,116,87,22,225
Lamar University (Southland),12,8-4,102,98,26,226
Robert Morris (NEC),11,1-10,118,93,18,229
Northern Ariz. (Big Sky),12,7-5,124,94,14,232
Towson (CAA),12,4-8,100,120,12,232
Campbell (Pioneer),12,5-7,90,120,23,233
San Diego (Pioneer),12,9-3,118,107,10,235
Delaware St. (MEAC),12,2-10,129,94,12,235
UNI (MVFC),14,9-5,73,132,30,235
UAlbany (CAA),12,7-5,109,113,13,235
N.C. Central (MEAC),12,7-5,106,97,32,235
Alcorn (SWAC),13,10-3,90,116,29,235
Jackson St. (SWAC),12,5-7,116,96,25,237
Morehead St. (Pioneer),12,4-8,105,117,16,238
North Dakota St. (MVFC),16,15-1,111,110,17,238
Youngstown St. (MVFC),12,7-5,101,121,17,239
Prairie View (SWAC),10,5-5,116,103,22,241
Northern Colo. (Big Sky),11,3-8,120,107,14,241
Alabama St. (SWAC),11,7-5,105,118,19,242
Monmouth (Big South),11,6-5,99,119,24,242
UT Martin (OVC),12,6-6,87,129,27,243
Southern Ill. (MVFC),12,6-6,109,119,15,243
Penn (Ivy League),10,2-8,106,118,20,244
Butler (Pioneer),11,4-7,78,152,14,244
Lehigh (Patriot),11,3-8,106,123,16,245
William & Mary (CAA),12,7-5,92,131,24,247
Holy Cross (Patriot),12,4-8,117,121,10,248
Houston Christian (Southland),11,2-9,120,111,18,249
Alabama A&M (SWAC),12,4-8,114,118,20,252
Hampton (MEAC),12,3-9,114,124,16,254
Colgate (Patriot),12,5-7,106,130,18,254
Columbia (Ivy League),10,0-10,123,114,17,254
Fordham (Patriot),14,11-3,131,100,23,254
Stetson (Pioneer),12,5-7,107,122,26,255
Western Ill. (MVFC),12,5-7,88,142,26,256
Furman (SoCon),12,3-9,142,97,17,256
Valparaiso (Pioneer),12,4-8,114,133,9,256
Ark.-Pine Bluff (SWAC),11,4-7,115,125,17,257
Rhode Island (CAA),12,1-11,132,113,12,257
Cal Poly (Big Sky),12,7-5,115,123,19,257
Richmond (CAA),14,9-5,101,141,16,258
Western Caro. (SoCon),12,7-5,144,93,21,258
Villanova (CAA),14,11-3,82,156,22,260
Northwestern St. (Southland),12,6-6,128,106,27,261
Southeast Mo. St. (OVC),12,5-7,116,124,21,261
Savannah St. (MEAC),12,0-12,149,100,13,262
South Dakota St. (MVFC),14,9-5,138,111,14,263
SFA (),13,8-5,116,121,26,263
Portland St. (Big Sky),12,3-9,93,145,27,265
Illinois St. (MVFC),15,13-2,107,135,23,265
Elon (CAA),12,1-11,127,126,13,266
Howard (MEAC),12,5-7,115,126,25,266
Tennessee Tech (OVC),12,5-7,138,112,16,266
UC Davis (Big Sky),11,2-9,123,127,19,269
South Dakota (MVFC),12,2-10,136,116,17,269
New Hampshire (CAA),14,12-2,111,143,17,271
Eastern Ky. (OVC),13,9-4,105,151,18,274
Montana (Big Sky),14,9-5,108,151,15,274
Sacramento St. (Big Sky),12,7-5,101,152,23,276
The Citadel (SoCon),12,5-7,135,129,12,276
Liberty (Big South),14,9-5,129,127,20,276
Davidson (Pioneer),12,1-11,130,131,15,276
Delaware (CAA),12,6-6,139,113,25,277
Southern U. (SWAC),13,9-4,125,139,16,280
Grambling (SWAC),12,7-5,116,123,42,281
Weber St. (Big Sky),12,2-10,126,131,28,285
Morgan St. (MEAC),13,7-6,161,102,24,287
Coastal Carolina (Big South),14,12-2,132,135,20,287
Indiana St. (MVFC),14,8-6,128,143,19,290
VMI (SoCon),12,2-10,166,108,18,292
Montana St. (Big Sky),13,8-5,106,164,25,295
Central Ark. (Southland),12,6-6,133,141,22,296
Eastern Wash. (Big Sky),14,11-3,115,159,24,298
Idaho St. (Big Sky),12,8-4,119,161,20,300
James Madison (CAA),13,9-4,125,142,33,300
Austin Peay (OVC),12,1-11,139,131,31,301
Southern Utah (Big Sky),12,3-9,146,150,18,314
Nicholls (Southland),12,0-12,186,123,15,324
Murray St. (OVC),12,3-9,156,151,17,324
Sam Houston (Southland),16,11-5,150,166,31,347
UIW (Southland),11,2-9,133,102,12,247
Abilene Christian (Southland),12,6-6,111,139,16,266
