Team,Games,Win-Loss,Time of Possession,Average Time of Possession per Game
Charleston So. (Big South),12,8-4,409:05,34:05
North Dakota St. (MVFC),16,15-1,545:00,34:03
Bethune-Cookman (MEAC),12,9-3,405:11,33:45
Chattanooga (SoCon),14,10-4,472:27,33:44
Wagner (NEC),11,7-4,363:32,33:02
UT Martin (OVC),12,6-6,394:59,32:54
The Citadel (SoCon),12,5-7,390:35,32:32
McNeese (Southland),11,6-5,357:24,32:29
Ark.-Pine Bluff (SWAC),11,4-7,356:33,32:24
Saint Francis (PA) (NEC),11,5-6,356:14,32:23
Texas Southern (SWAC),11,5-6,353:50,32:10
Northern Ariz. (Big Sky),12,7-5,384:54,32:04
Stony Brook (CAA),12,5-7,384:08,32:00
Cal Poly (Big Sky),12,7-5,382:12,31:51
Montana St. (Big Sky),13,8-5,413:28,31:48
Morehead St. (Pioneer),12,4-8,381:33,31:47
South Dakota St. (MVFC),14,9-5,444:42,31:45
Southeast Mo. St. (OVC),12,5-7,381:01,31:45
Yale (Ivy League),10,8-2,317:30,31:45
Richmond (CAA),14,9-5,444:21,31:44
Villanova (CAA),14,11-3,444:07,31:43
Presbyterian (Big South),11,6-5,348:15,31:39
Dayton (Pioneer),11,8-3,347:03,31:33
William & Mary (CAA),12,7-5,378:25,31:32
Houston Christian (Southland),11,2-9,346:09,31:28
Brown (Ivy League),10,5-5,314:12,31:25
Eastern Wash. (Big Sky),14,11-3,439:36,31:24
Bucknell (Patriot),11,8-3,345:06,31:22
Illinois St. (MVFC),15,13-2,470:13,31:20
Duquesne (NEC),12,6-6,375:28,31:17
Liberty (Big South),14,9-5,436:42,31:11
Alabama A&M (SWAC),12,4-8,374:15,31:11
Florida A&M (MEAC),12,3-9,373:56,31:09
Campbell (Pioneer),12,5-7,373:49,31:09
Tennessee St. (OVC),12,6-6,373:39,31:08
Lamar University (Southland),12,8-4,373:28,31:07
Missouri St. (MVFC),12,4-8,373:21,31:06
Sacramento St. (Big Sky),12,7-5,372:52,31:04
Drake (Pioneer),11,7-4,341:14,31:01
Alcorn (SWAC),13,10-3,401:52,30:54
Bryant (NEC),11,8-3,339:43,30:53
N.C. A&T (MEAC),12,9-3,370:19,30:51
Jacksonville St. (OVC),12,10-2,370:06,30:50
Northwestern St. (Southland),12,6-6,369:50,30:49
Lehigh (Patriot),11,3-8,338:55,30:48
SFA (),13,8-5,400:09,30:46
San Diego (Pioneer),12,9-3,369:10,30:45
Cornell (Ivy League),10,1-9,307:35,30:45
UAlbany (CAA),12,7-5,368:49,30:44
VMI (SoCon),12,2-10,368:18,30:41
Hampton (MEAC),12,3-9,368:03,30:40
Valparaiso (Pioneer),12,4-8,366:39,30:33
Wofford (SoCon),11,6-5,336:00,30:32
Colgate (Patriot),12,5-7,365:50,30:29
Towson (CAA),12,4-8,365:47,30:28
Maine (CAA),11,5-6,335:03,30:27
Norfolk St. (MEAC),12,4-8,363:31,30:17
Youngstown St. (MVFC),12,7-5,362:27,30:12
Southeastern La. (Southland),13,9-4,392:31,30:11
Austin Peay (OVC),12,1-11,362:06,30:10
Mississippi Val. (SWAC),11,2-9,330:43,30:03
Stetson (Pioneer),12,5-7,360:45,30:03
Lafayette (Patriot),11,5-6,329:47,29:58
