Team,Games,Win-Loss,3rd Attempts,3rd Conversions,3rd Percent
Yale (Ivy League),10,8-2,149,77,0.517
Richmond (CAA),14,9-5,215,111,0.516
Illinois St. (MVFC),15,13-2,199,101,0.508
Cal Poly (Big Sky),12,7-5,184,90,0.489
North Dakota St. (MVFC),16,15-1,211,102,0.483
Villanova (CAA),14,11-3,181,87,0.481
Eastern Wash. (Big Sky),14,11-3,202,97,0.480
New Hampshire (CAA),14,12-2,196,94,0.480
Coastal Carolina (Big South),14,12-2,190,91,0.479
The Citadel (SoCon),12,5-7,180,86,0.478
Southern Ill. (MVFC),12,6-6,172,82,0.477
Dartmouth (Ivy League),10,8-2,139,65,0.468
Central Ark. (Southland),12,6-6,182,85,0.467
Southeast Mo. St. (OVC),12,5-7,173,79,0.457
Holy Cross (Patriot),12,4-8,195,89,0.456
Chattanooga (SoCon),14,10-4,202,92,0.455
Montana St. (Big Sky),13,8-5,182,82,0.451
James Madison (CAA),13,9-4,223,100,0.448
Alcorn (SWAC),13,10-3,170,76,0.447
Eastern Ill. (OVC),12,5-7,197,88,0.447
Jacksonville St. (OVC),12,10-2,191,85,0.445
Wofford (SoCon),11,6-5,138,61,0.442
Idaho St. (Big Sky),12,8-4,185,81,0.438
Charleston So. (Big South),12,8-4,173,75,0.434
Southeastern La. (Southland),13,9-4,199,86,0.432
Prairie View (SWAC),10,5-5,147,63,0.429
Harvard (Ivy League),10,10-0,136,58,0.426
Montana (Big Sky),14,9-5,196,83,0.423
Sacramento St. (Big Sky),12,7-5,161,68,0.422
Northwestern St. (Southland),12,6-6,180,76,0.422
Youngstown St. (MVFC),12,7-5,154,65,0.422
McNeese (Southland),11,6-5,154,65,0.422
South Dakota St. (MVFC),14,9-5,181,76,0.420
VMI (SoCon),12,2-10,174,73,0.420
Western Caro. (SoCon),12,7-5,155,65,0.419
Fordham (Patriot),14,11-3,191,80,0.419
Colgate (Patriot),12,5-7,175,73,0.417
Samford (SoCon),11,7-4,161,67,0.416
Duquesne (NEC),12,6-6,190,79,0.416
Sam Houston (Southland),16,11-5,255,106,0.416
Morgan St. (MEAC),13,7-6,166,69,0.416
UT Martin (OVC),12,6-6,171,71,0.415
Grambling (SWAC),12,7-5,186,77,0.414
Bucknell (Patriot),11,8-3,150,62,0.413
Murray St. (OVC),12,3-9,172,71,0.413
UAlbany (CAA),12,7-5,165,68,0.412
Northern Ariz. (Big Sky),12,7-5,175,72,0.411
Ark.-Pine Bluff (SWAC),11,4-7,157,64,0.408
Liberty (Big South),14,9-5,182,74,0.407
SFA (),13,8-5,187,76,0.406
Southern U. (SWAC),13,9-4,192,78,0.406
N.C. Central (MEAC),12,7-5,176,71,0.403
Jacksonville (Pioneer),11,9-2,149,60,0.403
Tennessee St. (OVC),12,6-6,192,77,0.401
Hampton (MEAC),12,3-9,178,71,0.399
Brown (Ivy League),10,5-5,144,57,0.396
Southern Utah (Big Sky),12,3-9,175,69,0.394
Drake (Pioneer),11,7-4,178,70,0.393
Morehead St. (Pioneer),12,4-8,222,87,0.392
Mercer (SoCon),12,6-6,146,57,0.390
Eastern Ky. (OVC),13,9-4,205,79,0.385
Delaware (CAA),12,6-6,151,58,0.384
Texas Southern (SWAC),11,5-6,160,61,0.381
Dayton (Pioneer),11,8-3,168,64,0.381
Howard (MEAC),12,5-7,167,63,0.377
