Team,Games,Win-Loss,Opp Completions Allowed,Opp Pass Attempts,Opp Pass Yds Allowed,Opp Pass TDs Allowed,Yards/Attempt Allowed,Yards/Completion Allowed,Pass Yards Per Game Allowed
Samford (SoCon),11,7-4,153,272,1530,6,5.63,10.00,139.1
Norfolk St. (MEAC),12,4-8,133,278,1783,12,6.41,13.41,148.6
Chattanooga (SoCon),14,10-4,181,327,2145,16,6.56,11.85,153.2
Tennessee St. (OVC),12,6-6,164,317,1840,11,5.80,11.22,153.3
Morgan St. (MEAC),13,7-6,200,361,1996,16,5.53,9.98,153.5
North Dakota St. (MVFC),16,15-1,237,446,2480,11,5.56,10.46,155.0
Bethune-Cookman (MEAC),12,9-3,167,347,1891,19,5.45,11.32,157.6
Stony Brook (CAA),12,5-7,173,329,1914,10,5.82,11.06,159.5
Fordham (Patriot),14,11-3,203,400,2299,20,5.75,11.33,164.2
Bryant (NEC),11,8-3,155,315,1859,9,5.90,11.99,169.0
Lafayette (Patriot),11,5-6,146,287,1860,16,6.48,12.74,169.1
Delaware St. (MEAC),12,2-10,200,308,2050,18,6.66,10.25,170.8
Maine (CAA),11,5-6,161,322,1894,12,5.88,11.76,172.2
Saint Francis (PA) (NEC),11,5-6,163,326,1926,22,5.91,11.82,175.1
Furman (SoCon),12,3-9,162,276,2114,20,7.66,13.05,176.2
Western Caro. (SoCon),12,7-5,155,302,2117,14,7.01,13.66,176.4
Northern Ariz. (Big Sky),12,7-5,171,312,2122,15,6.80,12.41,176.8
Mercer (SoCon),12,6-6,175,307,2130,14,6.94,12.17,177.5
N.C. Central (MEAC),12,7-5,189,335,2132,16,6.36,11.28,177.7
Southeastern La. (Southland),13,9-4,212,425,2315,11,5.45,10.92,178.1
Central Conn. St. (NEC),12,3-9,188,341,2176,22,6.38,11.57,181.3
Duquesne (NEC),12,6-6,189,355,2206,14,6.21,11.67,183.8
Charleston So. (Big South),12,8-4,168,294,2221,18,7.55,13.22,185.1
N.C. A&T (MEAC),12,9-3,199,392,2243,10,5.72,11.27,186.9
Lamar University (Southland),12,8-4,197,386,2256,20,5.84,11.45,188.0
Dayton (Pioneer),11,8-3,203,376,2079,16,5.53,10.24,189.0
Robert Morris (NEC),11,1-10,150,280,2081,17,7.43,13.87,189.2
Jacksonville St. (OVC),12,10-2,203,355,2277,17,6.41,11.22,189.8
Presbyterian (Big South),11,6-5,166,291,2088,17,7.18,12.58,189.8
Texas Southern (SWAC),11,5-6,150,299,2100,19,7.02,14.00,190.9
San Diego (Pioneer),12,9-3,224,413,2301,24,5.57,10.27,191.8
Florida A&M (MEAC),12,3-9,185,316,2304,13,7.29,12.45,192.0
South Dakota St. (MVFC),14,9-5,224,404,2690,16,6.66,12.01,192.1
Georgetown (Patriot),11,3-8,180,298,2123,9,7.12,11.79,193.0
Drake (Pioneer),11,7-4,173,324,2132,13,6.58,12.32,193.8
Bucknell (Patriot),11,8-3,189,327,2140,12,6.54,11.32,194.5
Jackson St. (SWAC),12,5-7,196,352,2343,18,6.66,11.95,195.3
Liberty (Big South),14,9-5,255,427,2736,20,6.41,10.73,195.4
Eastern Ill. (OVC),12,5-7,198,344,2354,12,6.84,11.89,196.2
Towson (CAA),12,4-8,229,342,2355,18,6.89,10.28,196.3
Delaware (CAA),12,6-6,210,357,2366,23,6.63,11.27,197.2
Wagner (NEC),11,7-4,178,341,2180,15,6.39,12.25,198.2
Jacksonville (Pioneer),11,9-2,182,361,2184,12,6.05,12.00,198.5
Missouri St. (MVFC),12,4-8,201,339,2410,21,7.11,11.99,200.8
UAlbany (CAA),12,7-5,212,359,2440,14,6.80,11.51,203.3
Indiana St. (MVFC),14,8-6,255,462,2851,16,6.17,11.18,203.6
UNI (MVFC),14,9-5,273,463,2898,15,6.26,10.62,207.0
Mississippi Val. (SWAC),11,2-9,152,275,2286,18,8.31,15.04,207.8
Sacred Heart (NEC),12,9-3,197,399,2499,22,6.26,12.69,208.3
South Carolina St. (MEAC),12,8-4,233,398,2499,14,6.28,10.73,208.3
Richmond (CAA),14,9-5,269,465,2927,17,6.29,10.88,209.1
Stetson (Pioneer),12,5-7,211,368,2513,21,6.83,11.91,209.4
Northwestern St. (Southland),12,6-6,178,313,2517,19,8.04,14.14,209.8
New Hampshire (CAA),14,12-2,274,472,2938,15,6.22,10.72,209.9
Northern Colo. (Big Sky),11,3-8,191,322,2310,19,7.17,12.09,210.0
Montana (Big Sky),14,9-5,271,449,2959,17,6.59,10.92,211.4
Coastal Carolina (Big South),14,12-2,234,444,2959,16,6.66,12.65,211.4
Rhode Island (CAA),12,1-11,199,330,2538,21,7.69,12.75,211.5
Alcorn (SWAC),13,10-3,237,441,2753,16,6.24,11.62,211.8
Holy Cross (Patriot),12,4-8,220,349,2556,21,7.32,11.62,213.0
Marist (Pioneer),11,4-7,222,378,2345,11,6.20,10.56,213.2
Savannah St. (MEAC),12,0-12,166,281,2572,29,9.15,15.49,214.3
Elon (CAA),12,1-11,239,374,2590,20,6.93,10.84,215.8
Nicholls (Southland),12,0-12,206,316,2594,28,8.21,12.59,216.2
McNeese (Southland),11,6-5,186,361,2394,21,6.63,12.87,217.6
Gardner-Webb (Big South),12,4-8,214,355,2612,17,7.36,12.21,217.7
Valparaiso (Pioneer),12,4-8,220,375,2619,18,6.98,11.90,218.3
Hampton (MEAC),12,3-9,221,351,2627,16,7.48,11.89,218.9
VMI (SoCon),12,2-10,203,314,2628,26,8.37,12.95,219.0
Harvard (Ivy League),10,10-0,225,384,2197,6,5.72,9.76,219.7
Youngstown St. (MVFC),12,7-5,220,368,2644,23,7.18,12.02,220.3
Tennessee Tech (OVC),12,5-7,239,360,2657,20,7.38,11.12,221.4
SFA (),13,8-5,224,412,2886,17,7.00,12.88,222.0
Wofford (SoCon),11,6-5,211,315,2445,11,7.76,11.59,222.3
Monmouth (Big South),11,6-5,225,382,2458,16,6.43,10.92,223.5
Illinois St. (MVFC),15,13-2,262,483,3355,19,6.95,12.81,223.7
Southern Ill. (MVFC),12,6-6,200,366,2699,18,7.37,13.50,224.9
Morehead St. (Pioneer),12,4-8,186,322,2734,27,8.49,14.70,227.8
Southeast Mo. St. (OVC),12,5-7,204,360,2766,29,7.68,13.56,230.5
Colgate (Patriot),12,5-7,260,405,2772,16,6.84,10.66,231.0
Weber St. (Big Sky),12,2-10,214,365,2776,20,7.61,12.97,231.3
South Dakota (MVFC),12,2-10,175,314,2786,26,8.87,15.92,232.2
Campbell (Pioneer),12,5-7,218,398,2807,16,7.05,12.88,233.9
Cal Poly (Big Sky),12,7-5,231,377,2808,25,7.45,12.16,234.0
Sam Houston (Southland),16,11-5,308,557,3792,31,6.81,12.31,237.0
James Madison (CAA),13,9-4,249,422,3103,25,7.35,12.46,238.7
Howard (MEAC),12,5-7,221,359,2878,27,8.02,13.02,239.8
Brown (Ivy League),10,5-5,234,363,2403,14,6.62,10.27,240.3
Columbia (Ivy League),10,0-10,186,301,2411,22,8.01,12.96,241.1
William & Mary (CAA),12,7-5,263,402,2898,18,7.21,11.02,241.5
Dartmouth (Ivy League),10,8-2,240,401,2418,11,6.03,10.08,241.8
Alabama A&M (SWAC),12,4-8,225,399,2947,17,7.39,13.10,245.6
Prairie View (SWAC),10,5-5,173,310,2464,17,7.95,14.24,246.4
The Citadel (SoCon),12,5-7,227,344,2960,18,8.60,13.04,246.7
Villanova (CAA),14,11-3,278,474,3481,21,7.34,12.52,248.6
Davidson (Pioneer),12,1-11,223,333,2989,27,8.98,13.40,249.1
Southern U. (SWAC),13,9-4,274,473,3250,29,6.87,11.86,250.0
UT Martin (OVC),12,6-6,228,410,3005,24,7.33,13.18,250.4
North Dakota (Big Sky),12,5-7,227,357,3023,23,8.47,13.32,251.9
Austin Peay (OVC),12,1-11,237,338,3025,30,8.95,12.76,252.1
Western Ill. (MVFC),12,5-7,248,427,3029,21,7.09,12.21,252.4
Ark.-Pine Bluff (SWAC),11,4-7,193,314,2786,26,8.87,14.44,253.3
Central Ark. (Southland),12,6-6,234,381,3069,24,8.06,13.12,255.8
Cornell (Ivy League),10,1-9,200,315,2610,24,8.29,13.05,261.0
Alabama St. (SWAC),11,7-5,224,419,2891,15,6.90,12.91,262.8
Yale (Ivy League),10,8-2,205,369,2653,17,7.19,12.94,265.3
Houston Christian (Southland),11,2-9,168,272,2919,31,10.73,17.38,265.4
Grambling (SWAC),12,7-5,228,410,3195,22,7.79,14.01,266.3
Eastern Wash. (Big Sky),14,11-3,305,510,3730,32,7.31,12.23,266.4
Lehigh (Patriot),11,3-8,215,349,2939,22,8.42,13.67,267.2
Murray St. (OVC),12,3-9,261,416,3238,27,7.78,12.41,269.8
Eastern Ky. (OVC),13,9-4,326,549,3536,23,6.44,10.85,272.0
Penn (Ivy League),10,2-8,213,337,2728,25,8.09,12.81,272.8
Sacramento St. (Big Sky),12,7-5,271,426,3322,30,7.80,12.26,276.8
UC Davis (Big Sky),11,2-9,235,342,3100,27,9.06,13.19,281.8
Portland St. (Big Sky),12,3-9,264,452,3388,25,7.50,12.83,282.3
Southern Utah (Big Sky),12,3-9,244,397,3429,29,8.64,14.05,285.8
Idaho St. (Big Sky),12,8-4,279,474,3493,22,7.37,12.52,291.1
Montana St. (Big Sky),13,8-5,285,479,3820,28,7.97,13.40,293.8
Butler (Pioneer),11,4-7,280,437,3443,30,7.88,12.30,313.0
Princeton (Ivy League),10,5-5,266,445,3414,24,7.67,12.83,341.4
UIW (Southland),11,2-9,168,281,2282,24,8.12,13.58,207.5
Abilene Christian (Southland),12,6-6,271,445,3278,23,7.37,12.10,273.2
