Team,Games,Win-Loss,Pass Attempts,Pass Completions,Passing Interceptions Thrown,Pass Yards,Pass Yards/Attempt,Yards/Completion,Pass Touchdowns,Pass Yards Per Game
Idaho St. (Big Sky),12,8-4,535,325,10,4177,7.81,12.85,39,348.1
Eastern Wash. (Big Sky),14,11-3,527,340,9,4595,8.72,13.51,45,328.2
Murray St. (OVC),12,3-9,531,352,13,3926,7.39,11.15,34,327.2
Fordham (Patriot),14,11-3,532,345,13,4565,8.58,13.23,39,326.1
Yale (Ivy League),10,8-2,375,250,9,3236,8.63,12.94,22,323.6
Southern Utah (Big Sky),12,3-9,491,315,16,3851,7.84,12.23,25,320.9
Lamar University (Southland),12,8-4,471,274,16,3772,8.01,13.77,33,314.3
Richmond (CAA),14,9-5,575,360,22,4393,7.64,12.20,27,313.8
Jacksonville (Pioneer),11,9-2,411,251,13,3436,8.36,13.69,31,312.4
Sacramento St. (Big Sky),12,7-5,455,284,10,3636,7.99,12.80,34,303.0
Central Ark. (Southland),12,6-6,437,287,12,3387,7.75,11.80,32,282.3
Grambling (SWAC),12,7-5,434,246,12,3327,7.67,13.52,24,277.3
Morehead St. (Pioneer),12,4-8,530,329,15,3313,6.25,10.07,28,276.1
Penn (Ivy League),10,2-8,425,263,11,2743,6.45,10.43,15,274.3
Jackson St. (SWAC),12,5-7,435,279,15,3286,7.55,11.78,23,273.8
Northern Ariz. (Big Sky),12,7-5,420,257,11,3270,7.79,12.72,23,272.5
Tennessee St. (OVC),12,6-6,475,257,18,3268,6.88,12.72,23,272.3
Alabama A&M (SWAC),12,4-8,429,212,14,3251,7.58,15.33,23,270.9
VMI (SoCon),12,2-10,472,285,12,3250,6.89,11.40,21,270.8
Indiana St. (MVFC),14,8-6,574,347,12,3777,6.58,10.88,24,269.8
James Madison (CAA),13,9-4,475,286,8,3499,7.37,12.23,30,269.2
New Hampshire (CAA),14,12-2,474,308,10,3766,7.95,12.23,28,269.0
Brown (Ivy League),10,5-5,373,202,7,2671,7.16,13.22,17,267.1
Prairie View (SWAC),10,5-5,370,213,10,2646,7.15,12.42,18,264.6
South Dakota St. (MVFC),14,9-5,428,255,16,3612,8.44,14.16,28,258.0
SFA (),13,8-5,461,302,11,3294,7.15,10.91,17,253.4
Princeton (Ivy League),10,5-5,410,254,7,2527,6.16,9.95,12,252.7
Duquesne (NEC),12,6-6,405,230,14,3014,7.44,13.10,24,251.2
Monmouth (Big South),11,6-5,386,233,9,2762,7.16,11.85,24,251.1
Weber St. (Big Sky),12,2-10,432,253,14,2994,6.93,11.83,19,249.5
Dartmouth (Ivy League),10,8-2,334,222,7,2481,7.43,11.18,23,248.1
Liberty (Big South),14,9-5,407,252,14,3473,8.53,13.78,24,248.1
Coastal Carolina (Big South),14,12-2,433,277,7,3470,8.01,12.53,20,247.9
Montana St. (Big Sky),13,8-5,347,228,13,3175,9.15,13.93,21,244.2
Eastern Ill. (OVC),12,5-7,443,261,11,2925,6.60,11.21,19,243.8
Western Ill. (MVFC),12,5-7,374,219,11,2891,7.73,13.20,24,240.9
Northwestern St. (Southland),12,6-6,390,262,14,2864,7.34,10.93,28,238.7
Southern Ill. (MVFC),12,6-6,425,265,14,2840,6.68,10.72,29,236.7
Bucknell (Patriot),11,8-3,314,172,11,2579,8.21,14.99,21,234.5
UC Davis (Big Sky),11,2-9,343,221,10,2559,7.46,11.58,26,232.6
Southeastern La. (Southland),13,9-4,350,182,9,3020,8.63,16.59,24,232.3
Northern Colo. (Big Sky),11,3-8,329,214,8,2552,7.76,11.93,15,232.0
Harvard (Ivy League),10,10-0,269,173,7,2309,8.58,13.35,16,230.9
Ark.-Pine Bluff (SWAC),11,4-7,317,169,10,2510,7.92,14.85,18,228.2
Villanova (CAA),14,11-3,342,221,4,3185,9.31,14.41,36,227.5
Montana (Big Sky),14,9-5,430,244,7,3172,7.38,13.00,29,226.6
Jacksonville St. (OVC),12,10-2,344,196,12,2705,7.86,13.80,19,225.4
Illinois St. (MVFC),15,13-2,372,215,11,3335,8.97,15.51,32,222.3
Lehigh (Patriot),11,3-8,326,193,13,2443,7.49,12.66,15,222.1
Southern U. (SWAC),13,9-4,393,205,8,2887,7.35,14.08,20,222.1
Southeast Mo. St. (OVC),12,5-7,335,204,15,2651,7.91,13.00,23,220.9
Drake (Pioneer),11,7-4,386,220,11,2428,6.29,11.04,12,220.7
Gardner-Webb (Big South),12,4-8,423,245,16,2641,6.24,10.78,16,220.1
UAlbany (CAA),12,7-5,378,207,9,2636,6.97,12.73,24,219.7
Western Caro. (SoCon),12,7-5,364,239,12,2630,7.23,11.00,21,219.2
Hampton (MEAC),12,3-9,397,229,15,2625,6.61,11.46,21,218.8
Columbia (Ivy League),10,0-10,416,211,21,2185,5.25,10.36,9,218.5
Davidson (Pioneer),12,1-11,457,266,17,2616,5.72,9.83,14,218.0
Samford (SoCon),11,7-4,328,211,8,2397,7.31,11.36,16,217.9
Elon (CAA),12,1-11,523,283,17,2586,4.94,9.14,12,215.5
Youngstown St. (MVFC),12,7-5,293,171,8,2556,8.72,14.95,20,213.0
UT Martin (OVC),12,6-6,360,220,10,2549,7.08,11.59,20,212.4
Butler (Pioneer),11,4-7,382,205,10,2334,6.11,11.39,15,212.2
Sacred Heart (NEC),12,9-3,392,205,15,2532,6.46,12.35,23,211.0
Alcorn (SWAC),13,10-3,349,203,7,2702,7.74,13.31,26,207.8
Valparaiso (Pioneer),12,4-8,386,219,15,2489,6.45,11.37,15,207.4
Lafayette (Patriot),11,5-6,380,229,13,2276,5.99,9.94,15,206.9
Alabama St. (SWAC),11,7-5,313,169,7,2272,7.26,13.44,11,206.5
Holy Cross (Patriot),12,4-8,403,240,13,2468,6.12,10.28,12,205.7
Sam Houston (Southland),16,11-5,482,278,14,3287,6.82,11.82,22,205.4
N.C. Central (MEAC),12,7-5,373,227,6,2445,6.55,10.77,16,203.8
UNI (MVFC),14,9-5,417,203,12,2824,6.77,13.91,18,201.7
Portland St. (Big Sky),12,3-9,423,216,17,2408,5.69,11.15,15,200.7
Chattanooga (SoCon),14,10-4,343,232,8,2805,8.18,12.09,24,200.4
Howard (MEAC),12,5-7,401,223,8,2392,5.97,10.73,15,199.3
Mercer (SoCon),12,6-6,274,156,10,2375,8.67,15.22,22,197.9
San Diego (Pioneer),12,9-3,330,178,11,2365,7.17,13.29,25,197.1
North Dakota St. (MVFC),16,15-1,364,231,10,3152,8.66,13.65,26,197.0
Furman (SoCon),12,3-9,336,191,11,2359,7.02,12.35,13,196.6
Dayton (Pioneer),11,8-3,352,200,11,2126,6.04,10.63,15,193.3
Delaware (CAA),12,6-6,326,211,14,2299,7.05,10.90,13,191.6
Cornell (Ivy League),10,1-9,307,160,11,1912,6.23,11.95,16,191.2
Florida A&M (MEAC),12,3-9,338,196,13,2288,6.77,11.67,18,190.7
Central Conn. St. (NEC),12,3-9,328,186,14,2283,6.96,12.27,12,190.3
Eastern Ky. (OVC),13,9-4,364,211,19,2460,6.76,11.66,14,189.2
South Dakota (MVFC),12,2-10,364,193,11,2266,6.23,11.74,11,188.8
Texas Southern (SWAC),11,5-6,332,174,8,2073,6.24,11.91,17,188.5
Bryant (NEC),11,8-3,296,158,11,2047,6.92,12.96,20,186.1
Campbell (Pioneer),12,5-7,371,198,15,2228,6.01,11.25,14,185.7
Mississippi Val. (SWAC),11,2-9,323,149,17,2040,6.32,13.69,15,185.5
McNeese (Southland),11,6-5,301,151,10,1921,6.38,12.72,15,174.6
Charleston So. (Big South),12,8-4,280,148,12,2075,7.41,14.02,13,172.9
William & Mary (CAA),12,7-5,290,166,4,2064,7.12,12.43,11,172.0
Morgan St. (MEAC),13,7-6,345,176,10,2213,6.41,12.57,18,170.2
Stetson (Pioneer),12,5-7,316,169,19,2030,6.42,12.01,18,169.2
Missouri St. (MVFC),12,4-8,294,161,8,1997,6.79,12.40,19,166.4
Nicholls (Southland),12,0-12,366,190,10,1983,5.42,10.44,9,165.3
Bethune-Cookman (MEAC),12,9-3,265,164,7,1946,7.34,11.87,11,162.2
Georgetown (Patriot),11,3-8,349,177,6,1769,5.07,9.99,9,160.8
Marist (Pioneer),11,4-7,314,164,15,1746,5.56,10.65,11,158.7
N.C. A&T (MEAC),12,9-3,303,175,8,1900,6.27,10.86,16,158.3
Savannah St. (MEAC),12,0-12,414,199,17,1888,4.56,9.49,9,157.3
Stony Brook (CAA),12,5-7,267,143,12,1854,6.94,12.97,11,154.5
Maine (CAA),11,5-6,295,154,5,1648,5.59,10.70,12,149.8
Robert Morris (NEC),11,1-10,330,171,20,1647,4.99,9.63,9,149.7
Rhode Island (CAA),12,1-11,338,173,16,1770,5.24,10.23,9,147.5
Saint Francis (PA) (NEC),11,5-6,223,124,8,1594,7.15,12.85,16,144.9
Tennessee Tech (OVC),12,5-7,317,165,12,1704,5.38,10.33,10,142.0
Colgate (Patriot),12,5-7,263,139,9,1672,6.36,12.03,7,139.3
North Dakota (Big Sky),12,5-7,290,142,13,1655,5.71,11.65,6,137.9
Presbyterian (Big South),11,6-5,256,148,11,1506,5.88,10.18,6,136.9
Wagner (NEC),11,7-4,260,124,8,1484,5.71,11.97,9,134.9
Norfolk St. (MEAC),12,4-8,251,132,12,1605,6.39,12.16,10,133.8
Houston Christian (Southland),11,2-9,278,132,19,1458,5.24,11.05,12,132.5
South Carolina St. (MEAC),12,8-4,256,135,10,1584,6.19,11.73,10,132.0
Towson (CAA),12,4-8,311,176,8,1581,5.08,8.98,9,131.8
Delaware St. (MEAC),12,2-10,320,161,18,1571,4.91,9.76,8,130.9
Cal Poly (Big Sky),12,7-5,182,109,3,1571,8.63,14.41,14,130.9
Austin Peay (OVC),12,1-11,271,145,10,1475,5.44,10.17,9,122.9
The Citadel (SoCon),12,5-7,147,65,1,958,6.52,14.74,8,79.8
Wofford (SoCon),11,6-5,113,63,8,763,6.75,12.11,5,69.4
Abilene Christian (Southland),12,6-6,388,254,9,3330,8.58,13.11,27,277.5
UIW (Southland),11,2-9,355,168,18,1907,5.37,11.35,11,173.4
